alg,C,Cn,Crob,CrobScaled
infomap,1,18,0.01351,0.03377
infomap,2,159,0.01808,0.0452
infomap,3,94,0.01373,0.03432
infomap,4,18,0.01863,0.04657
infomap,5,120,0.01936,0.0484
infomap,6,7,0.1214,0.3036
infomap,7,11,0.01727,0.04318
infomap,8,14,0.01044,0.0261
infomap,9,13,0.01218,0.03045
infomap,10,8,0.0119,0.02976
infomap,11,9,0.0162,0.04051
infomap,12,48,0.01231,0.03077
infomap,13,41,0.01717,0.04294
infomap,14,11,0.03091,0.07727
infomap,15,15,0.02238,0.05595
infomap,16,14,0.1152,0.288
infomap,17,10,0.02,0.05
infomap,18,38,0.01444,0.0361
infomap,19,83,0.02086,0.05215
infomap,20,243,0.01461,0.03653
infomap,21,15,0.02714,0.06786
infomap,22,11,0.02091,0.05227
infomap,23,7,0.04762,0.119
infomap,24,9,0.01667,0.04167
infomap,25,11,0.01667,0.04167
infomap,26,155,0.01388,0.03469
infomap,27,19,0.03333,0.08333
infomap,28,225,0.01175,0.02937
infomap,29,12,0.006061,0.01515
infomap,30,6,0.07333,0.1833
infomap,31,263,0.01574,0.03934
infomap,32,4,0,0
infomap,33,82,0.01627,0.04066
infomap,34,19,0.01998,0.04995
infomap,35,25,0.0215,0.05375
infomap,36,11,0.02364,0.05909
infomap,37,5,0.06,0.15
infomap,38,10,0.02111,0.05278
infomap,39,5,0,0
infomap,40,12,0.02121,0.05303
infomap,41,12,0.007576,0.01894
infomap,42,100,0.01587,0.03968
infomap,43,9,0.03333,0.08333
infomap,44,219,0.01404,0.03509
infomap,45,47,0.01596,0.03989
infomap,46,18,0.02102,0.05256
infomap,47,8,0,0
infomap,48,27,0.009354,0.02339
infomap,49,46,0.01841,0.04601
infomap,50,11,0.01636,0.04091
infomap,51,13,0.03932,0.09829
infomap,52,7,0,0
infomap,53,12,0.007576,0.01894
infomap,54,10,0.02111,0.05278
infomap,55,15,0.006667,0.01667
infomap,56,6,0,0
infomap,57,7,0.03968,0.09921
infomap,58,13,0.008974,0.02244
infomap,59,17,0.01409,0.03523
infomap,60,10,0.01852,0.0463
infomap,61,34,0.01762,0.04404
infomap,62,7,0.0119,0.02976
infomap,63,10,0.02444,0.06111
infomap,64,19,0.007797,0.01949
infomap,65,14,0.00989,0.02473
infomap,66,12,0.005051,0.01263
infomap,67,9,0.01944,0.04861
infomap,68,31,0.01771,0.04427
infomap,69,7,0.03095,0.07738
infomap,70,11,0.008182,0.02045
infomap,71,4,0,0
infomap,72,72,0.02139,0.05349
infomap,73,10,0.007407,0.01852
infomap,74,9,0.02778,0.06944
infomap,75,20,0.03544,0.0886
infomap,76,7,0,0
infomap,77,9,0.03426,0.08565
infomap,78,8,0.01607,0.04018
infomap,79,6,0.01667,0.04167
infomap,80,8,0.04464,0.1116
infomap,81,9,0.006944,0.01736
infomap,82,17,0.008578,0.02145
infomap,83,10,0.005556,0.01389
infomap,84,10,0.004444,0.01111
infomap,85,10,0.02481,0.06204
infomap,86,18,0.02516,0.06291
infomap,87,26,0.01621,0.04051
infomap,88,11,0.02,0.05
infomap,89,9,0.006944,0.01736
infomap,90,8,0.008929,0.02232
infomap,91,7,0.02143,0.05357
infomap,92,11,0.01515,0.03788
infomap,93,7,0.0381,0.09524
infomap,94,7,0,0
infomap,95,20,0.0136,0.03399
infomap,96,22,0.01306,0.03265
infomap,97,9,0.005556,0.01389
infomap,98,31,0.01842,0.04606
infomap,99,11,0.01788,0.0447
infomap,100,25,0.024,0.06
infomap,101,12,0.008081,0.0202
infomap,102,10,0.01741,0.04352
infomap,103,24,0.01395,0.03487
infomap,104,136,0.01763,0.04408
infomap,105,5,0.1,0.25
infomap,106,13,0.02244,0.05609
infomap,107,11,0.02697,0.06742
infomap,108,8,0,0
infomap,109,6,0.04,0.1
infomap,110,19,0.03538,0.08845
infomap,111,11,0.02485,0.06212
infomap,112,9,0.009259,0.02315
infomap,113,10,0.02444,0.06111
infomap,114,14,0.01484,0.03709
infomap,115,7,0,0
infomap,116,9,0.009259,0.02315
infomap,117,25,0.01994,0.04986
infomap,118,8,0.01607,0.04018
infomap,119,64,0.01134,0.02836
infomap,120,10,0.02407,0.06019
infomap,121,18,0.01176,0.02941
infomap,122,7,0,0
infomap,123,15,0.01746,0.04365
infomap,124,13,0.01517,0.03793
infomap,125,6,0,0
infomap,126,6,0.01667,0.04167
infomap,127,7,0.01587,0.03968
infomap,128,15,0.02063,0.05159
infomap,129,13,0.01538,0.03846
infomap,130,4,0,0
infomap,131,19,0.01764,0.0441
infomap,132,13,0.005769,0.01442
infomap,133,13,0.01709,0.04274
infomap,134,13,0.01966,0.04915
infomap,135,11,0.02273,0.05682
infomap,136,8,0.007143,0.01786
infomap,137,7,0.02778,0.06944
infomap,138,5,0.025,0.0625
infomap,139,14,0.002747,0.006868
infomap,140,6,0,0
infomap,141,14,0.004945,0.01236
infomap,142,33,0.01319,0.03299
infomap,143,8,0.008929,0.02232
infomap,144,14,0.02564,0.0641
infomap,145,7,0.0254,0.06349
infomap,146,10,0.007407,0.01852
infomap,147,15,0.02016,0.0504
infomap,148,9,0.0287,0.07176
infomap,149,8,0,0
infomap,150,8,0,0
infomap,151,18,0.0159,0.03976
infomap,152,9,0.02731,0.06829
infomap,153,6,0.01667,0.04167
infomap,154,3,0,0
infomap,155,31,0.02072,0.05179
infomap,156,12,0.005051,0.01263
infomap,157,7,0.0373,0.09325
infomap,158,9,0.0125,0.03125
infomap,159,9,0.005556,0.01389
infomap,160,4,0.03333,0.08333
infomap,161,8,0,0
infomap,162,9,0.01667,0.04167
infomap,163,7,0.01587,0.03968
infomap,164,14,0.01374,0.03434
infomap,165,3,0,0
infomap,166,13,0.02073,0.05182
infomap,167,7,0,0
infomap,168,7,0.02857,0.07143
infomap,169,5,0.04,0.1
infomap,170,9,0.01944,0.04861
infomap,171,7,0.02857,0.07143
infomap,172,9,0.0162,0.04051
infomap,173,7,0.01905,0.04762
infomap,174,9,0.05185,0.1296
infomap,175,9,0.02639,0.06597
infomap,176,14,0.002747,0.006868
infomap,177,9,0,0
infomap,178,9,0,0
infomap,179,12,0.009091,0.02273
infomap,180,6,0,0
infomap,181,7,0.009524,0.02381
infomap,182,7,0,0
infomap,183,10,0.005556,0.01389
infomap,184,23,0.01739,0.04348
infomap,185,14,0.02766,0.06914
infomap,186,6,0,0
infomap,187,12,0.01894,0.04735
infomap,188,11,0.006061,0.01515
infomap,189,7,0.009524,0.02381
infomap,190,7,0,0
infomap,191,13,0.008547,0.02137
infomap,192,18,0.01198,0.02996
infomap,193,5,0,0
infomap,194,9,0.01111,0.02778
infomap,195,22,0.029,0.07251
infomap,196,17,0.02659,0.06648
infomap,197,8,0.03571,0.08929
infomap,198,8,0.0119,0.02976
infomap,199,3,0,0
infomap,200,8,0.03214,0.08036
infomap,201,9,0.02315,0.05787
infomap,202,4,0,0
infomap,203,11,0.004545,0.01136
infomap,204,6,0.05556,0.1389
infomap,205,7,0,0
infomap,206,4,0,0
infomap,207,5,0,0
infomap,208,6,0,0
infomap,209,12,0.03737,0.09343
infomap,210,4,0.05556,0.1389
infomap,211,9,0.04676,0.1169
infomap,212,7,0.009524,0.02381
infomap,213,11,0.009091,0.02273
infomap,214,18,0.02985,0.07462
infomap,215,10,0.005556,0.01389
infomap,216,12,0.02904,0.0726
infomap,217,5,0.06667,0.1667
infomap,218,3,0.2222,0.5556
infomap,219,9,0.03009,0.07523
infomap,220,11,0.01697,0.04242
infomap,221,2,0,0
infomap,222,8,0.02083,0.05208
infomap,223,6,0,0
infomap,224,4,0.03333,0.08333
infomap,225,12,0.01793,0.04482
infomap,226,6,0,0
infomap,227,8,0.0119,0.02976
infomap,228,5,0,0
infomap,229,9,0.05741,0.1435
infomap,230,4,0,0
infomap,231,13,0.01603,0.04006
infomap,232,6,0.01667,0.04167
infomap,233,14,0.02363,0.05907
infomap,234,9,0.03241,0.08102
infomap,235,8,0.007143,0.01786
infomap,236,8,0.0119,0.02976
infomap,237,9,0,0
infomap,238,4,0.08333,0.2083
infomap,239,7,0.02857,0.07143
infomap,240,7,0.02778,0.06944
infomap,241,7,0.01587,0.03968
infomap,242,8,0.007143,0.01786
infomap,243,12,0.01515,0.03788
infomap,244,8,0.06667,0.1667
infomap,245,2,0,0
infomap,246,8,0.02976,0.0744
infomap,247,10,0.004444,0.01111
infomap,248,12,0.02576,0.06439
infomap,249,3,0,0
infomap,250,7,0.0119,0.02976
infomap,251,2,0,0
infomap,252,9,0.005556,0.01389
infomap,253,5,0.02,0.05
infomap,254,7,0.0119,0.02976
infomap,255,3,0,0
infomap,256,4,0.125,0.3125
infomap,257,6,0,0
infomap,258,2,0,0
infomap,259,2,0,0
infomap,260,11,0.02424,0.06061
infomap,261,4,0,0
infomap,262,5,0.02,0.05
infomap,263,6,0.02667,0.06667
infomap,264,5,0.045,0.1125
infomap,265,4,0,0
infomap,266,8,0.01786,0.04464
infomap,267,5,0,0
infomap,268,3,0,0
infomap,269,5,0.02,0.05
infomap,270,3,0,0
infomap,271,2,0,0
infomap,272,3,0,0
infomap,273,3,0,0
infomap,274,7,0,0
infomap,275,3,0.06667,0.1667
infomap,276,6,0,0
infomap,277,4,0,0
infomap,278,2,0.4,1
infomap,279,2,0,0
infomap,280,3,0.1667,0.4167
infomap,281,2,0,0
