
-----------------------------------------
 alg    C     Cn     Crob     CrobScaled
----- ----- ------ --------- ------------
 wt     1    1737   0.1449      0.2897

 wt     2    208    0.09733     0.1947

 wt     3     3     0.06667     0.1333

 wt     4    135    0.08494     0.1699

 wt     5     42    0.1237      0.2473

 wt     6    129    0.09855     0.1971

 wt     7     38    0.1495      0.2989

 wt     8     20    0.1714      0.3428

 wt     9     28    0.1678      0.3356

 wt    10    245     0.123      0.246

 wt    11     14    0.1066      0.2132

 wt    12     2        0          0

 wt    13     44    0.1062      0.2124

 wt    14    423    0.1283      0.2565

 wt    15     33    0.2767      0.5533

 wt    16     44     0.12        0.24

 wt    17     31    0.1439      0.2879

 wt    18     7     0.0873      0.1746

 wt    19    283    0.1171      0.2341

 wt    20     18     0.159      0.3181

 wt    21     3        0          0

 wt    22     4     0.1083      0.2167

 wt    23     2        0          0

 wt    24     28    0.0601      0.1202

 wt    25     5     0.05833     0.1167

 wt    26     13    0.0985      0.197

 wt    27     3        0          0

 wt    28     3     0.3889      0.7778

 wt    29     4     0.1667      0.3333

 wt    30     5      0.105       0.21

 wt    31     9     0.02731    0.05463

 wt    32     7     0.3175      0.6349

 wt    33     2        0          0

 wt    34     7      0.123      0.246

 wt    35     7     0.1405      0.281

 wt    36     6     0.06333     0.1267

 wt    37     9     0.1056      0.2111

 wt    38     74     0.124      0.2479

 wt    39     4      0.25        0.5

 wt    40     4      0.125       0.25

 wt    41     5      0.025       0.05

 wt    42     3     0.1111      0.2222

 wt    43     8     0.2232      0.4464

 wt    44     3        0          0

 wt    45     2        0          0

 wt    46     4     0.03333    0.06667

 wt    47     9     0.1588      0.3176

 wt    48     2        0          0

 wt    49     2        0          0

 wt    50     18    0.1763      0.3525

 wt    51     2       0.5         1

 wt    52     5      0.08        0.16

 wt    53     5      0.125       0.25

 wt    54     16     0.101      0.2019

 wt    55     2       0.2        0.4

 wt    56     11    0.1252      0.2503

 wt    57     2        0          0

 wt    58     5     0.1417      0.2833

 wt    59     5      0.075       0.15

 wt    60     7     0.0754      0.1508

 wt    61     5     0.1933      0.3867

 wt    62     3     0.3056      0.6111

 wt    63     3     0.1667      0.3333

 wt    64     7     0.01587    0.03175

 wt    65     7     0.07143     0.1429

 wt    66     2        0          0

 wt    67     3       0.5         1

 wt    68     4     0.03333    0.06667

 wt    69     5     0.3283      0.6567

 wt    70     10    0.1911      0.3822

 wt    71     3        0          0

 wt    72     3     0.1333      0.2667

 wt    73     16    0.06458     0.1292

 wt    74     3      0.25        0.5

 wt    75     2        0          0

 wt    76     2        0          0

 wt    77     4     0.3333      0.6667

 wt    78     5      0.12        0.24

 wt    79     2       0.5         1

 wt    80     3     0.06667     0.1333

 wt    81     4     0.2417      0.4833

 wt    82     5      0.04        0.08

 wt    83     2        0          0

 wt    84     3     0.08333     0.1667

 wt    85     3        0          0

 wt    86     5      0.04        0.08

 wt    87     3     0.08333     0.1667

 wt    88     2       0.5         1

 wt    89     2        0          0

 wt    90     3     0.3167      0.6333

 wt    91     2      0.25        0.5

 wt    92     2        0          0

 wt    93     2        0          0

 wt    94     3        0          0

 wt    95     2       0.4        0.8

 wt    96     2        0          0

 wt    97     8     0.1518      0.3036

 wt    98     3     0.2667      0.5333

 wt    99     4     0.08333     0.1667

 wt    100    2        0          0

 wt    101    2        0          0

 wt    102    20    0.09965     0.1993

 wt    103    2       0.2        0.4

 wt    104    3     0.4444      0.8889

 wt    105    3     0.08333     0.1667

 wt    106    2        0          0

 wt    107    2        0          0

 wt    108    2        0          0

 wt    109    3      0.15        0.3

 wt    110    4     0.2667      0.5333

 wt    111    5      0.025       0.05

 wt    112    3        0          0

 wt    113    2       0.2        0.4

