alg,C,Cn,Crob,CrobScaled
sgG5,1,29,0.01437,0.1724
sgG5,2,36,0.01474,0.1768
sgG5,3,18,0.0122,0.1464
sgG5,4,44,0.01725,0.207
sgG5,5,36,0.01196,0.1435
sgG5,6,22,0.0114,0.1368
sgG5,7,6,0.02667,0.32
sgG5,8,17,0.006618,0.07941
sgG5,9,11,0.01182,0.1418
sgG5,10,36,0.0113,0.1356
sgG5,11,17,0.01017,0.1221
sgG5,12,21,0.02302,0.2762
sgG5,13,51,0.0129,0.1548
sgG5,14,28,0.01102,0.1323
sgG5,15,52,0.0163,0.1956
sgG5,16,43,0.01161,0.1393
sgG5,17,218,0.01163,0.1396
sgG5,18,45,0.01244,0.1493
sgG5,19,30,0.01031,0.1237
sgG5,20,36,0.01333,0.16
sgG5,21,37,0.01239,0.1486
sgG5,22,29,0.01962,0.2355
sgG5,23,27,0.01135,0.1362
sgG5,24,23,0.01067,0.1281
sgG5,25,83,0.01379,0.1654
sgG5,26,3,0,0
sgG5,27,4,0,0
sgG5,28,123,0.01268,0.1522
sgG5,29,8,0.0119,0.1429
sgG5,30,12,0.01364,0.1636
sgG5,31,34,0.007576,0.09091
sgG5,32,27,0.01192,0.143
sgG5,33,52,0.01126,0.1351
sgG5,34,47,0.01468,0.1761
sgG5,35,28,0.01168,0.1402
sgG5,36,68,0.01255,0.1507
sgG5,37,41,0.01079,0.1295
sgG5,38,70,0.01288,0.1545
sgG5,39,15,0.02333,0.28
sgG5,40,51,0.01393,0.1672
sgG5,41,40,0.01485,0.1782
sgG5,42,46,0.01174,0.1409
sgG5,43,34,0.01176,0.1412
sgG5,44,38,0.01091,0.1309
sgG5,45,57,0.01461,0.1753
sgG5,46,28,0.02341,0.281
sgG5,47,52,0.01116,0.1339
sgG5,48,40,0.01588,0.1905
sgG5,49,56,0.01317,0.1581
sgG5,50,11,0.03182,0.3818
sgG5,51,44,0.01372,0.1647
sgG5,52,97,0.01344,0.1613
sgG5,53,50,0.01785,0.2142
sgG5,54,7,0.0119,0.1429
sgG5,55,154,0.01385,0.1662
sgG5,56,36,0.01222,0.1467
sgG5,57,55,0.01072,0.1286
sgG5,58,37,0.02495,0.2994
sgG5,59,29,0.022,0.264
sgG5,60,37,0.01969,0.2363
sgG5,61,19,0.01686,0.2023
sgG5,62,7,0,0
sgG5,63,20,0.008684,0.1042
sgG5,64,25,0.01072,0.1287
sgG5,65,50,0.01227,0.1473
sgG5,66,45,0.0112,0.1343
sgG5,67,54,0.01648,0.1978
sgG5,68,37,0.01279,0.1535
sgG5,69,8,0,0
sgG5,70,89,0.01113,0.1335
sgG5,71,88,0.01394,0.1673
sgG5,72,87,0.01994,0.2393
sgG5,73,40,0.01199,0.1438
sgG5,74,29,0.0133,0.1596
sgG5,75,38,0.01169,0.1403
sgG5,76,50,0.01263,0.1515
sgG5,77,64,0.01806,0.2168
sgG5,78,90,0.01433,0.1719
sgG5,79,8,0.02143,0.2571
sgG5,80,93,0.01542,0.1851
sgG5,81,31,0.01197,0.1437
sgG5,82,30,0.01103,0.1324
sgG5,83,37,0.01131,0.1357
sgG5,84,46,0.01188,0.1426
sgG5,85,50,0.0106,0.1272
sgG5,86,35,0.01636,0.1963
sgG5,87,33,0.01035,0.1242
sgG5,88,78,0.01158,0.1389
sgG5,89,22,0.01602,0.1922
sgG5,90,4,0.08333,1
sgG5,91,41,0.009085,0.109
sgG5,92,100,0.01881,0.2257
sgG5,93,23,0.01054,0.1265
sgG5,94,32,0.00914,0.1097
sgG5,95,4,0,0
sgG5,96,19,0.01579,0.1895
sgG5,97,17,0.019,0.2279
sgG5,98,16,0.008611,0.1033
sgG5,99,42,0.01454,0.1744
sgG5,100,33,0.01326,0.1591
sgG5,101,30,0.009579,0.1149
sgG5,102,99,0.01295,0.1554
sgG5,103,49,0.01226,0.1471
sgG5,104,43,0.01357,0.1628
sgG5,105,30,0.01126,0.1352
sgG5,106,27,0.01097,0.1316
sgG5,107,40,0.01139,0.1367
sgG5,108,23,0.0191,0.2292
sgG5,109,29,0.009319,0.1118
sgG5,110,22,0.009019,0.1082
sgG5,111,36,0.01103,0.1324
sgG5,112,26,0.01041,0.1249
sgG5,113,15,0.01222,0.1467
sgG5,114,8,0.01607,0.1929
sgG5,115,18,0.01852,0.2222
sgG5,116,33,0.01474,0.1769
sgG5,117,18,0.01601,0.1922
sgG5,118,78,0.01554,0.1865
sgG5,119,59,0.01558,0.1869
