alg,C,Cn,Crob,CrobScaled
spectral,1,78,0.0567,0.2835
spectral,2,1,0,0
spectral,3,1,0,0
spectral,4,252,0.04318,0.2159
spectral,5,100,0.04264,0.2132
spectral,6,6,0.03,0.15
spectral,7,10,0.02296,0.1148
spectral,8,64,0.04361,0.218
spectral,9,85,0.04762,0.2381
spectral,10,293,0.04328,0.2164
spectral,11,2,0,0
spectral,12,156,0.04361,0.218
spectral,13,11,0.05364,0.2682
spectral,14,1,0,0
spectral,15,47,0.04732,0.2366
spectral,16,43,0.04638,0.2319
spectral,17,2,0,0
spectral,18,1,0,0
spectral,19,183,0.04453,0.2227
spectral,20,72,0.03862,0.1931
spectral,21,2,0,0
spectral,22,287,0.0424,0.212
spectral,23,32,0.04029,0.2014
spectral,24,31,0.05283,0.2642
spectral,25,2,0,0
spectral,26,4,0.04167,0.2083
spectral,27,1,0,0
spectral,28,1,0,0
spectral,29,240,0.04529,0.2265
spectral,30,8,0.05536,0.2768
spectral,31,1,0,0
spectral,32,2,0.2,1
spectral,33,1,0,0
spectral,34,106,0.04561,0.228
spectral,35,32,0.03088,0.1544
spectral,36,4,0.08333,0.4167
spectral,37,126,0.04555,0.2277
spectral,38,26,0.04897,0.2449
spectral,39,33,0.03434,0.1717
spectral,40,51,0.04642,0.2321
spectral,41,4,0.06667,0.3333
spectral,42,2,0,0
spectral,43,271,0.0419,0.2095
spectral,44,1,0,0
spectral,45,1,0,0
spectral,46,1,0,0
spectral,47,122,0.04352,0.2176
spectral,48,1,0,0
spectral,49,1,0,0
spectral,50,1,0,0
spectral,51,2,0,0
spectral,52,309,0.04179,0.2089
spectral,53,2,0,0
spectral,54,8,0.0369,0.1845
spectral,55,1,0,0
spectral,56,126,0.04647,0.2324
spectral,57,93,0.04953,0.2476
spectral,58,18,0.04869,0.2435
spectral,59,1,0,0
spectral,60,1,0,0
spectral,61,1,0,0
spectral,62,57,0.05009,0.2505
spectral,63,87,0.04433,0.2217
spectral,64,33,0.03845,0.1922
spectral,65,1,0,0
spectral,66,1,0,0
spectral,67,1,0,0
spectral,68,1,0,0
spectral,69,1,0,0
spectral,70,43,0.04491,0.2245
spectral,71,82,0.0359,0.1795
spectral,72,2,0,0
spectral,73,159,0.03974,0.1987
spectral,74,34,0.02932,0.1466
spectral,75,1,0,0
spectral,76,34,0.04043,0.2022
spectral,77,465,0.04879,0.2439
spectral,78,1,0,0
spectral,79,1,0,0
spectral,80,1,0,0
spectral,81,5,0.03333,0.1667
spectral,82,1,0,0
spectral,83,1,0,0
spectral,84,1,0,0
spectral,85,1,0,0
spectral,86,1,0,0
spectral,87,2,0,0
spectral,88,1,0,0
spectral,89,1,0,0
spectral,90,1,0,0
spectral,91,1,0,0
spectral,92,1,0,0
spectral,93,1,0,0
spectral,94,12,0.04899,0.2449
spectral,95,1,0,0
spectral,96,1,0,0
spectral,97,1,0,0
spectral,98,28,0.05304,0.2652
spectral,99,408,0.04192,0.2096
spectral,100,3,0.1333,0.6667
spectral,101,1,0,0
