"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"GO:1905665",3026,5,78,5,Inf,NA,Inf,38.7948717948718,2.48685075608152,1.00180502690102e-08,6.54679585079815e-05,1,1,"5530, 5532, 5534, 5533, 9495"
"infomap",1,"GO:0070886",3026,7,78,5,4.61403488774834,2.9578197257101,6.27025004978658,27.7106227106227,2.48685075608152,2.01992896226815e-07,0.000660011788421117,0.999999998340082,1,"5530, 5532, 5534, 5533, 9495"
"infomap",1,"GO:0097720",3026,4,78,4,Inf,NA,Inf,38.7948717948718,1.98948060486522,4.09115512337145e-07,0.00066839246828081,1,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:1905949",3026,4,78,4,Inf,NA,Inf,38.7948717948718,1.98948060486522,4.09115512337145e-07,0.00066839246828081,1,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0007173",3026,18,78,6,3.01499009015841,2.0074862428099,4.02249393750691,12.9316239316239,2.98422090729783,3.50846025008178e-06,0.00458555754685689,0.999999853874365,1,"2885, 5747, 6714, 5335, 6654, 9185"
"infomap",1,"GO:0016191",3026,6,78,4,4.37728568437835,2.66427152245656,6.09029984630014,25.8632478632479,1.98948060486522,5.89872025870566e-06,0.00481851711133018,0.999999941102088,1,"6455, 6456, 6457, 8867"
"infomap",1,"GO:0033173",3026,6,78,4,4.37728568437835,2.66427152245656,6.09029984630014,25.8632478632479,1.98948060486522,5.89872025870566e-06,0.00481851711133018,0.999999941102088,1,"5530, 5532, 5534, 5533"
"infomap",1,"GO:0048010",3026,6,78,4,4.37728568437835,2.66427152245656,6.09029984630014,25.8632478632479,1.98948060486522,5.89872025870566e-06,0.00481851711133018,0.999999941102088,1,"2534, 5747, 5062, 6714"
"infomap",1,"GO:0007165",3026,251,78,19,1.327079652273,0.792968810059197,1.8611904944868,2.93666360200225,9.4500328731098,1.12204165676978e-05,0.00814726914110054,0.999997233410778,1,"6455, 1785, 1793, 2885, 6456, 6457, 1398, 5062, 6714, 27, 6654, 2017, 5532, 65059, 3706, 9590, 9495, 9901, 8506"
"infomap",1,"GO:0018108",3026,14,78,5,3.10757856036841,1.98994883043052,4.22520829030629,13.8553113553114,2.48685075608152,1.67046131039803e-05,0.0109164646634511,0.999999383668791,1,"2534, 5747, 3055, 6714, 27"
"infomap",1,"GO:0002862",3026,9,78,4,3.45997610371509,2.12508328097388,4.79486892645631,17.2421652421652,1.98948060486522,4.66986899210589e-05,0.0277432671485563,0.999998836324411,1,"2534, 3055, 6714, 5335"
"infomap",1,"GO:0038096",3026,11,78,4,3.1228240574144,1.87285616347198,4.37279195135683,14.1072261072261,1.98948060486522,0.000117575845578387,0.0640298459045634,0.999995903064389,1,"2534, 5747, 3055, 6714"
"infomap",1,"GO:0002223",3026,5,78,3,4.07618059159443,2.27233506824778,5.88002611494108,23.2769230769231,1.49211045364892,0.000158824201455916,0.0763179995939009,0.999997994494639,1,"2534, 5062, 6714"
"infomap",1,"GO:0010634",3026,12,78,4,2.98895258656861,1.76673321993258,4.21117195320464,12.9316239316239,1.98948060486522,0.000172922690389857,0.0763179995939009,0.999993117844045,1,"1793, 5747, 6714, 5335"
"infomap",1,"GO:0048488",3026,34,78,6,2.16222773529912,1.25001184053485,3.07444363006339,6.84615384615385,2.98422090729783,0.000182869694497907,0.0763179995939009,0.999982283053807,1,"273, 1759, 1785, 274, 8867, 8871"
"infomap",1,"GO:0030838",3026,22,78,5,2.46886406794039,1.44503214468753,3.49269599119324,8.81701631701632,2.48685075608152,0.000186853556771601,0.0763179995939009,0.99998701414987,1,"2885, 274, 51429, 3055, 2017"
"infomap",1,"GO:0048011",3026,6,78,3,3.67037598254938,2.05371508792202,5.28703687717673,19.3974358974359,1.49211045364892,0.000311749682653126,0.119840245655187,0.999994101279741,1,"6714, 1795, 6654"
"infomap",1,"GO:0007229",3026,25,78,5,2.30532107281292,1.29817824312481,3.31246390250103,7.75897435897436,2.48685075608152,0.000354797522508292,0.128811211643983,0.999971023252539,1,"1793, 5747, 3055, 6714, 8482"
"infomap",1,"GO:0006897",3026,71,78,8,1.65509175218114,0.882182084172762,2.42800142018953,4.37125315998555,3.97896120973044,0.00038853233607616,0.133634674539879,0.999935608278757,1,"273, 1759, 1785, 30011, 274, 10188, 51429, 9185"
"infomap",1,"GO:0097062",3026,7,78,3,3.38235429386068,1.8679370600803,4.89677152764105,16.6263736263736,1.49211045364892,0.00053544117708646,0.171512828216067,0.999986505643258,1,"2534, 2017, 3706"
"infomap",1,"GO:0030010",3026,16,78,4,2.58212600786213,1.42724276973226,3.737009245992,9.69871794871795,1.98948060486522,0.000587679140145484,0.171512828216067,0.999965002278126,1,"5747, 1398, 9826, 79585"
"infomap",1,"GO:0060988",3026,2,78,2,Inf,NA,Inf,38.7948717948718,0.99474030243261,0.000656131707023974,0.171512828216067,1,1,"274, 51429"
"infomap",1,"GO:0023057",3026,2,78,2,Inf,NA,Inf,38.7948717948718,0.99474030243261,0.000656131707023974,0.171512828216067,1,1,"5530, 5532"
"infomap",1,"GO:0014053",3026,2,78,2,Inf,NA,Inf,38.7948717948718,0.99474030243261,0.000656131707023974,0.171512828216067,1,1,"2550, 18"
"infomap",1,"GO:0150099",3026,2,78,2,Inf,NA,Inf,38.7948717948718,0.99474030243261,0.000656131707023974,0.171512828216067,1,1,"2550, 9568"
"infomap",1,"GO:0008360",3026,61,78,7,1.66464113264115,0.842828977055158,2.48645328822715,4.45187053383775,3.48159105851414,0.000820934593069418,0.196243562002801,0.999867551031779,1,"30011, 2534, 5747, 1398, 3055, 445815, 10154"
"infomap",1,"GO:0006836",3026,8,78,3,3.15887101093117,1.70925726880565,4.60848475305669,14.5480769230769,1.49211045364892,0.000840829339874283,0.196243562002801,0.999973539094227,1,"57030, 8867, 6506"
"infomap",1,"GO:1900182",3026,8,78,3,3.15887101093117,1.70925726880565,4.60848475305669,14.5480769230769,1.49211045364892,0.000840829339874283,0.196243562002801,0.999973539094227,1,"2534, 6714, 5532"
"infomap",1,"GO:0016477",3026,80,78,8,1.51843589945536,0.750470210349024,2.28640158856169,3.87948717948718,3.97896120973044,0.000877707957180709,0.197786948281929,0.999833841673575,1,"1793, 30011, 5747, 1398, 5335, 357, 84940, 79585"
"infomap",1,"GO:0007193",3026,18,78,4,2.42729389700339,1.29238295234731,3.56220484165947,8.62108262108262,1.98948060486522,0.000950020394230418,0.202959398253987,0.999934077539139,1,"2550, 9590, 9568, 9495"
"infomap",1,"GO:0006468",3026,122,78,10,1.31472840417486,0.624577187724385,2.00487962062534,3.17990752416982,4.97370151216305,0.000962776028442784,0.202959398253987,0.999772140348946,1,"8491, 10188, 2534, 5747, 5062, 3055, 6714, 27, 5532, 6792"
"infomap",1,"GO:0071560",3026,9,78,3,2.97620960706513,1.57145798784008,4.38096122629017,12.9316239316239,1.49211045364892,0.0012378946648509,0.245140655600018,0.999953301310079,1,"2534, 1398, 5062"
"infomap",1,"GO:1900242",3026,9,78,3,2.97620960706513,1.57145798784008,4.38096122629017,12.9316239316239,1.49211045364892,0.0012378946648509,0.245140655600018,0.999953301310079,1,"51429, 57030, 5532"
"infomap",1,"GO:0006898",3026,20,78,4,2.29308060868248,1.17338254874082,3.41277866862414,7.75897435897436,1.98948060486522,0.00144633661773662,0.270051708483109,0.999885446921556,1,"1759, 1785, 51429, 2017"
"infomap",1,"GO:0048013",3026,20,78,4,2.29308060868248,1.17338254874082,3.41277866862414,7.75897435897436,1.98948060486522,0.00144633661773662,0.270051708483109,0.999885446921556,1,"2534, 5747, 1398, 6714"
"infomap",1,"GO:0050804",3026,51,78,6,1.68193082446631,0.79857674380905,2.56528490512357,4.56410256410256,2.98422090729783,0.00172803788760699,0.313686877653102,0.999732013341118,1,"1759, 2534, 5530, 5335, 6792, 9590"
"infomap",1,"GO:0035332",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.324306070175205,0.999983509917416,1,"6714, 79585"
"infomap",1,"GO:0014911",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.324306070175205,0.999983509917416,1,"1398, 6714"
"infomap",1,"GO:0051057",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.324306070175205,0.999983509917416,1,"6714, 6654"
"infomap",1,"GO:0050900",3026,11,78,3,2.68784749378469,1.34127356958545,4.03442141798393,10.5804195804196,1.49211045364892,0.00234251900699948,0.382709042768539,0.999882424154422,1,"2534, 6714, 6654"
"infomap",1,"GO:0033602",3026,4,78,2,3.65747025673624,1.68428720038994,5.63065331308255,19.3974358974359,0.99474030243261,0.00380609692800937,0.606654717671738,0.999935267016201,1,"2550, 18"
"infomap",1,"GO:0061024",3026,13,78,3,2.46402343887158,1.15359517955048,3.77445169819267,8.95266272189349,1.49211045364892,0.00391196112021339,0.608682521918917,0.9997550933575,1,"1785, 8867, 8871"
"infomap",1,"GO:0007411",3026,42,78,5,1.68431250238711,0.721976091084555,2.64664891368966,4.61843711843712,2.48685075608152,0.00403366770689932,0.613023685222955,0.999394742980071,1,"2534, 5747, 6654, 23114, 8482"
"infomap",1,"GO:0046777",3026,43,78,5,1.65730067172486,0.696384685889785,2.61821665755994,4.51103160405486,2.48685075608152,0.00447373858975566,0.664451856455755,0.999310871002809,1,"5747, 5062, 3055, 6714, 6792"
"infomap",1,"GO:0010632",3026,5,78,2,3.25166564769119,1.44800682463964,5.05532447074274,15.5179487179487,0.99474030243261,0.006237612079045,0.769109338425643,0.999841175798544,1,"5747, 6714"
"infomap",1,"GO:0007172",3026,5,78,2,3.25166564769119,1.44800682463964,5.05532447074274,15.5179487179487,0.99474030243261,0.006237612079045,0.769109338425643,0.999841175798544,1,"5747, 6714"
"infomap",1,"GO:0033628",3026,5,78,2,3.25166564769119,1.44800682463964,5.05532447074274,15.5179487179487,0.99474030243261,0.006237612079045,0.769109338425643,0.999841175798544,1,"5747, 1398"
