"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"GO:0097352",3026,17,166,11,3.51918748468785,2.51140100577638,4.52697396359932,11.7951807228916,1.20794019451299,9.10576355930081e-11,5.95061648600308e-07,0.999999999997544,1,"7251, 81631, 25978, 7415, 128866, 64601, 27183, 27243, 84557, 65082, 79643"
"louvain",1,"GO:0006897",3026,71,166,20,2.02088384622557,1.47766618902656,2.56410150342459,5.13490582046496,2.19625489911453,3.91653921064505e-10,1.27972918707827e-06,0.999999999951069,1,"273, 1759, 1785, 2060, 58513, 30011, 10043, 5868, 9135, 29924, 51429, 3092, 4646, 287, 8301, 22905, 55040, 9026, 25977, 5878"
"louvain",1,"GO:0034058",3026,9,166,8,4.97507370097518,2.89001791978986,7.06012948216051,16.2034805890228,0.878501959645812,5.98548015752528e-10,1.30383709431426e-06,0.999999999996348,1,"55823, 27072, 64601, 57617, 23339, 27183, 23355, 65082"
"louvain",1,"GO:0048268",3026,10,166,8,4.28157668658274,2.72380324965309,5.83935012351238,14.5831325301205,0.878501959645812,2.85351479413982e-09,4.66192979492593e-06,0.999999999965194,1,"2060, 1213, 3092, 2580, 1211, 8301, 9026, 1175"
"louvain",1,"GO:0016236",3026,32,166,13,2.54198383875685,1.81799636465696,3.26597131285673,7.40549698795181,1.42756568442444,3.58098987901773e-09,4.68035377187617e-06,0.999999999740807,1,"10015, 7251, 81631, 25978, 7415, 128866, 27072, 27183, 27243, 84557, 51028, 9373, 79643"
"louvain",1,"GO:0006914",3026,54,166,16,2.0695684008299,1.46280097623588,2.67633582542392,5.40116019634092,1.75700391929162,1.12285544782488e-08,1.22297672525593e-05,0.999999998681389,1,"10133, 1213, 81631, 25978, 79735, 7415, 55823, 128866, 57617, 23339, 27183, 27243, 54472, 8887, 79643, 201475"
"louvain",1,"GO:0006886",3026,113,166,23,1.59944251452036,1.11162930613925,2.08725572290148,3.71031026761915,2.52569313398171,1.83834197416988e-08,1.71622354302859e-05,0.999999996489257,1,"23163, 5868, 164, 161, 1213, 1174, 163, 51429, 4646, 6396, 55823, 22872, 162, 1211, 26286, 64601, 57617, 23339, 22931, 1175, 5878, 1212, 65082"
"louvain",1,"GO:0043162",3026,12,166,8,3.58772947099245,2.37683764176498,4.79862130021992,12.1526104417671,0.878501959645812,2.85374710218575e-08,2.33115466409799e-05,0.999999999304287,1,"7251, 25978, 25930, 128866, 27183, 27243, 9373, 79643"
"louvain",1,"GO:0039702",3026,10,166,7,3.73592106039775,2.37399633162086,5.09784578917463,12.7602409638554,0.768689214690086,1.37962425750762e-07,9.0158445228123e-05,0.999999997146485,1,"10015, 7251, 25978, 128866, 27183, 27243, 79643"
"louvain",1,"GO:0035542",3026,10,166,7,3.73592106039775,2.37399633162086,5.09784578917463,12.7602409638554,0.768689214690086,1.37962425750762e-07,9.0158445228123e-05,0.999999997146485,1,"55823, 27072, 64601, 57617, 23339, 23355, 65082"
"louvain",1,"GO:0036258",3026,15,166,8,3.02706271081106,2.00009609183375,4.05402932978836,9.72208835341366,0.878501959645812,3.21644158810571e-07,0.000191085870711553,0.999999986292184,1,"10015, 7251, 25978, 128866, 27183, 27243, 51028, 79643"
"louvain",1,"GO:1905665",3026,5,166,5,Inf,NA,Inf,18.2289156626506,0.549063724778633,4.69061515680079e-07,0.000255443083747443,1,1,"5530, 5532, 5534, 5533, 9495"
"louvain",1,"GO:0061952",3026,8,166,6,3.9813158319241,2.37308051847658,5.58955114537161,13.671686746988,0.658876469734359,6.37837248600479e-07,0.000320635878431087,0.999999989893088,1,"10015, 25978, 128866, 27183, 27243, 79643"
"louvain",1,"GO:0072583",3026,17,166,8,2.77504702022932,1.80928005789954,3.74081398255911,8.57831325301205,0.878501959645812,1.10490925204471e-06,0.000481372130807477,0.999999939501649,1,"161, 1213, 163, 2580, 1211, 8301, 1175, 1212"
"louvain",1,"GO:0008333",3026,17,166,8,2.77504702022932,1.80928005789954,3.74081398255911,8.57831325301205,0.878501959645812,1.10490925204471e-06,0.000481372130807477,0.999999939501649,1,"7251, 55823, 27072, 64601, 57617, 23339, 65082, 201475"
