"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG2",1,"GO:0000226",3026,57,105,20,2.90909660282429,2.32391769002956,3.49427551561902,10.1119465329992,5.48934240362812,4.32823277904003e-16,2.82850012110266e-12,1,1,"5048, 23332, 4134, 23122, 166614, 2011, 157922, 10297, 3796, 4133, 57530, 203068, 55700, 23271, 57787, 5116, 55201, 9053, 256714, 4139"
"sgG2",1,"GO:1905515",3026,9,105,7,4.64679186067891,3.06245727886032,6.2311264424975,22.4148148148148,1.92126984126984,1.68976705801742e-09,5.52131386207191e-06,0.999999999985889,1,"1639, 22919, 55835, 5108, 1453, 80184, 22994"
"sgG2",1,"GO:0007020",3026,11,105,7,3.95295927913257,2.70808299231159,5.19783556595356,18.3393939393939,1.92126984126984,1.46224853849173e-08,3.18526473301449e-05,0.999999999755862,1,"10142, 23332, 81565, 55835, 23122, 57606, 1453"
"sgG2",1,"GO:0051301",3026,79,105,14,1.91098787666225,1.29693411589195,2.52504163743254,5.10717299578059,3.84253968253968,2.93019562859619e-07,0.000478720710821903,0.999999960096208,1,"10592, 1639, 22924, 10982, 23332, 4134, 22919, 55835, 11004, 23122, 3796, 203068, 3832, 57787"
"sgG2",1,"GO:0051225",3026,9,105,5,3.59628433519384,2.26645240239586,4.92611626799182,16.010582010582,1.37233560090703,5.16285281349489e-06,0.00562320718936485,0.999999883028503,1,"22924, 10982, 22919, 1453, 203068"
"sgG2",1,"GO:0007026",3026,9,105,5,3.59628433519384,2.26645240239586,4.92611626799182,16.010582010582,1.37233560090703,5.16285281349489e-06,0.00562320718936485,0.999999883028503,1,"23332, 23122, 10297, 9181, 23271"
"sgG2",1,"GO:0007052",3026,23,105,7,2.56254261743097,1.65181630857712,3.47326892628482,8.77101449275362,1.92126984126984,7.69220971120319e-06,0.00718122720895898,0.999999487526006,1,"23332, 4134, 23122, 3796, 3832, 5116, 55201"
"sgG2",1,"GO:0031116",3026,17,105,6,2.77465270646063,1.75994722792801,3.78935818499325,10.1714285714286,1.64680272108844,1.37269072653907e-05,0.011213167372416,0.999999274918467,1,"10142, 1639, 6249, 23332, 22919, 57606"
"sgG2",1,"GO:0071539",3026,6,105,4,4.0570230345728,2.34806086099767,5.76598520814793,19.2126984126984,1.09786848072562,1.94808382285307e-05,0.0127307277823448,0.999999732652731,1,"22919, 5108, 1453, 22994"
"sgG2",1,"GO:0031110",3026,6,105,4,4.0570230345728,2.34806086099767,5.76598520814793,19.2126984126984,1.09786848072562,1.94808382285307e-05,0.0127307277823448,0.999999732652731,1,"22924, 10982, 22919, 23122"
"sgG2",1,"GO:0060271",3026,37,105,8,2.10713831646863,1.29868210657919,2.91559452635808,6.23114543114543,2.19573696145125,2.69155382554349e-05,0.0159902765908424,0.99999713891089,1,"4218, 55835, 5108, 22832, 25814, 80184, 22994, 5116"
"sgG2",1,"GO:0090307",3026,12,105,5,3.03563956414585,1.87079866285245,4.20048046543924,12.0079365079365,1.37233560090703,2.98469208545979e-05,0.0162541356487331,0.999998818624717,1,"23332, 23122, 3796, 3832, 79884"
"sgG2",1,"GO:0031113",3026,8,105,4,3.36319045302646,1.96313594942542,4.7632449566275,14.4095238095238,1.09786848072562,8.61245458850861e-05,0.043294146719926,0.999997640414585,1,"22924, 157922, 4133, 23271"
"sgG2",1,"GO:0001578",3026,15,105,5,2.67793457719759,1.58604828093895,3.76982087345622,9.60634920634921,1.37233560090703,0.000104099156273811,0.0485919990178109,0.999994124120419,1,"6249, 23332, 22919, 57787, 55201"
"sgG2",1,"GO:0000132",3026,11,105,4,2.80254568197847,1.55813659775802,4.04695476619891,10.4796536796537,1.09786848072562,0.000374448405154572,0.132778854670464,0.999982097056467,1,"5048, 1639, 81565, 22919"
"sgG2",1,"GO:0090316",3026,11,105,4,2.80254568197847,1.55813659775802,4.04695476619891,10.4796536796537,1.09786848072562,0.000374448405154572,0.132778854670464,0.999982097056467,1,"5108, 80184, 22994, 5116"
"sgG2",1,"GO:0007099",3026,5,105,3,3.75948866567801,1.95940196066137,5.55957537069465,17.2914285714286,0.823401360544218,0.000386044106922541,0.132778854670464,0.999993328155744,1,"22995, 9738, 55835"
"sgG2",1,"GO:0034454",3026,5,105,3,3.75948866567801,1.95940196066137,5.55957537069465,17.2914285714286,0.823401360544218,0.000386044106922541,0.132778854670464,0.999993328155744,1,"1639, 5108, 55201"
"sgG2",1,"GO:0035372",3026,5,105,3,3.75948866567801,1.95940196066137,5.55957537069465,17.2914285714286,0.823401360544218,0.000386044106922541,0.132778854670464,0.999993328155744,1,"22924, 10982, 22919"
"sgG2",1,"GO:0034453",3026,6,105,3,3.35368091579846,1.74121512393563,4.96614670766129,14.4095238095238,0.823401360544218,0.000752607375616551,0.234204247602579,0.999980519161771,1,"23332, 5108, 23122"
"sgG2",1,"GO:0031023",3026,6,105,3,3.35368091579846,1.74121512393563,4.96614670766129,14.4095238095238,0.823401360544218,0.000752607375616551,0.234204247602579,0.999980519161771,1,"5048, 23332, 23122"
"sgG2",1,"GO:0051012",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"5048, 4134"
"sgG2",1,"GO:0051081",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"5048, 1639"
"sgG2",1,"GO:0051661",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"5048, 10142"
"sgG2",1,"GO:1903690",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"23332, 23122"
"sgG2",1,"GO:0035735",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"5108, 22994"
"sgG2",1,"GO:0007288",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"22994, 91978"
"sgG2",1,"GO:0046602",3026,2,105,2,Inf,NA,Inf,28.8190476190476,0.548934240362812,0.00119296674004359,0.278429915935173,1,1,"3832, 79884"
"sgG2",1,"GO:0007030",3026,36,105,6,1.76479997944766,0.865659915851687,2.66394004304362,4.8031746031746,1.64680272108844,0.00126200194902014,0.284385611615401,0.999819603012373,1,"4218, 23332, 23122, 1453, 5862, 57584"
"sgG2",1,"GO:1900181",3026,8,105,3,2.84216965607829,1.39723592072701,4.28710339142957,10.8071428571429,0.823401360544218,0.00200253544541499,0.4362189711929,0.999913875454115,1,"4140, 166614, 9201"
"sgG2",1,"GO:0060236",3026,9,105,3,2.65950510494038,1.25958345778709,4.05942675209366,9.60634920634921,0.823401360544218,0.00292835621795131,0.515287596283353,0.999849106099658,1,"1639, 55835, 79884"
"sgG2",1,"GO:0046785",3026,9,105,3,2.65950510494038,1.25958345778709,4.05942675209366,9.60634920634921,0.823401360544218,0.00292835621795131,0.515287596283353,0.999849106099658,1,"4134, 22919, 55835"
"sgG2",1,"GO:0140650",3026,3,105,2,4.03775708759264,1.62922792982498,6.4462862453603,19.2126984126984,0.548934240362812,0.00349763330596113,0.515287596283353,0.999959366542915,1,"5048, 81565"
"sgG2",1,"GO:0040001",3026,3,105,2,4.03775708759264,1.62922792982498,6.4462862453603,19.2126984126984,0.548934240362812,0.00349763330596113,0.515287596283353,0.999959366542915,1,"23332, 23122"
