"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",2,"GO:0006470",3026,40,100,12,2.64714144801522,1.93840067548085,3.35588222054959,9.078,3.6312,2.26502786900305e-09,1.4801957123935e-05,0.999999999853074,1,"5499, 5515, 5528, 5527, 5525, 5501, 5518, 5500, 5519, 5529, 5526, 5520"
"spectral",2,"GO:0006412",3026,98,100,15,1.7991734484663,1.20846408946249,2.3898828074701,4.63163265306122,4.539,4.06730804100174e-07,0.00132899290239732,0.999999937835114,1,"10987, 6137, 6224, 6122, 6156, 11224, 5610, 6217, 6209, 6125, 6207, 6164, 6205, 6222, 1917"
"spectral",2,"GO:0002181",3026,79,100,12,1.76110440824114,1.11112834804783,2.41108046843445,4.59645569620253,3.6312,7.10821861823701e-06,0.0154840695567263,0.999998891961979,1,"6137, 6224, 6122, 6156, 11224, 6217, 6209, 6125, 6207, 6164, 6205, 6222"
"spectral",2,"GO:0043153",3026,3,100,3,Inf,NA,Inf,30.26,0.9078,3.50497706743576e-05,0.0572625628392317,1,1,"5499, 5501, 5500"
"spectral",2,"GO:0005977",3026,8,100,4,3.41567540084281,2.01491439959575,4.81643640208986,15.13,1.2104,7.10319400142419e-05,0.0928387455986142,0.999998152422326,1,"5499, 5501, 2931, 5500"
"spectral",2,"GO:0032922",3026,16,100,5,2.63529084681978,1.55857726770808,3.71200442593148,9.45625,1.513,0.000116611565471727,0.123223821228794,0.999993132340789,1,"5499, 1454, 5501, 5500, 8473"
"spectral",2,"GO:0040008",3026,4,100,3,4.50495106983068,2.2327163054267,6.77718583423467,22.695,0.9078,0.000136825121974229,0.123223821228794,0.999998875346426,1,"5515, 5518, 5579"
"spectral",2,"GO:0042752",3026,26,100,6,2.22726525753429,1.29209858450226,3.16243193056631,6.98307692307692,1.8156,0.000150847830119411,0.123223821228794,0.999986302316198,1,"1642, 5499, 1454, 5501, 5500, 57805"
"spectral",2,"GO:2001241",3026,5,100,3,3.81146195047445,2.01083670525152,5.61208719569738,18.156,0.9078,0.000333842264629506,0.24240657770598,0.999994519639796,1,"5499, 5518, 5519"
"spectral",2,"GO:0051966",3026,21,100,5,2.25888065875932,1.23409871502988,3.28366260248876,7.2047619047619,1.513,0.000476137599290744,0.290626467438394,0.999959328252449,1,"2917, 1020, 120892, 2913, 2914"
"spectral",2,"GO:0006974",3026,44,100,7,1.77105844372407,0.93723334972621,2.60488353772193,4.81409090909091,2.1182,0.000489195278014129,0.290626467438394,0.999928890804068,1,"1642, 4137, 8924, 3014, 57805, 8451, 57551"
"spectral",2,"GO:0006468",3026,122,100,12,1.25016218679531,0.617646795917769,1.88267757767285,2.97639344262295,3.6312,0.0005503394296476,0.299705681062255,0.999858754830259,1,"1020, 1454, 2931, 1452, 22853, 120892, 5610, 9318, 5579, 57551, 4139, 9024"
"spectral",2,"GO:0035307",3026,13,100,4,2.60303256218356,1.40780117010907,3.79826395425804,9.31076923076923,1.2104,0.000638331269955234,0.320884219165958,0.999962805785326,1,"5528, 5525, 5524, 5510"
"spectral",2,"GO:0005979",3026,2,100,2,Inf,NA,Inf,30.26,0.6052,0.00108153578080875,0.371991385662377,1,1,"5499, 5500"
"spectral",2,"GO:0005981",3026,2,100,2,Inf,NA,Inf,30.26,0.6052,0.00108153578080875,0.371991385662377,1,1,"5499, 5500"
"spectral",2,"GO:0019932",3026,2,100,2,Inf,NA,Inf,30.26,0.6052,0.00108153578080875,0.371991385662377,1,1,"5515, 5518"
"spectral",2,"GO:0042532",3026,2,100,2,Inf,NA,Inf,30.26,0.6052,0.00108153578080875,0.371991385662377,1,1,"5515, 5518"
"spectral",2,"GO:1904373",3026,2,100,2,Inf,NA,Inf,30.26,0.6052,0.00108153578080875,0.371991385662377,1,1,"1965, 84687"
"spectral",2,"GO:0010842",3026,2,100,2,Inf,NA,Inf,30.26,0.6052,0.00108153578080875,0.371991385662377,1,1,"54806, 793"
"spectral",2,"GO:0016579",3026,16,100,4,2.3143215066192,1.16459618058432,3.46404683265408,7.565,1.2104,0.00150508156004543,0.491785399744843,0.999883388434528,1,"10987, 9958, 8237, 7345"
"spectral",2,"GO:0007196",3026,8,100,3,2.89414470011837,1.44854011272813,4.33974928750861,11.3475,0.9078,0.00173830374833808,0.540943571209018,0.999928968059986,1,"2917, 2913, 2914"
"spectral",2,"GO:0048511",3026,28,100,5,1.89356676892904,0.905079387929117,2.88205414992896,5.40357142857143,1.513,0.0019131849473688,0.568302892320688,0.999766069636717,1,"1642, 1020, 57805, 8451, 116443"
"spectral",2,"GO:0021987",3026,29,100,5,1.85066262392975,0.86570153936385,2.83562370849564,5.21724137931034,1.513,0.00225194384619039,0.613185543118925,0.999712857766975,1,"221692, 347733, 3014, 2890, 84687"
"spectral",2,"GO:0018107",3026,29,100,5,1.85066262392975,0.86570153936385,2.83562370849564,5.21724137931034,1.513,0.00225194384619039,0.613185543118925,0.999712857766975,1,"1460, 1020, 2931, 22853, 120892"
"spectral",2,"GO:0021954",3026,9,100,3,2.711480736199,1.31086667795537,4.11209479444263,10.0866666666667,0.9078,0.00254514618573271,0.660399693865903,0.999875381126451,1,"1020, 4137, 57551"
"spectral",2,"GO:0007049",3026,58,100,7,1.44529297640918,0.628733593526681,2.26185235929168,3.65206896551724,2.1182,0.00262745096258814,0.660399693865903,0.999475651675764,1,"5499, 2580, 5501, 1452, 5500, 57805, 79187"
"spectral",2,"GO:0033673",3026,3,100,2,4.08922946155533,1.68030576672368,6.49815315638698,20.1733333333333,0.6052,0.00317450780107753,0.746251643299982,0.999964950229326,1,"10935, 4137"
"spectral",2,"GO:0018105",3026,60,100,7,1.40613080132923,0.591313223813334,2.22094837884512,3.53033333333333,2.1182,0.00319740566371836,0.746251643299982,0.99933730088508,1,"1020, 1454, 1452, 22853, 120892, 5579, 4139"
"spectral",2,"GO:0010288",3026,10,100,3,2.55698753196353,1.18941540436259,3.92455965956447,9.078,0.9078,0.00354916243909369,0.762910382799285,0.999797558405443,1,"5499, 5515, 4137"
"spectral",2,"GO:0016055",3026,46,100,6,1.52721197217793,0.644882176974252,2.40954176738161,3.94695652173913,1.8156,0.00359312956378676,0.762910382799285,0.999352783638048,1,"1460, 1642, 2931, 1452, 57805, 4139"
"spectral",2,"GO:0032436",3026,20,100,4,2.02526580757781,0.910888490811308,3.13964312434431,6.052,1.2104,0.00361900870187878,0.762910382799285,0.999627544746362,1,"1454, 2931, 1452, 120892"
"spectral",2,"GO:0051301",3026,79,100,8,1.25180020967959,0.491925790338122,2.01167462902106,3.06430379746835,2.4208,0.0040247659471392,0.821932670767334,0.999014365316939,1,"5499, 1020, 5501, 1452, 5500, 55844, 79187, 9024"
"spectral",3,"GO:0050877",3026,8,51,6,5.28927662189589,3.66209263772136,6.91646060607041,44.5,6.98039215686275,4.63197939128877e-10,3.02699853220721e-06,0.999999999998002,1,"2561, 2560, 2562, 2554, 2566, 2555"
"spectral",3,"GO:1902476",3026,22,51,7,3.44661486135295,2.50135638061152,4.39187334209438,18.8787878787879,8.1437908496732,3.55758391998473e-08,0.000116244054585501,0.999999999014078,1,"2561, 2560, 2562, 2554, 2566, 2555, 80727"
"spectral",3,"GO:1904862",3026,8,51,5,4.67917463311455,3.21846967509291,6.13987959113618,37.0833333333333,5.81699346405229,6.00783626624695e-08,0.000123628069216488,0.999999999536802,1,"2561, 2562, 2554, 2566, 2555"
"spectral",3,"GO:0007214",3026,15,51,6,3.78284192481939,2.70870263571054,4.85698121392825,23.7333333333333,6.98039215686275,7.56713507063428e-08,0.000123628069216488,0.999999998531337,1,"2561, 2560, 2562, 2554, 2566, 2555"
"spectral",3,"GO:0071420",3026,6,51,4,4.84032640184798,3.11863295264999,6.56201985104598,39.5555555555556,4.65359477124183,1.048530409975e-06,0.00137042924583733,0.999999993396535,1,"2561, 2560, 2562, 2566"
"spectral",3,"GO:0051932",3026,13,51,5,3.69666159455599,2.5419634438057,4.85135974530628,22.8205128205128,5.81699346405229,1.2953607433858e-06,0.00141086374300437,0.999999973379809,1,"2561, 2562, 2554, 2566, 2555"
"spectral",3,"GO:0071681",3026,3,51,3,Inf,NA,Inf,59.3333333333333,3.49019607843137,4.51398561715211e-06,0.00368736200101113,1,1,"1495, 3728, 1499"
"spectral",3,"GO:0070849",3026,3,51,3,Inf,NA,Inf,59.3333333333333,3.49019607843137,4.51398561715211e-06,0.00368736200101113,1,1,"5594, 5595, 7175"
"spectral",3,"GO:0060078",3026,22,51,5,2.93985181515953,1.90105047254647,3.9786531577726,13.4848484848485,5.81699346405229,2.363036166543e-05,0.0171582681648428,0.999998969003222,1,"2561, 2560, 2554, 2566, 2555"
"spectral",3,"GO:0060440",3026,5,51,3,4.53159092019837,2.71977999478005,6.34340184561669,35.6,3.49019607843137,4.40714304974632e-05,0.0288006798300922,0.999999646087553,1,"1499, 5594, 5595"
"spectral",3,"GO:0070371",3026,8,51,3,3.61429059712286,2.1547769333704,5.07380426087533,22.25,3.49019607843137,0.000238101422790674,0.121366886433281,0.999995227786809,1,"5594, 5595, 3685"
"spectral",3,"GO:0002159",3026,2,51,2,Inf,NA,Inf,59.3333333333333,2.32679738562092,0.000278577398087102,0.121366886433281,1,1,"3728, 5578"
"spectral",3,"GO:0003340",3026,2,51,2,Inf,NA,Inf,59.3333333333333,2.32679738562092,0.000278577398087102,0.121366886433281,1,1,"1499, 6772"
"spectral",3,"GO:0030278",3026,2,51,2,Inf,NA,Inf,59.3333333333333,2.32679738562092,0.000278577398087102,0.121366886433281,1,1,"5594, 5595"
"spectral",3,"GO:0061308",3026,2,51,2,Inf,NA,Inf,59.3333333333333,2.32679738562092,0.000278577398087102,0.121366886433281,1,1,"5594, 5595"
"spectral",3,"GO:0036376",3026,9,51,3,3.43163228329592,2.01666682894568,4.84659773764617,19.7777777777778,3.49019607843137,0.00035291052691759,0.144141893337903,0.999991516785463,1,"476, 481, 8671"
"spectral",3,"GO:0007405",3026,10,51,3,3.27714473299218,1.89487811388814,4.65941135209621,17.8,3.49019607843137,0.000498173752987732,0.191503851516167,0.999986037000579,1,"1495, 1499, 10818"
"spectral",3,"GO:0007268",3026,87,51,7,1.75043427047027,0.922511527421987,2.57835701351854,4.77394636015326,8.1437908496732,0.000527777875581218,0.19161268982907,0.999921697346716,1,"2561, 5582, 1499, 5594, 2560, 2562, 9097"
"spectral",3,"GO:0048538",3026,11,51,3,3.1432763563712,1.78605071465405,4.50050199808836,16.1818181818182,3.49019607843137,0.000676862933597885,0.225104670728394,0.999978330728639,1,"1499, 5594, 5595"
"spectral",3,"GO:0042391",3026,26,51,4,2.43568118779544,1.33202577673845,3.53933659885242,9.12820512820513,4.65359477124183,0.000814168181260413,0.225104670728394,0.999943907725433,1,"2561, 2560, 2562, 8671"
"spectral",3,"GO:0060384",3026,3,51,2,4.79899000946942,2.38194807182911,7.21603194710973,39.5555555555556,2.32679738562092,0.000826704223027002,0.225104670728394,0.999995486014383,1,"2561, 5582"
"spectral",3,"GO:0120041",3026,3,51,2,4.79899000946942,2.38194807182911,7.21603194710973,39.5555555555556,2.32679738562092,0.000826704223027002,0.225104670728394,0.999995486014383,1,"5594, 5595"
"spectral",3,"GO:0042473",3026,3,51,2,4.79899000946942,2.38194807182911,7.21603194710973,39.5555555555556,2.32679738562092,0.000826704223027002,0.225104670728394,0.999995486014383,1,"5594, 5595"
"spectral",3,"GO:0072584",3026,3,51,2,4.79899000946942,2.38194807182911,7.21603194710973,39.5555555555556,2.32679738562092,0.000826704223027002,0.225104670728394,0.999995486014383,1,"5594, 5595"
"spectral",3,"GO:0098609",3026,47,51,5,2.02690796663909,1.05499773655207,2.9988181967261,6.31205673758865,5.81699346405229,0.00100123294043592,0.261722290629948,0.999892412683197,1,"1495, 23513, 3728, 1499, 3685"
"spectral",3,"GO:0045785",3026,13,51,3,2.919458496198,1.59808711921581,4.24082987318019,13.6923076923077,3.49019607843137,0.00114558161313,0.287937532377097,0.999954208738321,1,"708, 5578, 3685"
"spectral",3,"GO:0086013",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"476, 481"
"spectral",3,"GO:0002053",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"1499, 6772"
"spectral",3,"GO:0010759",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"5594, 5595"
"spectral",3,"GO:0090170",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"5594, 5595"
"spectral",3,"GO:0030641",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"5594, 5595"
"spectral",3,"GO:0043330",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"5594, 5595"
"spectral",3,"GO:0060425",3026,4,51,2,4.10550652488747,2.1252812440675,6.08573180570744,29.6666666666667,2.32679738562092,0.00163556752638687,0.323891932876916,0.999982159080333,1,"5594, 5595"
"spectral",3,"GO:0051973",3026,15,51,3,2.73646217554578,1.4395440887749,4.03338026231667,11.8666666666667,3.49019607843137,0.00177961679054433,0.342052815476682,0.99991473687522,1,"1499, 5594, 5595"
"spectral",3,"GO:0042475",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"1495, 1499"
"spectral",3,"GO:0071276",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"5594, 5595"
"spectral",3,"GO:0030388",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"5213, 5211"
"spectral",3,"GO:0060070",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"3728, 1499"
"spectral",3,"GO:0120183",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"1845, 9922"
"spectral",3,"GO:0050764",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"5582, 3685"
"spectral",3,"GO:0001702",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"1499, 10818"
"spectral",3,"GO:0010248",3026,5,51,2,3.69970499961886,1.88834475634567,5.51106524289205,23.7333333333333,2.32679738562092,0.00269656492364648,0.419572661334042,0.999955928569503,1,"476, 481"
"spectral",3,"GO:0032212",3026,18,51,3,2.51230562397611,1.24031066676474,3.78430058118749,9.88888888888889,3.49019607843137,0.00307971456936613,0.468044993274597,0.999815884996883,1,"1499, 5594, 5595"
"spectral",3,"GO:0042127",3026,19,51,3,2.44742920792065,1.18174167021183,3.71311674562947,9.36842105263158,3.49019607843137,0.0036139757925271,0.522969938777166,0.999769678620826,1,"5321, 3728, 6772"
"spectral",3,"GO:0097192",3026,6,51,2,3.41168639679204,1.6909618306139,5.13241096297017,19.7777777777778,2.32679738562092,0.00400130022017724,0.522969938777166,0.999912905669415,1,"1495, 3685"
"spectral",3,"GO:0032872",3026,6,51,2,3.41168639679204,1.6909618306139,5.13241096297017,19.7777777777778,2.32679738562092,0.00400130022017724,0.522969938777166,0.999912905669415,1,"5594, 5595"
"spectral",3,"GO:0043409",3026,6,51,2,3.41168639679204,1.6909618306139,5.13241096297017,19.7777777777778,2.32679738562092,0.00400130022017724,0.522969938777166,0.999912905669415,1,"5037, 1845"
"spectral",3,"GO:0031663",3026,6,51,2,3.41168639679204,1.6909618306139,5.13241096297017,19.7777777777778,2.32679738562092,0.00400130022017724,0.522969938777166,0.999912905669415,1,"5594, 5595"
"spectral",3,"GO:2000641",3026,6,51,2,3.41168639679204,1.6909618306139,5.13241096297017,19.7777777777778,2.32679738562092,0.00400130022017724,0.522969938777166,0.999912905669415,1,"5594, 5595"
"spectral",3,"GO:0006002",3026,6,51,2,3.41168639679204,1.6909618306139,5.13241096297017,19.7777777777778,2.32679738562092,0.00400130022017724,0.522969938777166,0.999912905669415,1,"5213, 5211"
"spectral",3,"GO:0034614",3026,20,51,3,2.38646657697475,1.12637060737437,3.64656254657512,8.9,3.49019607843137,0.0042015596698982,0.538376322407543,0.999715666179242,1,"5594, 5595, 25824"
"spectral",3,"GO:0030878",3026,7,51,2,3.18820620181196,1.52423100127156,4.85218140235236,16.952380952381,2.32679738562092,0.00554157912057178,0.556264896152549,0.999849397030809,1,"5594, 5595"
"spectral",3,"GO:0060324",3026,7,51,2,3.18820620181196,1.52423100127156,4.85218140235236,16.952380952381,2.32679738562092,0.00554157912057178,0.556264896152549,0.999849397030809,1,"5594, 5595"
"spectral",3,"GO:0055119",3026,7,51,2,3.18820620181196,1.52423100127156,4.85218140235236,16.952380952381,2.32679738562092,0.00554157912057178,0.556264896152549,0.999849397030809,1,"476, 481"
"spectral",3,"GO:1904355",3026,7,51,2,3.18820620181196,1.52423100127156,4.85218140235236,16.952380952381,2.32679738562092,0.00554157912057178,0.556264896152549,0.999849397030809,1,"5594, 5595"
"spectral",3,"GO:0046676",3026,7,51,2,3.18820620181196,1.52423100127156,4.85218140235236,16.952380952381,2.32679738562092,0.00554157912057178,0.556264896152549,0.999849397030809,1,"3033, 5211"
"spectral",3,"GO:0086009",3026,7,51,2,3.18820620181196,1.52423100127156,4.85218140235236,16.952380952381,2.32679738562092,0.00554157912057178,0.556264896152549,0.999849397030809,1,"476, 481"
"spectral",3,"GO:0045931",3026,8,51,2,3.00554788798502,1.38050617457028,4.63058960139977,14.8333333333333,2.32679738562092,0.00730940501983214,0.556264896152549,0.999761898577209,1,"1845, 5578"
"spectral",3,"GO:0060020",3026,8,51,2,3.00554788798502,1.38050617457028,4.63058960139977,14.8333333333333,2.32679738562092,0.00730940501983214,0.556264896152549,0.999761898577209,1,"5594, 5595"
"spectral",3,"GO:0051403",3026,8,51,2,3.00554788798502,1.38050617457028,4.63058960139977,14.8333333333333,2.32679738562092,0.00730940501983214,0.556264896152549,0.999761898577209,1,"5594, 5595"
