"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"GO:0045333",3026,18,41,8,4.27834820519904,3.28735707742353,5.26933933297455,32.8021680216802,14.4009518143962,2.19492740202732e-11,1.43438505722485e-07,0.99999999999973,1,"1345, 7385, 1327, 1329, 4697, 1340, 10165, 9377"
"wt",1,"GO:0006123",3026,9,41,6,5.13814861439522,3.71271946395988,6.56357776483055,49.2032520325203,10.8007138607971,3.45468002712614e-10,1.12881669886347e-06,0.999999999998267,1,"1345, 1327, 1329, 4697, 1340, 9377"
"wt",1,"GO:1902600",3026,52,41,10,3.118113018459,2.3429649151882,3.8932611217298,14.1932457786116,18.0011897679952,6.82900720286156e-10,1.48758540235668e-06,0.999999999972696,1,"1327, 513, 1329, 10632, 8604, 1340, 514, 10165, 7386, 9377"
"wt",1,"GO:0007007",3026,14,41,6,4.15564122707458,3.04590382873629,5.26537862541287,31.6306620209059,10.8007138607971,1.17488804159909e-08,1.91947333796251e-05,0.999999999842737,1,"25813, 10651, 4976, 139322, 345778, 84303"
"wt",1,"GO:0045039",3026,9,41,4,4.16561711554102,2.8114250484605,5.51980918262153,32.8021680216802,7.2004759071981,3.48401672770689e-06,0.0045536098631129,0.999999956945507,1,"51079, 1678, 26517, 9868"
"wt",1,"GO:0045040",3026,10,41,4,3.98295993196089,2.6769035572401,5.28901630668168,29.5219512195122,7.2004759071981,5.74985861484614e-06,0.00536790372114565,0.999999914746103,1,"10452, 25813, 10651, 9868"
"wt",1,"GO:0042407",3026,10,41,4,3.98295993196089,2.6769035572401,5.28901630668168,29.5219512195122,7.2004759071981,5.74985861484614e-06,0.00536790372114565,0.999999914746103,1,"10939, 25813, 139322, 84303"
"wt",1,"GO:0042776",3026,49,41,6,2.46205619320646,1.54517453239497,3.37893785401795,9.03733200597312,10.8007138607971,3.85513353603129e-05,0.0314916220724556,0.999997219847366,1,"51079, 513, 10632, 4728, 4702, 514"
"wt",1,"GO:0007005",3026,32,41,5,2.72235075124441,1.71308799658594,3.73161350590288,11.532012195122,9.00059488399762,5.4699374110612e-05,0.0397178233125388,0.99999703844363,1,"10651, 4976, 83858, 10730, 345778"
"wt",1,"GO:0036444",3026,2,41,2,Inf,NA,Inf,73.8048780487805,3.60023795359905,0.00017916350308347,0.0975694577208728,1,1,"10939, 10367"
"wt",1,"GO:0009066",3026,2,41,2,Inf,NA,Inf,73.8048780487805,3.60023795359905,0.00017916350308347,0.0975694577208728,1,1,"8604, 10165"
"wt",1,"GO:0072337",3026,2,41,2,Inf,NA,Inf,73.8048780487805,3.60023795359905,0.00017916350308347,0.0975694577208728,1,1,"8604, 10165"
"wt",1,"GO:0009060",3026,42,41,5,2.40388331464299,1.41385237628906,3.39391425299693,8.7862950058072,9.00059488399762,0.000209129126168855,0.105127603039497,0.999984488378097,1,"51079, 7385, 513, 4728, 4702"
"wt",1,"GO:0033108",3026,3,41,2,5.03060549575395,2.60940951781942,7.45180147368849,49.2032520325203,3.60023795359905,0.000532869228416906,0.21764377548153,0.999997689359583,1,"9131, 25813"
"wt",1,"GO:0015810",3026,3,41,2,5.03060549575395,2.60940951781942,7.45180147368849,49.2032520325203,3.60023795359905,0.000532869228416906,0.21764377548153,0.999997689359583,1,"8604, 10165"
"wt",1,"GO:0043490",3026,3,41,2,5.03060549575395,2.60940951781942,7.45180147368849,49.2032520325203,3.60023795359905,0.000532869228416906,0.21764377548153,0.999997689359583,1,"8604, 10165"
"wt",1,"GO:0006626",3026,15,41,3,2.97344630215182,1.6684353572524,4.27845724705125,14.7609756097561,5.40035693039857,0.000938600464055168,0.345238505528819,0.999964418782096,1,"10452, 26517, 9868"
"wt",1,"GO:0034982",3026,4,41,2,4.3371231383851,2.35182960967326,6.32241666709695,36.9024390243902,3.60023795359905,0.00105658303145775,0.345238505528819,0.999990844574624,1,"10939, 10730"
"wt",1,"GO:0015804",3026,4,41,2,4.3371231383851,2.35182960967326,6.32241666709695,36.9024390243902,3.60023795359905,0.00105658303145775,0.345238505528819,0.999990844574624,1,"8604, 10165"
"wt",1,"GO:0070778",3026,4,41,2,4.3371231383851,2.35182960967326,6.32241666709695,36.9024390243902,3.60023795359905,0.00105658303145775,0.345238505528819,0.999990844574624,1,"8604, 10165"
"wt",1,"GO:0015986",3026,17,41,3,2.81862267478907,1.53125283561139,4.10599251396676,13.0243902439024,5.40035693039857,0.00137654412013504,0.428367420242023,0.999939168334623,1,"513, 10632, 514"
"wt",1,"GO:0006839",3026,5,41,2,3.93132274108687,2.11442314002283,5.74822234215092,29.5219512195122,3.60023795359905,0.00174585648147797,0.49605096115037,0.999977327143573,1,"10651, 10165"
"wt",1,"GO:0051560",3026,5,41,2,3.93132274108687,2.11442314002283,5.74822234215092,29.5219512195122,3.60023795359905,0.00174585648147797,0.49605096115037,0.999977327143573,1,"10939, 10367"
"wt",1,"GO:0030150",3026,7,41,2,3.41982620149565,1.74982270101448,5.08982970197681,21.0871080139373,3.60023795359905,0.00360370878178581,0.905778341883472,0.999922132843497,1,"10452, 9868"
"wt",1,"GO:0006122",3026,7,41,2,3.41982620149565,1.74982270101448,5.08982970197681,21.0871080139373,3.60023795359905,0.00360370878178581,0.905778341883472,0.999922132843497,1,"7385, 7386"
"wt",1,"GO:0008053",3026,7,41,2,3.41982620149565,1.74982270101448,5.08982970197681,21.0871080139373,3.60023795359905,0.00360370878178581,0.905778341883472,0.999922132843497,1,"10939, 4976"
"wt",2,"GO:0006413",3026,28,54,10,3.61893916427094,2.79057222440374,4.44730610413815,20.0132275132275,10.3772290809328,1.41250479832322e-11,9.23071885704221e-08,0.999999999999657,1,"10605, 1975, 1981, 1973, 8661, 1982, 1977, 7458, 8663, 8672"
"wt",2,"GO:0006446",3026,15,54,6,3.71729142855751,2.64563804791716,4.78894480919786,22.4148148148148,6.22633744855967,1.07680905624494e-07,0.000351847359128035,0.999999997769166,1,"10605, 1975, 1981, 1982, 7458, 8672"
"wt",2,"GO:0045727",3026,34,54,5,2.33750653257047,1.34730741107534,3.32770565406561,8.24074074074074,5.18861454046639,0.000281610779387869,0.40864944584947,0.999977702567934,1,"1982, 6191, 8663, 8672, 9775"
"wt",2,"GO:0009059",3026,2,54,2,Inf,NA,Inf,56.037037037037,2.07544581618656,0.000312662162088347,0.40864944584947,1,1,"1981, 1982"
"wt",2,"GO:0098912",3026,2,54,2,Inf,NA,Inf,56.037037037037,2.07544581618656,0.000312662162088347,0.40864944584947,1,1,"775, 783"
"wt",2,"GO:0045892",3026,65,54,6,1.81995977137388,0.932981393791321,2.70693814895644,5.17264957264957,6.22633744855967,0.00089544822106516,0.550861025489726,0.999878598912225,1,"1487, 10419, 5932, 23236, 1488, 5629"
"wt",2,"GO:0050872",3026,3,54,2,4.73855733744113,2.3224509747729,7.15466370010935,37.358024691358,2.07544581618656,0.000927233554764649,0.550861025489726,0.99999462353425,1,"1487, 1488"
"wt",2,"GO:0044030",3026,3,54,2,4.73855733744113,2.3224509747729,7.15466370010935,37.358024691358,2.07544581618656,0.000927233554764649,0.550861025489726,0.99999462353425,1,"10419, 10919"
"wt",2,"GO:0006353",3026,3,54,2,4.73855733744113,2.3224509747729,7.15466370010935,37.358024691358,2.07544581618656,0.000927233554764649,0.550861025489726,0.99999462353425,1,"10419, 5430"
"wt",2,"GO:0086045",3026,3,54,2,4.73855733744113,2.3224509747729,7.15466370010935,37.358024691358,2.07544581618656,0.000927233554764649,0.550861025489726,0.99999462353425,1,"775, 783"
"wt",2,"GO:0099578",3026,3,54,2,4.73855733744113,2.3224509747729,7.15466370010935,37.358024691358,2.07544581618656,0.000927233554764649,0.550861025489726,0.99999462353425,1,"1977, 9775"
"wt",2,"GO:0071385",3026,4,54,2,4.04507351321532,2.06599029336568,6.02415673306495,28.0185185185185,2.07544581618656,0.0018332333600779,0.998348334009088,0.999978766250549,1,"11170, 3192"
"wt",3,"GO:0034975",3026,6,150,6,Inf,NA,Inf,20.1733333333333,0.806933333333333,1.34746661442122e-08,8.80569432524267e-05,1,1,"2923, 5034, 3309, 821, 7184, 811"
"wt",3,"GO:0034976",3026,26,150,9,2.37347853522415,1.54800291977127,3.19895415067703,6.98307692307692,1.2104,2.15704897560011e-06,0.00704815752777337,0.999999821607481,1,"2923, 5034, 23376, 10130, 9601, 7184, 10525, 65992, 80279"
"wt",3,"GO:0061817",3026,4,150,4,Inf,NA,Inf,20.1733333333333,0.537955555555556,5.81088580662596e-06,0.0126580462487669,1,1,"57488, 9218, 23344, 9217"
"wt",3,"GO:0006457",3026,64,150,12,1.5523188446625,0.901774243952435,2.20286344537257,3.7825,1.61386666666667,4.97577331906524e-05,0.0812916966002283,0.999990487246055,1,"2923, 5034, 51726, 10130, 9601, 821, 5479, 23770, 22824, 7184, 10525, 811"
"wt",3,"GO:0006888",3026,38,150,9,1.83518994424961,1.06843825678763,2.60194163171159,4.77789473684211,1.2104,6.73425562283594e-05,0.0880167209904657,0.999990526166578,1,"5034, 375056, 10113, 378, 9218, 10525, 23256, 9217, 9632"
"wt",3,"GO:1903895",3026,3,150,3,Inf,NA,Inf,20.1733333333333,0.403466666666667,0.000119498692472315,0.111560565043797,1,1,"3309, 23376, 65992"
"wt",3,"GO:0071569",3026,3,150,3,Inf,NA,Inf,20.1733333333333,0.403466666666667,0.000119498692472315,0.111560565043797,1,1,"23376, 65992, 80279"
"wt",3,"GO:0061709",3026,7,150,4,3.26718750972273,1.76100597983343,4.77336903961204,11.527619047619,0.537955555555556,0.000180729413094637,0.147633339321682,0.999994566484117,1,"9821, 23376, 65992, 55102"
"wt",3,"GO:0015918",3026,4,150,3,4.07198765512082,1.80271401023744,6.34126130000421,15.13,0.403466666666667,0.000460562112469382,0.334419267220824,0.999994189114193,1,"5007, 9218, 114882"
"wt",3,"GO:0071816",3026,10,150,4,2.57299557893717,1.29694012088718,3.84905103698715,8.06933333333333,0.537955555555556,0.000964104351626174,0.630042193787705,0.999942292936301,1,"10328, 439, 23065, 9694"
"wt",3,"GO:0015914",3026,12,150,4,2.28461639945123,1.07290199465897,3.49633080424349,6.72444444444444,0.537955555555556,0.00210185012671485,0.664840664652898,0.99983278154318,1,"5007, 9218, 114882, 23344"
