alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,4,92,28,GO:0002181,1.61714759783063e-20,2.4745946409037902e-24,"25873, 6165, 6142, 6194, 6158, 6159, 9349, 6160, 6191, 6122, 23521, 6203, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 6228, 9045"
fc,4,92,28,GO:0006412,7.37393159248949e-18,2.25675029609472e-21,"25873, 6165, 6142, 6194, 6158, 6159, 9349, 6160, 6191, 6122, 23521, 6203, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 6228, 9045"
fc,1,642,33,GO:0000398,7.78616542493517e-17,1.1914560711454e-20,"26986, 3178, 4670, 7919, 10189, 22938, 3190, 4857, 3183, 27316, 10432, 10492, 3181, 23020, 1655, 6426, 27339, 10250, 6428, 10594, 6434, 51645, 3185, 3192, 220988, 3187, 1665, 23451, 9343, 9733, 6634, 9775, 6632"
fc,8,55,19,GO:0007186,6.36895533194526e-16,9.745914815524501e-20,"10287, 2771, 60626, 2788, 10636, 26575, 2770, 2782, 2785, 3269, 1901, 2784, 2786, 54331, 8601, 6000, 55970, 59345, 85397"
fc,2,619,101,GO:0007165,2.98659238978873e-10,4.57014902798582e-14,"6455, 1785, 1793, 2885, 6456, 10133, 3303, 9863, 3146, 7534, 2561, 7531, 7529, 7532, 10971, 7533, 5894, 1742, 2066, 260425, 1956, 6457, 1460, 8404, 2810, 4301, 146691, 9943, 11122, 408, 54874, 613, 4043, 57658, 10681, 57144, 5528, 1398, 8440, 8027, 8874, 160622, 2697, 5527, 5525, 6714, 1454, 5590, 5580, 5594, 27, 6654, 2017, 1399, 5571, 7159, 5581, 5602, 116984, 1808, 1452, 5562, 5567, 5609, 5565, 27347, 5532, 307, 1455, 5909, 5153, 5529, 2560, 2185, 1453, 5604, 65059, 2774, 10672, 5563, 9255, 5923, 10235, 5144, 8408, 9610, 6416, 3706, 2554, 5579, 2566, 5526, 4660, 84630, 2555, 5662, 9901, 8506, 8799, 118427, 718"
fc,1,642,21,GO:0006334,3.21967712996472e-10,9.85364079560742e-14,"546, 4673, 4869, 121504, 8349, 3014, 11198, 55506, 8341, 8359, 6418, 3009, 3024, 3005, 3006, 3008, 3007, 8342, 50809, 9733, 9555"
fc,1,642,27,GO:0008380,3.75065190425948e-09,1.7217988848934099e-12,"3276, 7919, 9584, 4904, 6421, 2521, 22927, 4841, 22985, 23435, 4857, 3183, 5725, 10492, 2332, 10250, 6733, 10594, 9444, 1665, 23451, 51755, 6634, 494115, 8570, 9967, 6632"
fc,2,619,58,GO:0006468,2.18202058911232e-08,6.677951305623e-12,"673, 1487, 8491, 7534, 5894, 5058, 4217, 1612, 9943, 5575, 2534, 5747, 2932, 613, 5601, 57144, 5566, 5582, 3055, 1020, 6714, 2043, 1454, 5590, 5580, 5594, 5588, 27, 5599, 2931, 5595, 5571, 5581, 2870, 5602, 156, 1452, 5562, 5567, 5578, 27347, 22853, 5532, 1455, 120892, 2185, 1453, 5604, 5563, 65268, 8408, 6792, 5579, 84630, 7786, 5128, 84446, 9024"
fc,9,45,7,GO:0034314,7.5200572783073e-08,1.1507356202459499e-11,"10093, 10094, 10092, 10097, 10096, 10109, 81873"
fc,2,619,24,GO:0048167,2.52907278910159e-07,1.1610127570474e-10,"7532, 7533, 26037, 4130, 5764, 9693, 2903, 2904, 2905, 2906, 10755, 9699, 2902, 7337, 1020, 4137, 22999, 5532, 2185, 5923, 3706, 57338, 8831, 84446"
