"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"GO:0017124",3026,47,78,11,2.58627912426787,1.86892006567201,3.30363818286373,9.07965084560829,5.47107166337936,1.34502655649651e-08,2.67122274120207e-05,0.999999999079699,1,"1785, 1793, 2885, 30011, 1398, 1795, 6654, 8867, 8871, 9495, 8506"
"infomap",1,"GO:0004715",3026,15,78,6,3.3036934392947,2.24455521511005,4.36283166347934,15.5179487179487,2.98422090729783,1.00625304723274e-06,0.000999209275902108,0.99999996855155,1,"10188, 2534, 5747, 3055, 6714, 27"
"infomap",1,"GO:0004713",3026,23,78,6,2.66497894686668,1.70533871648884,3.62461917724451,10.1204013377926,2.98422090729783,1.7210997462048e-05,0.0113936803198758,0.999998985400643,1,"10188, 2534, 5747, 3055, 6714, 27"
"infomap",1,"GO:0033192",3026,4,78,3,4.76966715786949,2.49487964480107,7.04445467093792,29.0961538461538,1.49211045364892,6.47329837987321e-05,0.0321399264560705,0.999999590884488,1,"5530, 5532, 5533"
"infomap",1,"GO:0005154",3026,12,78,4,2.98895258656861,1.76673321993258,4.21117195320464,12.9316239316239,1.98948060486522,0.000172922690389857,0.0572374105190428,0.999993117844045,1,"2885, 10188, 6311, 6654"
"infomap",1,"GO:0046875",3026,12,78,4,2.98895258656861,1.76673321993258,4.21117195320464,12.9316239316239,1.98948060486522,0.000172922690389857,0.0572374105190428,0.999993117844045,1,"2885, 2534, 1398, 6714"
"infomap",1,"GO:0001784",3026,13,78,4,2.87082935699842,1.67063559380004,4.0710231201968,11.9368836291913,1.98948060486522,0.000244906642500328,0.0694835131436646,0.999989041201859,1,"2885, 1398, 3055, 27"
"infomap",1,"GO:0016018",3026,7,78,3,3.38235429386068,1.8679370600803,4.89677152764105,16.6263736263736,1.49211045364892,0.00053544117708646,0.130307757014961,0.999986505643258,1,"5478, 5530, 5534"
"infomap",1,"GO:0004965",3026,2,78,2,Inf,NA,Inf,38.7948717948718,0.99474030243261,0.000656131707023974,0.130307757014961,1,1,"2550, 9568"
"infomap",1,"GO:0043813",3026,2,78,2,Inf,NA,Inf,38.7948717948718,0.99474030243261,0.000656131707023974,0.130307757014961,1,1,"8867, 8871"
"infomap",1,"GO:0005168",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.256248940161697,0.999983509917416,1,"2885, 5335"
"infomap",1,"GO:0016004",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.256248940161697,0.999983509917416,1,"2534, 6714"
"infomap",1,"GO:0034596",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.256248940161697,0.999983509917416,1,"8867, 8871"
"infomap",1,"GO:0004723",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.256248940161697,0.999983509917416,1,"5534, 5533"
"infomap",1,"GO:0004439",3026,3,78,2,4.35095682301131,1.93968103385603,6.76223261216659,25.8632478632479,0.99474030243261,0.00193541495590405,0.256248940161697,0.999983509917416,1,"8867, 8871"
"infomap",1,"GO:0051536",3026,4,78,2,3.65747025673624,1.68428720038994,5.63065331308255,19.3974358974359,0.99474030243261,0.00380609692800937,0.457009104984929,0.999935267016201,1,"18, 9054"
"infomap",1,"GO:0042169",3026,13,78,3,2.46402343887158,1.15359517955048,3.77445169819267,8.95266272189349,1.49211045364892,0.00391196112021339,0.457009104984929,0.9997550933575,1,"5747, 1398, 6714"
"infomap",1,"GO:0030346",3026,5,78,2,3.25166564769119,1.44800682463964,5.05532447074274,15.5179487179487,0.99474030243261,0.006237612079045,0.651994609946493,0.999841175798544,1,"5532, 9495"
"infomap",1,"GO:0052629",3026,5,78,2,3.25166564769119,1.44800682463964,5.05532447074274,15.5179487179487,0.99474030243261,0.006237612079045,0.651994609946493,0.999841175798544,1,"8867, 8871"
"infomap",1,"GO:0030170",3026,16,78,3,2.20063754993246,0.924482680158036,3.47679241970688,7.27403846153846,1.49211045364892,0.00724479767981819,0.719408409605946,0.999412320859855,1,"2571, 18, 9054"
"infomap",1,"GO:0005516",3026,92,78,7,1.2002043206218,0.39432334574888,2.00608529549471,2.95178372352285,3.48159105851414,0.00869211298332991,0.784319237548429,0.997804340781374,1,"5530, 5532, 5534, 5533, 3706, 9590, 9495"
"infomap",1,"GO:0001227",3026,6,78,2,2.96364395900249,1.25102833962802,4.67625957837696,12.9316239316239,0.99474030243261,0.00920054327724095,0.784319237548429,0.999688250317347,1,"4783, 2023"
"infomap",1,"GO:0004438",3026,6,78,2,2.96364395900249,1.25102833962802,4.67625957837696,12.9316239316239,0.99474030243261,0.00920054327724095,0.784319237548429,0.999688250317347,1,"8867, 8871"
"infomap",1,"GO:0005178",3026,33,78,4,1.69392980878336,0.62336988697747,2.76448973058925,4.7024087024087,1.98948060486522,0.00947817809726198,0.784319237548429,0.99865134619982,1,"5747, 5478, 6714, 8482"
"infomap",1,"GO:0008289",3026,35,78,4,1.6265530332983,0.559991706581508,2.69311436001508,4.43369963369963,1.98948060486522,0.011666079546608,0.813825023223607,0.998228109924775,1,"6455, 6456, 6457, 3055"
"infomap",1,"GO:0017018",3026,19,78,3,1.99197551589856,0.737716811089115,3.24623422070801,6.12550607287449,1.49211045364892,0.0118591081836225,0.813825023223607,0.998820020090122,1,"5530, 5532, 5533"
"infomap",1,"GO:0005313",3026,7,78,2,2.74016067607299,1.08457235069933,4.39574900144664,11.0842490842491,0.99474030243261,0.0126665841173027,0.813825023223607,0.999464558822914,1,"57030, 6506"
