"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG1",1,"GO:0004843",3026,15,242,12,3.87878090643066,2.60647958639325,5.15108222646807,10.003305785124,0.620039614780411,1.9379082274023e-11,3.84868573962097e-08,0.999999999999633,1,"7874, 55611, 9958, 8237, 54726, 9097, 7345, 161725, 8078, 8975, 8239, 80124"
"sgG1",1,"GO:0043130",3026,26,242,15,2.81288995643822,2.02317371807293,3.6026061948035,7.21392244119517,0.775049518475514,8.03079724621123e-11,7.97458166548775e-08,0.999999999995521,1,"23163, 10043, 7334, 7251, 146691, 55968, 8027, 22954, 55611, 54472, 51028, 7345, 8078, 8975, 9373"
"sgG1",1,"GO:0035615",3026,10,242,8,3.86189861824558,2.30665009434853,5.41714714214263,10.003305785124,0.413359743186941,5.86170782525566e-08,3.88045058031924e-05,0.999999998916005,1,"164, 161, 1174, 163, 1173, 3092, 9026, 1175"
"sgG1",1,"GO:0004197",3026,12,242,8,3.16803227188693,1.96039036945033,4.37567417432353,8.33608815426997,0.413359743186941,5.59105549645455e-07,0.00023970706114042,0.99999997934992,1,"7874, 9958, 8237, 9097, 7345, 8078, 8975, 8239"
"sgG1",1,"GO:0031593",3026,9,242,7,3.7241028268346,2.14697629065894,5.30122936301025,9.72543617998163,0.361689775288573,6.03492097533787e-07,0.00023970706114042,0.999999987409388,1,"2060, 10133, 10043, 7415, 5710, 178, 29978"
"sgG1",1,"GO:0004842",3026,35,242,13,1.96389523451822,1.26511608760978,2.66267438142666,4.6443919716647,0.671709582678779,1.19616578901128e-06,0.000348573167514137,0.999999846717808,1,"7334, 7337, 9040, 8065, 7321, 7322, 22954, 23321, 55521, 8453, 90678, 8452, 9978"
"sgG1",1,"GO:0061630",3026,46,242,15,1.76955948427827,1.13841130951725,2.40070765903929,4.07743442328423,0.775049518475514,1.22860633061378e-06,0.000348573167514137,0.999999807084723,1,"26994, 7337, 23072, 7321, 7322, 22954, 55823, 23321, 57617, 10612, 90678, 8451, 8452, 64219, 9978"
"sgG1",1,"GO:0031625",3026,108,242,24,1.26374902070796,0.789570960098409,1.73792708131752,2.77869605142332,1.24007922956082,2.24421802832872e-06,0.000557127125532605,0.999999402872331,1,"7334, 7316, 7251, 81631, 7314, 7415, 6923, 8454, 8065, 7321, 7322, 55611, 23111, 84959, 8453, 54472, 292, 8451, 8452, 7345, 9978, 6233, 8975, 9927"
"sgG1",1,"GO:0030276",3026,25,242,10,2.07403904339649,1.26273598817353,2.88534209861944,5.00165289256198,0.516699678983676,9.94121546662294e-06,0.00219369487963479,0.99999888514623,1,"10043, 29924, 163, 146691, 3092, 162, 8301, 22905, 55040, 9026"
"sgG1",1,"GO:0160072",3026,6,242,5,4.07266253282486,1.92149781026539,6.22382725538433,10.4201101928375,0.258349839491838,1.76562361476063e-05,0.00350652849891461,0.99999975299404,1,"1642, 8454, 8453, 8451, 8452"
