"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",2,"GO:0019888",3026,22,100,13,3.88012763133846,3.00387114600986,4.75638411666705,17.8809090909091,3.9338,9.92013797764089e-15,1.97013940235948e-11,1,1,"5528, 5527, 5525, 5518, 5519, 5529, 5610, 5524, 5526, 51400, 5520, 55844, 5510"
"spectral",2,"GO:0004721",3026,13,100,6,3.28155090875685,2.17193348868842,4.39116832882529,13.9661538461538,1.8156,1.59569405975398e-06,0.00122309641994355,0.99999994906303,1,"5499, 5515, 5528, 5525, 5501, 5524"
"spectral",2,"GO:0072542",3026,8,100,5,3.9373144972767,2.49142186840169,5.3832071261517,18.9125,1.513,1.84757767363074e-06,0.00122309641994355,0.999999970198251,1,"5528, 5527, 5525, 5529, 5526"
"spectral",2,"GO:0003735",3026,87,100,12,1.64550681068616,1.00024975403832,2.29076386733399,4.17379310344828,3.6312,1.97502452349341e-05,0.00933518345776981,0.999996551322977,1,"6137, 6224, 6122, 6156, 11224, 6217, 6209, 6125, 6207, 6164, 6205, 6222"
"spectral",2,"GO:0008066",3026,12,100,5,3.08864724263236,1.92293974849709,4.25435473676763,12.6083333333333,1.513,2.35024759762583e-05,0.00933518345776981,0.999999117270751,1,"2917, 2890, 2913, 116443, 2914"
"spectral",2,"GO:0004674",3026,107,100,13,1.50448491135056,0.886513555680819,2.1224562670203,3.67644859813084,3.9338,3.52183262820557e-05,0.0103384801520082,0.999992890814817,1,"1460, 2580, 1020, 1454, 2931, 1452, 22853, 120892, 5610, 5579, 57551, 4139, 9024"
"spectral",2,"GO:0004864",3026,7,100,4,3.70369964609519,2.19298317164841,5.21441612054197,17.2914285714286,1.2104,3.64397588439363e-05,0.0103384801520082,0.999999288532279,1,"221692, 22853, 51400, 84687"
"spectral",2,"GO:0008157",3026,4,100,3,4.50495106983068,2.2327163054267,6.77718583423467,22.695,0.9078,0.000136825121974229,0.0339668365301024,0.999998875346426,1,"5499, 5501, 84687"
"spectral",2,"GO:0004722",3026,17,100,5,2.54793635780071,1.48482321547004,3.61104950013138,8.9,1.513,0.00016089499387009,0.0355041619806666,0.999989668662684,1,"5499, 5515, 5501, 5518, 5500"
"spectral",2,"GO:0050321",3026,18,100,5,2.46755042033146,1.41608270093312,3.5190181397298,8.40555555555556,1.513,0.000216975789329818,0.0430913917609019,0.999984915074325,1,"1020, 2931, 57551, 4139, 9024"
"spectral",2,"GO:0106310",3026,116,100,12,1.30838006858118,0.674276256602394,1.94248388055997,3.13034482758621,3.6312,0.000344158277969176,0.0621362127315257,0.999916510949191,1,"2580, 1020, 1454, 2931, 1452, 22853, 120892, 5610, 5579, 57551, 4139, 9024"
"spectral",2,"GO:0016791",3026,13,100,4,2.60303256218356,1.40780117010907,3.79826395425804,9.31076923076923,1.2104,0.000638331269955234,0.0924427586019713,0.999962805785326,1,"5499, 5501, 58497, 5500"
"spectral",2,"GO:0051721",3026,13,100,4,2.60303256218356,1.40780117010907,3.79826395425804,9.31076923076923,1.2104,0.000638331269955234,0.0924427586019713,0.999962805785326,1,"4137, 5524, 51400, 116443"
"spectral",2,"GO:1990948",3026,6,100,3,3.40565478660786,1.79258781448832,5.0187217587274,15.13,0.9078,0.000651660936771198,0.0924427586019713,0.999983976407512,1,"6224, 6209, 6125"
