"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"GO:0004129",3026,5,41,4,5.77639640979932,3.56119564542358,7.99159717417505,59.0439024390244,7.2004759071981,1.43804675163733e-07,0.000285596084875174,0.999999999644381,1,"1327, 1329, 1340, 9377"
"wt",1,"GO:0000514",3026,2,41,2,Inf,NA,Inf,73.8048780487805,3.60023795359905,0.00017916350308347,0.0728385110093471,1,1,"8604, 10165"
"wt",1,"GO:0000515",3026,2,41,2,Inf,NA,Inf,73.8048780487805,3.60023795359905,0.00017916350308347,0.0728385110093471,1,1,"8604, 10165"
"wt",1,"GO:0015172",3026,2,41,2,Inf,NA,Inf,73.8048780487805,3.60023795359905,0.00017916350308347,0.0728385110093471,1,1,"8604, 10165"
"wt",1,"GO:0004222",3026,9,41,3,3.66860961242695,2.24622278139356,5.09099644346035,24.6016260162602,5.40035693039857,0.000183379937082949,0.0728385110093471,0.999996515983272,1,"7385, 10939, 10730"
"wt",1,"GO:0046933",3026,15,41,3,2.97344630215182,1.6684353572524,4.27845724705125,14.7609756097561,5.40035693039857,0.000938600464055168,0.29976770006787,0.999964418782096,1,"513, 10632, 514"
"wt",1,"GO:0015183",3026,4,41,2,4.3371231383851,2.35182960967326,6.32241666709695,36.9024390243902,3.60023795359905,0.00105658303145775,0.29976770006787,0.999990844574624,1,"8604, 10165"
"wt",1,"GO:0004176",3026,5,41,2,3.93132274108687,2.11442314002283,5.74822234215092,29.5219512195122,3.60023795359905,0.00174585648147797,0.433408871526905,0.999977327143573,1,"10939, 10730"
"wt",1,"GO:0005313",3026,7,41,2,3.41982620149565,1.74982270101448,5.08982970197681,21.0871080139373,3.60023795359905,0.00360370878178581,0.795218404514069,0.999922132843497,1,"8604, 10165"
"wt",2,"GO:0003743",3026,24,54,9,3.67444240631617,2.79716300125269,4.55172181137964,21.0138888888889,9.3395061728395,9.79847623784485e-11,1.94597738083599e-07,0.999999999997773,1,"1975, 1981, 1973, 8661, 1982, 1977, 7458, 8663, 8672"
"wt",2,"GO:0008135",3026,12,54,5,3.76633977669999,2.58447021992092,4.94820933347905,23.3487654320988,5.18861454046639,1.08061823851276e-06,0.00107305391084317,0.999999979285322,1,"1981, 1973, 1982, 7458, 8672"
"wt",2,"GO:0000339",3026,5,54,3,4.46995670718058,2.65944509673925,6.28046831762192,33.6222222222222,3.11316872427984,5.24130941742956e-05,0.0228519605519084,0.999999552480364,1,"1973, 1977, 8672"
"wt",2,"GO:0005245",3026,13,54,4,3.27100432592909,2.06047842028399,4.48153023157419,17.2421652421652,4.15089163237311,5.75326297882891e-05,0.0228519605519084,0.999998267711627,1,"775, 783, 782, 777"
"wt",2,"GO:0008331",3026,13,54,4,3.27100432592909,2.06047842028399,4.48153023157419,17.2421652421652,4.15089163237311,5.75326297882891e-05,0.0228519605519084,0.999998267711627,1,"775, 783, 782, 777"
"wt",2,"GO:0086007",3026,2,54,2,Inf,NA,Inf,56.037037037037,2.07544581618656,0.000312662162088347,0.103491175651243,1,1,"775, 783"
"wt",2,"GO:0003714",3026,37,54,5,2.23804657185647,1.25413770073747,3.22195544297548,7.57257257257257,5.18861454046639,0.000423572945479901,0.120173695674726,0.99996301025571,1,"1487, 10419, 5932, 1488, 3192"
"wt",2,"GO:0001222",3026,10,54,3,3.2155088183203,1.83494571843295,4.59607191820764,16.8111111111111,3.11316872427984,0.000590250731590694,0.14652974411739,0.999982414595628,1,"1487, 10919, 1488"
"wt",2,"GO:0043021",3026,11,54,3,3.08164010067993,1.72614944785373,4.43713075350612,15.2828282828283,3.11316872427984,0.000801368855165311,0.176835394039812,0.999972730931275,1,"10419, 3192, 9775"
"wt",2,"GO:0086056",3026,3,54,2,4.73855733744113,2.3224509747729,7.15466370010935,37.358024691358,2.07544581618656,0.000927233554764649,0.184148583976259,0.99999462353425,1,"775, 783"
"wt",2,"GO:0004683",3026,13,54,3,2.85782155777748,1.53823230916945,4.17741080638551,12.9316239316239,3.11316872427984,0.00135428879929712,0.236696674525173,0.999942467370212,1,"8536, 814, 84254"
"wt",2,"GO:0003729",3026,71,54,6,1.7210480889834,0.837462757343306,2.6046334206235,4.73552425665102,6.22633744855967,0.00143019138685905,0.236696674525173,0.999786470903551,1,"1981, 1973, 8661, 1982, 8672, 9775"
"wt",2,"GO:0003682",3026,55,54,5,1.78561820120597,0.823918291697824,2.74731811071412,5.09427609427609,5.18861454046639,0.00264967915683935,0.404789446575612,0.99963959177449,1,"1487, 1488, 3192, 54828, 51412"
"wt",2,"GO:1990841",3026,17,54,3,2.51999796959927,1.24267360246396,3.79732233673458,9.88888888888889,3.11316872427984,0.00306118313701396,0.434250693579266,0.999818402442038,1,"10919, 3192, 5430"
"wt",2,"GO:0003723",3026,462,54,16,0.869075913403768,0.276345778187777,1.46180604861976,1.94067660734327,16.6035665294925,0.00511319667962616,0.676987240382503,0.998072946273363,1,"10605, 1975, 1981, 3921, 1973, 8661, 1982, 6191, 1977, 3192, 7458, 1819, 5430, 8663, 8672, 9775"
"wt",2,"GO:0001221",3026,7,54,2,3.12777216983524,1.46515624938193,4.79038809028855,16.010582010582,2.07544581618656,0.0061989515633366,0.683950989154804,0.999821160278279,1,"1487, 1488"
"wt",2,"GO:0016616",3026,7,54,2,3.12777216983524,1.46515624938193,4.79038809028855,16.010582010582,2.07544581618656,0.0061989515633366,0.683950989154804,0.999821160278279,1,"1487, 1488"
"wt",2,"GO:1990837",3026,7,54,2,3.12777216983524,1.46515624938193,4.79038809028855,16.010582010582,2.07544581618656,0.0061989515633366,0.683950989154804,0.999821160278279,1,"5629, 3192"
"wt",2,"GO:0140297",3026,23,54,3,2.16129256811016,0.916607797357753,3.40597733886256,7.30917874396135,3.11316872427984,0.00739193566165539,0.708816920026439,0.999376030159709,1,"1487, 1488, 1977"
"wt",2,"GO:0016922",3026,8,54,2,2.94511351544834,1.3214636756889,4.56876335520779,14.0092592592593,2.07544581618656,0.00817109154722452,0.708816920026439,0.999717468388327,1,"5629, 54828"
"wt",2,"GO:0008143",3026,10,54,2,2.65675690671466,1.08317087174654,4.23034294168278,11.2074074074074,2.07544581618656,0.0128351018989185,0.708816920026439,0.999409749268409,1,"3192, 9775"
"wt",2,"GO:0031369",3026,11,54,2,2.53863643221586,0.982096072535197,4.09517679189653,10.1885521885522,2.07544581618656,0.0155092647975303,0.708816920026439,0.999198631144835,1,"1981, 8663"
"wt",2,"GO:0005003",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"2051"
"wt",2,"GO:0005055",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"3921"
"wt",2,"GO:0008469",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10419"
"wt",2,"GO:0035243",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10419"
"wt",2,"GO:0016279",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10919"
"wt",2,"GO:0046974",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10919"
"wt",2,"GO:0046976",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10919"
"wt",2,"GO:0070742",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10919"
"wt",2,"GO:0140759",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10919"
"wt",2,"GO:0140947",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10919"
"wt",2,"GO:0061598",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10243"
"wt",2,"GO:0061599",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"10243"
"wt",2,"GO:0004357",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"2730"
"wt",2,"GO:0035226",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"2730"
"wt",2,"GO:0050692",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"5629"
"wt",2,"GO:0050693",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"5629"
"wt",2,"GO:0031370",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"1977"
"wt",2,"GO:0001097",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"3192"
"wt",2,"GO:0017069",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"3192"
"wt",2,"GO:0017130",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"3192"
"wt",2,"GO:0099122",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"3192"
"wt",2,"GO:0010698",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"54828"
"wt",2,"GO:0001055",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"5430"
"wt",2,"GO:0003899",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"5430"
"wt",2,"GO:0003968",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"5430"
"wt",2,"GO:0050436",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"5430"
"wt",2,"GO:0035368",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"9775"
"wt",2,"GO:0008188",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.708816920026439,1,1,"57537"
"wt",2,"GO:0005516",3026,92,54,5,1.21898967461109,0.274422102140951,2.16355724708123,3.04549114331723,5.18861454046639,0.022767704106858,0.886601183455292,0.994656754607591,1,"8536, 775, 23236, 814, 84254"
"wt",2,"GO:0002039",3026,14,54,2,2.24994135950862,0.728064855238946,3.7718178637783,8.005291005291,2.07544581618656,0.0247989150966987,0.947127795808531,0.998298036719749,1,"10419, 10919"
"wt",3,"GO:0015035",3026,7,150,5,3.90301705609255,2.25469959069668,5.55133452148842,14.4095238095238,0.672444444444445,5.4335158831676e-06,0.0107909625439709,0.999999909532341,1,"2923, 5034, 10130, 9601, 9352"
"wt",3,"GO:0003756",3026,6,150,4,3.67300062549058,1.96746581130685,5.37853543967431,13.4488888888889,0.537955555555556,8.05603289737973e-05,0.0799964066709807,0.999998382947134,1,"2923, 5034, 10130, 9601"
"wt",3,"GO:0004602",3026,7,150,4,3.26718750972273,1.76100597983343,4.77336903961204,11.527619047619,0.537955555555556,0.000180729413094637,0.11964287146865,0.999994566484117,1,"9588, 2950, 2879, 4259"
"wt",3,"GO:0032977",3026,10,150,4,2.57299557893717,1.29694012088718,3.84905103698715,8.06933333333333,0.537955555555556,0.000964104351626174,0.478677810582396,0.999942292936301,1,"10328, 439, 23065, 9694"
"wt",3,"GO:0004340",3026,2,150,2,Inf,NA,Inf,20.1733333333333,0.268977777777778,0.0024416489597046,0.593683052752944,1,1,"3098, 3099"
"wt",3,"GO:0004396",3026,2,150,2,Inf,NA,Inf,20.1733333333333,0.268977777777778,0.0024416489597046,0.593683052752944,1,1,"3098, 3099"
