alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,1,642,201,GO:0003723,2.72620820723901e-29,1.37271309528651e-32,"26986, 5094, 6645, 10605, 1975, 1981, 3276, 5093, 2547, 3842, 23499, 3178, 3646, 23193, 4670, 7916, 7919, 6210, 10189, 1994, 3184, 142, 5034, 7316, 2194, 51631, 22938, 3315, 9584, 3190, 4904, 11051, 10399, 11100, 26135, 6136, 3921, 6230, 6421, 2521, 2804, 22927, 4841, 6189, 10155, 22985, 4673, 23435, 6204, 5478, 10949, 4857, 3191, 4869, 3183, 11052, 2130, 27316, 5725, 9513, 3066, 1973, 58155, 10432, 10659, 7178, 121504, 10492, 51637, 1965, 8125, 8661, 5052, 6597, 3181, 23020, 1655, 6201, 3182, 63893, 2288, 5901, 5591, 6146, 5339, 3069, 3326, 1786, 1982, 2332, 6426, 56252, 4691, 4736, 9667, 6232, 7295, 10250, 10521, 10923, 11168, 11333, 11198, 5962, 3188, 6733, 6428, 10594, 1660, 9444, 6434, 10075, 3185, 1974, 3192, 9601, 5479, 192669, 2193, 4204, 54726, 25940, 553115, 9782, 220988, 5814, 3187, 7458, 5610, 8087, 3608, 1665, 10056, 6231, 7184, 8359, 115207, 55269, 23451, 3009, 6147, 811, 6217, 6128, 6223, 3005, 3006, 3008, 3007, 6741, 1653, 27044, 22907, 6949, 10514, 6238, 115098, 6624, 51065, 8761, 51366, 3609, 6134, 1993, 9343, 7520, 1938, 5813, 23255, 23215, 64848, 9733, 311, 6233, 6634, 494115, 53981, 871, 6175, 51663, 54915, 9898, 7203, 9774, 6227, 84726, 5036, 8570, 8663, 23367, 9967, 9987, 8539, 51493, 9775, 4076, 6206, 6738, 90957, 6632, 54954"
fc,4,92,28,GO:0003735,1.09327554588495e-19,5.50491211422432e-23,"25873, 6165, 6142, 6194, 6158, 6159, 9349, 6160, 6191, 6122, 23521, 6203, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 6228, 9045"
fc,1,642,60,GO:0003677,3.9520740476485603e-14,3.9799335827276604e-17,"351, 2547, 3178, 1642, 142, 10142, 3190, 4904, 1936, 6421, 213, 2521, 4841, 10155, 23435, 5725, 121504, 6597, 8349, 1786, 6232, 55636, 3014, 1108, 10250, 1660, 10075, 3192, 4204, 3608, 55506, 8341, 8359, 6418, 57599, 811, 6594, 6128, 1653, 8342, 23047, 50809, 85235, 3609, 1958, 7520, 161725, 51663, 24137, 9774, 57662, 9208, 8570, 57680, 9967, 9987, 9555, 5980, 6847, 92675"
fc,14,4,4,GO:0004364,7.17706359221113e-08,3.6138285962795196e-11,"2947, 2949, 2944, 2946"
fc,2,619,54,GO:0106310,1.10874856701237e-07,1.04287065113947e-10,"673, 8844, 8491, 5894, 5058, 4216, 4217, 1612, 369, 9943, 2932, 613, 5601, 57144, 2580, 5566, 5582, 1020, 5605, 1454, 5590, 5580, 5594, 5588, 5599, 9625, 2931, 5595, 5290, 5581, 5602, 1452, 5562, 5567, 5578, 5609, 57118, 27347, 22853, 1455, 120892, 1453, 5604, 5563, 65268, 8408, 6792, 6416, 5579, 84630, 7786, 5128, 84446, 9024"
fc,2,619,36,GO:0004672,1.10874856701237e-07,1.11656451864287e-10,"673, 8844, 8491, 5894, 5058, 4217, 1612, 369, 2932, 5566, 5582, 1020, 6714, 2043, 1454, 5590, 5580, 5588, 27, 8851, 5571, 5581, 156, 1452, 5562, 5578, 22853, 120892, 1453, 5604, 5563, 790, 6792, 6416, 7786, 5128"
fc,5,776,17,GO:0005484,1.56225706033755e-07,7.86634974993731e-11,"6616, 6810, 8773, 6804, 10228, 10490, 8675, 6844, 112755, 23673, 116841, 10652, 6843, 9341, 9554, 9342, 8417"
fc,1,642,39,GO:0003729,2.00406158700717e-07,3.02728336405916e-10,"26986, 5094, 1981, 5093, 4670, 10189, 1994, 51631, 3190, 11051, 10949, 4857, 3191, 11052, 27316, 5725, 1973, 58155, 8661, 3182, 3069, 1982, 2332, 6426, 1660, 9444, 6434, 4204, 5814, 6231, 23451, 811, 6741, 54915, 8570, 9775, 4076, 8562, 83939"
fc,17,3,3,GO:0004749,4.30481413477269e-07,2.1675801282843301e-10,"5631, 5634, 5636"
fc,1,642,15,GO:0030527,4.45892904406696e-07,8.98072315018521e-10,"121504, 8349, 3014, 55506, 8341, 8359, 3009, 3024, 3005, 3006, 3008, 3007, 8342, 85235, 9555"
fc,2,619,49,GO:0004674,1.08703810642922e-06,1.64205152028583e-09,"673, 8844, 8491, 5894, 5058, 1460, 4217, 1612, 369, 9943, 2932, 613, 57144, 2580, 5566, 5582, 1020, 5605, 1454, 5590, 5580, 5594, 5588, 5599, 9625, 2931, 5595, 5290, 5581, 1452, 5562, 5567, 5578, 27347, 22853, 1455, 120892, 1453, 5604, 5563, 65268, 8408, 6792, 6416, 5579, 84630, 7786, 84446, 9024"
fc,8,55,6,GO:0031681,1.47736983067483e-06,7.43892160460639e-10,"2788, 2785, 2786, 54331, 6000, 55970"
fc,1,642,14,GO:0031492,1.60517668674856e-06,4.04123032917562e-09,"6601, 60, 3183, 3066, 6597, 1108, 3009, 3024, 3005, 3006, 3008, 3007, 6599, 9555"
fc,1,642,22,GO:0003730,2.73565538898124e-06,8.264819906287731e-09,"26986, 3178, 1994, 26135, 2521, 23435, 4857, 3183, 9513, 10659, 3181, 1655, 6201, 2332, 10521, 3192, 220988, 8087, 5042, 8761, 1993, 23367"
fc,14,4,3,GO:0043295,8.60535620788333e-06,8.666018336236991e-09,"2947, 2944, 2946"
fc,8,55,6,GO:0031683,1.16868305773981e-05,1.1769215082979e-08,"2773, 2771, 2776, 2770, 2778, 2775"
fc,8,55,15,GO:0003924,1.18505419257636e-05,1.79011207337819e-08,"10287, 2773, 2771, 2776, 10636, 26575, 2770, 2778, 2782, 2785, 2775, 2784, 8601, 6000, 85397"
fc,2,619,17,GO:0004713,2.30248634756609e-05,4.63743473830028e-08,"2066, 1956, 5315, 2534, 5747, 613, 3055, 6714, 2043, 5605, 27, 9625, 5609, 2185, 5604, 6416, 84630"
fc,2,619,15,GO:0017018,2.68552051073069e-05,6.76112918109439e-08,"5499, 5515, 192111, 4624, 5501, 5530, 1845, 5516, 11221, 9647, 5532, 5500, 1846, 5536, 5533"
fc,5,776,72,GO:0005525,7.20428203666284e-05,7.25506750922743e-08,"3265, 5898, 57403, 387, 5869, 5868, 375, 5861, 23647, 998, 5881, 5879, 4893, 58477, 6734, 1731, 389, 23157, 4830, 5413, 23176, 3845, 1968, 10059, 5870, 10801, 346288, 55752, 116986, 388, 382, 30846, 56681, 10381, 989, 23011, 10938, 151011, 55964, 127829, 116442, 4735, 30845, 5414, 54769, 57826, 378, 402, 2909, 2977, 28512, 7846, 4976, 5880, 400, 326624, 391, 2746, 116987, 5872, 89941, 381, 205, 50808, 5106, 64121, 6102, 85476, 7879, 79861, 7818, 8801"
fc,7,159,8,GO:0004683,9.98540476300248e-05,5.02789766515734e-08,"815, 8536, 817, 814, 816, 10645, 818, 84254"
fc,4,92,34,GO:0003723,0.0001783200847406,1.7957712461294e-07,"25873, 6165, 54505, 6142, 6194, 6158, 6159, 3843, 9349, 6160, 6191, 6122, 23521, 6203, 10528, 79026, 1431, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 3336, 6234, 6208, 6169, 6228, 9045"
fc,2,619,25,GO:0017124,0.0001888679804361,5.70598128205914e-07,"1785, 2060, 1793, 2885, 30011, 51517, 10657, 10152, 1398, 50944, 22941, 4137, 85358, 1795, 6654, 10314, 7159, 153090, 1809, 9026, 8867, 8871, 8506, 9829, 8831"
fc,8,55,5,GO:0001965,0.0001926930098584,3.88102738889215e-07,"10287, 60626, 55704, 10636, 6000"
fc,1,642,28,GO:0003682,0.0002479413747712,8.73912197078825e-07,"3184, 142, 4297, 11051, 6421, 546, 2521, 4841, 10155, 4673, 4869, 27316, 3066, 5901, 11335, 2332, 55636, 1108, 3192, 4204, 6418, 1653, 22907, 64324, 10499, 22933, 25836, 57680"
fc,2,619,11,GO:0001784,0.0003595068057843,1.26714382703429e-06,"2885, 5781, 5216, 1398, 8440, 3055, 5594, 27, 5595, 1399, 53358"
fc,1,642,13,GO:1990841,0.0004003912302,1.6128549051362e-06,"10155, 10919, 3066, 1655, 1786, 55636, 1660, 3192, 4204, 1958, 25836, 64743, 9555"
fc,6,478,38,GO:0008017,0.0004261458669818,2.14574958198337e-07,"3799, 2801, 55755, 1639, 22924, 10982, 1780, 6249, 7461, 23332, 1062, 23281, 1641, 11004, 166614, 157922, 10297, 152789, 9181, 133746, 9832, 51361, 547, 4741, 25999, 57530, 403, 10128, 55605, 3832, 4744, 84376, 374654, 55201, 79884, 1266, 85459, 91978"
fc,1,642,15,GO:0003690,0.0005758929346347,2.60978671284652e-06,"2547, 4904, 23435, 5591, 1660, 3192, 57599, 3009, 3024, 3005, 3006, 3008, 3007, 7520, 6847"
fc,5,776,21,GO:0019905,0.0006022393230684,9.09727074121453e-07,"8773, 10228, 6857, 8675, 54732, 6844, 116841, 6814, 6843, 63908, 127833, 10815, 6861, 134957, 9342, 23256, 8417, 8775, 8938, 9515, 9066"
fc,2,619,20,GO:0048156,0.0008104500335249,3.26465270302099e-06,"3320, 1191, 4130, 3306, 274, 2534, 2932, 5515, 10273, 5300, 6622, 1020, 2931, 5516, 5562, 9532, 5536, 84630, 84446, 9024"
fc,1,642,13,GO:0031490,0.0009304723549976,4.68515788014935e-06,"546, 1660, 3192, 4204, 55506, 3009, 3024, 3005, 3006, 3008, 3007, 8473, 9555"
fc,10,17,3,GO:0003823,0.0011668424419559,5.87533958688778e-07,"3500, 3502, 3514"
fc,6,478,7,GO:0030280,0.0023480708801446,2.36462324284453e-06,"3848, 3853, 5317, 3849, 338785, 3852, 3858"
fc,2,619,12,GO:0004722,0.002412729439631,1.09338192128294e-05,"5499, 5515, 192111, 5501, 5530, 5518, 5516, 9647, 5532, 5500, 5536, 92609"
fc,2,619,14,GO:0019888,0.0024142408546573,1.21899306818766e-05,"5528, 5527, 5525, 5518, 2768, 5519, 5529, 26051, 5524, 5526, 51400, 5520, 55844, 5510"
fc,2,619,7,GO:0004708,0.0024142408546573,1.45875580341833e-05,"673, 5605, 5594, 5595, 5602, 5609, 5604"
fc,2,619,7,GO:0004972,0.0024142408546573,1.45875580341833e-05,"2903, 2904, 2905, 2906, 2902, 2185, 116443"
fc,1,642,19,GO:0004842,0.0028770954487974,1.60211142819362e-05,"11059, 10155, 54880, 9040, 8065, 63893, 23321, 4008, 27339, 7267, 57448, 10075, 55521, 7187, 8453, 23352, 10296, 8452, 9978"
fc,1,642,16,GO:0000978,0.0028770954487974,1.73842625304979e-05,"351, 23435, 27316, 23090, 55636, 58525, 10923, 1660, 3192, 6301, 64324, 10499, 1958, 23269, 9208, 9967"
fc,1,642,11,GO:0004386,0.0032645782879495,2.13693442816439e-05,"546, 1973, 6597, 23020, 55636, 1108, 1974, 1665, 6594, 64848, 90957"
fc,2,619,8,GO:0000774,0.0033341549386426,2.1824780565133e-05,"5216, 10808, 57805, 9532, 3308, 22824, 9531, 9529"
