"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",3,"111",3026,1818,363,236,0.238841387878628,0.0096932914117506,0.467989484345505,1.08213245566981,5.41960552178433,0.0227966544353762,0.136779926612257,0.982786549429338,0.982786549429338,"351, 3146, 3320, 1615, 2058, 7249, 53616, 7534, 2561, 7531, 7529, 7532, 10971, 7533, 1072, 5894, 1495, 5058, 4645, 815, 708, 529, 348, 1191, 5869, 4915, 4217, 2810, 22800, 5315, 5305, 9588, 91404, 1471, 226, 8476, 10627, 88, 5515, 2950, 4140, 3921, 3728, 3039, 10724, 4714, 6853, 23162, 5601, 6142, 4141, 5127, 4734, 23265, 445, 87, 6531, 57554, 2697, 2915, 5582, 26355, 6622, 1499, 81565, 1020, 476, 4641, 5605, 5037, 4137, 4134, 1509, 4155, 2596, 7248, 5580, 5066, 7001, 5594, 22999, 801, 808, 5599, 817, 5864, 6812, 2931, 2, 2271, 5595, 6201, 55611, 23321, 775, 6009, 5581, 10910, 2288, 4082, 126003, 11140, 54536, 9578, 5602, 4627, 3326, 11346, 774, 773, 3339, 7407, 347733, 7102, 10728, 128, 156, 10810, 1983, 2617, 427, 5578, 5609, 6156, 10383, 373156, 6135, 7295, 11033, 3925, 2768, 814, 816, 10564, 2562, 55832, 1453, 103910, 1974, 286, 116988, 2011, 10376, 57521, 5604, 8567, 1428, 4644, 5536, 488, 10672, 6710, 8650, 30000, 53822, 5912, 9911, 4133, 10612, 22841, 81, 11130, 286205, 230, 534, 203068, 2890, 818, 10235, 2918, 253959, 6130, 115098, 309, 5550, 4916, 6326, 22843, 23154, 399687, 6207, 5144, 6854, 7402, 57787, 4900, 2287, 2554, 5579, 57551, 7345, 2566, 5526, 6164, 8682, 89910, 5236, 537, 5707, 2555, 9211, 10396, 3376, 966, 9550, 9446, 3043, 8997, 80727, 9545, 762, 5538, 6205, 6900, 79012, 1917, 6897, 9352, 8239, 84617, 4139, 9922, 27095, 8473, 5121, 55754, 283450, 9371, 718, 7881, 90580, 93185, 84446, 9024, 9520, 59283"
"louvain",4,"111",3026,1818,364,235,0.216486015159609,-0.011799326534253,0.444771356853472,1.07458685428982,5.3670299480739,0.0350197601395096,0.210118560837057,0.973024656594388,0.973024656594388,"1837, 2923, 22895, 6548, 3265, 2475, 5898, 322, 57403, 55824, 7905, 5362, 4684, 1804, 4685, 4099, 4340, 5621, 3897, 334, 375, 9379, 9369, 4301, 4478, 1173, 392, 5097, 23705, 5861, 9990, 6558, 682, 27131, 961, 55845, 2037, 6184, 11316, 1915, 4356, 5216, 10397, 3703, 4190, 4893, 1314, 11031, 9230, 5867, 6195, 1731, 23157, 1315, 140885, 9253, 7163, 7165, 59338, 10640, 5413, 23176, 4067, 6708, 6709, 3845, 26056, 5908, 9475, 10801, 346288, 55752, 10211, 50488, 6786, 57524, 219771, 51466, 1267, 150209, 382, 5910, 23236, 3895, 6711, 3419, 6155, 1000, 30844, 55738, 338, 5447, 7430, 10970, 27347, 5818, 1465, 301, 23646, 10381, 118, 5297, 989, 23348, 10768, 2036, 120, 115, 10938, 5906, 821, 51062, 57488, 1500, 3482, 10652, 151011, 6252, 55964, 8573, 4355, 284069, 4735, 5860, 2686, 53916, 5414, 51678, 145567, 23052, 54769, 57826, 55327, 255057, 51706, 144402, 57460, 10056, 5333, 10493, 57553, 11069, 403, 9448, 6647, 55847, 5923, 9368, 6507, 23197, 6861, 160, 6305, 114882, 5064, 112, 6152, 253559, 51097, 2319, 6624, 4430, 6143, 132001, 2181, 6566, 6520, 10752, 6712, 5364, 377, 8502, 10067, 4756, 7109, 1456, 9522, 51552, 10159, 25921, 116987, 490, 65108, 119, 23603, 5872, 5361, 255252, 27020, 10160, 219287, 57482, 57609, 23344, 23382, 2182, 26090, 4763, 285172, 22979, 10554, 471, 5593, 4978, 57498, 8402, 6515, 9694, 5911, 9789, 85440, 8036, 8825, 80856, 7447, 5874, 83660, 8776, 493, 9066, 92255, 8140, 7879, 8774, 83696, 57446, 6509, 5099, 57465, 8613, 79143, 57512, 84293, 56255, 56907"
"louvain",5,"101",3026,1167,292,128,0.241587864810742,-0.00213476907831228,0.485310498699796,1.13664588982404,4.54269093638581,0.0304306158551522,0.182583695130913,0.977218340241923,0.977218340241923,"1756, 2274, 5310, 1674, 41, 57670, 6747, 7916, 5493, 9146, 1080, 10142, 7276, 1523, 57658, 11170, 29062, 386618, 60491, 4591, 26003, 6271, 56243, 57596, 6990, 5932, 22978, 5300, 9513, 51160, 10021, 8851, 84445, 58497, 5571, 23384, 282974, 140710, 129807, 375056, 1488, 5562, 7247, 5565, 3507, 5630, 154796, 6386, 10645, 23527, 5317, 54828, 115948, 3281, 8664, 5563, 6050, 358, 200081, 2039, 79959, 23254, 133746, 2800, 23503, 55698, 26051, 6687, 57132, 8030, 115817, 11178, 55346, 23294, 8087, 2239, 51534, 401647, 3861, 79711, 60484, 51101, 22885, 154043, 1665, 9605, 221424, 57019, 26515, 783, 9798, 5654, 132299, 2899, 8243, 10763, 51555, 55619, 65268, 65078, 2897, 10587, 85456, 10499, 823, 176, 6683, 257160, 7750, 8443, 9612, 23500, 9853, 9632, 9898, 874, 22911, 9265, 51412, 4619, 80017, 388695, 9775, 64599, 54994, 54873, 9585, 201625"
"louvain",5,"100",3026,40,292,7,0.698290761112798,-0.126399306427245,1.52298082865284,1.81352739726027,0.248428410583599,0.0845911196886228,0.253773359065868,0.966057153588629,0.977218340241923,"22938, 25959, 1846, 8658, 375567, 23177, 1958"
"louvain",6,"101",3026,1167,402,198,0.505438712770716,0.294443213543224,0.716434211998207,1.2771361700495,3.7075072399198,1.87019895971239e-06,1.12211937582743e-05,0.999998895834943,0.999998895834943,"10605, 1981, 3276, 5093, 2547, 3842, 6210, 1642, 1994, 142, 4297, 55729, 1009, 3915, 23420, 394, 9584, 1434, 11051, 11100, 546, 22927, 4841, 10155, 22985, 8894, 4673, 6601, 2873, 4857, 55229, 4869, 26505, 11052, 2130, 158471, 10016, 5725, 3066, 10432, 1155, 7874, 7112, 23090, 54880, 7158, 121504, 1965, 2314, 6597, 6159, 11335, 11127, 8349, 23229, 3069, 2332, 6426, 4691, 4008, 9667, 9958, 58525, 1108, 10250, 11168, 7094, 6733, 6428, 9444, 6434, 51645, 2185, 3185, 8826, 134492, 4204, 2983, 10290, 553115, 79026, 5610, 3608, 64854, 55506, 8341, 8359, 115207, 6418, 103, 55269, 23451, 23417, 6324, 3009, 6147, 6209, 10788, 345651, 3024, 3005, 6741, 51755, 6904, 4926, 8342, 166785, 23047, 7175, 22907, 6329, 6238, 1828, 129684, 22865, 10527, 51673, 50809, 85235, 125113, 5141, 3832, 3609, 1993, 51474, 284217, 55140, 9343, 5430, 9097, 7520, 5116, 6335, 8450, 51479, 57221, 23255, 3948, 23215, 64848, 9733, 57520, 81846, 6599, 6634, 5358, 7411, 24137, 23269, 9320, 8533, 8898, 9774, 6234, 9842, 55324, 752, 25836, 79187, 9208, 8570, 645, 6169, 23367, 9967, 9987, 6334, 80028, 8539, 349667, 84532, 9847, 63875, 91833, 9555, 4076, 83394, 6738, 9031, 79747, 84643, 9651, 64478, 387597, 84364, 5980, 8504, 84896, 3908, 63929, 8632, 90957, 7368, 28316, 9600, 833, 64210, 8562"
"louvain",7,"110",3026,11,285,2,0.763264926271169,-0.773818400061361,2.3003482526037,1.9304625199362,0.0745090797168359,0.277831019114795,0.490370348412585,0.922774079191415,0.95333425586949,"11004, 55917"
"louvain",7,"101",3026,1167,285,114,0.0664360549137625,-0.182738211793003,0.315610321620528,1.03718937446444,4.24701754385965,0.322125950795312,0.490370348412585,0.722101125908794,0.95333425586949,"22995, 23263, 10755, 10163, 10592, 613, 2059, 9231, 26289, 114088, 26960, 6921, 4624, 6249, 5525, 1062, 3476, 22954, 9049, 26523, 10856, 26057, 26058, 55835, 5108, 27161, 636, 2548, 10295, 11258, 1977, 23243, 5927, 11198, 57805, 57606, 29110, 23019, 26130, 10297, 23112, 23307, 54726, 51248, 55156, 9100, 55521, 51361, 89, 5537, 84516, 6726, 1819, 1429, 3035, 10111, 10613, 55700, 6144, 1629, 23271, 22994, 6840, 57496, 142678, 57489, 51366, 8411, 4957, 9690, 84376, 261726, 55291, 283638, 161725, 50813, 374654, 4836, 7798, 4677, 2876, 132864, 55844, 5522, 9053, 79884, 25994, 6731, 7057, 1468, 140465, 57608, 55604, 57568, 9414, 8975, 6727, 79699, 57584, 85369, 9859, 8672, 9755, 9701, 9344, 339829, 81609, 8813, 5243, 91978, 8653, 51441, 57464, 79861"
"louvain",7,"100",3026,40,285,5,0.32252705650617,-0.622575932598605,1.26763004561095,1.32719298245614,0.18627269929209,0.322913708861652,0.490370348412585,0.830887622208203,0.95333425586949,"401145, 23242, 3792, 84726, 84461"
"louvain",7,"1",3026,4,285,1,1.16739647901908,-1.09911254629485,3.43390550433301,2.65438596491228,0.037254539858418,0.32691356560839,0.490370348412585,0.95333425586949,0.95333425586949,"5243"
"louvain",8,"11",3026,3,267,3,Inf,NA,Inf,11.3333333333333,0.127340823970037,0.000679927618430292,0.00407956571058175,1,1,"1345, 216, 30"
