"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG2",1,"100",3026,40,105,4,1.15493508476472,0.103042346982718,2.20682782254672,2.88190476190476,1.09786848072562,0.0480277923046072,0.288166753827643,0.988558993110454,0.9931631541374,"401145, 7159, 64419, 84461"
"sgG2",1,"1",3026,4,105,1,2.23565054127325,-0.035998268079755,4.50729935062625,7.2047619047619,0.274467120181406,0.131800454232195,0.395401362696585,0.9931631541374,0.9931631541374,"5243"
"sgG2",1,"101",3026,1167,105,44,0.143987030038072,-0.250783249176399,0.538757309252544,1.08657934467703,12.0765532879819,0.268398800417157,0.48352709814176,0.793812104003048,0.9931631541374,"22995, 10142, 10592, 57003, 6249, 54477, 55835, 5108, 2027, 57606, 23019, 10297, 23112, 51248, 145773, 2239, 84516, 6726, 51101, 57530, 103, 55700, 23271, 22994, 57489, 3832, 4957, 5116, 283638, 374654, 7798, 4677, 22998, 2876, 9053, 79884, 6727, 57584, 9859, 9344, 5243, 91978, 8653, 51441"
"sgG2",1,"110",3026,11,105,1,1.0292759516102,-1.03567396194602,3.09422586516643,2.61991341991342,0.274467120181406,0.322351398761173,0.48352709814176,0.946519825708371,0.9931631541374,"11004"
"sgG2",10,"1",3026,4,89,1,2.40817285555661,0.135047866125867,4.68129784498735,8.5,0.382022471910112,0.112611132324701,0.675666793948204,0.995061136554783,0.995061136554783,"4069"
"sgG2",11,"101",3026,1167,166,81,0.442533560557766,0.128964842090381,0.756102279025152,1.26524607427138,8.89483234141385,0.00371952529055357,0.0223171517433214,0.997724572258485,0.997724572258485,"5310, 1674, 7916, 5493, 9146, 23368, 1080, 1523, 11170, 26505, 386618, 60491, 4591, 26003, 56243, 57596, 5300, 9513, 51160, 10021, 84445, 5571, 140710, 5562, 7247, 5565, 5630, 154796, 10645, 5317, 115948, 3281, 8664, 5563, 358, 200081, 2039, 10290, 79959, 23254, 133746, 2800, 116442, 23503, 26051, 6687, 8030, 115817, 340527, 11178, 55346, 23294, 84823, 8087, 401647, 197322, 3861, 79711, 60484, 22885, 154043, 64168, 55075, 221424, 26515, 10763, 51555, 257160, 7750, 9612, 23500, 9898, 22911, 80028, 4619, 80017, 388695, 8785, 9775, 64599, 5313"
"sgG2",11,"100",3026,40,166,4,0.661088686044529,-0.383987881151084,1.70616525324014,1.82289156626506,0.439250979822906,0.17380783049997,0.521423491499909,0.93491343767833,0.997724572258485,"22938, 25959, 1846, 375567"
"sgG2",11,"110",3026,11,166,1,0.54654370636807,-1.51510377903456,2.6081911917707,1.65717415115005,0.109812744955727,0.462957139762497,0.925914279524994,0.881127162972128,0.997724572258485,"148281"
"sgG2",13,"101",3026,1167,172,83,0.420525881632741,0.112041377625558,0.729010385639925,1.25126043721727,8.48965657111952,0.00489176511405728,0.0293505906843437,0.996942184348888,0.996942184348888,"3276, 5093, 2547, 3842, 6210, 4297, 9584, 1434, 11051, 11100, 22927, 4841, 22985, 6601, 4857, 4869, 11052, 2130, 5725, 10432, 7112, 7158, 2314, 6597, 23229, 6426, 4691, 9667, 58525, 1108, 10250, 11168, 11198, 6733, 6428, 9444, 6434, 51645, 3185, 8826, 5610, 3608, 8341, 115207, 6418, 55269, 23451, 345651, 6741, 51755, 3609, 1993, 51474, 9343, 5430, 7520, 8450, 3948, 23215, 64848, 9733, 57520, 6599, 6634, 5358, 24137, 9774, 25836, 4707, 9208, 8570, 23367, 9967, 9987, 8539, 63875, 9555, 64478, 8504, 63929, 90957, 64210, 8562"
"sgG2",13,"100",3026,40,172,5,0.880233529642044,-0.0697382307611656,1.83020529004525,2.19912790697674,0.511425094645754,0.0735436440710641,0.220630932213192,0.976351788455589,0.996942184348888,"26036, 6949, 4999, 1958, 53981"
