"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",2,"111",3026,1818,100,66,0.262952946301969,-0.157355537612699,0.683261430216637,1.09854785478548,19.9716,0.129726695358498,0.778360172150985,0.909776696226393,0.909776696226393,"10935, 1460, 3837, 5499, 5515, 5528, 2580, 2917, 1020, 4137, 10048, 1454, 5501, 5518, 6137, 2931, 8924, 221692, 347733, 7102, 6122, 6156, 10120, 5500, 1152, 5519, 5529, 10890, 55054, 54806, 286205, 2890, 2913, 6217, 6125, 6207, 47, 5306, 3074, 111, 9318, 5579, 57551, 7345, 5526, 51400, 6164, 5520, 55210, 84687, 2914, 6205, 221545, 6222, 5510, 1917, 84617, 4139, 83452, 8473, 793, 7155, 92675, 9024, 9520, 59283"
"spectral",3,"111",3026,1818,51,37,0.571994593691852,-0.047361069814456,1.19135025719816,1.20755408874221,43.0457516339869,0.0432988328182585,0.259792996909551,0.978184374060733,0.978184374060733,"2561, 1495, 708, 23513, 7336, 3728, 51168, 5582, 1499, 476, 5037, 5594, 5595, 5213, 5578, 3033, 5211, 10999, 1397, 2562, 3685, 8567, 481, 25824, 501, 114786, 2554, 2566, 2555, 491, 80727, 7343, 56181, 29919, 8671, 9922, 57447"
"spectral",3,"100",3026,40,51,2,1.14888465392155,-0.300805912442193,2.5985752202853,2.96666666666667,2.32679738562092,0.145110302565673,0.43533090769702,0.971238133030184,0.978184374060733,"5321, 10818"
"spectral",4,"110",3026,11,69,1,1.46645018456754,-0.603225558294712,3.5361259274298,3.98682476943346,0.635580760344465,0.224428604944546,0.693826628881891,0.975319847327965,0.975319847327965,"1821"
"spectral",4,"100",3026,40,69,2,0.829864772296708,-0.612545750897443,2.27227529549086,2.19275362318841,1.27116152068893,0.23127554296063,0.693826628881891,0.938468218346596,0.975319847327965,"23242, 23143"
"spectral",6,"111",3026,1818,19,15,0.917953242647769,-0.187410062082763,2.0233165473783,1.31405245787737,125.734072022161,0.0699225833450424,0.419535500070255,0.976994742261318,0.981275128214532,"273, 824, 5799, 274, 11122, 5798, 5478, 5530, 6812, 5532, 5534, 57731, 5533, 399687, 3872"
"spectral",9,"101",3026,1167,17,13,1.65330552431514,0.530226017551905,2.77638503107837,1.98286203941731,136.117647058824,0.00165798533962212,0.00994791203773272,0.999721967336739,0.999721967336739,"324, 26057, 23086, 23384, 26058, 5903, 22920, 57716, 4629, 222950, 4538, 89796, 57624"
"spectral",11,"101",3026,1167,91,41,0.275651737971821,-0.14394912962713,0.695252605570772,1.1682627569517,14.982007003985,0.11911302029397,0.71467812176382,0.918421818545412,0.918421818545412,"3739, 9863, 2066, 3736, 260425, 2903, 22871, 2905, 23266, 2894, 575, 116984, 129807, 1002, 23109, 116835, 81832, 2977, 6641, 6792, 23024, 80005, 6599, 9762, 8525, 8898, 9620, 84628, 576, 57497, 55966, 5067, 80059, 9758, 642968, 84435, 85461, 81609, 80728, 282973, 26045"
"spectral",12,"110",3026,11,85,1,1.24969704887353,-0.817379150080559,3.31677324782763,3.23636363636364,0.418823529411765,0.269435723675516,0.692699571131497,0.963617022269006,0.963617022269006,"10971"
"spectral",12,"100",3026,40,85,2,0.610220377061592,-0.828356139809939,2.04879689393312,1.78,0.837647058823529,0.310457990866686,0.692699571131497,0.899449583338947,0.963617022269006,"1386, 889"
"spectral",12,"101",3026,1167,85,35,0.112113282693434,-0.326189402419477,0.550415967806346,1.06769494430163,14.6588235294118,0.346349785565748,0.692699571131497,0.732154948171464,0.963617022269006,"673, 1756, 8844, 3984, 41, 4216, 369, 9943, 2950, 613, 2286, 3757, 6002, 160622, 1155, 55704, 5590, 5290, 3097, 23108, 5909, 440193, 340527, 23294, 9255, 5338, 65268, 5880, 9610, 6416, 92609, 84630, 8533, 9265, 7111"
"spectral",15,"111",3026,1818,67,51,0.765586285790143,0.199174430908715,1.33199814067157,1.2669819220728,34.3787034974382,0.0039653183462827,0.0237919100776962,0.998292731436872,0.998292731436872,"351, 322, 7533, 1072, 2934, 4035, 1804, 4685, 4340, 5621, 334, 4915, 2273, 4043, 6853, 55333, 6622, 23396, 1509, 22999, 5864, 150209, 382, 774, 10810, 5516, 2778, 55361, 56899, 8650, 30968, 2805, 1268, 5144, 377, 116987, 6154, 471, 10396, 8745, 966, 4978, 9590, 3043, 9659, 6900, 7167, 85440, 55754, 57537, 8774"
"spectral",15,"110",3026,11,67,1,1.4969815737948,-0.573107491796397,3.56707063938601,4.10583446404342,0.674092225439964,0.218628974838547,0.655886924515642,0.976647541113976,0.998292731436872,"966"
"spectral",16,"111",3026,1818,168,111,0.272372619405226,-0.0556420413159623,0.600387280126415,1.09973675939022,11.9007227891156,0.0595217384985078,0.357130430991047,0.957654082923801,0.957654082923801,"6616, 8773, 10550, 7905, 954, 6804, 10228, 5869, 5868, 2010, 23647, 3163, 112476, 10490, 2170, 10313, 26276, 57142, 23204, 7163, 7165, 114569, 6857, 8675, 2224, 11230, 4000, 4001, 22908, 146223, 6844, 10439, 2823, 6642, 56886, 112755, 23673, 116841, 6643, 6843, 63908, 8448, 30845, 2686, 2572, 493856, 219738, 57709, 157378, 444, 59353, 51075, 51308, 1727, 9283, 192683, 11112, 23788, 2912, 5780, 56894, 9341, 2824, 133121, 57460, 7920, 6855, 80221, 7781, 2817, 10815, 80331, 5718, 6529, 160, 140679, 7284, 8803, 9554, 134957, 10497, 9342, 975, 326624, 9143, 9522, 11343, 80777, 8417, 8723, 63894, 8775, 8760, 51025, 9515, 64083, 50804, 80222, 9854, 9524, 8834, 94097, 950, 9145, 91663, 91137, 80333, 55326, 9927, 91683, 81855"
"spectral",17,"101",3026,1167,2,2,Inf,NA,Inf,2.5929734361611,1513,0.148653487952893,0.891920927717359,1,1,"10952, 55176"
"spectral",18,"1",3026,4,224,2,2.53469731429102,0.569938676568686,4.49945595201335,6.75446428571428,0.120615433673469,0.0296252726104903,0.177751635662942,0.998485393375917,0.998485393375917,"91833, 5243"
"spectral",18,"111",3026,1818,224,141,0.130695835396882,-0.150791713671609,0.412183384465373,1.04772218293258,8.50338807397959,0.200905194818635,0.602715584455904,0.836778432931872,0.998485393375917,"6548, 3265, 2475, 5898, 4684, 4099, 375, 4478, 5097, 23705, 5861, 6558, 682, 27131, 55845, 6184, 8476, 10397, 3703, 4893, 11031, 5127, 6195, 140885, 9253, 59338, 2697, 58533, 11315, 3845, 7248, 9648, 5870, 9475, 10211, 50488, 219771, 6009, 1267, 57502, 4082, 9578, 23236, 1000, 30844, 5447, 5818, 23646, 10381, 118, 5297, 23348, 23011, 10768, 2036, 120, 10938, 57521, 51062, 11311, 57488, 1500, 10652, 5860, 145567, 57826, 255057, 51706, 144402, 144100, 5333, 10493, 57553, 9448, 6647, 55847, 5923, 6507, 23197, 2918, 6861, 6305, 5064, 112, 2319, 6566, 6520, 10752, 6712, 2035, 8502, 10067, 4756, 1456, 25921, 490, 65108, 119, 23603, 5872, 5361, 255252, 27020, 10160, 219287, 199731, 84263, 57609, 2182, 26090, 4763, 285172, 22979, 10554, 57863, 57498, 6515, 55690, 9789, 738, 65082, 83733, 80856, 83660, 8776, 493, 9498, 9761, 9066, 8140, 6620, 57446, 6509, 5099, 57465, 8613, 79143, 57512, 84293, 56255, 56907"
"spectral",20,"1",3026,4,39,1,3.26482151292916,0.979101611095328,5.55054141476298,19.3974358974359,1.98948060486522,0.0505896899932083,0.278833768589421,0.999044361066128,0.999044361066128,"4069"
"spectral",20,"100",3026,40,39,2,1.43386451700461,-0.0245676695379535,2.89229670354718,3.87948717948718,3.97896120973044,0.0929445895298072,0.278833768589421,0.985926518951097,0.999044361066128,"56144, 1958"
"spectral",20,"111",3026,1818,39,25,0.173237315600357,-0.485112116550722,0.831586747751435,1.06696567092607,49.7370151216305,0.366346117330412,0.732692234660825,0.749906226329538,0.999044361066128,"5684, 527, 1410, 4140, 306, 1731, 23157, 5413, 23176, 10801, 346288, 55752, 6155, 989, 151011, 11332, 55964, 284069, 4735, 547, 5414, 51606, 84966, 5874, 9751"
"spectral",31,"111",3026,1818,132,88,0.296888121359504,-0.0725500440226479,0.666326286741656,1.10964429776311,15.2828282828283,0.067133100967521,0.402798605805126,0.953839591766991,0.953839591766991,"5573, 57403, 10675, 5576, 11316, 4905, 509, 2819, 3039, 10072, 1314, 10059, 23230, 10427, 6786, 10314, 55177, 5354, 54732, 10970, 1465, 10423, 10857, 10564, 115, 821, 23770, 10100, 23786, 54927, 56947, 56895, 522, 53826, 10424, 4259, 127833, 51286, 51024, 5577, 63826, 54332, 378, 54940, 5007, 114876, 3098, 9218, 3099, 5214, 114882, 23284, 253559, 51097, 25782, 4713, 55930, 4430, 8761, 2181, 224, 10159, 10409, 1650, 23256, 89941, 56993, 537, 64423, 55831, 6185, 23065, 23344, 9804, 9217, 54996, 7416, 223, 5110, 7018, 8402, 9694, 9495, 55915, 57406, 92140, 9296, 7879"
"spectral",32,"111",3026,1818,76,58,0.778710750723632,0.24479346541842,1.31262803602884,1.27025070928145,30.3857340720222,0.00193493298263776,0.0116095978958266,0.999170728358662,0.999170728358662,"10574, 348, 1937, 5764, 5315, 6176, 2597, 5717, 55755, 4715, 8575, 5660, 6767, 79885, 4731, 6284, 23140, 9796, 7001, 5908, 2, 126003, 310, 54413, 307, 2745, 10376, 9361, 7280, 2193, 53822, 9911, 3187, 10056, 51138, 5332, 6124, 2266, 6187, 292, 6138, 5464, 5550, 23154, 55201, 8518, 9446, 79641, 9362, 762, 2806, 9045, 27095, 83449, 4712, 90580, 93185, 482"
"spectral",32,"110",3026,11,76,1,1.36609165380237,-0.702310628153439,3.43449393575818,3.61961722488038,0.523891966759003,0.24442048404777,0.73326145214331,0.970431378311435,0.999170728358662,"2597"
"spectral",35,"101",3026,1167,81,41,0.504307982408858,0.0624242720050441,0.946191692812672,1.31249272694574,18.9096174363664,0.0169456960841232,0.101674176504739,0.990548851135029,0.990548851135029,"9135, 23368, 60491, 4591, 5932, 5300, 84445, 5571, 140710, 375056, 5565, 3507, 115948, 8664, 5563, 200081, 79959, 23254, 2800, 57326, 55698, 6687, 8030, 115817, 11178, 55346, 84823, 145773, 2239, 197322, 154043, 64168, 57530, 221424, 7750, 9612, 9632, 9455, 8785, 64599, 5313"
"spectral",35,"100",3026,40,81,3,1.1062063879877,-0.0916803711859941,2.3040931471614,2.80185185185185,1.38363054412437,0.09000683868975,0.27002051606925,0.979044575844609,0.990548851135029,"22938, 7159, 25959"
"spectral",35,"110",3026,11,81,1,1.29985100459427,-0.767777804615599,3.36747981380414,3.39618406285073,0.46121018137479,0.258412313058906,0.516824626117811,0.966717032448595,0.990548851135029,"148281"
"spectral",38,"110",3026,11,47,1,1.86475398528062,-0.211436503848336,3.94094447440957,5.85299806576402,1.36985061113626,0.158425544712739,0.950553268276431,0.988120091320779,0.988120091320779,"55917"
"spectral",39,"111",3026,1818,12,10,1.20452574876911,-0.315431548349098,2.72448304588732,1.38705537220389,210.138888888889,0.0838665413848135,0.503199248308881,0.980335023606006,0.988146320155573,"8655, 81565, 10243, 5339, 2556, 288, 134829, 8537, 9118, 8546"
"spectral",40,"110",3026,11,77,1,1.35250623313854,-0.715733230676853,3.42074569695393,3.57260920897285,0.510372744138978,0.247237899191999,0.75473182511749,0.969703066913607,0.969703066913607,"11004"
"spectral",40,"101",3026,1167,77,33,0.182652189959473,-0.274759496013064,0.640063875932009,1.11127432978333,16.8423005565863,0.251577275039163,0.75473182511749,0.816938841805859,0.969703066913607,"6249, 54477, 23243, 117177, 57606, 10767, 29110, 26130, 51248, 9100, 51361, 5537, 84516, 51101, 1819, 10613, 55700, 23271, 10527, 3832, 84376, 55291, 283638, 4677, 9053, 79884, 9414, 53353, 9859, 9755, 84532, 9344, 51441"
"spectral",41,"100",3026,40,1,1,Inf,NA,Inf,75.65,3026,0.0132187706543292,0.0793126239259752,1,1,"84461"
"spectral",43,"101",3026,1167,139,81,0.839846988808095,0.494402253209601,1.18529172440659,1.51101329733129,12.685989338026,1.16603866204642e-06,6.9962319722785e-06,0.999999513285573,0.999999513285573,"10605, 1975, 3276, 142, 2051, 55729, 3915, 23420, 6311, 546, 22927, 3066, 3836, 23090, 121504, 8661, 3476, 11127, 8349, 2332, 1108, 8826, 134492, 4204, 10290, 79026, 8087, 64854, 1665, 28992, 8359, 83473, 3009, 6147, 132299, 345651, 3024, 3005, 6904, 8342, 166785, 23047, 22907, 6840, 1828, 129684, 57496, 51673, 50809, 85235, 125113, 51366, 51474, 284217, 9343, 5430, 9898, 9320, 752, 5036, 8662, 6334, 349667, 388695, 9847, 9775, 9737, 9585, 80164, 9031, 79747, 84643, 9651, 387597, 84364, 5980, 84896, 3908, 8632, 7368, 28316"
"spectral",43,"100",3026,40,139,4,0.852925733138023,-0.194411301650697,1.90026276792674,2.17697841726619,0.626468609285234,0.108903507298919,0.326710521896757,0.965681845570802,0.999999513285573,"10919, 26036, 1846, 84726"
"spectral",44,"101",3026,1167,186,94,0.520330934909962,0.223044995923628,0.817616873896295,1.31042743547926,8.22187536131345,0.000410473380912988,0.00246284028547793,0.999765450784305,0.999765450784305,"1981, 5093, 2547, 3842, 6210, 1994, 10142, 9584, 1434, 11051, 11100, 4841, 22985, 57143, 4857, 26505, 386618, 11052, 2130, 22978, 10016, 5725, 9513, 10432, 7874, 54880, 7158, 6597, 5591, 3069, 6426, 56252, 4691, 1488, 4008, 9667, 58525, 10250, 11168, 11198, 6733, 6428, 9444, 6386, 6434, 51645, 3185, 553115, 3608, 8341, 57019, 115207, 6418, 103, 783, 55269, 23451, 6741, 51755, 6144, 142678, 2897, 10587, 85456, 3609, 1993, 7520, 8450, 3948, 23215, 64848, 9733, 57520, 6634, 5358, 24137, 9774, 9706, 874, 25836, 8570, 23367, 9967, 9987, 8539, 63875, 9555, 6738, 64478, 8504, 63929, 90957, 64210, 8562"
"spectral",44,"100",3026,40,186,4,0.537570983741466,-0.506262741626137,1.58140470910907,1.62688172043011,0.349867036651636,0.228976645344473,0.686929936033418,0.904451763126216,0.999765450784305,"8658, 6949, 4999, 53981"
"spectral",46,"101",3026,1167,4,3,1.56625057975051,-0.698148076967289,3.83064923646831,1.94473007712082,567.375,0.162921930083648,0.97753158050189,0.977948706207283,0.996038300794054,"79837, 64219, 81567"
"spectral",47,"110",3026,11,5,1,4.3211480743678,2.04355376123879,6.59874238749681,55.0181818181818,121.04,0.0180559961850916,0.108335977110549,0.999880543240289,0.999880543240289,"5858"
"spectral",49,"101",3026,1167,50,26,0.555182118300131,-0.00453289755394859,1.11489713415421,1.34834618680377,31.4704,0.0356198298337561,0.213718979002537,0.981679984128835,0.981679984128835,"22883, 23327, 9696, 2901, 7337, 23376, 7321, 7322, 22954, 57169, 6218, 196403, 5153, 27072, 1013, 2039, 84959, 29978, 51065, 90678, 55236, 81846, 713, 23046, 84502, 9196"
"spectral",58,"111",3026,1818,83,55,0.273626210119107,-0.187331357335378,0.734583777573592,1.10295969355972,24.1588038902598,0.145903564955821,0.875421389734926,0.900796510467686,0.919923822347213,"4670, 7251, 3064, 4747, 2801, 81876, 5682, 5683, 5685, 5687, 5690, 5689, 5691, 5693, 5694, 5695, 6230, 7114, 2670, 3853, 7143, 4641, 5688, 5692, 51386, 25930, 5585, 1641, 53358, 128866, 152789, 139818, 3856, 3860, 3849, 3868, 4741, 25999, 11130, 55364, 5686, 10525, 6129, 79784, 115827, 23352, 4744, 8396, 85365, 4642, 8239, 84932, 79643, 83988, 60684"
"spectral",62,"101",3026,1167,2,2,Inf,NA,Inf,2.5929734361611,1513,0.148653487952893,0.891920927717359,1,1,"79763, 810"
"spectral",63,"111",3026,1818,195,138,0.506039753647233,0.188457546155227,0.823621961139238,1.17793010070238,10.981932938856,0.000886964735438853,0.00532178841263312,0.999486907611526,0.999486907611526,"3028, 2108, 10989, 1891, 10469, 506, 5164, 5924, 293, 1743, 213, 4700, 1345, 5481, 55207, 3735, 4698, 3420, 5160, 9131, 26519, 4716, 26275, 1737, 9748, 515, 51079, 4513, 10452, 7385, 3329, 5589, 10383, 37, 3313, 10247, 8050, 3032, 5162, 81892, 2744, 8659, 10294, 55466, 3954, 127829, 1327, 539, 25813, 498, 55735, 10651, 513, 10102, 4722, 1329, 4336, 10455, 1738, 5163, 51067, 10965, 3030, 219, 10476, 1431, 4967, 4723, 114294, 6389, 5019, 10128, 6326, 4976, 2109, 1678, 6742, 23325, 54539, 6390, 38, 23597, 10632, 2110, 2746, 4697, 4728, 4725, 4720, 4726, 8604, 7388, 1340, 4729, 4719, 7384, 4702, 514, 4704, 83858, 29920, 28976, 29078, 26517, 3029, 205, 1632, 10449, 117145, 4724, 4695, 374291, 4942, 50, 50808, 94081, 7386, 9377, 84303, 26520, 55848, 8802, 6327, 9868, 9551, 7857, 54704, 81533, 10814, 16, 9652, 4705, 9897, 760, 8209, 92259, 55967, 1347"
"spectral",63,"11",3026,3,195,1,1.98667323167829,-0.418230092266763,4.39157655562335,5.17264957264957,0.0795792241946088,0.181189953153391,0.543569859460174,0.988129197573108,0.999486907611526,"1345"
"spectral",64,"11",3026,3,52,2,4.7784509981299,2.36173335578967,7.19516864047013,38.7948717948718,2.23816568047337,0.000859580777864742,0.00515748466718845,0.999995209647917,0.999995209647917,"216, 30"
"spectral",64,"100",3026,40,52,2,1.12834140513982,-0.320808408961052,2.57749121924069,2.90961538461538,2.23816568047337,0.14970479473838,0.34771827749952,0.969752001751984,0.999995209647917,"3792, 26063"
"spectral",64,"110",3026,11,52,1,1.75988426069761,-0.314334044246656,3.83410256564187,5.29020979020979,1.11908284023669,0.17385913874976,0.34771827749952,0.985571553772217,0.999995209647917,"5042"
"spectral",64,"101",3026,1167,52,22,0.158209804098686,-0.396882086532604,0.713301694729976,1.09702722299123,24.6198224852071,0.335868181802367,0.503802272703551,0.76045082774897,0.999995209647917,"10592, 8894, 216, 23542, 847, 2053, 10005, 133746, 4907, 644, 84129, 284273, 10901, 50640, 25994, 80279, 7057, 1468, 9842, 79870, 8540, 79861"
"spectral",68,"111",3026,1818,19,14,0.624431432533268,-0.399308202325425,1.64817106739196,1.22644896068554,117.351800554017,0.163861264104563,0.983167584627376,0.930077416654958,0.981275128214532,"4831, 5867, 4830, 56850, 2664, 479, 3419, 2879, 9601, 5479, 25953, 10908, 2197, 23"
"spectral",70,"1",3026,4,50,1,3.00689423621936,0.726143154638591,5.28764531780013,15.13,1.2104,0.0645048642816521,0.387029185689913,0.9984278727327,0.9984278727327,"6194"
"spectral",70,"111",3026,1818,50,33,0.258669092551825,-0.331048020505108,0.848386205608757,1.09854785478548,39.9432,0.23849973706349,0.715499211190471,0.843230319042216,0.9984278727327,"6136, 6189, 1363, 6142, 6092, 6194, 6160, 23521, 55161, 4736, 6203, 6135, 6648, 51109, 488, 51678, 30849, 6202, 6193, 440279, 23196, 6132, 6576, 6130, 55074, 309, 6141, 6181, 6229, 6173, 84152, 6208, 6228"
"spectral",71,"101",3026,1167,14,8,0.756930455397389,-0.304132420605595,1.81799333140037,1.48169910637777,123.510204081633,0.12468027066947,0.748081624016822,0.954162750582897,0.98617986025004,"5170, 5142, 642, 55638, 1995, 2639, 6159, 22983"
"spectral",75,"101",3026,1167,5,4,1.85479212797501,-0.337779599699314,4.04736385564933,2.07437874892888,484.16,0.076311194733367,0.457867168400202,0.991513681442445,0.995049513599355,"57132, 51534, 9798, 6683"
"spectral",77,"100",3026,40,11,1,2.03218865682929,-0.0476078294446953,4.11198514310328,6.87727272727273,25.0082644628099,0.136378018740916,0.818268112445498,0.991308026875346,0.991308026875346,"375567"
"spectral",78,"111",3026,1818,38,29,0.76990232416905,0.0184605378787144,1.52134411045939,1.27025070928145,60.7714681440443,0.026654624350207,0.159927746101242,0.989080404960267,0.989080404960267,"1785, 3612, 5305, 6262, 3983, 1996, 7415, 22872, 1982, 25932, 373156, 3418, 5837, 2631, 6252, 5834, 51382, 5836, 25796, 10953, 523, 5707, 2767, 23071, 23576, 57026, 231, 526, 9209"
"spectral",79,"110",3026,11,3,1,5.01495926557631,2.53547645492862,7.494442076224,91.6969696969697,336.222222222222,0.0108694703622002,0.0652168221732012,0.999964020337451,0.999964020337451,"525"
"spectral",83,"100",3026,40,10,1,2.13788513754991,0.0478522585858085,4.22791801651401,7.565,30.26,0.124770196412165,0.74862117847299,0.992828702289593,0.992828702289593,"64419"
