alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,1,642,304,101,1.20191484775831e-06,2.00319141293051e-07,"10605, 1975, 1981, 10043, 1613, 3276, 5093, 2547, 3842, 23129, 3646, 7916, 6210, 1642, 1994, 142, 10598, 2051, 10987, 4297, 55729, 1009, 23420, 3315, 10142, 9584, 1434, 11051, 11100, 56992, 81631, 546, 2804, 22927, 5498, 4841, 6279, 8878, 10155, 7314, 22985, 4673, 6601, 2873, 4857, 55229, 4869, 26505, 386618, 60491, 11052, 2130, 1995, 10016, 5725, 9513, 6921, 3066, 10432, 1155, 7874, 23072, 23090, 54880, 7158, 121504, 23365, 1965, 2314, 8661, 2639, 8454, 79837, 9040, 6597, 3476, 23376, 22983, 5591, 23384, 11335, 11127, 8349, 23229, 3069, 2332, 375056, 6426, 56252, 4691, 4008, 26229, 27339, 1374, 2053, 9667, 25777, 6232, 5192, 55636, 9958, 8237, 3014, 23224, 58525, 1108, 10250, 11168, 178, 11198, 7094, 6733, 6428, 9444, 91010, 117177, 23002, 6434, 51645, 10767, 26750, 23012, 283455, 29927, 10075, 3185, 27247, 26130, 8826, 192669, 134492, 4204, 2983, 1013, 54726, 23201, 23503, 553115, 6687, 55521, 3839, 29978, 64744, 5610, 8087, 3608, 8453, 64854, 55040, 55506, 8341, 64168, 1665, 9605, 60682, 8359, 83473, 115207, 22891, 6418, 55269, 23451, 23417, 2987, 3009, 6147, 10330, 10788, 345651, 3024, 3005, 6741, 51755, 6904, 4926, 8342, 166785, 23047, 22907, 221061, 25989, 6329, 6238, 6840, 1828, 129684, 57496, 22865, 10178, 51673, 51065, 50809, 85235, 125113, 57489, 10587, 51366, 3609, 10499, 8451, 8452, 1993, 51474, 64219, 23061, 55236, 55140, 9343, 9097, 7520, 5116, 261726, 161725, 8450, 9978, 23255, 3948, 23215, 64848, 9733, 57520, 54867, 7750, 6599, 6634, 5358, 24137, 54915, 23269, 713, 9632, 9898, 9320, 8533, 9774, 8887, 6227, 9706, 55324, 752, 25836, 4694, 79187, 4707, 5036, 79699, 9208, 8570, 8663, 8455, 57680, 23367, 9967, 9987, 487, 6334, 80028, 386617, 53918, 339122, 8539, 349667, 64743, 9455, 84532, 3635, 63875, 9775, 9555, 81567, 84502, 4076, 57528, 9737, 5334, 6738, 55102, 6263, 9585, 80164, 9031, 79747, 84643, 9651, 64478, 387597, 84364, 5980, 8504, 84896, 3908, 343990, 63929, 80728, 8632, 6847, 90957, 7368, 28316, 64210, 8562, 80347, 54954, 83939"
fc,5,776,504,111,0.0043554506849997,0.0007259084474999,"2923, 6548, 6616, 3265, 2475, 5898, 5573, 322, 57403, 8773, 3028, 10484, 55824, 10550, 7905, 954, 6640, 387, 6804, 2108, 10006, 10989, 5684, 4684, 3897, 22839, 1739, 10228, 5869, 5868, 667, 375, 1937, 1891, 2010, 10458, 4478, 10469, 392, 10188, 5097, 5861, 6558, 23513, 5792, 5786, 5791, 23647, 9844, 682, 27131, 506, 961, 527, 998, 5164, 5924, 55845, 63916, 5881, 5576, 5879, 2037, 6184, 8476, 10627, 11316, 4905, 1743, 509, 2819, 4831, 1345, 1783, 10397, 396, 3703, 3163, 3735, 4191, 4893, 112476, 4649, 10490, 5127, 6195, 10313, 1731, 389, 4698, 23157, 57142, 140885, 23204, 2752, 4830, 9253, 7163, 7165, 59338, 114569, 5413, 23176, 5062, 4067, 1499, 5160, 476, 58533, 9131, 6708, 6709, 6857, 3845, 1968, 10059, 445815, 23230, 26275, 1737, 9648, 5870, 8675, 9475, 10801, 346288, 55752, 10211, 50488, 6786, 57524, 515, 51079, 219771, 51466, 116986, 388, 11230, 1267, 382, 4082, 9578, 114793, 9743, 5910, 23236, 3895, 6711, 55177, 10452, 6342, 7385, 5354, 3329, 4000, 1620, 3295, 22908, 54732, 55738, 146223, 3033, 338, 7430, 10970, 8050, 5818, 6844, 1465, 3032, 23646, 10381, 3301, 10423, 118, 3155, 2823, 10857, 5297, 5162, 989, 2744, 23011, 10564, 2562, 8659, 10768, 2036, 6642, 120, 115, 286, 10938, 2011, 821, 57521, 11311, 23770, 112755, 23673, 116841, 214, 57488, 6710, 10100, 8650, 1500, 6643, 3482, 10652, 151011, 55964, 3954, 127829, 1327, 6843, 539, 23786, 284069, 4735, 63908, 54927, 25813, 498, 5860, 26086, 30845, 2686, 5414, 56947, 56895, 55735, 10651, 145567, 23052, 2572, 54769, 57826, 522, 493856, 513, 219738, 57709, 53826, 55327, 157378, 10424, 59353, 51075, 4259, 51308, 127833, 1727, 255057, 9283, 192683, 10102, 11112, 23788, 2912, 51286, 4722, 5780, 1329, 51024, 5577, 51706, 56894, 144402, 9341, 63826, 2824, 57460, 54332, 378, 5333, 7920, 54940, 6855, 10455, 1738, 10493, 80221, 7781, 114876, 2817, 3098, 9218, 9448, 5163, 55847, 51067, 9368, 10815, 3099, 10965, 114786, 6507, 80331, 23197, 2918, 6861, 5718, 6529, 160, 140679, 6305, 114882, 3030, 219, 10476, 112, 23284, 23408, 8803, 4967, 4723, 114294, 253559, 9554, 51097, 6389, 2319, 134957, 477, 4430, 5019, 132001, 2181, 6566, 7846, 6520, 10752, 4976, 2109, 2035, 1678, 5364, 11113, 9342, 23092, 9912, 6742, 4983, 975, 8502, 7402, 10067, 326624, 391, 4756, 54539, 7109, 1456, 6390, 9143, 9522, 224, 10159, 38, 25921, 2110, 2746, 9732, 116987, 11343, 23362, 10409, 11336, 490, 483, 23256, 65108, 119, 23603, 5872, 5361, 255252, 27020, 10160, 219287, 4728, 4725, 4720, 4726, 8604, 7388, 1340, 4729, 4719, 7384, 4702, 514, 4704, 83858, 89941, 29920, 28976, 56993, 29078, 26517, 64423, 51, 84263, 83752, 57609, 3029, 6185, 23065, 23344, 23382, 381, 205, 1632, 10449, 117145, 4724, 4695, 374291, 4942, 50, 50808, 9804, 80777, 9217, 54996, 94081, 7386, 9377, 84303, 55848, 223, 2182, 26090, 4763, 285172, 22979, 10554, 8802, 8417, 9868, 9590, 7018, 6515, 9223, 9694, 8775, 9495, 491, 8938, 23096, 8760, 57406, 9789, 54704, 617, 738, 81533, 51025, 92140, 65082, 9515, 64083, 29919, 80856, 80222, 7447, 9854, 9524, 8834, 94097, 950, 10814, 9296, 9145, 91663, 91137, 83660, 8776, 16, 4648, 9652, 493, 4705, 9761, 9066, 8140, 7879, 83696, 57446, 6509, 5099, 57465, 8613, 79143, 57512, 92259, 55967, 1347, 91683, 84293, 56255, 81855, 56907"
fc,3,116,82,111,0.061621542986644,0.0102702571644407,"10675, 1804, 4685, 1272, 4099, 4340, 5621, 334, 7251, 3831, 4140, 8575, 55512, 5660, 1363, 6767, 79885, 4731, 6284, 23140, 1314, 6092, 9796, 1315, 6513, 4134, 9748, 5213, 2224, 51056, 51386, 55823, 150209, 774, 3418, 5211, 257194, 4045, 50863, 51109, 1501, 5837, 23122, 2631, 64601, 57617, 5834, 5702, 4133, 5836, 3241, 11130, 1159, 3208, 444, 548596, 133121, 57553, 309, 292, 6138, 377, 57787, 80128, 6154, 471, 4978, 7381, 79641, 9362, 84152, 8402, 85300, 84894, 85440, 8239, 4139, 51144, 80333, 83449, 482, 402665"
fc,9,45,34,111,0.128284305465218,0.0213807175775363,"4645, 91404, 10093, 10094, 9230, 5867, 2170, 10640, 26056, 2664, 3419, 1000, 6648, 10092, 3925, 10890, 2665, 55054, 22841, 23233, 6188, 2197, 23, 6143, 10097, 51552, 10096, 10109, 57180, 5593, 81873, 4048, 83452, 8774"
fc,10,17,11,101,0.155422271411031,0.0259037119018385,"3500, 57120, 2894, 3836, 23633, 12, 23433, 28992, 3502, 3514, 65008"
fc,13,3,1,100,0.234883092432814,0.0391471820721356,84864
infomap,73,55,38,101,2.18526029017826e-05,3.64210048363044e-06,"142, 394, 3066, 121504, 26230, 11127, 8349, 3014, 10075, 8359, 3009, 10788, 3024, 3005, 6904, 8342, 166785, 23047, 6840, 1828, 129684, 57496, 22865, 10527, 51673, 50809, 85235, 752, 9031, 79747, 84643, 387597, 84364, 5980, 84896, 3908, 8632, 7368"
infomap,77,38,26,101,0.0010229116037701,0.000170485267295,"26994, 133957, 7314, 2901, 7337, 1155, 7874, 23072, 7321, 7322, 22954, 57169, 6218, 196403, 9958, 5153, 23201, 55698, 84959, 55040, 90678, 55236, 9097, 161725, 54915, 8887"
infomap,7,149,78,101,0.0019186076642768,0.0003197679440461,"3276, 5093, 2547, 3842, 6210, 9584, 11051, 11100, 22927, 4841, 22985, 6601, 4857, 11052, 2130, 5725, 10432, 7112, 7158, 1965, 6597, 5591, 6426, 4691, 9667, 58525, 1108, 10250, 11168, 11198, 6733, 6428, 9444, 6386, 6434, 51645, 3185, 8826, 4204, 5610, 3608, 115207, 55269, 23451, 345651, 6741, 51755, 85456, 3609, 1993, 51474, 9343, 7520, 8450, 3948, 23215, 64848, 9733, 57520, 6599, 6634, 5358, 24137, 9774, 874, 25836, 8570, 23367, 9967, 9987, 8539, 63875, 64478, 8504, 63929, 90957, 64210, 8562"
infomap,98,14,12,101,0.0023877250107137,0.0003979541684522,"324, 26057, 23345, 23086, 23384, 26058, 22920, 4629, 4928, 4538, 89796, 57624"
