"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"fc",1,"DOID:1059",3026,159,642,40,0.23482855361072,-0.134494907504587,0.604152014726028,1.18575990908913,0.293669510194971,0.126192493411901,0.999576072148561,0.909263563331229,0.909263563331229,"3800, 4297, 55729, 81631, 546, 2521, 23435, 27316, 6597, 3476, 5864, 3337, 23229, 2332, 178, 23111, 10075, 3192, 4204, 288, 8573, 1013, 30968, 10908, 64324, 10178, 23352, 64219, 9343, 5813, 8450, 249, 24137, 57662, 84726, 6334, 4076, 3908, 90580, 54954"
"fc",1,"DOID:9255",3026,102,642,23,0.0807770462082809,-0.392009070059516,0.553563162476078,1.06282450674974,0.168859968362108,0.407991360095844,0.999576072148561,0.68271390713134,0.744778807779644,"351, 3842, 3178, 348, 3315, 7277, 2026, 6421, 2521, 8878, 23435, 7001, 3181, 5901, 11335, 1786, 55832, 1974, 29978, 8342, 23154, 9987, 93185"
"fc",1,"DOID:10763",3026,195,642,38,-0.11382317629937,-0.479403267083248,0.251756914484509,0.918507868040578,0.278986034685222,0.75590999574421,0.999576072148561,0.305487789470507,0.366585347364608,"351, 7916, 142, 348, 3309, 10987, 3315, 81631, 3921, 6279, 4646, 2873, 7178, 8454, 6597, 23077, 3337, 2288, 5591, 2332, 37, 2053, 2983, 23417, 6301, 811, 10788, 6128, 3006, 492, 3609, 8452, 3305, 9446, 6227, 308, 8473, 64478"
"fc",1,"DOID:14330",3026,167,642,31,-0.175968429408919,-0.576175793127427,0.224238934309588,0.874941705374298,0.227593870401102,0.831254098652323,0.999576072148561,0.224098693297478,0.29879825772997,"1981, 351, 10935, 142, 348, 8878, 23435, 60, 7001, 2288, 2332, 23208, 4691, 23317, 8301, 27247, 93974, 55506, 84557, 440279, 221061, 55236, 7345, 22933, 23255, 1650, 713, 4694, 4707, 6334, 8562"
"fc",1,"DOID:5419",3026,537,642,106,-0.109681226185804,-0.342681062582049,0.123318610210442,0.930390945427754,0.778224202016673,0.836692336291439,0.999576072148561,0.194079529297465,0.29879825772997,"3800, 5048, 23499, 1457, 7916, 348, 3309, 9379, 9369, 4297, 71, 3190, 10399, 2026, 213, 4841, 25874, 55968, 6204, 5478, 10949, 55229, 60, 3183, 3066, 58155, 1155, 81565, 7001, 5052, 287, 3181, 3337, 10243, 5339, 1786, 23191, 2332, 23208, 2053, 7295, 5192, 221184, 2556, 6733, 9444, 3094, 3927, 10075, 103910, 1974, 3192, 10376, 1428, 2193, 4204, 288, 3796, 3839, 7187, 8087, 64854, 22891, 10487, 23451, 203, 345651, 3008, 1767, 129684, 51673, 54832, 50809, 55799, 4916, 10587, 5306, 1958, 8452, 1993, 64219, 7345, 5116, 5813, 57084, 8682, 5250, 3305, 5110, 713, 7203, 308, 57468, 5230, 7167, 6334, 9455, 5334, 9651, 64478, 5289, 489, 5902, 57605, 760, 54954"
"fc",1,"DOID:12849",3026,154,642,28,-0.201837580213809,-0.620940067706675,0.217264907279057,0.856981025205324,0.20556865713648,0.852863853424039,0.999576072148561,0.20067435423425,0.29879825772997,"351, 3800, 1600, 348, 2194, 9379, 9369, 1009, 5864, 10243, 23191, 2332, 2556, 3094, 4204, 288, 83473, 22891, 10514, 129684, 4916, 6134, 1993, 57084, 57680, 6263, 64478, 54954"
"fc",1,"DOID:0060041",3026,155,642,28,-0.210185727612994,-0.629002607445155,0.208631152219167,0.85145211536529,0.20556865713648,0.862144059927745,0.999576072148561,0.189228511789198,0.29879825772997,"351, 3800, 1600, 348, 2194, 9379, 9369, 1009, 5864, 10243, 23191, 2332, 2556, 3094, 4204, 288, 83473, 22891, 10514, 129684, 4916, 6134, 1993, 57084, 57680, 6263, 64478, 54954"
"fc",1,"DOID:3312",3026,190,642,34,-0.224810763552368,-0.606460517064973,0.156838989960237,0.843449745859977,0.249619083665725,0.895836814208858,0.999576072148561,0.142839357592379,0.29879825772997,"3800, 348, 3309, 10399, 2026, 3183, 3337, 6009, 1786, 2332, 26999, 221184, 3094, 3927, 10075, 288, 64854, 7184, 22891, 25782, 1767, 54832, 55799, 4916, 1993, 5116, 57084, 4697, 6233, 6334, 64478, 343990, 489, 54954"
"fc",1,"DOID:2377",3026,134,642,22,-0.328760116134874,-0.794383521818977,0.136863289549229,0.773841074998838,0.161518230607234,0.936416070398784,0.999576072148561,0.0975124067416367,0.29253722022491,"351, 3178, 348, 3315, 10919, 5725, 58155, 5864, 2, 23321, 11140, 54536, 4691, 10767, 51571, 1828, 6888, 57468, 7167, 6334, 64478, 57605"
"fc",1,"DOID:12858",3026,59,642,8,-0.549522773460286,-1.30001023599605,0.200964689075481,0.639104493373462,0.0587339020389942,0.953092591451231,0.999576072148561,0.0938657211764322,0.29253722022491,"22895, 213, 6009, 3014, 54472, 7345, 22933, 9555"
