"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"DOID:9255",3026,102,166,13,0.97283861119994,0.368548455150047,1.57712876724983,2.32329317269076,1.42756568442444,0.00328458799438204,0.0394150559325845,0.998891706636669,0.998891706636669,"273, 6455, 1785, 161, 163, 6311, 3092, 25978, 7415, 5530, 162, 5533, 231"
"louvain",1,"DOID:10652",3026,388,166,24,0.147517634599263,-0.29881535377531,0.593850622973835,1.12756179356602,2.63550587893744,0.291933183673493,0.98948751834309,0.781932489382148,0.870452229332955,"1785, 10133, 23163, 1600, 5868, 9135, 161, 6453, 7314, 25978, 26060, 1996, 7415, 5530, 57030, 5534, 8301, 288, 8522, 54472, 80142, 8867, 48, 3635"
"louvain",1,"DOID:14330",3026,167,166,11,0.207101585792442,-0.425407094661992,0.839610266246875,1.20070701969555,1.20794019451299,0.307168541918607,0.98948751834309,0.797914543555209,0.870452229332955,"6456, 26994, 6311, 25978, 1996, 2580, 8301, 27072, 84557, 9026, 8867"
"louvain",1,"DOID:12858",3026,59,166,4,0.230523658611832,-0.796769097783046,1.25781641500671,1.23585868899326,0.439250979822906,0.407474907653593,0.98948751834309,0.779523346098943,0.870452229332955,"3064, 3092, 25930, 54472"
"louvain",1,"DOID:1059",3026,159,166,8,-0.0960984860769601,-0.825051894401922,0.632854922248002,0.917178146548458,0.878501959645812,0.654409826104553,0.98948751834309,0.487474128568935,0.731211192853402,"81631, 55198, 11253, 178, 23111, 288, 9901, 54954"
"louvain",1,"DOID:3312",3026,190,166,9,-0.164319389733306,-0.852775279056722,0.524136499590111,0.863474952441344,0.988314704601539,0.727840899923048,0.98948751834309,0.395990637754711,0.67884109329379,"9644, 57030, 129285, 288, 2900, 6233, 8867, 9495, 54954"
"louvain",1,"DOID:2377",3026,134,166,6,-0.222655389234708,-1.0567389078393,0.611428129369879,0.816220104297788,0.658876469734359,0.755527264250848,0.98948751834309,0.389191356194494,0.67884109329379,"58513, 6456, 6311, 4509, 51571, 23576"
"louvain",1,"DOID:12849",3026,154,166,6,-0.375184970709601,-1.20683991273632,0.456469971317118,0.710217493350023,0.658876469734359,0.860606330534897,0.98948751834309,0.247404982565701,0.593771958157681,"2495, 1600, 9644, 129285, 288, 54954"
"louvain",1,"DOID:0060041",3026,155,166,6,-0.382287802452565,-1.21383831726467,0.449262712359537,0.70563544500583,0.658876469734359,0.86471347025647,0.98948751834309,0.241387639217478,0.593771958157681,"2495, 1600, 9644, 129285, 288, 54954"
"louvain",1,"DOID:10763",3026,195,166,7,-0.468853481338331,-1.24010750783894,0.302400545162275,0.654371331479765,0.768689214690086,0.921158660665185,0.98948751834309,0.147740879507398,0.590963518029591,"9644, 81631, 4646, 25932, 23071, 23576, 9927"
"louvain",1,"DOID:5419",3026,537,166,22,-0.362897066001041,-0.821583872032032,0.0957897400299496,0.746808462901887,2.41588038902598,0.955881844438482,0.98948751834309,0.0694146032369919,0.416487619421951,"1759, 6456, 50618, 6457, 1400, 9644, 6311, 5478, 5530, 287, 57030, 5532, 5534, 129285, 288, 5533, 2900, 1212, 23074, 23576, 9373, 54954"
"louvain",1,"DOID:1826",3026,228,166,6,-0.808315394600791,-1.63477617764474,0.0181453884431527,0.479708306911858,0.658876469734359,0.98948751834309,0.98948751834309,0.0264794958641801,0.317753950370161,"1759, 1400, 3092, 4509, 178, 25977"
"louvain",2,"DOID:2377",3026,134,168,16,0.893736776309956,0.34662466694887,1.44084888567104,2.15067519545131,1.71541950113379,0.0025552330091417,0.0306627961097004,0.999053030571076,0.999053030571076,"3303, 3306, 3831, 6774, 7917, 6717, 10055, 10636, 10767, 3308, 361, 3304, 1268, 1901, 6000, 23046"
"louvain",2,"DOID:14330",3026,167,168,14,0.474523997089776,-0.0963298687291079,1.04537786290866,1.50998003992016,1.50099206349206,0.0764873208405366,0.330447438635862,0.95873899239782,0.999053030571076,"5708, 3312, 5704, 5700, 3313, 9532, 3308, 4129, 114134, 1268, 713, 9829, 9531, 6620"
"louvain",2,"DOID:12858",3026,59,168,6,0.673030038400346,-0.185941916990927,1.53200199379162,1.8317191283293,0.64328231292517,0.106230969612338,0.330447438635862,0.957290174232377,0.999053030571076,"7337, 3308, 3300, 4128, 4129, 1268"
"louvain",2,"DOID:9255",3026,102,168,9,0.520516795919167,-0.182122759403532,1.22315635124187,1.58928571428571,0.964923469387755,0.110149146211954,0.330447438635862,0.945911958453002,0.999053030571076,"3303, 10963, 2770, 3300, 7280, 4128, 29978, 361, 81027"
"louvain",2,"DOID:10763",3026,195,168,14,0.296059739456156,-0.271394931121794,0.863514410034107,1.29316239316239,1.50099206349206,0.190420392122607,0.457008941094256,0.880130097689368,0.999053030571076,"3303, 3831, 6774, 7917, 3337, 26575, 2778, 3308, 4128, 361, 3304, 1268, 1901, 2784"
"louvain",2,"DOID:5419",3026,537,168,29,-0.0354889435844949,-0.446953770414017,0.375975883245027,0.972709940587036,3.10919784580499,0.600347364393988,0.958122987010825,0.481960884279762,0.826218658765306,"3303, 2783, 3831, 7917, 3312, 10273, 3337, 2870, 310, 23191, 3313, 2778, 2774, 2782, 7280, 4128, 4129, 2107, 2193, 3304, 1268, 2784, 8787, 713, 85300, 9829, 9628, 9529, 23046"
"louvain",2,"DOID:1826",3026,228,168,10,-0.265970806681648,-0.919844719538254,0.387903106174958,0.78999582289056,1.07213718820862,0.828343038883193,0.958122987010825,0.265483257422596,0.530966514845192,"826, 5955, 310, 1181, 25814, 361, 2775, 1268, 2784, 9829"
"louvain",2,"DOID:0060041",3026,155,168,6,-0.395448329864693,-1.22682122159526,0.435924561865875,0.697235023041475,0.64328231292517,0.872123946303719,0.958122987010825,0.230423159443515,0.530966514845192,"7337, 23191, 4128, 4129, 361, 23046"
"louvain",2,"DOID:3312",3026,190,168,7,-0.453275709440464,-1.22469604326731,0.318144624386385,0.66359649122807,0.750496031746032,0.914288548615911,0.958122987010825,0.158657965895404,0.475973897686212,"2901, 3337, 108, 2774, 4128, 2784, 23046"
"louvain",2,"DOID:12849",3026,154,168,5,-0.583923752233026,-1.48895896500122,0.321111460535172,0.584802102659245,0.536068594104308,0.938096661792164,0.958122987010825,0.131845619080045,0.475973897686212,"7337, 23191, 4128, 361, 23046"
"louvain",2,"DOID:1059",3026,159,168,5,-0.618777453623436,-1.52335153171994,0.285796624473065,0.566412099430967,0.536068594104308,0.948411201858126,0.958122987010825,0.112973163148781,0.475973897686212,"3337, 4128, 1013, 9829, 124997"
"louvain",2,"DOID:10652",3026,388,168,15,-0.425938201403312,-0.967288618972289,0.115412216165666,0.696336524300442,1.60820578231293,0.958122987010825,0.958122987010825,0.0710695541168574,0.475973897686212,"824, 22883, 3831, 3312, 10273, 2776, 3313, 2778, 3308, 4128, 4129, 1268, 90678, 1901, 2784"
"louvain",3,"DOID:10652",3026,388,363,86,0.886743309776812,0.616769243505753,1.15671737604787,1.84768964244128,1.97494099522649,7.5918583114003e-10,9.11022997368036e-09,0.999999999694683,0.999999999694683,"351, 3146, 3320, 7249, 7534, 7532, 5894, 5058, 1956, 815, 348, 1191, 4915, 1612, 22800, 9588, 5321, 9821, 1471, 2950, 3921, 8878, 6853, 642, 6531, 1386, 2915, 23072, 6622, 1499, 1020, 8536, 5605, 5037, 4137, 1509, 4155, 7001, 5594, 801, 5599, 6812, 2931, 2, 5595, 5290, 775, 5581, 2288, 6772, 5602, 23504, 375790, 3339, 10728, 156, 7295, 11033, 3925, 814, 120892, 1453, 286, 23328, 5604, 8567, 8650, 4133, 5524, 230, 2890, 818, 321, 57787, 4900, 7345, 2566, 644, 23237, 84630, 9446, 8997, 1917, 4139, 718, 9520"
