"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG1",1,"DOID:9255",3026,102,242,12,0.445800027504849,-0.171408503010437,1.06300855802014,1.47107438016529,0.620039614780411,0.110713356084247,0.999858512267191,0.939843987102638,0.939843987102638,"161, 163, 3092, 23435, 7415, 162, 55832, 1974, 29978, 361, 381, 231"
"sgG1",1,"DOID:12858",3026,59,242,6,0.270058872124028,-0.584595628748602,1.12471337299666,1.2716066676005,0.310019807390206,0.331924577777896,0.999858512267191,0.811482750444392,0.8852539095757,"3064, 3092, 7337, 25930, 54472, 7345"
"sgG1",1,"DOID:14330",3026,167,242,12,-0.12223895132456,-0.724801560663401,0.480323658014281,0.898500519621913,0.620039614780411,0.697761375535125,0.999858512267191,0.414492564504899,0.497391077405879,"26994, 23435, 1996, 8301, 27072, 9026, 221061, 55236, 7345, 23255, 713, 7879"
"sgG1",1,"DOID:10763",3026,195,242,14,-0.124365425610443,-0.684677185056574,0.435946333835689,0.897732570459843,0.723379550577146,0.708379629452202,0.999858512267191,0.39444179593349,0.497391077405879,"10987, 81631, 4646, 2873, 8454, 3636, 25932, 481, 361, 8452, 23071, 23576, 7162, 9927"
"sgG1",1,"DOID:1059",3026,159,242,9,-0.388190288022511,-1.07404824049537,0.297667664450351,0.707781069702167,0.465029711085308,0.902488152171666,0.999858512267191,0.167275702842104,0.250913554263156,"81631, 23435, 55198, 178, 23111, 64219, 93664, 8239, 54954"
"sgG1",1,"DOID:2377",3026,134,242,7,-0.472909505787623,-1.24546493688267,0.299645925307419,0.653200937461453,0.361689775288573,0.922561017254251,0.999858512267191,0.145676674816279,0.249731442542192,"58513, 23321, 301, 51571, 361, 6888, 23576"
"sgG1",1,"DOID:10652",3026,388,242,22,-0.414522395220674,-0.866368525996738,0.0373237355553904,0.708997188378632,1.13673929376409,0.975938748831701,0.999858512267191,0.0394508122272525,0.0789016244545049,"10133, 23163, 5868, 161, 6453, 7314, 23435, 26060, 1996, 6513, 7415, 23072, 8301, 54472, 114876, 90678, 7345, 80142, 1938, 48, 7879, 57447"
"sgG1",1,"DOID:1826",3026,228,242,11,-0.573926610392742,-1.19446381748908,0.0466105967035939,0.603269537480064,0.568369646882044,0.980985466605388,0.999858512267191,0.0373308477214637,0.0789016244545049,"7316, 3092, 7317, 6513, 23365, 178, 23348, 54726, 55521, 361, 25977"
"sgG1",1,"DOID:3312",3026,190,242,7,-0.859510252481615,-1.62607176610288,-0.0929487388603463,0.460678555893867,0.361689775288573,0.99573657926827,0.999858512267191,0.0110913373262588,0.0359629852587967,"2901, 301, 23348, 3094, 2900, 6233, 54954"
"sgG1",1,"DOID:12849",3026,154,242,5,-0.985930073671027,-1.8869127293029,-0.0849474180391528,0.40597831920146,0.258349839491838,0.99598453279456,0.999858512267191,0.0119876617529322,0.0359629852587967,"7337, 3094, 361, 93664, 54954"
