"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",1,"DOID:3312",3026,190,2,1,2.70805020110221,-0.0677165375943827,5.4838169397988,7.96315789473684,756.5,0.12165529597483,0.74850141746735,0.996076974758703,0.996076974758703,"338"
"spectral",1,"DOID:10763",3026,195,2,1,2.68017383157395,-0.0954989729341809,5.45584663608209,7.75897435897436,756.5,0.124750236244558,0.74850141746735,0.995867222364849,0.996076974758703,"338"
"spectral",1,"DOID:10652",3026,388,2,1,1.9189724933235,-0.854938720461952,4.69288370710896,3.89948453608247,756.5,0.240040202542156,0.960160810168623,0.98359605184817,0.996076974758703,"338"
"spectral",2,"DOID:12858",3026,59,100,7,1.4255270039596,0.609854812706121,2.24119919521308,3.59016949152542,2.1182,0.00290168989969187,0.0348202787963024,0.999409752570182,0.999409752570182,"1020, 4137, 3014, 1152, 7345, 116443, 57338"
"spectral",2,"DOID:10652",3026,388,100,19,0.485783155744661,-0.0256167463814277,0.99718305787075,1.48180412371134,5.7494,0.04736527453629,0.28419164721774,0.974052750372778,0.999409752570182,"10935, 1080, 1020, 4137, 10048, 1965, 2931, 1152, 120892, 55054, 5610, 5524, 2890, 3074, 7345, 1917, 4139, 8913, 9520"
"spectral",2,"DOID:3312",3026,190,100,10,0.527719158101487,-0.142792323531527,1.1982306397345,1.59263157894737,3.026,0.0939227614680659,0.333284707712741,0.953541979412044,0.999409752570182,"2917, 1454, 120892, 2890, 2913, 6125, 6207, 116443, 57338, 4139"
"spectral",2,"DOID:2377",3026,134,100,7,0.50614105895892,-0.2823567761392,1.29463889405704,1.58074626865672,2.1182,0.151940267099569,0.333284707712741,0.927195348745045,0.999409752570182,"3837, 4137, 1152, 54806, 2913, 6125, 9520"
"spectral",2,"DOID:1059",3026,159,100,8,0.468779153996406,-0.272019024795996,1.20957733278881,1.52251572327044,2.4208,0.152295562827367,0.333284707712741,0.923045696728591,0.999409752570182,"5528, 5527, 5518, 8924, 347733, 7102, 1917, 8913"
"spectral",2,"DOID:14330",3026,167,100,8,0.41426774219749,-0.325668667824539,1.15420415221952,1.44958083832335,2.4208,0.184274853920435,0.333284707712741,0.90240322843052,0.999409752570182,"10935, 1460, 2580, 4137, 120892, 6209, 7345, 793"
"spectral",2,"DOID:1826",3026,228,100,10,0.322245993906857,-0.34550027101305,0.989992258826764,1.32719298245614,3.026,0.217721682835002,0.333284707712741,0.871422420110735,0.999409752570182,"5515, 4137, 1965, 5524, 2890, 261726, 51400, 2914, 1917, 8913"
"spectral",2,"DOID:12849",3026,154,100,7,0.352724498865825,-0.433165587579627,1.13861458531128,1.37545454545455,2.1182,0.244881006399193,0.333284707712741,0.866174228533467,0.999409752570182,"2917, 5527, 8924, 54806, 5579, 4139, 793"
"spectral",2,"DOID:0060041",3026,155,100,7,0.345584905452231,-0.440193147823149,1.13136295872761,1.36658064516129,2.1182,0.249963530784556,0.333284707712741,0.862578080605634,0.999409752570182,"2917, 5527, 8924, 54806, 5579, 4139, 793"
"spectral",2,"DOID:5419",3026,537,100,18,0.017885065249095,-0.501026238467676,0.536796368965866,1.01430167597765,5.4468,0.515395550497234,0.61847466059668,0.589478423490944,0.999409752570182,"2917, 1020, 4137, 10048, 1454, 6137, 347733, 1152, 120892, 54806, 2890, 2913, 6125, 6207, 5306, 7345, 116443, 84687"
"spectral",2,"DOID:9255",3026,102,100,2,-0.550372920854245,-1.96450706484894,0.863761223140449,0.593333333333333,0.6052,0.858988558354964,0.937078427296324,0.336369444873746,0.999409752570182,"4137, 120892"
"spectral",2,"DOID:10763",3026,195,100,3,-0.82007304457916,-1.97832643269433,0.338180343536012,0.465538461538462,0.9078,0.962122165569748,0.962122165569748,0.103826517369858,0.999409752570182,"10987, 1080, 8473"
"spectral",3,"DOID:10763",3026,195,51,10,1.30245407602682,0.595347376904451,2.0095607751492,3.04273504273504,11.6339869281046,0.00122017221494983,0.0146420665793979,0.999708252597584,0.999708252597584,"1499, 476, 5037, 5594, 5595, 6772, 5578, 3685, 481, 8671"
