"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",2,"DOID:12849",3026,154,54,5,0.659226736631504,-0.275579859492169,1.59403333275518,1.81938431938432,5.18861454046639,0.13748946596656,0.841327099995784,0.945884522081852,0.945884522081852,"775, 10243, 814, 1977, 783"
"wt",2,"DOID:0060041",3026,155,54,5,0.652183452639977,-0.282531461494998,1.58689836677495,1.80764635603345,5.18861454046639,0.140221183332631,0.841327099995784,0.944462055015566,0.945884522081852,"775, 10243, 814, 1977, 783"
"wt",2,"DOID:1826",3026,228,54,6,0.437237267108502,-0.42241466824618,1.29688920246318,1.47465886939571,6.22633744855967,0.218228684130607,0.872914736522429,0.892221448125184,0.945884522081852,"8536, 10243, 23236, 23229, 777, 57537"
"wt",2,"DOID:1059",3026,159,54,4,0.374274006648871,-0.656929288729312,1.40547730202705,1.40973678080596,4.15089163237311,0.314895761730161,0.926579957652298,0.848609607402277,0.945884522081852,"5932, 23229, 814, 3192"
"wt",2,"DOID:10652",3026,388,54,8,0.170813949942475,-0.58767442566252,0.929302325547469,1.15540282550592,8.30178326474623,0.388624222830422,0.926579957652298,0.750458970633498,0.945884522081852,"3921, 8536, 775, 10243, 5629, 814, 54828, 783"
"wt",2,"DOID:10763",3026,195,54,4,0.15256378187908,-0.876380561908208,1.18150812566637,1.14947768281102,4.15089163237311,0.463289978826149,0.926579957652298,0.733666317803393,0.945884522081852,"3921, 775, 37, 783"
"wt",2,"DOID:14330",3026,167,54,3,0.00714799326528715,-1.16786320027348,1.18215918680406,1.00665335994677,3.11316872427984,0.580571082985885,0.995264713690089,0.652024482595652,0.945884522081852,"1981, 775, 154043"
"wt",3,"DOID:3312",3026,190,150,12,0.276135451106412,-0.332943284770692,0.885214186983516,1.27410526315789,1.61386666666667,0.229306989424152,0.994890598973873,0.855828317268631,0.855828317268631,"2066, 5799, 3309, 217, 57142, 2040, 129285, 115, 7184, 9218, 25782, 6854"
"wt",3,"DOID:10652",3026,388,150,21,0.106987731673603,-0.367050116146454,0.58102557949366,1.09185567010309,2.82426666666667,0.366070074081986,0.994890598973873,0.7212650212772,0.786834568666037,"2923, 2066, 824, 3309, 9588, 9821, 2950, 217, 6853, 58477, 57142, 10059, 4000, 23646, 3925, 55054, 8567, 3098, 811, 84630, 57037"
"wt",3,"DOID:1826",3026,228,150,12,0.0684559587223755,-0.5375146760482,0.674426593492951,1.06175438596491,1.61386666666667,0.458817016588449,0.994890598973873,0.660746632113226,0.786834568666037,"527, 2950, 217, 6853, 826, 57142, 6786, 3925, 115, 6854, 3745, 57620"
"wt",3,"DOID:10763",3026,195,150,10,0.0382549960333224,-0.620374625831802,0.696884617898447,1.03452991452991,1.34488888888889,0.504573880597768,0.994890598973873,0.627514463774133,0.786834568666037,"5195, 2066, 7916, 3309, 2950, 217, 10059, 2879, 811, 10159"
