alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,2,619,87,DOID:1826,1.2943085037626e-09,1.07859041980217e-10,"1759, 4842, 9863, 3798, 7249, 53616, 2561, 7532, 7533, 1740, 3736, 2934, 1956, 5859, 4915, 1400, 1612, 369, 22800, 9693, 2903, 2904, 23327, 5321, 3704, 2932, 5515, 2950, 3092, 6853, 5955, 7317, 2670, 160622, 2911, 2915, 2902, 4137, 1509, 5590, 7248, 610, 23114, 2550, 2571, 9378, 6812, 3778, 9826, 310, 8976, 4509, 4513, 1808, 427, 23348, 1181, 2185, 5906, 348980, 3737, 5524, 5923, 25977, 6854, 3745, 6792, 2554, 2566, 51400, 2555, 9211, 785, 9568, 9900, 18, 4538, 6506, 6900, 9829, 1917, 8831, 718, 889, 3751, 57471, 7881"
fc,2,619,30,DOID:12858,9.28209216338554e-07,1.54701536056426e-07,"1956, 3064, 4217, 2903, 2904, 324, 2932, 2597, 3092, 6531, 5566, 1386, 7337, 1020, 4137, 5580, 5599, 8851, 5595, 25930, 5602, 1808, 5578, 3308, 3300, 4128, 4129, 5332, 116443, 57338"
fc,2,619,115,DOID:10652,1.00922374616829e-05,2.52305936542072e-06,"1785, 8470, 10133, 4842, 3146, 3320, 7249, 7534, 7532, 5894, 1742, 2066, 2280, 824, 5058, 2934, 26037, 1956, 4035, 1191, 161, 4915, 1612, 22800, 274, 6453, 2903, 2904, 1080, 9588, 5321, 2534, 5747, 2932, 2597, 2950, 3312, 10273, 4043, 6853, 2670, 5300, 8440, 6531, 5566, 1386, 2911, 2915, 2902, 2023, 6622, 9479, 1020, 6714, 5605, 5037, 4137, 1509, 4155, 5530, 5594, 1795, 2550, 2571, 5599, 8851, 6812, 2931, 5595, 5290, 9456, 57030, 7159, 5581, 6772, 5602, 1808, 156, 5534, 2244, 2745, 11033, 9229, 120892, 2185, 1453, 3685, 3308, 23328, 5604, 4128, 4129, 8522, 5524, 5654, 2266, 3074, 2566, 80142, 644, 79789, 84630, 8867, 9948, 3738, 57498, 29934, 6506, 5445, 48, 8936, 1917, 9892, 718, 9520"
fc,2,619,58,DOID:14330,2.09626366089021e-05,6.98754553630069e-06,"6456, 4842, 7249, 7534, 7533, 1742, 2066, 1740, 2280, 1460, 1191, 26994, 4915, 4217, 4301, 2903, 2904, 324, 4580, 6311, 2932, 5708, 2950, 3312, 4734, 5704, 2670, 5300, 2580, 6531, 1386, 2915, 2023, 6622, 4137, 5580, 2571, 8851, 9456, 5562, 27347, 2244, 9532, 120892, 3308, 4129, 9026, 6209, 2266, 10497, 9762, 8867, 6506, 5445, 9829, 9531, 718, 6620"
fc,2,619,146,DOID:5419,4.98242328849141e-05,2.07600970353809e-05,"1759, 2885, 6456, 4842, 3303, 9863, 3320, 7534, 2561, 7531, 7529, 7532, 7533, 1072, 1742, 2066, 1741, 9228, 2783, 5058, 2934, 50618, 26037, 1956, 4035, 6457, 1191, 58512, 7334, 4130, 4915, 1400, 5764, 1612, 2903, 2904, 9943, 2905, 2906, 324, 5803, 9588, 5321, 9644, 2534, 6311, 2932, 7917, 2597, 2950, 3312, 4715, 10273, 6853, 23136, 4734, 2670, 50944, 6531, 9699, 2911, 2915, 2902, 2023, 5582, 6622, 1020, 5037, 4137, 1454, 5590, 4155, 85358, 5530, 2596, 5588, 6137, 22999, 2550, 2571, 9378, 8851, 6812, 5595, 9456, 57030, 9826, 57502, 57555, 2870, 310, 4513, 11346, 1808, 128, 156, 427, 5578, 5609, 5565, 5532, 5534, 2560, 9229, 120892, 25830, 348980, 488, 2774, 7280, 4128, 4129, 2107, 56899, 54806, 5563, 10529, 26051, 10612, 5533, 81832, 3304, 6207, 5144, 6854, 3745, 176, 2554, 2566, 873, 1212, 116443, 2555, 8787, 9948, 9568, 9900, 55915, 6506, 9829, 9628, 9529, 23046, 8831, 79180, 57471"
fc,2,619,51,DOID:0060041,0.0002626987619576,0.0001313493809788,"3146, 7249, 7534, 2495, 4915, 2903, 2904, 22871, 2906, 324, 6262, 9644, 5747, 6853, 22941, 6531, 2697, 2915, 7337, 2023, 5527, 6714, 1509, 85358, 7248, 2550, 2571, 9378, 9456, 57502, 128, 5562, 54413, 27347, 2560, 4128, 4129, 56899, 54806, 6854, 6792, 2554, 5579, 2566, 2555, 9568, 18, 93664, 23046, 8831, 3751"
fc,2,619,45,DOID:2377,0.0003327829653011,0.0001941233964256,"6456, 4842, 3303, 3798, 3146, 7532, 4915, 3306, 50807, 2904, 23327, 6311, 2932, 7917, 2597, 2950, 2670, 87, 23095, 2902, 6622, 4137, 1509, 4155, 5594, 23114, 2571, 8482, 6772, 4509, 129807, 156, 5578, 10055, 9647, 3308, 54806, 3304, 8853, 3738, 6506, 6900, 23046, 718, 9520"
fc,2,619,50,DOID:12849,0.000333409281234,0.000222272854156,"3146, 7249, 7534, 2495, 4915, 2903, 2904, 22871, 2906, 324, 6262, 9644, 5747, 6853, 22941, 6531, 2697, 2915, 7337, 2023, 5527, 6714, 1509, 85358, 7248, 2550, 2571, 9378, 9456, 57502, 128, 5562, 54413, 27347, 2560, 4128, 56899, 54806, 6854, 6792, 2554, 5579, 2566, 2555, 9568, 18, 93664, 23046, 8831, 3751"
fc,2,619,52,DOID:3312,0.0148587591696414,0.011144069377231,"4842, 9863, 2561, 7531, 7533, 2066, 2934, 1956, 4915, 1612, 2903, 2904, 9644, 2534, 2932, 2670, 6531, 2911, 2915, 2902, 2023, 1454, 5590, 5588, 2571, 5908, 5290, 57030, 1002, 1808, 54413, 23348, 2560, 120892, 2774, 4128, 56899, 51606, 5923, 6207, 6712, 6854, 176, 2566, 116443, 2555, 8525, 8867, 966, 57338, 23046, 9892"
fc,2,619,30,DOID:9255,0.0220966797796192,0.0184138998163493,"273, 6455, 1785, 3303, 3320, 23025, 161, 1612, 163, 6311, 1915, 5216, 3092, 2670, 5300, 5566, 4137, 5530, 10963, 6812, 10383, 120892, 3300, 7280, 4128, 5533, 51606, 873, 81027, 8506"
