"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"infomap",1,"TRUE",3026,132,78,4,0.174691167928263,-0.846919463876761,1.19630179973329,1.17560217560218,1.98948060486522,0.445186902278457,0.747856849562809,0.747856849562809,0.747856849562809,"9093, 124044, 9568, 56138"
"infomap",1,"FALSE",3026,2894,78,74,-0.174691167928263,-1.19630179973329,0.846919463876761,0.991990502011235,36.8053911900066,0.747856849562809,0.747856849562809,0.445186902278457,0.747856849562809,"273, 6455, 1759, 1785, 1793, 2885, 6456, 8491, 30011, 4783, 10015, 50618, 6457, 2316, 50807, 274, 10188, 9644, 2534, 5576, 5747, 2273, 51429, 6311, 5478, 1398, 9699, 2023, 10659, 5062, 3055, 6714, 5530, 5335, 27, 1795, 357, 6654, 445815, 23114, 23230, 2550, 2571, 2017, 2098, 57030, 9826, 10154, 8482, 5532, 5534, 11253, 65059, 5533, 6792, 3706, 8867, 8871, 9793, 8853, 9590, 9495, 9659, 9901, 8506, 18, 29934, 9054, 51762, 9185, 6506, 5445, 84940, 79585"
"infomap",2,"TRUE",3026,132,65,3,0.0604039540749564,-1.11161608235458,1.23242399050449,1.05804195804196,2.14863905325444,0.54542604910537,0.685439174706649,0.685439174706649,0.685439174706649,"2107, 9628, 9529"
"infomap",2,"FALSE",3026,2894,65,62,-0.0604039540749564,-1.23242399050449,1.11161608235458,0.997352612832917,44.4052071005917,0.685439174706649,0.685439174706649,0.54542604910537,0.685439174706649,"26052, 3303, 4291, 27101, 2783, 3306, 5708, 10382, 3312, 10273, 10072, 5955, 2788, 10681, 5704, 5700, 5701, 10049, 10963, 10726, 5204, 2870, 23191, 10055, 10456, 1181, 9532, 3308, 8079, 51495, 5709, 10294, 80755, 2781, 3300, 2774, 1384, 2782, 7260, 4128, 5875, 4129, 55466, 7266, 55226, 2785, 388336, 2784, 2786, 54331, 81027, 8787, 5662, 9829, 9531, 59345, 1762, 124997, 118427, 80232, 6620, 10840"
"infomap",3,"TRUE",3026,132,22,1,0.0433922980547151,-1.97035934081544,2.05714393692487,1.04201101928375,6.25206611570248,0.62646463604804,0.751101217386173,0.751101217386173,0.751101217386173,"22905"
"infomap",3,"FALSE",3026,2894,22,21,-0.043392298054715,-2.05714393692487,1.97035934081544,0.998083809763146,131.293388429752,0.751101217386173,0.751101217386173,0.62646463604804,0.751101217386173,"2060, 29924, 161, 1213, 163, 6453, 27131, 3092, 23396, 57514, 129807, 8301, 23111, 51571, 9026, 1175, 84251, 3268, 1212, 48, 9267"
"infomap",4,"TRUE",3026,132,46,2,-0.00350263055120211,-1.43144093102655,1.42443566992414,0.996706192358366,2.86011342155009,0.603870474268259,0.674975507930912,0.674975507930912,0.674975507930912,"7531, 5595"
"infomap",4,"FALSE",3026,2894,46,44,0.00350263055120207,-1.42443566992414,1.43144093102655,1.00015023587032,62.9224952741021,0.674975507930912,0.674975507930912,0.603870474268259,0.674975507930912,"673, 8844, 7249, 53616, 7534, 7529, 7532, 10971, 7533, 3984, 5894, 2495, 5058, 4217, 2810, 369, 22800, 5315, 5515, 3757, 23136, 5127, 445, 5527, 5605, 5218, 4155, 7248, 5594, 1645, 6009, 3097, 23108, 11346, 1845, 3685, 5604, 6854, 9610, 5526, 92609, 9211, 80727, 7343"
"infomap",6,"TRUE",3026,132,23,2,0.744202351360229,-0.716831954001326,2.20523665672179,1.99341238471673,11.4404536862004,0.265363871428701,0.530727742857402,0.923984649942351,0.923984649942351,"2923, 129285"
"infomap",6,"FALSE",3026,2894,23,21,-0.744202351360229,-2.20523665672179,0.716831954001326,0.954688861512575,120.124763705104,0.923984649942351,0.923984649942351,0.265363871428701,0.530727742857402,"10484, 5798, 58477, 10328, 10427, 23376, 6786, 375056, 1465, 821, 4144, 8815, 1650, 79789, 55831, 6185, 51234, 80279, 253943, 9632, 9694"
