"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG5",2,"TRUE",3026,132,22,2,0.793340523189342,-0.670820479862022,2.25750152624071,2.08402203856749,12.504132231405,0.248898782613827,0.497797565227654,0.931804707782401,0.931804707782401,"41, 57795"
"sgG5",2,"FALSE",3026,2894,22,20,-0.793340523189342,-2.25750152624071,0.670820479862022,0.950556009298235,125.04132231405,0.931804707782401,0.931804707782401,0.248898782613827,0.497797565227654,"3251, 65263, 9463, 2917, 7247, 2898, 30846, 5818, 10923, 6386, 10290, 9852, 8658, 1984, 221424, 6231, 2897, 874, 8407, 9145"
"sgG5",3,"TRUE",3026,132,19,1,0.198586637743621,-1.82272065140143,2.21989392688868,1.20653907496013,8.38227146814404,0.57259621269392,0.800118911980506,0.800118911980506,0.800118911980506,"22978"
"sgG5",3,"FALSE",3026,2894,19,18,-0.198586637743621,-2.21989392688868,1.82272065140143,0.990579420216055,150.880886426593,0.800118911980506,0.800118911980506,0.57259621269392,0.800118911980506,"10606, 386618, 60491, 9513, 4830, 11171, 58497, 26999, 7525, 51571, 547, 8087, 1665, 6134, 7750, 9898, 57662, 8601"
"sgG5",4,"FALSE",3026,2894,33,32,0.381657265884482,-1.61642117826301,2.37973571003198,1.01392640991812,88.9182736455464,0.574172279731914,0.772335679607545,0.772335679607545,0.772335679607545,"23163, 57403, 5869, 5868, 9135, 57658, 79735, 26060, 55198, 5290, 6224, 55823, 25777, 178, 27072, 64601, 57617, 3482, 116442, 53916, 8411, 326624, 5878, 22930, 2900, 23074, 23355, 9265, 487, 65082, 51493, 7879"
"sgG5",4,"TRUE",3026,132,33,1,-0.381657265884482,-2.37973571003198,1.61642117826301,0.694674012855831,2.77869605142332,0.772335679607545,0.772335679607545,0.574172279731914,0.772335679607545,"11311"
"sgG5",6,"FALSE",3026,2894,18,18,Inf,NA,Inf,1.04561161022806,168.111111111111,0.44702037281526,0.89404074563052,1,1,"5058, 3646, 961, 8655, 140735, 140885, 84864, 1155, 4644, 8664, 9454, 84516, 6157, 161436, 8537, 8663, 3635, 84446"
"sgG5",8,"TRUE",3026,132,37,3,0.671016263504174,-0.522568517888378,1.86460104489673,1.85872235872236,6.63111760409058,0.217257355022767,0.434514710045534,0.924800915013736,0.924800915013736,"392, 8448, 9912"
"sgG5",8,"FALSE",3026,2894,37,34,-0.671016263504174,-1.86460104489673,0.522568517888378,0.960832290479837,75.1526661796932,0.924800915013736,0.924800915013736,0.217257355022767,0.434514710045534,"387, 23263, 998, 5879, 396, 4649, 389, 6093, 1729, 115703, 116986, 388, 8924, 9743, 5910, 3895, 1620, 11344, 23002, 58473, 54769, 57826, 5338, 57580, 23164, 5880, 11113, 81624, 23092, 4983, 391, 23209, 54443, 6391"
"sgG5",10,"TRUE",3026,132,11,2,1.59566833171034,0.0534210134120543,3.13791565000863,4.16804407713499,50.0165289256198,0.0802733831492262,0.160546766298452,0.989651472816395,0.989651472816395,"3313, 2823"
"sgG5",10,"FALSE",3026,2894,11,9,-1.59566833171034,-3.13791565000863,-0.0534210134120543,0.855500408368411,225.074380165289,0.989651472816395,0.989651472816395,0.0802733831492262,0.160546766298452,"9748, 2036, 3708, 10652, 767, 131118, 7416, 51025, 460"
"sgG5",11,"TRUE",3026,132,21,1,0.0925304698838277,-1.92349082575402,2.10855176552167,1.09163059163059,6.86167800453515,0.60930255180103,0.767528807422194,0.767528807422194,0.767528807422194,"2913"
