"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",1,"FALSE",3026,2894,41,41,Inf,NA,Inf,1.04561161022806,73.8048780487805,0.158634018999957,0.317268037999913,1,1,"2108, 1345, 5831, 9131, 51079, 10452, 7385, 10939, 2744, 10294, 2021, 55466, 10367, 1327, 25813, 10651, 513, 1329, 4976, 1678, 10632, 4697, 4728, 8604, 1340, 4702, 514, 83858, 139322, 10730, 10165, 26517, 253943, 94081, 7386, 9377, 345778, 84303, 55308, 55848, 9868"
"wt",2,"TRUE",3026,132,54,3,0.259589363233112,-0.918115997700438,1.43729472416666,1.27356902356902,3.11316872427984,0.421470577727939,0.792303268259967,0.792303268259967,0.792303268259967,"775, 783, 29789"
"wt",2,"FALSE",3026,2894,54,51,-0.259589363233112,-1.43729472416666,0.918115997700438,0.987522076326499,52.9238683127572,0.792303268259967,0.792303268259967,0.421470577727939,0.792303268259967,"1487, 10605, 1975, 1981, 2051, 10094, 3921, 10419, 11170, 23265, 10919, 5932, 1973, 8536, 8661, 808, 10243, 23236, 23229, 221692, 1982, 2730, 6191, 1488, 5629, 37, 814, 1977, 103910, 3192, 26012, 54828, 22931, 23433, 7458, 1819, 154043, 23177, 782, 777, 10129, 22843, 5430, 8663, 51412, 84254, 8672, 9775, 9861, 57537, 343990"
"wt",3,"FALSE",3026,2894,150,145,0.29249042827982,-0.616608062325343,1.20158891888498,1.01075788988712,19.5008888888889,0.352202667626235,0.70440533525247,0.794368347598419,0.794368347598419,"6645, 5195, 2066, 5825, 10484, 824, 5799, 23193, 7916, 5034, 3309, 1891, 2010, 6867, 11122, 5798, 9588, 9821, 527, 5576, 509, 51726, 2950, 2079, 217, 6165, 6853, 10072, 826, 4733, 6204, 58477, 10916, 10328, 4832, 57142, 7112, 2043, 10059, 23230, 23376, 6786, 23301, 4628, 439, 375056, 4000, 5589, 23521, 1374, 2879, 10970, 2040, 1465, 23646, 10857, 3925, 10130, 23002, 10113, 55054, 115, 9601, 821, 5479, 57731, 8567, 23770, 57488, 22824, 5830, 133746, 57326, 54927, 8618, 149111, 4259, 11022, 5714, 378, 54940, 7184, 5007, 3098, 9218, 8815, 3099, 114882, 55379, 10525, 811, 112, 2802, 23406, 10330, 55700, 6132, 51704, 6188, 6576, 25782, 6238, 23352, 8761, 2181, 22849, 6854, 224, 10159, 9733, 1650, 23256, 8165, 89941, 56993, 55699, 57620, 871, 3029, 6185, 23065, 65992, 80279, 23344, 22906, 9804, 9217, 54996, 84886, 51651, 84630, 9632, 9590, 84966, 9694, 5036, 9789, 92140, 9352, 9737, 6206, 55102, 79180, 80728, 57037"
"wt",3,"TRUE",3026,132,150,5,-0.29249042827982,-1.20158891888498,0.616608062325343,0.764141414141414,0.672444444444445,0.794368347598419,0.794368347598419,0.352202667626235,0.70440533525247,"2923, 56144, 129285, 55735, 3745"
"wt",4,"FALSE",3026,2894,41,40,0.607599979278306,-1.3844620758506,2.59966203440721,1.02010888802737,72.004759071981,0.459449474791045,0.841365981000043,0.841365981000043,0.841365981000043,"226, 4714, 23072, 54880, 4641, 6708, 6709, 5066, 22999, 23077, 51466, 5910, 773, 25822, 6160, 6342, 347733, 7102, 3295, 11224, 338, 221184, 2027, 5962, 286, 6710, 5912, 64419, 58473, 148252, 131034, 57826, 230, 6139, 10497, 5306, 111, 5236, 8997, 8904"
"wt",4,"TRUE",3026,132,41,1,-0.607599979278306,-2.59966203440721,1.3844620758506,0.559127864005913,1.80011897679952,0.841365981000043,0.841365981000043,0.459449474791045,0.841365981000043,"8448"
"wt",5,"TRUE",3026,132,165,9,0.250167220562659,-0.445609808181526,0.945944249306844,1.2504132231405,1.0003305785124,0.291265504486959,0.582531008973918,0.819898489405008,0.819898489405008,"4140, 1783, 26523, 26058, 10120, 1152, 23019, 5096, 60412"
"wt",5,"FALSE",3026,2894,165,156,-0.250167220562659,-0.945944249306844,0.445609808181526,0.988578249670164,17.3390633608815,0.819898489405008,0.819898489405008,0.291265504486959,0.582531008973918,"5048, 3936, 2934, 22995, 5976, 10163, 10592, 55845, 9738, 10540, 114088, 23039, 1639, 5713, 1781, 10982, 1780, 2580, 8615, 6249, 7461, 23332, 4134, 4716, 10787, 23242, 10427, 9648, 5870, 10808, 1654, 6158, 22919, 1540, 10856, 136319, 54477, 55835, 4008, 5108, 27161, 636, 7430, 1778, 11004, 11258, 1108, 23122, 23011, 57606, 10767, 166614, 29110, 26286, 22832, 25814, 1974, 157922, 23112, 9181, 10213, 3281, 8573, 51248, 2800, 26985, 3796, 191, 55521, 51361, 7082, 64744, 80184, 4133, 84516, 10471, 60682, 51164, 51143, 103, 51807, 5095, 5214, 5091, 2909, 11160, 10613, 302, 829, 10121, 1629, 8342, 23271, 22994, 134957, 142678, 10527, 57489, 2035, 400, 3832, 57787, 4957, 84376, 57551, 5116, 283638, 257160, 374654, 57221, 23094, 54862, 9201, 7798, 10096, 22998, 2876, 11080, 58, 5358, 9053, 256714, 55831, 57482, 55860, 57609, 7411, 23382, 56922, 1266, 28988, 57175, 4676, 83658, 57619, 22848, 55604, 57568, 832, 9414, 84726, 57584, 5230, 9859, 53918, 9118, 9755, 4139, 8607, 9701, 64599, 81609, 9897, 91978, 80303, 64087"
"wt",7,"TRUE",3026,132,671,34,0.206415167190962,-0.193486179312355,0.606316513694279,1.16158605428352,0.228508731990201,0.181494923298107,0.362989846596214,0.867944349006902,0.867944349006902,"7531, 29763, 41, 1838, 392, 23228, 23368, 23513, 5792, 5789, 25843, 22866, 2911, 6622, 4137, 6137, 9093, 5595, 56924, 10381, 10645, 11311, 1500, 10529, 26051, 6687, 80212, 22905, 124044, 2913, 9842, 9568, 9779, 9892"
