alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,1,642,624,False,0.0318647536573677,0.0159323768286839,"26986, 22895, 5094, 6645, 10605, 1975, 1981, 351, 3800, 2058, 5048, 10043, 1613, 3276, 10935, 5093, 2547, 3842, 23499, 23129, 1600, 3178, 1459, 1457, 3646, 23193, 4670, 7916, 7919, 6210, 10189, 1642, 1994, 3184, 142, 348, 5034, 3309, 7316, 10598, 1627, 2194, 2051, 9379, 9369, 10987, 4297, 11059, 55729, 1009, 23420, 51631, 22938, 5798, 3315, 71, 10142, 70, 9584, 1434, 3190, 88, 4904, 1933, 1936, 6176, 11051, 10399, 10606, 7277, 51726, 2026, 11100, 56992, 81631, 5049, 26135, 6136, 3921, 6230, 6421, 213, 546, 2521, 2804, 22927, 10724, 5498, 4841, 6189, 6279, 8878, 10155, 7314, 22985, 4646, 25874, 2936, 10994, 4673, 3991, 55968, 23435, 10419, 6601, 6204, 5478, 51660, 10949, 2873, 4857, 55229, 3191, 10156, 4869, 26060, 386618, 1073, 8907, 60491, 60, 3183, 11052, 2130, 10919, 11034, 56341, 26036, 1995, 27316, 7360, 10016, 5725, 9513, 6921, 56850, 3066, 1973, 10432, 1155, 10659, 7874, 23072, 23090, 54880, 6923, 26355, 7178, 7158, 121504, 81565, 10492, 23365, 51637, 1965, 2314, 8125, 8661, 7001, 5052, 287, 2639, 8454, 79837, 9040, 6597, 3181, 23077, 3476, 8065, 5864, 2, 23020, 1655, 3337, 23376, 6201, 55611, 3182, 63893, 23321, 6009, 2288, 5901, 10243, 126003, 11140, 54536, 22983, 5591, 23384, 11335, 6146, 11127, 8349, 23229, 5339, 3069, 3326, 10486, 1786, 1982, 23191, 2332, 26999, 375056, 6426, 56252, 10728, 23208, 55739, 4691, 2617, 4008, 5589, 26229, 27339, 37, 1374, 4736, 9667, 9961, 25777, 6232, 7295, 5192, 10439, 55636, 9958, 8237, 3014, 221184, 23317, 1622, 3792, 1211, 79567, 23224, 58525, 7267, 2556, 1108, 10250, 10521, 10923, 11168, 11333, 10130, 8301, 178, 23111, 57448, 11198, 5962, 7094, 3188, 6428, 10594, 1660, 9444, 91010, 117177, 714, 23002, 6434, 55832, 115704, 51645, 10767, 4131, 26750, 23012, 283455, 29927, 3094, 3927, 55361, 10075, 103910, 3185, 1974, 27247, 26130, 3192, 116988, 8826, 10376, 10961, 9601, 56886, 5479, 57731, 23339, 23380, 8567, 1428, 9361, 10294, 55466, 2193, 134492, 4204, 288, 2983, 8573, 7525, 1013, 53822, 23549, 54726, 55697, 23201, 9911, 25940, 23503, 51571, 553115, 3796, 7414, 191, 9782, 55521, 3839, 29978, 220988, 64744, 7187, 5814, 3187, 7458, 131034, 5610, 8087, 3608, 8453, 93974, 64854, 286205, 55040, 54472, 55506, 84557, 8341, 7311, 64168, 1665, 114900, 9605, 26063, 10056, 51138, 60682, 6231, 126298, 7184, 5007, 8359, 83473, 115207, 6418, 10487, 5095, 55269, 23417, 6301, 57599, 2987, 27145, 30968, 3009, 6147, 203, 30849, 811, 6217, 6594, 25953, 23406, 10330, 10788, 57136, 2805, 440279, 6128, 10908, 51704, 345651, 6223, 7417, 22884, 5042, 25782, 3024, 3005, 3006, 3008, 3007, 6741, 11076, 51755, 1653, 6904, 25851, 4926, 8342, 166785, 23047, 79784, 22907, 11313, 492, 221061, 25989, 5858, 6949, 10514, 84251, 6329, 64324, 1767, 6238, 115098, 6840, 1828, 129684, 57496, 22865, 10178, 115827, 23352, 51673, 54832, 6624, 23335, 51065, 50809, 85235, 8761, 55799, 4916, 10296, 125113, 2180, 23154, 57489, 6181, 10587, 5306, 4999, 51366, 3609, 10499, 6134, 8451, 1993, 9318, 23061, 55236, 55140, 9343, 9097, 7345, 7520, 5116, 261726, 1938, 161725, 5813, 8450, 9978, 22933, 249, 23255, 3948, 23215, 5719, 57084, 64848, 8682, 9733, 57520, 1650, 23385, 54867, 7750, 6888, 311, 4697, 5250, 6233, 6599, 6634, 494115, 53981, 5358, 57482, 3305, 56896, 871, 6175, 51663, 24137, 54915, 23269, 5110, 713, 10396, 3376, 9632, 9898, 9320, 8533, 7203, 9774, 8078, 8887, 9446, 6227, 9706, 4817, 55324, 752, 25836, 308, 4694, 79187, 57662, 4707, 84726, 5036, 79699, 9208, 9209, 8570, 8663, 57468, 8455, 5230, 9545, 762, 7167, 57680, 23446, 23367, 9967, 9987, 487, 79969, 6334, 79012, 80028, 386617, 670, 53918, 6897, 9352, 84457, 339122, 8539, 349667, 64743, 51493, 84790, 9455, 84532, 3635, 54749, 27095, 63875, 5874, 8473, 9775, 9555, 81567, 84502, 8546, 4076, 57528, 55754, 1657, 9737, 5334, 6206, 7419, 6738, 55102, 6263, 9585, 80164, 9031, 79747, 84643, 57537, 387597, 84364, 3632, 5980, 8504, 84896, 3908, 343990, 5289, 63929, 80728, 8632, 53349, 489, 90957, 7368, 28316, 5902, 8904, 57605, 760, 64210, 90580, 93185, 92675, 8562, 8209, 80347, 6632, 54954, 83939"
infomap,17,68,10,True,0.0011862157135145,0.0005931078567572,"9228, 2903, 23513, 85358, 57502, 8525, 60412, 8120, 9758, 54497"
infomap,11,10,3,True,0.0155428880798187,0.0077714440399093,"23113, 7223, 9162"
infomap,178,6,2,True,0.0504805400796281,0.0252402700398141,"3313, 2823"
infomap,33,17,3,True,0.0704713733598382,0.0352356866799191,"1191, 23228, 22866"
infomap,93,17,3,True,0.0704713733598382,0.0352356866799191,"6622, 1983, 4900"
infomap,123,17,3,True,0.0704713733598382,0.0352356866799191,"25843, 1152, 6801"
louvain,9,256,19,True,0.0273947722697382,0.0136973861348691,"9228, 2903, 23513, 2911, 85358, 6137, 9093, 57502, 348980, 124044, 9912, 8525, 9568, 60412, 56138, 8120, 9758, 9892, 54497"
sgG1,22,126,126,False,0.0064165648990642,0.0032082824495321,"2058, 23129, 142, 3837, 3556, 394, 25873, 4043, 6189, 10919, 25758, 3066, 23287, 3836, 23633, 23090, 121504, 8125, 51056, 26230, 5901, 11335, 11127, 8349, 5903, 1786, 3418, 4736, 6135, 55636, 3014, 5837, 2631, 4131, 10075, 139818, 5834, 2539, 79026, 3839, 5836, 64854, 444, 7311, 28992, 133121, 5917, 8359, 6301, 57599, 6324, 3009, 7284, 6594, 6152, 10788, 440279, 440, 22884, 57716, 3024, 3005, 3006, 3008, 6130, 3007, 11076, 6904, 25851, 222950, 4522, 8342, 166785, 23047, 79784, 22907, 492, 6329, 64324, 1767, 6840, 1828, 129684, 57496, 22865, 10527, 51673, 6624, 55930, 50809, 85235, 5464, 4916, 4744, 55140, 23269, 3376, 752, 84726, 9209, 57680, 6334, 670, 64743, 8036, 9045, 54749, 9847, 91833, 80333, 9737, 9031, 79747, 84643, 387597, 84364, 3632, 5980, 84896, 3908, 5289, 8632, 53349, 7368, 5902, 7155"
sgG1,18,11,3,True,0.0206970543672109,0.0103485271836055,"23113, 7223, 9162"
