"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"louvain",1,"FALSE",3026,2992,166,165,0.655481677673471,-1.34017697094635,2.6511403262933,1.00527108433735,18.1191029176949,0.435312895285096,0.854724406212848,0.854724406212848,0.854724406212848,"273, 6455, 1759, 1785, 2060, 58513, 29993, 6456, 10133, 23163, 30011, 10043, 10015, 2495, 50618, 1600, 6457, 3646, 26994, 5868, 7251, 9135, 164, 29924, 161, 1213, 1400, 3064, 1174, 163, 6453, 133957, 146691, 9644, 51429, 6311, 5217, 170961, 56992, 81631, 3092, 7314, 25978, 4646, 10570, 10994, 3857, 5478, 79735, 26060, 55198, 1996, 2580, 7461, 7415, 5530, 287, 6396, 7321, 2224, 27034, 51386, 57169, 55823, 57030, 26230, 22872, 114793, 25930, 4509, 25822, 162, 25932, 5532, 5534, 11253, 1211, 440193, 129285, 8301, 178, 23111, 83737, 128866, 91010, 27072, 26286, 153090, 57731, 64601, 57617, 23339, 23380, 65059, 288, 23201, 22931, 51571, 8522, 191, 64744, 27183, 27243, 55040, 54472, 84557, 27132, 5533, 7311, 64168, 25796, 60682, 126298, 9026, 2235, 25977, 1175, 51520, 55907, 326624, 3268, 3706, 51028, 85365, 23061, 5878, 2900, 80142, 1212, 6233, 23074, 23355, 2767, 221092, 23071, 23576, 57026, 521, 231, 54915, 57619, 8867, 8078, 8887, 9069, 9495, 9901, 8663, 48, 487, 83992, 8799, 84457, 65082, 51493, 9373, 3635, 79643, 5313, 9267, 154810, 9927, 201475, 54954, 9380"
"louvain",1,"TRUE",3026,34,166,1,-0.65548167767347,-2.6511403262933,1.34017697094635,0.536144578313253,0.109812744955727,0.854724406212848,0.854724406212848,0.435312895285097,0.854724406212848,"22905"
"louvain",2,"FALSE",3026,2992,168,168,Inf,NA,Inf,1.01136363636364,18.0119047619048,0.141841423259152,0.283682846518305,1,1,"26052, 3303, 4291, 27101, 2783, 824, 22883, 6449, 3306, 3831, 10287, 6774, 2773, 9696, 5708, 7917, 10382, 3312, 10273, 2771, 192111, 60626, 10072, 826, 5955, 4733, 2901, 2788, 6767, 23761, 54505, 11345, 10681, 6002, 5704, 140735, 3853, 5631, 5700, 5701, 6717, 7337, 10049, 9748, 10963, 3337, 11171, 10726, 5710, 5204, 2870, 310, 23191, 55739, 2776, 10055, 10131, 10636, 26575, 2770, 3313, 6203, 10456, 55753, 51440, 5153, 7267, 1181, 9532, 714, 10767, 2778, 108, 23001, 25814, 3308, 10961, 8079, 51495, 5709, 10294, 80755, 5634, 2781, 3300, 2774, 1384, 2782, 7280, 7260, 4128, 5875, 4129, 55466, 2107, 7266, 55226, 2193, 10391, 2785, 57532, 55748, 22824, 1013, 57326, 3615, 29978, 388336, 23349, 23066, 114134, 5636, 480, 114900, 361, 7283, 7514, 2775, 3304, 440, 6187, 1268, 22849, 90678, 111, 1901, 2784, 2786, 7335, 54539, 54331, 8266, 81027, 1176, 10239, 27175, 8787, 713, 9043, 79948, 93145, 5662, 8601, 6000, 85300, 5905, 55970, 9829, 9628, 53918, 9531, 9529, 8943, 59345, 23046, 1762, 124997, 85397, 118427, 9908, 51144, 83988, 84502, 460, 80232, 6620, 22821, 10840"
"louvain",3,"TRUE",3026,34,363,6,0.458457638248675,-0.430184789105469,1.34710006560282,1.47107438016529,0.137786581062314,0.21640337647609,0.43280675295218,0.895772029670647,0.895772029670647,"5142, 4137, 5595, 775, 56924, 488"
"louvain",3,"FALSE",3026,2992,363,357,-0.458457638248675,-1.34710006560282,0.430184789105469,0.994646882043576,8.19830157320766,0.895772029670647,0.895772029670647,0.21640337647609,0.43280675295218,"673, 8844, 351, 3146, 3320, 1615, 2058, 7249, 53616, 7534, 2561, 7531, 7529, 7532, 10971, 7533, 3984, 1072, 5894, 1613, 1495, 5058, 4645, 1956, 815, 708, 529, 348, 1191, 8404, 5869, 4216, 10598, 4915, 4217, 2810, 10987, 1612, 369, 22800, 5315, 23327, 3315, 5305, 408, 9588, 5321, 91404, 9821, 5170, 1471, 226, 8476, 10627, 88, 5515, 2950, 4140, 25873, 3921, 3728, 3039, 10724, 10398, 4714, 8878, 6853, 642, 23162, 5601, 23039, 6142, 4141, 5127, 4734, 23265, 1995, 445, 84864, 87, 6531, 57554, 1386, 2697, 2915, 5582, 23072, 26355, 6622, 5527, 1499, 81565, 1020, 476, 8536, 4641, 5605, 5037, 4134, 1509, 5590, 5218, 4155, 2596, 7248, 8661, 5580, 5066, 7001, 5594, 5588, 22999, 2639, 801, 808, 8454, 2242, 5599, 9040, 817, 5864, 6812, 2931, 2, 2271, 1645, 5290, 23542, 7322, 6201, 55611, 6218, 6224, 23321, 6009, 5581, 10910, 2288, 6772, 4082, 126003, 11140, 54536, 22983, 5591, 23345, 9578, 5602, 4627, 3326, 3097, 23108, 11346, 774, 773, 23504, 375790, 3339, 7407, 347733, 7102, 10728, 90423, 128, 156, 2730, 10810, 1452, 1845, 1983, 2617, 427, 5578, 5609, 6156, 10383, 11221, 57118, 373156, 27339, 11224, 6135, 25777, 6232, 7295, 4659, 3014, 11033, 23224, 3925, 2768, 814, 2027, 117177, 816, 10564, 2560, 2562, 120892, 55421, 55832, 23012, 283455, 1453, 25830, 2281, 10075, 103910, 1974, 286, 27247, 116988, 26012, 2011, 10376, 57521, 23328, 5604, 8567, 1428, 4644, 5536, 10672, 192669, 6710, 8650, 30000, 53822, 5912, 284656, 9911, 58473, 23534, 4133, 10612, 22841, 147906, 81, 8453, 11130, 286205, 9255, 5524, 230, 5917, 534, 83473, 203068, 777, 2890, 818, 6157, 10235, 2918, 321, 3785, 253959, 6130, 221061, 25989, 115098, 309, 51065, 161436, 5550, 4916, 6326, 22843, 23154, 399687, 6207, 5144, 6854, 5880, 8408, 7402, 9610, 8451, 57787, 8452, 6416, 4900, 3786, 2287, 2554, 55236, 5579, 57551, 7345, 2566, 5526, 9978, 6164, 8682, 89910, 644, 5236, 4660, 537, 92609, 5707, 23237, 84630, 116443, 2555, 9211, 10396, 3376, 966, 9550, 9446, 6227, 3043, 7786, 8997, 8455, 80727, 84305, 9545, 762, 5538, 6205, 83442, 6900, 2184, 84433, 79012, 84254, 386617, 1917, 6897, 9352, 339122, 8239, 84617, 55631, 64743, 4139, 9922, 27095, 8473, 81567, 5121, 57528, 55754, 283450, 9371, 718, 57471, 7881, 9196, 90580, 93185, 84446, 9024, 9520, 59283"
"louvain",4,"FALSE",3026,2992,364,362,0.789493808893742,-0.643308633561874,2.22229625134936,1.00580669330669,8.26750996256491,0.205127485451632,0.410254970903265,0.928734628072301,0.928734628072301,"1837, 1821, 22895, 6548, 3688, 3265, 2475, 5898, 322, 57403, 29763, 55824, 3936, 7905, 5362, 4684, 1804, 4685, 4099, 4340, 5621, 3897, 334, 375, 2051, 9379, 9369, 4301, 4478, 1173, 392, 3761, 5097, 23705, 5861, 9990, 6558, 9943, 682, 27131, 961, 55845, 2037, 6184, 11316, 1915, 4354, 2804, 4356, 5216, 10397, 55004, 3703, 2286, 4190, 4893, 57143, 1314, 58477, 11031, 9230, 5867, 57003, 6734, 6195, 10328, 1731, 23157, 1315, 140885, 8829, 9253, 7163, 7165, 6093, 59338, 55914, 10640, 5413, 23176, 4067, 2803, 23365, 6708, 6709, 3845, 26056, 25875, 5908, 9475, 10801, 346288, 55752, 10211, 23376, 50488, 6786, 57524, 219771, 51466, 55740, 1267, 150209, 382, 3843, 23580, 5910, 23236, 3895, 54477, 22874, 6711, 3996, 3419, 6155, 1000, 165215, 30844, 55738, 338, 5447, 7430, 10061, 10970, 23637, 51719, 27347, 5818, 1465, 301, 23646, 10381, 1455, 118, 22820, 5909, 5297, 989, 23348, 51735, 10979, 55243, 9493, 10768, 2036, 10113, 120, 115, 10938, 5906, 821, 11188, 51062, 26958, 10565, 57488, 54014, 10507, 10818, 1500, 3482, 10652, 151011, 6252, 55964, 8573, 4355, 284069, 116442, 4735, 5860, 4144, 421, 2686, 53916, 143098, 5414, 51678, 145567, 23657, 23052, 54769, 57826, 4012, 55327, 255057, 51706, 144402, 64130, 55075, 57460, 10056, 5333, 10493, 57553, 11069, 403, 9448, 6647, 55847, 402, 5923, 5073, 9368, 56288, 51393, 6507, 23197, 6861, 160, 54893, 6305, 114882, 55379, 10952, 5064, 112, 6152, 253559, 51097, 201595, 2319, 23187, 6768, 6624, 1769, 23041, 23416, 4430, 6143, 132001, 2181, 6566, 6520, 10752, 6712, 5364, 400, 377, 8502, 80223, 10067, 4756, 6196, 22930, 7109, 1456, 9522, 51552, 10159, 57648, 8495, 54566, 25921, 22998, 116987, 23167, 490, 54867, 65108, 23143, 119, 23603, 5872, 5361, 23209, 255252, 27020, 26000, 10160, 29091, 219287, 139065, 29801, 57216, 57620, 57482, 114787, 57609, 11217, 11152, 51234, 65992, 80279, 23344, 23382, 6745, 2182, 26090, 4763, 285172, 22979, 23007, 26050, 26608, 56926, 10554, 26953, 471, 5593, 56776, 23336, 8754, 57498, 7812, 51196, 8402, 4694, 6515, 81618, 9694, 9779, 5711, 5911, 64121, 9789, 85440, 7064, 8036, 8825, 80856, 372, 7447, 5874, 57130, 6102, 55607, 83660, 9497, 8776, 493, 55176, 54499, 9066, 729993, 92255, 84162, 8140, 7879, 9445, 889, 9276, 8774, 83696, 9462, 92521, 57446, 6509, 5099, 57465, 57614, 55691, 8613, 79143, 57512, 80303, 83939, 6836, 9537, 84293, 56255, 56907"
"louvain",4,"TRUE",3026,34,364,2,-0.789493808893742,-2.22229625134936,0.643308633561874,0.489010989010989,0.0456768506219056,0.928734628072301,0.928734628072301,0.205127485451632,0.410254970903265,"2923, 4978"
"louvain",5,"TRUE",3026,34,292,4,0.224623936484644,-0.825715500212557,1.27496337318185,1.21917808219178,0.141959091762057,0.418738582867505,0.773899218317541,0.773899218317541,0.773899218317541,"57670, 5685, 257194, 10529"
"louvain",5,"FALSE",3026,2992,292,288,-0.224623936484644,-1.27496337318185,0.825715500212557,0.997509339975093,10.2210546068681,0.773899218317541,0.773899218317541,0.418738582867505,0.773899218317541,"1756, 1487, 2274, 3798, 3799, 5310, 1674, 5573, 41, 10484, 3251, 65263, 6747, 7916, 5859, 5684, 1838, 6499, 5493, 7431, 9146, 667, 4747, 9463, 9693, 2801, 81876, 22938, 1080, 23647, 3848, 6262, 10142, 5575, 5881, 5682, 5683, 5687, 5690, 5689, 5691, 5693, 5694, 5695, 2932, 10606, 5717, 7276, 6133, 1523, 57658, 3991, 55968, 11021, 11170, 29062, 386618, 8907, 3983, 60491, 3183, 4591, 57144, 26003, 149371, 2670, 6271, 56243, 57596, 6990, 5932, 22978, 5300, 9513, 4830, 51160, 8615, 5566, 26278, 54550, 55770, 7143, 23396, 4716, 5688, 10021, 5692, 8851, 23281, 84445, 58497, 5571, 23384, 282974, 140710, 23387, 1832, 129807, 26999, 375056, 6293, 5585, 3417, 1641, 25959, 1488, 5562, 5567, 7247, 2898, 5565, 6648, 11151, 56904, 4045, 50863, 23205, 1622, 127281, 3507, 53358, 5630, 154796, 6386, 1656, 10645, 1846, 3927, 23527, 5317, 152789, 54828, 115948, 3281, 8664, 5563, 3856, 7525, 3860, 6050, 5702, 358, 3849, 200081, 3382, 5129, 2039, 79959, 148281, 338785, 23254, 51382, 9454, 133746, 1794, 2800, 23503, 55698, 26051, 51760, 6687, 4282, 271, 9852, 9832, 547, 5119, 57132, 57795, 8030, 115817, 11178, 55346, 5814, 3868, 8618, 23294, 4741, 784, 8658, 8087, 2239, 51534, 3852, 80212, 401647, 3241, 93974, 375567, 3861, 79711, 60484, 51101, 1159, 3208, 22885, 548596, 154043, 144100, 1665, 23177, 9605, 221424, 25852, 57019, 4336, 6231, 26515, 55364, 26027, 783, 782, 9798, 5654, 55275, 2913, 5686, 132299, 23196, 2899, 8243, 10763, 6139, 4713, 477, 51555, 55619, 65268, 65078, 2897, 10587, 4744, 85456, 549, 10499, 1958, 8396, 823, 176, 6683, 10953, 3746, 257160, 523, 7750, 64753, 8443, 4642, 381, 9612, 526, 23500, 830, 9853, 9632, 9898, 7381, 8895, 9362, 7511, 874, 22911, 8508, 57662, 9265, 84894, 51412, 80150, 738, 84932, 4619, 80017, 388695, 26011, 9775, 9296, 9861, 284439, 64599, 54994, 54873, 55610, 9585, 201625, 60684, 440073, 3858, 402665"
"louvain",6,"FALSE",3026,2992,402,399,0.463765547168236,-0.726009856570856,1.65354095090733,1.00381614654003,7.4711888319596,0.319881294880646,0.639762589761293,0.849283496726085,0.849283496726085,"26986, 5094, 10605, 1981, 3800, 3276, 5093, 2547, 3842, 2934, 3178, 1459, 1457, 4670, 7919, 6210, 10189, 1642, 1994, 3184, 142, 5034, 1937, 1627, 4297, 11059, 55729, 1009, 3915, 23420, 71, 394, 70, 9584, 1434, 3190, 4904, 10657, 1933, 1936, 6176, 11051, 10399, 11100, 5049, 26135, 6136, 6230, 6421, 546, 55512, 2521, 22927, 4841, 6189, 10155, 22985, 25874, 8894, 4673, 23435, 79885, 4731, 6284, 10419, 6601, 23140, 6204, 51660, 10949, 2873, 4857, 55229, 9796, 3191, 5223, 10156, 4869, 26505, 1073, 60, 11052, 2130, 158471, 10919, 11034, 56341, 26036, 27316, 7360, 10016, 5725, 25758, 3066, 1973, 58155, 10432, 1155, 10659, 7874, 7112, 23090, 54880, 7178, 7158, 121504, 10492, 51637, 1965, 1968, 2314, 5052, 6597, 3181, 23077, 23020, 1655, 51056, 3182, 6159, 63893, 10243, 11335, 6146, 11127, 8349, 23229, 5339, 3069, 10486, 1786, 1982, 2332, 6160, 6426, 23208, 4691, 4008, 55161, 4736, 9667, 10439, 9958, 221184, 79567, 58525, 2556, 1108, 10250, 10521, 10923, 11168, 11333, 57448, 5962, 7094, 3188, 6733, 6428, 10594, 1660, 9444, 6434, 51645, 10369, 4131, 2185, 55361, 55054, 3185, 3192, 8826, 139818, 134492, 4204, 2983, 23549, 55697, 10290, 25940, 553115, 2539, 7414, 9782, 79026, 220988, 3187, 25999, 7458, 131034, 5610, 3608, 64854, 55506, 8341, 51138, 8359, 115207, 6418, 103, 10487, 55269, 23417, 6301, 57599, 30968, 6324, 3009, 6147, 203, 30849, 6217, 6594, 23406, 6209, 10788, 6193, 57136, 2805, 6128, 345651, 6188, 6223, 22884, 25782, 3024, 3005, 3006, 3008, 3007, 6741, 11076, 51755, 1653, 6904, 25851, 4522, 4926, 27044, 8342, 166785, 23047, 79784, 7175, 22907, 11313, 492, 6949, 10514, 84251, 6329, 64324, 1767, 6238, 1828, 129684, 22865, 10527, 115827, 51673, 23335, 50809, 85235, 8761, 5464, 10129, 55799, 10296, 125113, 2180, 5141, 6181, 4999, 3832, 3609, 6134, 1993, 51474, 284217, 9318, 55140, 9343, 5430, 113246, 9097, 7520, 5116, 6335, 5813, 8450, 249, 51479, 57221, 23255, 3948, 23215, 5719, 57084, 64848, 11080, 9733, 57520, 81846, 23385, 6888, 311, 5250, 6599, 6634, 494115, 53981, 5358, 3305, 7411, 6175, 51663, 24137, 1266, 23269, 6327, 9320, 8533, 9948, 7203, 8898, 9774, 6234, 9842, 4817, 55324, 752, 29789, 25836, 308, 79187, 9208, 9209, 8570, 57468, 93664, 5230, 7343, 645, 7857, 6208, 6169, 7167, 23446, 23367, 92140, 9967, 6222, 9987, 79969, 6334, 80028, 670, 8539, 349667, 9045, 84790, 84532, 54749, 9847, 63875, 91833, 9555, 8546, 4076, 83394, 6206, 6738, 9031, 79747, 84643, 57537, 387597, 84364, 3632, 5980, 8504, 84896, 3908, 5289, 63929, 8632, 53349, 489, 90957, 7368, 28316, 8904, 57605, 9600, 833, 64210, 92675, 8562, 6632"
