"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG1",1,"FALSE",3026,2992,242,240,0.333144446528538,-1.10151669705179,1.76780559010887,1.00300525920361,12.4007922956082,0.480723820296228,0.769203373167037,0.769203373167037,0.769203373167037,"2060, 58513, 10133, 23163, 57403, 10043, 3646, 1642, 26994, 5869, 5868, 7334, 7316, 7251, 164, 29924, 161, 1213, 3064, 10980, 1174, 10987, 163, 1173, 6453, 133957, 146691, 10755, 81631, 7336, 54874, 5498, 3092, 7314, 51168, 52, 4646, 5660, 2936, 10994, 2901, 3991, 55968, 23435, 23761, 79735, 54505, 2873, 55229, 7317, 26060, 55198, 26276, 1996, 7360, 8027, 6921, 6513, 4624, 7461, 7415, 7337, 1155, 7874, 23072, 6923, 23365, 8454, 79837, 9040, 3636, 8065, 5213, 23542, 23376, 7321, 7322, 22954, 2224, 27034, 51386, 6201, 55611, 57169, 6218, 55823, 196403, 23321, 5710, 114793, 25930, 29, 162, 25932, 2548, 5211, 25777, 6232, 9958, 8237, 301, 1397, 1622, 1211, 79567, 23224, 51440, 5153, 8301, 178, 23111, 23348, 5783, 91010, 714, 55832, 27072, 26286, 3094, 1974, 8826, 64601, 57617, 55748, 54726, 23201, 55698, 22931, 51571, 191, 84959, 55521, 481, 29978, 10612, 8453, 55040, 54472, 55680, 114900, 26063, 51138, 361, 114876, 9026, 2235, 25977, 1175, 2197, 3015, 221061, 25989, 84251, 23, 51065, 292, 6138, 90678, 8411, 326624, 8451, 8452, 7335, 9318, 3268, 51028, 85365, 23061, 55236, 5878, 22930, 2900, 9097, 7345, 80128, 80142, 1938, 161725, 9978, 23255, 8682, 483, 1212, 132864, 6888, 6233, 30, 23074, 23355, 381, 2767, 221092, 23071, 23576, 57026, 231, 57619, 713, 8533, 8078, 8887, 7162, 79641, 8975, 9620, 8508, 63894, 79699, 2794, 8663, 80700, 8455, 93664, 6169, 80150, 48, 487, 8799, 9352, 65082, 8239, 51493, 9455, 9373, 51144, 84502, 92255, 83449, 7879, 57447, 9267, 154810, 80124, 9927, 201475, 79870, 482, 8209, 54954, 9380"
"sgG1",1,"TRUE",3026,34,242,2,-0.333144446528538,-1.76780559010887,1.10151669705179,0.735537190082645,0.103339935796735,0.769203373167037,0.769203373167037,0.480723820296228,0.769203373167037,"22905, 64219"
"sgG1",3,"FALSE",3026,2992,333,330,0.247634571322505,-0.942970422606748,1.43823956525176,1.00225225225225,9.00522143765387,0.475753114355008,0.739884837048095,0.739884837048095,0.739884837048095,"26986, 5094, 10605, 1975, 1981, 3146, 3276, 5093, 2547, 3842, 3178, 1459, 1457, 23193, 4670, 7916, 708, 7919, 6210, 10189, 1994, 3184, 1937, 1627, 4297, 11059, 55729, 1009, 23420, 3315, 71, 10142, 70, 9584, 1434, 3190, 4904, 10657, 1933, 1936, 6176, 11051, 10236, 11100, 26135, 3921, 6230, 6421, 546, 2521, 22927, 5216, 4841, 10155, 22985, 55207, 826, 25874, 4733, 4673, 79885, 4731, 6284, 10419, 6601, 23140, 6204, 5478, 51660, 10949, 4857, 9796, 3191, 10156, 4869, 23265, 386618, 1073, 60, 3183, 11052, 2130, 158471, 11034, 56341, 26036, 27316, 10016, 5725, 9513, 1973, 58155, 10432, 10659, 7112, 54880, 7178, 7158, 10492, 51637, 1965, 2314, 8661, 5052, 6137, 6597, 3181, 23077, 3476, 23020, 1655, 3182, 6159, 6224, 63893, 55740, 10243, 5591, 6146, 23229, 5339, 3069, 10486, 1982, 23191, 2332, 26999, 6426, 56252, 23208, 4691, 2617, 4008, 26229, 55161, 27339, 9667, 55753, 7295, 5192, 10439, 221184, 58525, 7267, 2556, 1108, 10250, 10521, 10923, 11168, 11333, 57448, 5962, 23122, 57689, 3188, 6733, 6428, 10594, 1660, 9444, 6434, 2036, 51645, 10767, 10369, 55054, 3185, 23527, 27247, 26130, 3192, 116988, 10376, 23380, 134492, 4204, 23549, 55697, 10290, 25940, 553115, 7414, 9782, 220988, 5814, 3187, 25999, 7458, 131034, 5610, 8087, 3608, 93974, 55506, 8341, 1665, 57019, 6231, 5007, 115207, 22891, 6418, 10487, 55269, 23417, 6147, 203, 30849, 6217, 23406, 6209, 6193, 57136, 2805, 6128, 345651, 6188, 6223, 7417, 25782, 6741, 51755, 1653, 4926, 27044, 11313, 5858, 6949, 10514, 6238, 115827, 54832, 23335, 55799, 10296, 125113, 2180, 6181, 4999, 51366, 3832, 3609, 6134, 1993, 51474, 9343, 5430, 113246, 7520, 261726, 5813, 8450, 57221, 3948, 23215, 5719, 57084, 64848, 9733, 57520, 81846, 23385, 311, 5250, 6599, 6634, 494115, 53981, 6175, 51663, 24137, 9898, 9320, 9774, 9446, 9551, 6227, 6234, 4817, 55324, 29789, 25836, 308, 79187, 57662, 84628, 9208, 8570, 57468, 5230, 6208, 7167, 23446, 23367, 92140, 9967, 6222, 9987, 79969, 80028, 53918, 6897, 84457, 339122, 8539, 349667, 84790, 84532, 63875, 9555, 4076, 6206, 7419, 6738, 57537, 8504, 343990, 63929, 489, 90957, 28316, 718, 8904, 57605, 833, 64210, 92675, 8562, 6632"
"sgG1",3,"TRUE",3026,34,333,3,-0.247634571322506,-1.43823956525176,0.942970422606748,0.801801801801802,0.081865649433217,0.739884837048095,0.739884837048095,0.475753114355008,0.739884837048095,"23451, 9651, 64478"
"sgG1",4,"FALSE",3026,2992,311,309,0.611239148711903,-0.822188279691972,2.04466657711578,1.00485969014908,9.66733181005159,0.30536219043184,0.610724380863679,0.878859563068444,0.878859563068444,"5195, 3028, 225, 5825, 210, 10935, 2108, 10989, 1891, 2194, 34, 10469, 6867, 506, 4580, 5164, 5924, 5576, 1743, 509, 2819, 6182, 65080, 213, 217, 4700, 1345, 55512, 5481, 6165, 10072, 4709, 25791, 8894, 3735, 3757, 4191, 64965, 10916, 6194, 4698, 4832, 22978, 2752, 216, 5831, 3420, 5160, 9131, 26519, 1968, 10059, 23230, 26275, 1737, 515, 51079, 3843, 23301, 4513, 10452, 6342, 7385, 3329, 3295, 3419, 5589, 23521, 27161, 54413, 847, 37, 2053, 2710, 3033, 9961, 10247, 10970, 11273, 23530, 8050, 51719, 3032, 3301, 3155, 10939, 5162, 10528, 2744, 8659, 9601, 27068, 10294, 2021, 23770, 55466, 10367, 10005, 3954, 127829, 1327, 539, 5830, 23107, 54927, 25813, 498, 79763, 55735, 10651, 522, 513, 4259, 11022, 10102, 4722, 1329, 5577, 63826, 378, 4336, 54940, 64978, 10455, 7019, 124995, 3098, 7453, 5163, 51067, 3099, 4907, 5214, 10965, 2987, 5332, 151056, 5718, 3030, 219, 10476, 10525, 4701, 28512, 1431, 6129, 23284, 23408, 2802, 8803, 2266, 4967, 4723, 6132, 114294, 253559, 6389, 6576, 55074, 114789, 4430, 5019, 8761, 10128, 4976, 2109, 1678, 5306, 6742, 6390, 224, 38, 55201, 23597, 10632, 2110, 2746, 10409, 4697, 23256, 6229, 8165, 4728, 4725, 4720, 4726, 8604, 7388, 1340, 4729, 4719, 7384, 6472, 4702, 514, 4704, 83858, 64756, 25902, 139322, 641371, 89941, 29920, 10730, 28976, 56993, 55699, 29078, 10165, 28957, 26517, 64423, 23078, 8443, 51, 84263, 84129, 83752, 284273, 10901, 50640, 56945, 3029, 51649, 6185, 22906, 6161, 5981, 6168, 6173, 253943, 3336, 205, 1632, 10449, 23438, 23395, 117145, 326625, 4724, 4695, 374291, 4942, 4200, 36, 51218, 51559, 50, 29088, 50808, 51116, 9804, 1200, 5106, 54996, 84886, 94081, 7386, 9377, 7416, 345778, 84303, 55308, 26520, 55848, 51651, 223, 8802, 9868, 9590, 9842, 4707, 9054, 55915, 4540, 8526, 5165, 54704, 617, 81533, 54938, 87178, 6228, 65008, 8671, 80222, 10814, 9296, 54873, 16, 4648, 83394, 9652, 4705, 339829, 85476, 9581, 8813, 760, 810, 57037, 8540, 7818, 92259, 79896, 55967, 7923, 8801, 1347"
"sgG1",4,"TRUE",3026,34,311,2,-0.611239148711903,-2.04466657711578,0.822188279691972,0.572347266881029,0.0625717269259003,0.878859563068444,0.878859563068444,0.30536219043184,0.610724380863679,"55157, 488"
"sgG1",5,"TRUE",3026,34,324,5,0.367907695801701,-0.588266339313096,1.3240817309165,1.37345679012346,0.144128181679622,0.296529828883193,0.593059657766386,0.850823940660997,0.850823940660997,"57670, 5142, 25843, 10529, 9892"
"sgG1",5,"FALSE",3026,2992,324,319,-0.367907695801701,-1.3240817309165,0.588266339313096,0.995756172839506,9.19537799115989,0.850823940660997,0.850823940660997,0.296529828883193,0.593059657766386,"1487, 2274, 3798, 3799, 5310, 1674, 7249, 2891, 2892, 41, 3251, 2495, 2280, 5799, 5859, 529, 1838, 6499, 5493, 7431, 9146, 9135, 28964, 1400, 114928, 4747, 5764, 9463, 1464, 3915, 51631, 23368, 2801, 81876, 22938, 1080, 5802, 6774, 3848, 9815, 5170, 5575, 1471, 226, 88, 10399, 10606, 5717, 293, 54622, 9001, 55755, 4831, 3728, 1008, 6133, 1523, 5601, 23039, 11021, 29888, 26960, 11170, 5867, 26505, 8907, 3983, 60491, 10152, 4591, 57144, 26003, 1731, 149371, 2670, 3853, 56243, 57596, 5932, 5300, 51160, 6717, 8615, 56850, 80725, 2917, 2893, 8497, 8541, 22866, 80852, 26278, 54550, 5525, 5518, 7248, 4716, 5066, 10021, 6396, 2664, 1892, 23281, 84445, 5571, 7159, 11140, 140710, 1832, 27445, 6293, 5585, 3417, 1641, 90423, 25959, 12, 10810, 1488, 4001, 5562, 5629, 7247, 2898, 11224, 5565, 6203, 6648, 11151, 23637, 23644, 56904, 5818, 127281, 53358, 5630, 5500, 154796, 2027, 81892, 6386, 10890, 2665, 1656, 115704, 23012, 1846, 9459, 3927, 23001, 25830, 23339, 5317, 152789, 54828, 1428, 7280, 57532, 3708, 115948, 3281, 55964, 8664, 5563, 3856, 7525, 3860, 6050, 5702, 358, 3849, 200081, 5706, 5129, 2039, 79959, 148281, 338785, 23254, 51382, 9454, 133746, 64419, 2800, 116442, 23503, 26051, 51760, 55917, 9100, 6687, 7168, 4282, 3615, 271, 7170, 9852, 26086, 9832, 57795, 8030, 115817, 89, 340527, 148252, 11178, 55346, 3868, 53916, 388336, 8618, 23294, 5705, 4741, 84823, 767, 4706, 784, 2239, 3852, 80212, 401647, 197322, 3241, 375567, 3861, 79711, 60484, 1159, 3208, 22885, 548596, 27132, 154043, 7171, 1984, 144100, 64168, 23426, 29966, 23177, 5524, 55075, 57530, 221424, 230, 25852, 3712, 534, 26515, 26027, 83473, 783, 782, 5654, 2913, 10763, 6125, 51555, 26059, 22843, 55605, 2897, 10587, 549, 10499, 8502, 823, 284217, 8777, 10953, 3746, 22902, 7871, 6801, 257160, 8428, 8500, 8499, 8495, 3872, 57513, 7750, 64753, 9612, 116443, 23500, 9853, 8898, 7381, 9550, 9706, 785, 8895, 7511, 874, 9069, 22911, 8997, 8662, 8601, 85369, 83992, 4619, 388695, 50804, 9908, 8785, 83452, 9775, 9861, 83988, 80820, 284439, 64599, 5313, 60684, 57464, 3858"
"sgG1",10,"FALSE",3026,2992,426,423,0.531475097753431,-0.658076531439776,1.72102672694664,1.00424135723432,7.05326324142035,0.274156561093481,0.548313122186962,0.877068228562412,0.877068228562412,"6548, 3688, 6616, 3265, 5193, 2475, 5898, 5573, 6810, 8773, 55824, 10550, 7905, 954, 6804, 5362, 221981, 4684, 3897, 10228, 375, 2010, 4478, 5097, 23705, 5861, 6558, 23647, 682, 27131, 961, 527, 10163, 55845, 63916, 2037, 6184, 11316, 4354, 4905, 4140, 2804, 10397, 55004, 7542, 3703, 2286, 3163, 4893, 1314, 112476, 58477, 1952, 10490, 57003, 6734, 26100, 2170, 6195, 10313, 10328, 23157, 1315, 57142, 140885, 23204, 8829, 9253, 7163, 7165, 59338, 114569, 5413, 23176, 2803, 58533, 11315, 6708, 6709, 6857, 3845, 25875, 9648, 5870, 8675, 10801, 346288, 55752, 10211, 3956, 50488, 6786, 57524, 54708, 219771, 51466, 10314, 11230, 1267, 382, 10154, 23580, 23236, 54477, 22874, 6711, 55177, 10105, 3996, 254122, 5354, 4000, 535, 6155, 22908, 30844, 30846, 55738, 56681, 84867, 146223, 338, 5447, 2040, 6844, 1465, 23646, 10381, 10423, 118, 22820, 10857, 5297, 989, 51735, 10979, 55243, 9493, 10768, 10113, 6642, 120, 115, 286, 10938, 821, 57521, 11188, 51062, 11311, 26958, 112755, 23673, 10565, 116841, 214, 57488, 6710, 10507, 10100, 10818, 1500, 22824, 6643, 3482, 6814, 10652, 151011, 6252, 6843, 23786, 284069, 4735, 63908, 57698, 5860, 528, 4144, 4815, 30845, 2686, 7187, 23780, 5414, 56947, 56895, 347, 145567, 56997, 23657, 23052, 149111, 9238, 2572, 57826, 93380, 219738, 57709, 53826, 4012, 157378, 10424, 59353, 51075, 286205, 51308, 127833, 1727, 255057, 9283, 192683, 1312, 11112, 26207, 10804, 23788, 2912, 51170, 51286, 5780, 51706, 56894, 144402, 9341, 2824, 51090, 57460, 54332, 5333, 7920, 125988, 6855, 10493, 80221, 7781, 2817, 57553, 9218, 8815, 403, 9448, 6647, 55847, 402, 5923, 9368, 10815, 56288, 51393, 3269, 6507, 80331, 23197, 6861, 6529, 140679, 54893, 6305, 114882, 55379, 10952, 5064, 112, 9554, 51097, 201595, 56666, 2319, 23187, 134957, 6768, 1769, 23041, 23416, 6143, 132001, 2181, 6566, 55907, 6520, 10497, 10752, 6712, 5364, 400, 9342, 377, 975, 10067, 4756, 6196, 1456, 9143, 9522, 10159, 57648, 51479, 54566, 25921, 9732, 116987, 11343, 23362, 11336, 23167, 490, 54867, 79073, 84448, 65108, 119, 23603, 5872, 5361, 255252, 27020, 26000, 10160, 29091, 219287, 139065, 29801, 57216, 57620, 51234, 23065, 65992, 80279, 23344, 6745, 80777, 9217, 91452, 2182, 26090, 4763, 285172, 22979, 23007, 26050, 26608, 56926, 10554, 26953, 56776, 8417, 8723, 9043, 7018, 57498, 7812, 51196, 4694, 6515, 81618, 9694, 9779, 8775, 5711, 9495, 57584, 5911, 90523, 8760, 8407, 64121, 9789, 738, 51025, 9515, 64083, 80856, 372, 7447, 9854, 9028, 9524, 8834, 94097, 57130, 950, 9071, 9145, 9556, 92399, 64748, 254263, 8879, 91663, 747, 91137, 9917, 6102, 83660, 9497, 8776, 493, 55176, 54499, 9066, 729993, 84162, 8140, 9445, 9276, 9462, 92521, 57446, 6509, 5099, 57465, 57614, 55691, 8613, 79143, 57512, 91683, 6836, 9537, 84293, 56255, 81855, 56907"
"sgG1",10,"TRUE",3026,34,426,3,-0.531475097753431,-1.72102672694664,0.658076531439777,0.626760563380282,0.0500231435561727,0.877068228562412,0.877068228562412,0.274156561093481,0.548313122186962,"57502, 2823, 493856"
