"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",2,"TRUE",3026,34,54,1,0.519025191400315,-1.48890963108332,2.52696001388395,1.64814814814815,1.03772290809328,0.459691186863542,0.877840960437763,0.877840960437763,0.877840960437763,"775"
"wt",2,"FALSE",3026,2992,54,53,-0.519025191400315,-2.52696001388395,1.48890963108332,0.99263468013468,54.9993141289438,0.877840960437763,0.877840960437763,0.459691186863542,0.877840960437763,"1487, 10605, 1975, 1981, 2051, 10094, 3921, 10419, 11170, 23265, 10919, 5932, 1973, 8536, 8661, 808, 10243, 23236, 23229, 221692, 1982, 2730, 6191, 1488, 5629, 37, 814, 1977, 103910, 3192, 26012, 54828, 22931, 23433, 7458, 1819, 154043, 23177, 783, 782, 777, 10129, 22843, 5430, 29789, 8663, 51412, 84254, 8672, 9775, 9861, 57537, 343990"
"wt",3,"FALSE",3026,2992,150,149,0.54783875576094,-1.44844427032245,2.54412178184433,1.00462121212121,20.0388444444444,0.491196049046783,0.824188547470728,0.824188547470728,0.824188547470728,"6645, 5195, 2066, 5825, 10484, 824, 5799, 23193, 7916, 5034, 3309, 1891, 2010, 6867, 11122, 5798, 9588, 9821, 527, 5576, 509, 51726, 2950, 2079, 217, 56144, 6165, 6853, 10072, 826, 4733, 6204, 58477, 10916, 10328, 4832, 57142, 7112, 2043, 10059, 23230, 23376, 6786, 23301, 4628, 439, 375056, 4000, 5589, 23521, 1374, 2879, 10970, 2040, 1465, 23646, 10857, 3925, 129285, 10130, 23002, 10113, 55054, 115, 9601, 821, 5479, 57731, 8567, 23770, 57488, 22824, 5830, 133746, 57326, 54927, 8618, 55735, 149111, 4259, 11022, 5714, 378, 54940, 7184, 5007, 3098, 9218, 8815, 3099, 114882, 55379, 10525, 811, 112, 2802, 23406, 10330, 55700, 6132, 51704, 6188, 6576, 25782, 6238, 23352, 8761, 2181, 22849, 6854, 3745, 224, 10159, 9733, 1650, 23256, 8165, 89941, 56993, 55699, 57620, 871, 3029, 6185, 23065, 65992, 80279, 23344, 22906, 9804, 9217, 54996, 84886, 51651, 84630, 9632, 9590, 84966, 9694, 5036, 9789, 92140, 9352, 9737, 6206, 55102, 79180, 80728, 57037"
"wt",3,"TRUE",3026,34,150,1,-0.54783875576094,-2.54412178184433,1.44844427032245,0.593333333333333,0.134488888888889,0.824188547470728,0.824188547470728,0.491196049046783,0.824188547470728,"2923"
"wt",5,"TRUE",3026,34,165,2,0.0813396482550237,-1.3559411294032,1.51862042591325,1.07878787878788,0.222295684113866,0.561323040736239,0.717650496740875,0.717650496740875,0.717650496740875,"10120, 5096"
"wt",5,"FALSE",3026,2992,165,163,-0.0813396482550237,-1.51862042591325,1.3559411294032,0.999104683195592,18.1170982552801,0.717650496740875,0.717650496740875,0.561323040736239,0.717650496740875,"5048, 3936, 2934, 22995, 5976, 10163, 10592, 55845, 9738, 4140, 10540, 1783, 114088, 23039, 1639, 5713, 1781, 10982, 1780, 2580, 8615, 6249, 7461, 23332, 4134, 4716, 10787, 23242, 10427, 9648, 5870, 10808, 1654, 6158, 22919, 1540, 26523, 10856, 26058, 136319, 54477, 55835, 4008, 5108, 27161, 636, 7430, 1778, 11004, 11258, 1108, 23122, 1152, 23011, 57606, 10767, 166614, 29110, 26286, 23019, 22832, 25814, 1974, 157922, 23112, 9181, 10213, 3281, 8573, 51248, 2800, 26985, 3796, 191, 55521, 51361, 7082, 64744, 80184, 4133, 84516, 10471, 60682, 51164, 51143, 103, 51807, 5095, 5214, 5091, 2909, 11160, 10613, 302, 829, 10121, 1629, 8342, 23271, 22994, 134957, 142678, 10527, 57489, 2035, 400, 3832, 57787, 4957, 84376, 57551, 5116, 283638, 257160, 374654, 57221, 23094, 54862, 9201, 7798, 10096, 22998, 2876, 11080, 58, 5358, 9053, 256714, 55831, 57482, 55860, 57609, 7411, 23382, 56922, 1266, 28988, 57175, 4676, 83658, 57619, 22848, 55604, 57568, 832, 9414, 60412, 84726, 57584, 5230, 9859, 53918, 9118, 9755, 4139, 8607, 9701, 64599, 81609, 9897, 91978, 80303, 64087"
"wt",7,"TRUE",3026,34,671,11,0.524642769319133,-0.199049429057635,1.2483349676959,1.45901639344262,0.0739292956438885,0.112104922527822,0.224209845055645,0.944771561023982,0.944771561023982,"5789, 25843, 2911, 4137, 9093, 5595, 56924, 10529, 22905, 9568, 9892"
"wt",7,"FALSE",3026,2992,671,660,-0.524642769319133,-1.2483349676959,0.199049429057635,0.99478390461997,4.43575773863331,0.944771561023982,0.944771561023982,0.112104922527822,0.224209845055645,"273, 6455, 1759, 1785, 2060, 673, 26986, 58513, 2274, 8470, 2885, 29993, 6456, 10133, 8844, 6548, 3688, 4842, 23163, 8491, 30011, 51517, 2475, 3798, 3799, 3800, 5898, 3146, 5310, 1674, 5573, 7249, 322, 7534, 7531, 7529, 7532, 10971, 7533, 10043, 3984, 5894, 1613, 29763, 41, 10015, 55824, 2495, 387, 1495, 5058, 23499, 50618, 23129, 23025, 1956, 4035, 1600, 10006, 6457, 3646, 5859, 1838, 5493, 4684, 26994, 7431, 7251, 9146, 667, 9135, 4216, 375, 29924, 161, 4130, 4915, 28964, 1213, 1400, 3064, 114928, 4747, 10980, 4217, 2810, 2316, 50807, 9379, 9369, 4301, 10458, 1612, 4478, 369, 22800, 5315, 9463, 9693, 163, 1173, 274, 6453, 392, 10188, 146691, 23327, 55729, 1009, 5097, 23705, 5499, 23228, 23368, 2801, 324, 1080, 23513, 5802, 5792, 5791, 10755, 6774, 3315, 682, 408, 5321, 4666, 5170, 9158, 998, 10142, 5575, 9644, 2534, 5879, 2037, 5747, 5781, 51429, 8476, 10627, 88, 6311, 2932, 7917, 4354, 10399, 10606, 5515, 5717, 170961, 2026, 81631, 6182, 4715, 3728, 613, 1008, 55512, 4043, 10398, 10397, 8878, 7114, 10155, 7314, 4646, 8655, 10570, 10994, 3757, 3857, 5601, 4218, 5478, 4649, 1952, 23136, 11345, 5127, 23286, 5223, 22924, 4734, 6734, 6195, 26060, 8907, 3983, 60491, 3183, 10152, 4591, 57144, 26003, 5528, 149371, 2670, 55198, 140735, 56243, 57596, 1398, 6990, 10016, 5300, 8440, 9513, 8027, 51160, 6717, 9253, 2917, 6513, 87, 6531, 5566, 6093, 8541, 55914, 23085, 9699, 22866, 57554, 1386, 9266, 160622, 2697, 55333, 2915, 7337, 1155, 23287, 2023, 5582, 7874, 54550, 6622, 5062, 3055, 4067, 10580, 5527, 9479, 1499, 5525, 81565, 1729, 55770, 2803, 23365, 23396, 1020, 23043, 55763, 55704, 401145, 58533, 6714, 5605, 5037, 10048, 5501, 5590, 5218, 4155, 115703, 5530, 2596, 5518, 7248, 5580, 5594, 5588, 5335, 27, 1795, 6137, 357, 6654, 445815, 23114, 2550, 2571, 287, 801, 2242, 5599, 9625, 2017, 9475, 3636, 3476, 8851, 6812, 10211, 2931, 1892, 2098, 5290, 57524, 27034, 51386, 6224, 55823, 9456, 3778, 1399, 57030, 23281, 55740, 116986, 9826, 84445, 5571, 6009, 7159, 5581, 5710, 26230, 382, 6772, 4082, 26057, 310, 23345, 9578, 114793, 8924, 9743, 9349, 25930, 282974, 5602, 3895, 140710, 1832, 57514, 4627, 4509, 6711, 3097, 23108, 10105, 9126, 27445, 129807, 23191, 2332, 26999, 6293, 56252, 5585, 1641, 25959, 1452, 1845, 5516, 5562, 5578, 5609, 6156, 11221, 55738, 3939, 5447, 5565, 10456, 56904, 7295, 22853, 5818, 9958, 8237, 4659, 3014, 9647, 5532, 5534, 301, 10381, 11033, 79567, 23224, 3507, 53358, 1501, 7267, 5630, 2768, 5500, 8301, 154796, 23243, 23111, 5837, 2631, 83737, 7094, 120892, 10768, 1656, 55421, 2036, 10645, 3094, 1846, 9459, 1453, 3927, 23001, 3685, 153090, 10075, 26130, 3308, 2011, 10376, 57521, 10297, 23339, 23328, 5604, 11311, 4644, 65059, 10672, 3737, 288, 54014, 56899, 10818, 8650, 54806, 1500, 3482, 10652, 115948, 6252, 8664, 5563, 3945, 7525, 3860, 358, 200081, 23549, 5129, 2039, 23201, 79959, 148281, 23254, 9454, 23503, 55698, 26051, 51760, 3267, 553115, 9100, 6687, 4282, 8522, 26086, 9832, 547, 3839, 8030, 340527, 11178, 5814, 388336, 23294, 4741, 25999, 5537, 84823, 8087, 2239, 81, 80212, 197322, 93974, 51101, 11130, 55040, 54472, 192683, 5533, 5577, 144402, 7311, 1984, 144100, 64168, 55075, 57530, 22920, 5333, 124044, 7781, 9448, 2235, 9368, 31, 79834, 5654, 56288, 790, 2913, 57580, 5686, 80331, 25977, 2918, 6861, 1175, 160, 54893, 6305, 7284, 6594, 114294, 57716, 253959, 2319, 8243, 4629, 222950, 114789, 6125, 221061, 23164, 115098, 10178, 6187, 55930, 26059, 4430, 65268, 6566, 6326, 55907, 399687, 55605, 6712, 2897, 5144, 8408, 51366, 81624, 8411, 23092, 4983, 8502, 9610, 6792, 6196, 6416, 823, 2287, 51028, 85365, 23061, 5579, 9097, 7345, 5526, 261726, 55291, 7871, 57648, 5813, 22933, 8500, 8499, 8495, 23255, 54566, 6164, 8518, 116987, 873, 23167, 57513, 490, 23385, 644, 4660, 311, 6233, 64753, 65108, 57216, 55210, 64423, 6731, 4642, 4928, 92609, 9612, 54443, 24137, 10554, 54915, 8724, 8867, 8754, 8871, 9793, 8853, 8078, 8887, 84687, 9043, 785, 9842, 57498, 7204, 8895, 7511, 9900, 9779, 9495, 9659, 9901, 8601, 53353, 9185, 84305, 4538, 89796, 7343, 6205, 64121, 85440, 84433, 5510, 8936, 84457, 8239, 51493, 8667, 55118, 388695, 57624, 8785, 8879, 55607, 4076, 85461, 9497, 8776, 9031, 9371, 154810, 5243, 84446"
"wt",11,"TRUE",3026,34,4,1,3.40757431214935,1.11850666342267,5.69664196087603,22.25,189.125,0.0442135509123808,0.0884271018247615,0.999274892405089,0.999274892405089,"57502"
"wt",11,"FALSE",3026,2992,4,3,-3.40757431214935,-5.69664196087603,-1.11850666342267,0.758522727272727,567.375,0.999274892405089,0.999274892405089,0.0442135509123804,0.0884271018247609,"2895, 9378, 869"
