alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,2,619,12,True,0.0629544467157564,0.0314772233578782,"9228, 2903, 25843, 2911, 4137, 9093, 5595, 57502, 488, 10529, 9568, 9892"
infomap,11,10,2,True,0.0104255625256009,0.0052127812628004,"23113, 7223"
infomap,157,10,2,True,0.0104255625256009,0.0052127812628004,"2911, 9651"
infomap,99,20,2,True,0.0410342247353616,0.0205171123676808,"5789, 11141"
infomap,17,68,3,True,0.0790692345986633,0.0395346172993317,"9228, 2903, 57502"
infomap,185,4,1,True,0.0884271018247615,0.0442135509123808,488
louvain,9,256,7,True,0.0421956180007861,0.0210978090003931,"9228, 2903, 2911, 9093, 57502, 9568, 9892"
sgG1,18,11,2,True,0.012652927421945,0.0063264637109724,"23113, 7223"
sgG2,41,27,3,True,0.0063080209150736,0.0031540104575368,"23113, 775, 7223"
sgG5,70,20,2,True,0.0410342247353616,0.0205171123676808,"23113, 7223"
spectral,7,84,5,True,0.0043185785610644,0.0021592892805322,"57670, 5789, 9093, 56924, 11141"
spectral,46,4,1,True,0.0884271018247615,0.0442135509123808,64219
wt,171,1,1,True,0.0224719101123598,0.0112359550561799,5142
wt,217,1,1,True,0.0224719101123598,0.0112359550561799,257194
wt,221,1,1,True,0.0224719101123598,0.0112359550561799,2823
wt,530,1,1,True,0.0224719101123598,0.0112359550561799,9651
wt,532,1,1,True,0.0224719101123598,0.0112359550561799,64478
wt,157,2,1,True,0.0446986721144027,0.0223493360572014,11141
wt,109,3,1,True,0.066682880166026,0.033341440083013,7223
wt,147,3,1,True,0.066682880166026,0.033341440083013,23113
wt,11,4,1,True,0.0884271018247615,0.0442135509123808,57502
wt,54,4,1,True,0.0884271018247615,0.0442135509123808,488
