,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,fc,1,TRUE,3026,132,642,18,-0.5544419483923101,-1.0593867106133175,-0.04949718617130272,0.6427357689039932,0.13215127958773693,0.9915315608670199,0.9915315608670199,0.01593237682868387,0.01593237682868387,"26505, 58155, 2053, 6733, 192669, 6687, 22905, 22891, 23451, 27044, 1958, 8452, 51474, 64219, 29789, 9651, 64478, 6847"
2,fc,2,TRUE,3026,132,619,33,0.2722045493828679,-0.1320679631866758,0.6764770619524116,1.2221324717285946,0.2606162944558554,0.11405239928865396,0.11405239928865396,0.9215739928201659,0.9215739928201659,"7531, 29763, 9228, 1191, 2903, 25843, 56144, 2911, 6622, 4137, 85358, 6137, 9093, 5595, 7322, 57502, 2185, 348980, 488, 2107, 10529, 26051, 8448, 124044, 3745, 8525, 9568, 56138, 8120, 9628, 9529, 23046, 9892"
3,fc,3,TRUE,3026,132,116,5,-0.0129946138109342,-0.9265361885575819,0.9005469609357134,0.9881138975966564,1.1244054696789538,0.5776316443227945,0.5776316443227945,0.6051612858040915,0.6051612858040915,"3831, 4140, 257194, 4978, 9842"
4,fc,4,TRUE,3026,132,92,5,0.2392142836828078,-0.6795314478938532,1.157960015259469,1.2458827404479578,1.7875708884688088,0.37366259929624623,0.37366259929624623,0.7891282279193448,0.7891282279193448,"23113, 7223, 3336, 9779, 9162"
5,fc,5,TRUE,3026,132,776,33,-0.03562020411813884,-0.43832668773159333,0.3670862794953157,0.9748711340206185,0.16582859496227018,0.6029693689580577,0.6029693689580577,0.47754856012990254,0.47754856012990254,"2923, 392, 23513, 5792, 4905, 1783, 25791, 3163, 56924, 3329, 55157, 10381, 2823, 11311, 10100, 1500, 55735, 493856, 51075, 51308, 63826, 577, 9912, 25921, 381, 23438, 4695, 7812, 9758, 94097, 9556, 54497, 92521"
6,fc,6,TRUE,3026,132,478,25,0.23031793531622066,-0.2164716551806917,0.677107525813133,1.1989666539875745,0.3310953939882005,0.18507686507594096,0.18507686507594096,0.8705281101420516,0.8705281101420516,"41, 1838, 23228, 23368, 5789, 5685, 22978, 22866, 26523, 26058, 10120, 129285, 1152, 23019, 57795, 80212, 27132, 5096, 403, 2913, 6801, 60412, 11141, 9344, 51441"
7,fc,7,TRUE,3026,132,159,10,0.41215409625896093,-0.2533010599367961,1.0776092524547178,1.4417762530970077,1.1969463233258177,0.15270717037283976,0.15270717037283976,0.9163636123600083,0.9163636123600083,"5142, 1996, 775, 1983, 10645, 5119, 51678, 783, 4900, 8943"
8,fc,8,TRUE,3026,132,55,1,-0.9126220386101742,-2.898426310847691,1.0731822336273424,0.41680440771349864,1.0003305785123966,0.9159019412949068,0.9159019412949068,0.29908112426811295,0.29908112426811295,3313
9,fc,9,TRUE,3026,132,45,1,-0.7043126838567164,-2.6941825820091925,1.2855572142957599,0.5094276094276095,1.4943209876543209,0.8676311942376058,0.8676311942376058,0.40825326408822604,0.40825326408822604,57670
16,fc,16,TRUE,3026,132,3,1,2.4013590795175586,-0.0055172249318236055,4.808235383966941,7.641414141414141,336.2222222222222,0.12527979254350707,0.12527979254350707,0.9944951736227348,0.9944951736227348,23196
