,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,infomap,1,TRUE,3026,132,78,4,0.1746911679282629,-0.8469194638767606,1.1963017997332863,1.1756021756021757,1.98948060486522,0.44518690227845736,0.44518690227845736,0.7478568495628091,0.7478568495628091,"9093, 124044, 9568, 56138"
2,infomap,2,TRUE,3026,132,65,3,0.06040395407495636,-1.1116160823545815,1.2324239905044942,1.058041958041958,2.148639053254438,0.5454260491053702,0.5454260491053702,0.6854391747066486,0.6854391747066486,"2107, 9628, 9529"
3,infomap,3,TRUE,3026,132,22,1,0.0433922980547151,-1.9703593408154432,2.057143936924873,1.0420110192837466,6.252066115702479,0.6264646360480397,0.6264646360480397,0.7511012173861729,0.7511012173861729,22905
4,infomap,4,TRUE,3026,132,46,2,-0.003502630551202112,-1.4314409310265486,1.4244356699241445,0.9967061923583662,2.860113421550094,0.6038704742682595,0.6038704742682595,0.6749755079309122,0.6749755079309122,"7531, 5595"
6,infomap,6,TRUE,3026,132,23,2,0.7442023513602295,-0.716831954001326,2.205236656721785,1.9934123847167324,11.440453686200376,0.2653638714287012,0.2653638714287012,0.923984649942351,0.923984649942351,"2923, 129285"
7,infomap,7,TRUE,3026,132,149,7,0.0818525532049857,-0.6978796132209727,0.8615847196309442,1.0769778320113892,0.9541011666141166,0.47702257717797125,0.47702257717797125,0.6765863629175639,0.6765863629175639,"58155, 6733, 57795, 23451, 27044, 51474, 64478"
9,infomap,9,TRUE,3026,132,16,1,0.3819507663088143,-1.6498873693978635,2.4137889020154923,1.4327651515151516,11.8203125,0.5110264716690585,0.5110264716690585,0.8476786661687149,0.8476786661687149,6847
11,infomap,11,TRUE,3026,132,10,3,2.2608629149140596,0.8968820378657818,3.6248437919623373,6.877272727272727,90.78,0.007771444039909369,0.007771444039909369,0.999407849585665,0.999407849585665,"23113, 7223, 9162"
13,infomap,13,TRUE,3026,132,87,4,0.056719060310207306,-0.9621349372976616,1.0755730579180762,1.0539881574364334,1.599154445765623,0.5314495048858878,0.5314495048858878,0.6704638036480899,0.6704638036480899,"1838, 22978, 10529, 6687"
14,infomap,14,TRUE,3026,132,6,1,1.4840304648309832,-0.6701689048447865,3.638229834506753,3.8207070707070705,84.05555555555554,0.23496852489677333,0.23496852489677333,0.974759729960186,0.974759729960186,29763
16,infomap,16,TRUE,3026,132,16,1,0.3819507663088143,-1.6498873693978635,2.4137889020154923,1.4327651515151516,11.8203125,0.5110264716690585,0.5110264716690585,0.8476786661687149,0.8476786661687149,9344
17,infomap,17,TRUE,3026,132,68,10,1.388270925366388,0.6931179988316577,2.0834238519011183,3.3712121212121215,6.544117647058824,5.931078567572661E-4,5.931078567572661E-4,0.9998693041849992,0.9998693041849992,"9228, 2903, 23513, 85358, 57502, 8525, 60412, 8120, 9758, 54497"
18,infomap,18,TRUE,3026,132,145,6,-0.057823649267099944,-0.8943565988816607,0.7787093003474609,0.9485893416927901,0.8635434007134364,0.6143898578121703,0.6143898578121703,0.5519658688941331,0.5519658688941331,"4140, 26505, 10381, 1500, 25921, 92521"
26,infomap,26,TRUE,3026,132,106,6,0.28553691610539267,-0.5574022880304005,1.128476120241186,1.297598627787307,1.615877536489854,0.31552614311285576,0.31552614311285576,0.8224295907455819,0.8224295907455819,"3163, 10100, 493856, 51075, 51308, 94097"
28,infomap,28,TRUE,3026,132,19,1,0.198586637743621,-1.8227206514014334,2.2198939268886755,1.2065390749601277,8.382271468144044,0.57259621269392,0.57259621269392,0.8001189119805059,0.8001189119805059,2053
31,infomap,31,TRUE,3026,132,27,1,-0.17192365950312258,-2.176922040302341,1.8330747212960958,0.8490460157126823,4.1508916323731135,0.7016763075467535,0.7016763075467535,0.6690439295185779,0.6690439295185779,4137
32,infomap,32,TRUE,3026,132,25,1,-0.09118384479543036,-2.0992501768899974,1.9168824872991366,0.9169696969696969,4.8416,0.6735886131463762,0.6735886131463762,0.7017276156400201,0.7017276156400201,192669
33,infomap,33,TRUE,3026,132,17,3,1.5652881278211705,0.3059045217727743,2.824671733869567,4.045454545454546,31.411764705882355,0.03523568667991909,0.03523568667991909,0.9947133040844929,0.9947133040844929,"1191, 23228, 22866"
36,infomap,36,TRUE,3026,132,19,1,0.198586637743621,-1.8227206514014334,2.2198939268886755,1.2065390749601277,8.382271468144044,0.57259621269392,0.57259621269392,0.8001189119805059,0.8001189119805059,10645
38,infomap,38,TRUE,3026,132,64,3,0.07701751996364292,-1.0954355690041,1.2494706089313858,1.0745738636363638,2.21630859375,0.5347707310832768,0.5347707310832768,0.6954663818534544,0.6954663818534544,"23019, 80212, 51441"
39,infomap,39,TRUE,3026,132,26,1,-0.13235433208798744,-2.1388259102511764,1.8741172460752014,0.8817016317016316,4.476331360946745,0.6879459283961855,0.6879459283961855,0.685344268098862,0.685344268098862,11311
43,infomap,43,TRUE,3026,132,23,3,1.2065276773914169,-0.01973895426753125,2.432794309050365,2.9901185770750986,17.160680529300567,0.07601535005764896,0.07601535005764896,0.9839384267160662,0.9839384267160662,"41, 4905, 2913"
44,infomap,44,TRUE,3026,132,191,6,-0.36054342071665274,-1.1929730266391343,0.47188618520582887,0.7201332698714897,0.4976837257750609,0.8518056118996882,0.8518056118996882,0.2602638745182072,0.2602638745182072,"3329, 55157, 55735, 63826, 23438, 4695"
45,infomap,45,TRUE,3026,132,24,1,-0.04827585900923731,-2.05807419420483,1.9615224761863552,0.9551767676767676,5.253472222222221,0.6585759639949205,0.6585759639949205,0.718167799872754,0.718167799872754,9892
47,infomap,47,TRUE,3026,132,21,2,0.8449817041693732,-0.6226273894283161,2.3125907977670623,2.1832611832611835,13.723356009070294,0.23247119257780646,0.23247119257780646,0.9392328354508623,0.9392328354508623,"5685, 1958"
48,infomap,48,TRUE,3026,132,65,3,0.06040395407495636,-1.1116160823545815,1.2324239905044942,1.058041958041958,2.148639053254438,0.5454260491053702,0.5454260491053702,0.6854391747066486,0.6854391747066486,"1783, 10120, 5096"
53,infomap,53,TRUE,3026,132,30,2,0.4540808283172761,-0.9912188547851795,1.8993805114197317,1.5282828282828285,6.724444444444445,0.3791317616307287,0.3791317616307287,0.8596246732354649,0.8596246732354649,"392, 9912"
55,infomap,55,TRUE,3026,132,7,1,1.3013627075835104,-0.8229070613988048,3.4256324765658253,3.2748917748917745,61.75510204081632,0.2684069867224774,0.2684069867224774,0.9656622460574503,0.9656622460574503,3745
60,infomap,60,TRUE,3026,132,6,1,1.4840304648309832,-0.6701689048447865,3.638229834506753,3.8207070707070705,84.05555555555554,0.23496852489677333,0.23496852489677333,0.974759729960186,0.974759729960186,3831
61,infomap,61,TRUE,3026,132,13,1,0.6061358035703155,-1.4413972211677504,2.6536688283083816,1.7634032634032633,17.90532544378698,0.44066397455356787,0.44066397455356787,0.8923757963229334,0.8923757963229334,8448
62,infomap,62,TRUE,3026,132,7,1,1.3013627075835104,-0.8229070613988048,3.4256324765658253,3.2748917748917745,61.75510204081632,0.2684069867224774,0.2684069867224774,0.9656622460574503,0.9656622460574503,57670
63,infomap,63,TRUE,3026,132,7,1,1.3013627075835104,-0.8229070613988048,3.4256324765658253,3.2748917748917745,61.75510204081632,0.2684069867224774,0.2684069867224774,0.9656622460574503,0.9656622460574503,23046
64,infomap,64,TRUE,3026,132,26,1,-0.13235433208798744,-2.1388259102511764,1.8741172460752014,0.8817016317016316,4.476331360946745,0.6879459283961855,0.6879459283961855,0.685344268098862,0.685344268098862,775
70,infomap,70,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,23196
72,infomap,72,TRUE,3026,132,18,1,0.25609269629418024,-1.7683175736939174,2.280502966282278,1.2735690235690236,9.339506172839506,0.5529796271847396,0.5529796271847396,0.816196739102733,0.816196739102733,8452
74,infomap,74,TRUE,3026,132,11,1,0.7891510822096424,-1.273957550333648,2.8522597147529325,2.0840220385674932,25.008264462809915,0.3882630159138303,0.3882630159138303,0.9197266168507738,0.9197266168507738,4978
77,infomap,77,TRUE,3026,132,38,1,-0.5285878336146029,-2.5226030906018915,1.4654274233726854,0.6032695374800638,2.095567867036011,0.8183298135489133,0.8183298135489133,0.5006263135909713,0.5006263135909713,7322
80,infomap,80,TRUE,3026,132,16,2,1.152100973619096,-0.33990594932719453,2.6441078965653864,2.865530303030303,23.640625,0.15232133383128513,0.15232133383128513,0.9700494293373301,0.9700494293373301,"56924, 27132"
83,infomap,83,TRUE,3026,132,6,1,1.4840304648309832,-0.6701689048447865,3.638229834506753,3.8207070707070705,84.05555555555554,0.23496852489677333,0.23496852489677333,0.974759729960186,0.974759729960186,6137
85,infomap,85,TRUE,3026,132,22,2,0.7933405231893421,-0.6708204798620224,2.2575015262407065,2.0840220385674932,12.504132231404958,0.24889878261382709,0.24889878261382709,0.9318047077824008,0.9318047077824008,"381, 9842"
91,infomap,91,TRUE,3026,132,9,2,1.8476757607119847,0.266384698355157,3.428966823068812,5.094276094276094,74.71604938271605,0.05560210718690894,0.05560210718690894,0.9943823440477629,0.9943823440477629,"783, 29789"
93,infomap,93,TRUE,3026,132,17,3,1.5652881278211705,0.3059045217727743,2.824671733869567,4.045454545454546,31.411764705882355,0.03523568667991909,0.03523568667991909,0.9947133040844929,0.9947133040844929,"6622, 1983, 4900"
95,infomap,95,TRUE,3026,132,20,1,0.14417165086385875,-1.8743552558727234,2.162698557600441,1.1462121212121212,7.565,0.591358201361829,0.591358201361829,0.7838815719963523,0.7838815719963523,26051
96,infomap,96,TRUE,3026,132,7,1,1.3013627075835104,-0.8229070613988048,3.4256324765658253,3.2748917748917745,61.75510204081632,0.2684069867224774,0.2684069867224774,0.9656622460574503,0.9656622460574503,23368
98,infomap,98,TRUE,3026,132,14,1,0.5257460544218402,-1.5157647363997935,2.567256845243474,1.6374458874458873,15.43877551020408,0.46516857307959825,0.46516857307959825,0.8778958062848247,0.8778958062848247,26058
99,infomap,99,TRUE,3026,132,20,3,1.3700899038017693,0.13007985195212335,2.6100999556514153,3.4386363636363635,22.695,0.05374502816211186,0.05374502816211186,0.9902769571963859,0.9902769571963859,"5792, 5789, 11141"
103,infomap,103,TRUE,3026,132,10,1,0.8948582784048291,-1.1785691286695514,2.9682856854792097,2.2924242424242425,30.26,0.3602639583897753,0.3602639583897753,0.9324402270263412,0.9324402270263412,577
107,infomap,107,TRUE,3026,132,7,1,1.3013627075835104,-0.8229070613988048,3.4256324765658253,3.2748917748917745,61.75510204081632,0.2684069867224774,0.2684069867224774,0.9656622460574503,0.9656622460574503,5142
110,infomap,110,TRUE,3026,132,10,1,0.8948582784048291,-1.1785691286695514,2.9682856854792097,2.2924242424242425,30.26,0.3602639583897753,0.3602639583897753,0.9324402270263412,0.9324402270263412,7812
115,infomap,115,TRUE,3026,132,15,2,1.2265561077273546,-0.2725075625122546,2.7256197779669638,3.056565656565657,26.89777777777778,0.13702498843520824,0.13702498843520824,0.9748809719650393,0.9748809719650393,"56144, 3336"
122,infomap,122,TRUE,3026,132,5,1,1.7075200967854356,-0.49080982936216055,3.9058500229330315,4.584848484848485,121.04,0.20001381575394683,0.20001381575394683,0.9826819910288889,0.9826819910288889,25791
123,infomap,123,TRUE,3026,132,17,3,1.5652881278211705,0.3059045217727743,2.824671733869567,4.045454545454546,31.411764705882355,0.03523568667991909,0.03523568667991909,0.9947133040844929,0.9947133040844929,"25843, 1152, 6801"
131,infomap,131,TRUE,3026,132,12,1,0.69349410163888,-1.3611333719784688,2.7481215752562287,1.9103535353535352,21.013888888888886,0.41504553063999094,0.41504553063999094,0.906344646073937,0.906344646073937,51678
134,infomap,134,TRUE,3026,132,12,1,0.69349410163888,-1.3611333719784688,2.7481215752562287,1.9103535353535352,21.013888888888886,0.41504553063999094,0.41504553063999094,0.906344646073937,0.906344646073937,5119
139,infomap,139,TRUE,3026,132,9,1,1.0129878744528287,-1.0732662583341646,3.099242007239822,2.547138047138047,37.358024691358025,0.33099353984816393,0.33099353984816393,0.944397892813091,0.944397892813091,64219
147,infomap,147,TRUE,3026,132,8,1,1.14686570740647,-0.9557649890065989,3.2494964038195393,2.865530303030303,47.28125,0.30039449177469113,0.30039449177469113,0.9555055486430182,0.9555055486430182,2185
153,infomap,153,TRUE,3026,132,20,1,0.14417165086385875,-1.8743552558727234,2.162698557600441,1.1462121212121212,7.565,0.591358201361829,0.591358201361829,0.7838815719963523,0.7838815719963523,1996
157,infomap,157,TRUE,3026,132,10,2,1.713797927758343,0.1543487028837771,3.273247152632909,4.584848484848485,60.52,0.06755977297365881,0.06755977297365881,0.9922285559600906,0.9922285559600906,"2911, 9651"
164,infomap,164,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,348980
170,infomap,170,TRUE,3026,132,5,1,1.7075200967854356,-0.49080982936216055,3.9058500229330315,4.584848484848485,121.04,0.20001381575394683,0.20001381575394683,0.9826819910288889,0.9826819910288889,26523
178,infomap,178,TRUE,3026,132,6,2,2.40833015009095,0.7018483767962072,4.114811923385693,7.641414141414141,168.1111111111111,0.02524027003981407,0.02524027003981407,0.9985265131662946,0.9985265131662946,"3313, 2823"
180,infomap,180,TRUE,3026,132,6,1,1.4840304648309832,-0.6701689048447865,3.638229834506753,3.8207070707070705,84.05555555555554,0.23496852489677333,0.23496852489677333,0.974759729960186,0.974759729960186,257194
185,infomap,185,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,488
186,infomap,186,TRUE,3026,132,8,1,1.14686570740647,-0.9557649890065989,3.2494964038195393,2.865530303030303,47.28125,0.30039449177469113,0.30039449177469113,0.9555055486430182,0.9555055486430182,9779
193,infomap,193,TRUE,3026,132,2,1,3.0948519817749838,0.3174695655855131,5.872234397964455,11.462121212121213,756.5,0.08535480382142657,0.08535480382142657,0.9981109175028541,0.9981109175028541,9556
195,infomap,195,TRUE,3026,132,3,1,2.4013590795175586,-0.0055172249318236055,4.808235383966941,7.641414141414141,336.2222222222222,0.12527979254350707,0.12527979254350707,0.9944951736227348,0.9944951736227348,403
196,infomap,196,TRUE,3026,132,6,1,1.4840304648309832,-0.6701689048447865,3.638229834506753,3.8207070707070705,84.05555555555554,0.23496852489677333,0.23496852489677333,0.974759729960186,0.974759729960186,22891
201,infomap,201,TRUE,3026,132,3,1,2.4013590795175586,-0.0055172249318236055,4.808235383966941,7.641414141414141,336.2222222222222,0.12527979254350707,0.12527979254350707,0.9944951736227348,0.9944951736227348,8943
