,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,louvain,1,TRUE,3026,132,166,4,-0.64054301734143,-1.6482792078139443,0.3671931731310841,0.552391383716685,0.4392509798229061,0.9393055562518495,0.9393055562518495,0.1388923813561325,0.1388923813561325,"1996, 129285, 22905, 27132"
2,louvain,2,TRUE,3026,132,168,7,-0.05065276730338284,-0.8283412038888408,0.7270356692820751,0.9551767676767676,0.7504960317460316,0.6075180400966098,0.6075180400966098,0.5476067430356251,0.5476067430356251,"3831, 3313, 2107, 9628, 9529, 8943, 23046"
3,louvain,3,TRUE,3026,132,363,15,-0.06404743435266856,-0.6131274028726555,0.4850325341673184,0.9472827448034059,0.344466452655784,0.6320883948170627,0.6320883948170627,0.47613437133191244,0.47613437133191244,"7531, 1191, 5142, 4140, 6622, 4137, 5595, 7322, 775, 56924, 1983, 488, 192669, 8452, 4900"
4,louvain,4,TRUE,3026,132,364,12,-0.3255098168427434,-0.9293074269852318,0.27828779329974507,0.7557442557442557,0.2740611037314334,0.8879086919438691,0.8879086919438691,0.178659641069349,0.178659641069349,"2923, 29763, 392, 10381, 1500, 51678, 403, 25921, 4978, 7812, 9779, 92521"
5,louvain,5,TRUE,3026,132,292,18,0.4119747998687415,-0.10047731041518193,0.924426910152665,1.413138231631382,0.638815912929255,0.08013673705986417,0.08013673705986417,0.9532352727915812,0.9532352727915812,"41, 57670, 1838, 5685, 22978, 257194, 10645, 10529, 26051, 6687, 5119, 57795, 80212, 783, 2913, 23196, 1958, 381"
6,louvain,6,TRUE,3026,132,402,11,-0.541357541351962,-1.1677320189192322,0.08501693621530815,0.6272802653399667,0.2059726244399891,0.9734916098844497,0.9734916098844497,0.05074721500436396,0.05074721500436396,"26505, 58155, 6733, 2185, 23451, 27044, 51474, 9842, 29789, 9651, 64478"
7,louvain,7,TRUE,3026,132,285,14,0.13832786413676662,-0.4296476287314775,0.7063033570050108,1.1261031366294525,0.5215635580178516,0.3598724763077064,0.3598724763077064,0.7430467812229936,0.7430467812229936,"23228, 25843, 1783, 22866, 26523, 26058, 10120, 1152, 23019, 11311, 5096, 6801, 9344, 51441"
8,louvain,8,TRUE,3026,132,267,11,-0.06529638400067313,-0.6957308601402482,0.5651380921389019,0.9444444444444443,0.4669163545568039,0.6272411937695562,0.6272411937695562,0.4974621152114879,0.4974621152114879,"25791, 23113, 3329, 55157, 55735, 577, 7223, 3336, 23438, 4695, 9162"
9,louvain,9,TRUE,3026,132,256,19,0.6339439650787823,0.13011754880440685,1.1377703813531577,1.7014086174242427,0.877288818359375,0.013697386134869078,0.013697386134869078,0.9934319129649414,0.9934319129649414,"9228, 2903, 23513, 2911, 85358, 6137, 9093, 57502, 348980, 124044, 9912, 8525, 9568, 60412, 56138, 8120, 9758, 9892, 54497"
10,louvain,10,TRUE,3026,132,159,6,-0.15888226281307263,-0.993906564600193,0.6761420389740478,0.8650657518582047,0.7181677939954906,0.7034129377449035,0.7034129377449035,0.4524468383798922,0.4524468383798922,"23368, 5792, 5789, 2053, 64219, 11141"
11,louvain,11,TRUE,3026,132,234,13,0.2786198789711735,-0.3101160867726938,0.8673558447150409,1.2735690235690234,0.718423551756885,0.2169953576264436,0.2169953576264436,0.8626263952994325,0.8626263952994325,"4905, 3163, 2823, 10100, 8448, 493856, 51075, 51308, 63826, 22891, 3745, 94097, 9556"
12,louvain,12,TRUE,3026,132,30,1,-0.28216952403878565,-2.2833529311650005,1.719013883087429,0.7641414141414142,3.3622222222222224,0.7393717944427893,0.7393717944427893,0.6208682383692713,0.6208682383692713,56144
13,louvain,13,TRUE,3026,132,40,1,-0.5819318472406873,-2.5746117824332764,1.410748087951902,0.5731060606060606,1.89125,0.8340290186636754,0.8340290186636754,0.4729155632823122,0.4729155632823122,6847
