,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,sgG1,1,TRUE,3026,132,242,6,-0.6230250034758423,-1.4527712411131106,0.20672123416142607,0.5683696468820436,0.31001980739020557,0.9607222971659359,0.9607222971659359,0.08470842414454513,0.08470842414454513,"1996, 7322, 22905, 8452, 64219, 381"
3,sgG1,3,TRUE,3026,132,333,10,-0.4270380676959779,-1.0820466383512253,0.2279705029592694,0.6884156884156885,0.2728854981107233,0.9297584732827273,0.9297584732827273,0.12323041477980556,0.12323041477980556,"58155, 6137, 6733, 22891, 23451, 27044, 51474, 29789, 9651, 64478"
4,sgG1,4,TRUE,3026,132,311,12,-0.14168687078474312,-0.7470588329354844,0.46368509136599806,0.884536685179772,0.37543036155540166,0.7198612981545991,0.7198612981545991,0.389860222135961,0.389860222135961,"25791, 22978, 3329, 55157, 2053, 488, 55735, 63826, 3336, 23438, 4695, 9842"
5,sgG1,5,TRUE,3026,132,324,18,0.2892288631700797,-0.22180842088287867,0.800266147223038,1.2735690235690236,0.5188614540466392,0.1653689419988838,0.1653689419988838,0.8927478437296015,0.8927478437296015,"41, 57670, 1838, 23368, 5142, 25843, 26505, 22866, 10529, 26051, 6687, 57795, 80212, 27132, 783, 2913, 6801, 9892"
10,sgG1,10,TRUE,3026,132,426,19,0.027070418814909535,-0.47009095015492625,0.5242317877847453,1.0224427372314697,0.3168132425224272,0.49721968877916556,0.49721968877916556,0.6029505364938132,0.6029505364938132,"4905, 4140, 3163, 57502, 10381, 2823, 11311, 10100, 1500, 493856, 51075, 51308, 403, 25921, 7812, 9779, 94097, 9556, 92521"
11,sgG1,11,TRUE,3026,132,26,2,0.609626208510084,-0.843562001076961,2.062814418097129,1.7634032634032633,8.95266272189349,0.31465573190113805,0.31465573190113805,0.8983277861339276,0.8983277861339276,"3831, 56144"
12,sgG1,12,TRUE,3026,132,3,1,2.4013590795175586,-0.0055172249318236055,4.808235383966941,7.641414141414141,336.2222222222222,0.12527979254350707,0.12527979254350707,0.9944951736227348,0.9944951736227348,23196
13,sgG1,13,TRUE,3026,132,77,6,0.6383531134887509,-0.21383431872897118,1.490540545706473,1.7863046044864228,3.0622364648338674,0.11704744670966237,0.11704744670966237,0.951397983549725,0.951397983549725,"392, 5792, 9093, 3313, 8448, 9912"
14,sgG1,14,TRUE,3026,132,53,1,-0.8741777331255329,-2.8606705818553104,1.1123151156042448,0.4325328759291024,1.077251690993236,0.9079041392398185,0.9079041392398185,0.3188033350311983,0.3188033350311983,23046
15,sgG1,15,TRUE,3026,132,325,13,-0.10085775205288719,-0.6853153678354816,0.4835998637297073,0.916969696969697,0.3724307692307693,0.6753800353820711,0.6753800353820711,0.43608331237007025,0.43608331237007025,"23228, 5789, 1783, 26523, 26058, 10120, 1152, 23019, 5096, 60412, 11141, 9344, 51441"
17,sgG1,17,TRUE,3026,132,5,1,1.7075200967854356,-0.49080982936216055,3.9058500229330315,4.584848484848485,121.04,0.20001381575394683,0.20001381575394683,0.9826819910288889,0.9826819910288889,577
18,sgG1,18,TRUE,3026,132,11,3,2.126985081960418,0.788387198342754,3.465582965578082,6.252066115702479,75.02479338842974,0.010348527183605452,0.010348527183605452,0.9991007776766135,0.9991007776766135,"23113, 7223, 9162"
19,sgG1,19,TRUE,3026,132,469,30,0.4976071955313339,0.07804589820375757,0.9171684928589103,1.4663694514440784,0.41270952577957004,0.016172413704899365,0.016172413704899365,0.99093999011923,0.99093999011923,"7531, 29763, 9228, 2903, 23513, 2911, 6622, 4137, 85358, 5595, 775, 56924, 1983, 10645, 2185, 348980, 192669, 2107, 124044, 3745, 4900, 8525, 9568, 56138, 8120, 9758, 9628, 9529, 8943, 54497"
23,sgG1,23,TRUE,3026,132,12,1,0.69349410163888,-1.3611333719784688,2.7481215752562287,1.9103535353535352,21.013888888888886,0.41504553063999094,0.41504553063999094,0.906344646073937,0.906344646073937,51678
24,sgG1,24,TRUE,3026,132,14,1,0.5257460544218402,-1.5157647363997935,2.567256845243474,1.6374458874458873,15.43877551020408,0.46516857307959825,0.46516857307959825,0.8778958062848247,0.8778958062848247,5119
25,sgG1,25,TRUE,3026,132,26,2,0.609626208510084,-0.843562001076961,2.062814418097129,1.7634032634032633,8.95266272189349,0.31465573190113805,0.31465573190113805,0.8983277861339276,0.8983277861339276,"5685, 1958"
29,sgG1,29,TRUE,3026,132,185,6,-0.3253610111961422,-1.1582067124091617,0.5074846900168775,0.7434889434889435,0.5304894083272462,0.8296681701002908,0.8296681701002908,0.29153229138579867,0.29153229138579867,"2923, 1191, 257194, 129285, 4978, 6847"
