,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
2,wt,2,TRUE,3026,132,54,3,0.25958936323311155,-0.9181159977004382,1.4372947241666614,1.2735690235690236,3.113168724279835,0.4214705777279395,0.4214705777279395,0.7923032682599671,0.7923032682599671,"775, 783, 29789"
3,wt,3,TRUE,3026,132,150,5,-0.29249042827981964,-1.201588918884982,0.6166080623253426,0.7641414141414142,0.6724444444444445,0.7943683475984187,0.7943683475984187,0.3522026676262351,0.3522026676262351,"2923, 56144, 129285, 55735, 3745"
4,wt,4,TRUE,3026,132,41,1,-0.6075999792783061,-2.5996620344072126,1.3844620758506,0.5591278640059127,1.800118976799524,0.8413659810000432,0.8413659810000432,0.4594494747910448,0.4594494747910448,8448
5,wt,5,TRUE,3026,132,165,9,0.25016722056265894,-0.44560980818152585,0.9459442493068437,1.2504132231404959,1.0003305785123966,0.2912655044869588,0.2912655044869588,0.8198984894050076,0.8198984894050076,"4140, 1783, 26523, 26058, 10120, 1152, 23019, 5096, 60412"
7,wt,7,TRUE,3026,132,671,34,0.20641516719096187,-0.19348617931235518,0.606316513694279,1.1615860542835208,0.2285087319902008,0.18149492329810718,0.18149492329810718,0.8679443490069016,0.8679443490069016,"7531, 29763, 41, 1838, 392, 23228, 23368, 23513, 5792, 5789, 25843, 22866, 2911, 6622, 4137, 6137, 9093, 5595, 56924, 10381, 10645, 11311, 1500, 10529, 26051, 6687, 80212, 22905, 124044, 2913, 9842, 9568, 9779, 9892"
8,wt,8,TRUE,3026,132,20,1,0.14417165086385875,-1.8743552558727234,2.162698557600441,1.1462121212121212,7.565,0.591358201361829,0.591358201361829,0.7838815719963523,0.7838815719963523,51075
11,wt,11,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,57502
13,wt,13,TRUE,3026,132,47,6,1.1980318467857691,0.32293206448993994,2.0731316290815984,2.926499032882012,8.219103666817563,0.015148442580108432,0.015148442580108432,0.9962596266984248,0.9962596266984248,"9228, 2903, 85358, 8525, 9758, 54497"
14,wt,14,TRUE,3026,132,442,17,-0.15223946388627133,-0.6718322663570289,0.36735333858448627,0.8817016317016317,0.26331360946745563,0.7538436519615256,0.7538436519615256,0.33487974219313676,0.33487974219313676,"1191, 4905, 3163, 26505, 1996, 22978, 58155, 7322, 55157, 3313, 6733, 192669, 23451, 8452, 51474, 381, 9529"
15,wt,15,TRUE,3026,132,16,1,0.3819507663088143,-1.6498873693978635,2.4137889020154923,1.4327651515151516,11.8203125,0.5110264716690585,0.5110264716690585,0.8476786661687149,0.8476786661687149,25791
18,wt,18,TRUE,3026,132,14,1,0.5257460544218402,-1.5157647363997935,2.567256845243474,1.6374458874458873,15.43877551020408,0.46516857307959825,0.46516857307959825,0.8778958062848247,0.8778958062848247,27044
19,wt,19,TRUE,3026,132,61,3,0.12850676141203643,-1.0453340476307442,1.3023475704548169,1.1274217585692996,2.4396667562483203,0.501998882634642,0.501998882634642,0.7252865637439299,0.7252865637439299,"10100, 493856, 94097"
22,wt,22,TRUE,3026,132,66,2,-0.38523836261802563,-1.8035941801268611,1.03311745489081,0.6946740128558311,1.3893480257116622,0.7920725167339269,0.7920725167339269,0.4440593191930549,0.4440593191930549,"25921, 92521"
23,wt,23,TRUE,3026,132,23,2,0.7442023513602295,-0.716831954001326,2.205236656721785,1.9934123847167324,11.440453686200376,0.2653638714287012,0.2653638714287012,0.923984649942351,0.923984649942351,"3831, 4978"
25,wt,25,TRUE,3026,132,91,4,0.008227554907572253,-1.009582545451378,1.0260376552665227,1.0076590076590077,1.4616592199009784,0.5676817280301811,0.5676817280301811,0.6351847282698191,0.6351847282698191,"3329, 3336, 23438, 4695"
33,wt,33,TRUE,3026,132,13,1,0.6061358035703155,-1.4413972211677504,2.6536688283083816,1.7634032634032633,17.90532544378698,0.44066397455356787,0.44066397455356787,0.8923757963229334,0.8923757963229334,6801
41,wt,41,TRUE,3026,132,8,1,1.14686570740647,-0.9557649890065989,3.2494964038195393,2.865530303030303,47.28125,0.30039449177469113,0.30039449177469113,0.9555055486430182,0.9555055486430182,5119
50,wt,50,TRUE,3026,132,38,2,0.19997115013806568,-1.234743468556138,1.6346857688322693,1.2065390749601277,4.191135734072022,0.4993736864090287,0.4993736864090287,0.7710917349078049,0.7710917349078049,"2107, 9628"
53,wt,53,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,23046
54,wt,54,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,488
55,wt,55,TRUE,3026,132,13,1,0.6061358035703155,-1.4413972211677504,2.6536688283083816,1.7634032634032633,17.90532544378698,0.44066397455356787,0.44066397455356787,0.8923757963229334,0.8923757963229334,51678
56,wt,56,TRUE,3026,132,10,1,0.8948582784048291,-1.1785691286695514,2.9682856854792097,2.2924242424242425,30.26,0.3602639583897753,0.3602639583897753,0.9324402270263412,0.9324402270263412,57670
63,wt,63,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,577
65,wt,65,TRUE,3026,132,5,1,1.7075200967854356,-0.49080982936216055,3.9058500229330315,4.584848484848485,121.04,0.20001381575394683,0.20001381575394683,0.9826819910288889,0.9826819910288889,2185
70,wt,70,TRUE,3026,132,4,1,1.9955481301470848,-0.27442705423981706,4.265523314533986,5.731060606060606,189.125,0.16347465439737985,0.16347465439737985,0.9893047930181109,0.9893047930181109,9162
73,wt,73,TRUE,3026,132,8,1,1.14686570740647,-0.9557649890065989,3.2494964038195393,2.865530303030303,47.28125,0.30039449177469113,0.30039449177469113,0.9555055486430182,0.9555055486430182,2053
76,wt,76,TRUE,3026,132,17,2,1.0827608196143286,-0.40310316746627306,2.56862480669493,2.6969696969696972,20.941176470588236,0.16793275345146735,0.16793275345146735,0.964764313320081,0.964764313320081,"5685, 1958"
84,wt,84,TRUE,3026,132,2,1,3.0948519817749838,0.3174695655855131,5.872234397964455,11.462121212121213,756.5,0.08535480382142657,0.08535480382142657,0.9981109175028541,0.9981109175028541,23196
98,wt,98,TRUE,3026,132,2,1,3.0948519817749838,0.3174695655855131,5.872234397964455,11.462121212121213,756.5,0.08535480382142657,0.08535480382142657,0.9981109175028541,0.9981109175028541,9912
109,wt,109,TRUE,3026,132,3,1,2.4013590795175586,-0.0055172249318236055,4.808235383966941,7.641414141414141,336.2222222222222,0.12527979254350707,0.12527979254350707,0.9944951736227348,0.9944951736227348,7223
