"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"fc",2,"integral component of postsynaptic specialization membrane (GO:0099060)",3026,17,619,13,2.5562482460088,1.43203935324628,3.68045713877132,3.73828756058158,0.10266702508867,1.03461328631746e-06,0.000228649536276158,0.999999927136129,1,"2561, 22871, 2550, 57502, 57555, 54413, 2560, 3745, 2554, 2566, 2555, 3751, 26045"
"fc",2,"synaptic vesicle endocytosis (GO:0048488)",3026,29,619,16,1.58644305416898,0.849162114991846,2.32372399334611,2.69711993760793,0.126359415493748,3.64819197306239e-05,0.00403125213023394,0.999993175311007,1,"273, 1759, 1785, 26052, 2060, 1487, 29993, 6456, 29924, 1213, 163, 274, 6453, 6622, 9892, 6620"
"fc",2,"modification of postsynaptic actin cytoskeleton (GO:0098885)",3026,8,619,7,3.31489876307761,1.21769257408183,5.4121049520734,4.27746365105008,0.0552822442785148,9.60005309781894e-05,0.00707203911539329,0.999997042866672,1,"1072, 5217, 5216, 2017, 10810, 3706, 8936"
"fc",2,"postsynaptic density, intracellular component (GO:0099092)",3026,35,619,17,1.32121428817704,0.652343504695813,1.99008507165827,2.37442880221555,0.134256878962107,0.000171721325325033,0.00948760322420808,0.99995814367694,1,"6455, 1785, 4842, 1741, 9228, 6457, 2534, 2597, 613, 85358, 9229, 2185, 56899, 6792, 5662, 8831, 392862"
"fc",2,"structural constituent of postsynaptic density (GO:0098919)",3026,11,619,8,2.35062158949523,1.02072733265757,3.68051584633289,3.55529446321046,0.063179707746874,0.000269509796489845,0.0119123330048512,0.999977956330477,1,"9863, 1742, 1740, 1741, 50944, 22941, 85358, 9229"
"fc",2,"modulation of chemical synaptic transmission (GO:0050804)",3026,57,619,23,0.990803280683402,0.454073517310269,1.52753304405653,1.97256469121106,0.181641659772263,0.000423226057161253,0.0155888264387728,0.999854575933002,1,"1759, 1072, 9228, 58512, 5764, 5575, 2534, 5217, 613, 5216, 5601, 50944, 2915, 7337, 7143, 85358, 5335, 5599, 5595, 9229, 5332, 6792, 8831"
"fc",2,"presynapse (GO:0098793)",3026,86,619,31,0.812948380372566,0.363574905366418,1.26232185537871,1.7621444941203,0.244821367519137,0.000496073618866909,0.0156617528242267,0.999793875730767,1,"273, 6455, 26052, 1793, 7532, 7533, 5764, 5499, 10755, 51429, 5217, 3312, 5216, 3092, 10681, 5566, 5501, 2596, 2571, 8851, 1808, 156, 2185, 25977, 10497, 6712, 8867, 8871, 785, 51762, 93664"
"fc",2,"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)",3026,20,619,11,1.57288614908344,0.687447709212271,2.45832458895462,2.68869143780291,0.0868720981519518,0.000659838281539267,0.0182280325275222,0.9998793315022,1,"2561, 2903, 2904, 2905, 2906, 2902, 2560, 2554, 2566, 116443, 2555"
"fc",2,"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)",3026,11,619,7,1.92735674115957,0.695660434225807,3.15905304809332,3.11088265530915,0.0552822442785148,0.00221365544756548,0.0543575393235524,0.99973049020351,1,"273, 2060, 1487, 29924, 163, 9829, 9892"
"fc",2,"extrinsic component of synaptic vesicle membrane (GO:0098850)",3026,20,619,10,1.37015496672449,0.489115401221789,2.25119453222719,2.44426494345719,0.0789746346835925,0.00299517827422647,0.066193439860405,0.999340161718461,1,"273, 6449, 1213, 274, 2597, 6853, 8448, 51606, 6854, 525"
"fc",2,"postsynaptic specialization assembly (GO:0098698)",3026,7,619,5,2.28160098626687,0.639354349369186,3.92384762316456,3.4918070620817,0.0394873173417963,0.0051290566717809,0.102057139148542,0.999584456870485,1,"22871, 1398, 1399, 57555, 54413"
"fc",2,"regulation of postsynaptic density assembly (GO:0099151)",3026,10,619,6,1.77157340790842,0.503294172418815,3.03985264339803,2.93311793214863,0.0473847808101555,0.0070634958741921,0.102057139148542,0.999023528148574,1,"26037, 2895, 9378, 869, 2185, 26045"
"fc",2,"presynaptic cytosol (GO:0099523)",3026,32,619,13,0.991841866738274,0.28075456539121,1.70292916808534,1.98596526655897,0.10266702508867,0.00708308274979747,0.102057139148542,0.997685834934394,1,"6456, 1460, 3064, 5582, 6812, 5581, 5578, 120892, 65059, 56899, 5533, 5579, 6620"
"fc",2,"structural constituent of postsynapse (GO:0099186)",3026,5,619,4,2.750392989848,0.557257522293779,4.94352845740222,3.9108239095315,0.031589853873437,0.00727322175585447,0.102057139148542,0.999646400681435,1,"26052, 87, 9456, 6712"
"fc",2,"ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)",3026,19,619,9,1.2631537616092,0.358220162185106,2.1680873610333,2.31561942011734,0.0710771712152333,0.0075835470959242,0.102057139148542,0.998172491722117,1,"2561, 2903, 2904, 2906, 2902, 3778, 2560, 2554, 2555"
"fc",2,"integral component of postsynaptic density membrane (GO:0099061)",3026,43,619,16,0.849690426173787,0.224897331035734,1.47448352131184,1.81898786489837,0.126359415493748,0.00801249006062195,0.102057139148542,0.996940037015482,1,"53616, 2066, 2903, 2904, 2906, 11122, 5803, 2895, 2911, 2902, 8514, 388336, 81832, 116443, 80059, 26045"
"fc",2,"voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030)",3026,3,619,3,Inf,NA,Inf,4.88852988691438,0.0236923904050778,0.00852684166494777,0.102057139148542,1,1,"3736, 3737, 3751"
"fc",2,"synaptic vesicle uncoating (GO:0016191)",3026,3,619,3,Inf,NA,Inf,4.88852988691438,0.0236923904050778,0.00852684166494777,0.102057139148542,1,1,"3312, 8867, 9829"
