"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"sgG5",2,"ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)",3026,19,22,2,2.86622638116585,1.33647392503134,4.39597883730036,14.4784688995215,12.504132231405,0.00800756096872219,0.978838816729951,0.999700083503618,0.999700083503618,"2898, 2897"
"sgG5",2,"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)",3026,20,22,2,2.80873312720893,1.28308940753002,4.33437684688784,13.7545454545455,12.504132231405,0.00885826983466019,0.978838816729951,0.99964881882472,0.999700083503618,"2898, 2897"
"sgG5",4,"anchored component of synaptic vesicle membrane (GO:0098993)",3026,15,33,5,3.9753330937796,2.83912544064459,5.11154074691461,30.5656565656566,13.8934802571166,3.1297422102302e-07,6.91673028460874e-05,0.999999995125119,1,"5869, 5868, 53916, 5878, 7879"
"sgG5",6,"postsynaptic density (GO:0014069)",3026,94,18,4,2.2260810902571,1.09524026918299,3.35692191133121,7.15366430260047,37.358024691358,0.00191282437905136,0.422734187770351,0.999838302632468,1,"5058, 3646, 140735, 9454"
"sgG5",6,"establishment of endoplasmic reticulum localization to postsynapse (GO:0099089)",3026,1,18,1,Inf,NA,Inf,168.111111111111,9.33950617283951,0.00594844679444806,0.524365122109738,1,1,"4644"
"sgG5",6,"regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0150036)",3026,2,18,1,5.17548483893231,2.36293190201432,7.9880377758503,84.0555555555556,9.33950617283951,0.0118634643011253,0.524365122109738,0.99996657071223,1,"5058"
"sgG5",6,"transport",3026,2,18,1,5.17548483893231,2.36293190201432,7.9880377758503,84.0555555555556,9.33950617283951,0.0118634643011253,0.524365122109738,0.99996657071223,1,"4644"
"sgG5",6,"postsynaptic SER",3026,2,18,1,5.17548483893231,2.36293190201432,7.9880377758503,84.0555555555556,9.33950617283951,0.0118634643011253,0.524365122109738,0.99996657071223,1,"4644"
"sgG5",6,"regulation of postsynaptic cytosolic calcium levels (GO:0099566)",3026,3,18,1,4.48200504569676,2.0346279909774,6.92938210041612,56.037037037037,9.33950617283951,0.0177452293945715,0.653615949366716,0.999900065885766,1,"4644"
"sgG5",6,"postsynapse (GO:0098794)",3026,107,18,3,1.72001556436921,0.465064837626432,2.974966291112,4.71339563862928,28.0185185185185,0.0238221581539745,0.752099564575479,0.996917090897522,1,"5058, 140735, 4644"
"sgG5",8,"regulation of modification of postsynaptic structure (GO:0099159)",3026,8,37,3,3.9638338129415,2.49307585593727,5.43459176994573,30.6689189189189,6.63111760409058,9.04067156546956e-05,0.0199798841596877,0.999998719750646,1,"387, 998, 388"
"sgG5",10,"inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)",3026,1,11,1,Inf,NA,Inf,275.090909090909,25.0082644628099,0.00363516192994051,0.267790262172284,1,1,"3708"
"sgG5",10,"integral component of postsynaptic SER membrane",3026,1,11,1,Inf,NA,Inf,275.090909090909,25.0082644628099,0.00363516192994051,0.267790262172284,1,1,"3708"
