"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"spectral",2,"synapse (GO:0045202)",3026,181,100,19,1.38682767414918,0.862690207277241,1.91096514102112,3.17646408839779,5.7494,4.17281946102075e-06,0.000662065820429288,0.999999028602376,1,"5515, 1965, 5518, 6137, 6224, 6122, 6156, 11224, 5519, 6217, 6209, 6125, 6207, 6164, 5520, 6205, 6222, 1917, 8473"
"spectral",2,"postsynaptic ribosome(SYNGO:postsyn_ribosome)",3026,65,100,11,1.88303878667007,1.20121860966022,2.56485896367993,5.12092307692308,3.3286,5.9915458862379e-06,0.000662065820429288,0.999999178134626,1,"6137, 6224, 6156, 11224, 6217, 6209, 6125, 6207, 6164, 6205, 6222"
"spectral",2,"translation at presynapse (GO:0140236)",3026,50,100,7,1.6186972378469,0.793603568841618,2.44379090685218,4.2364,2.1182,0.00108372951296707,0.0540381789238873,0.999817219973724,1,"6137, 11224, 6217, 6125, 6207, 6164, 6205"
"spectral",2,"presynaptic ribosome(SYNGO:presyn_ribosome)",3026,50,100,7,1.6186972378469,0.793603568841618,2.44379090685218,4.2364,2.1182,0.00108372951296707,0.0540381789238873,0.999817219973724,1,"6137, 11224, 6217, 6125, 6207, 6164, 6205"
"spectral",2,"translation at postsynapse (GO:0140242)",3026,51,100,7,1.59536079854326,0.771498200162443,2.41922339692408,4.15333333333333,2.1182,0.00122258323357211,0.0540381789238873,0.999789065302265,1,"6137, 11224, 6217, 6125, 6207, 6164, 6205"
"spectral",2,"presynaptic cytosol (GO:0099523)",3026,32,100,5,1.73184528375089,0.755953628483458,2.70773693901831,4.728125,1.513,0.00353018980627288,0.130028657864384,0.999494579575339,1,"1460, 120892, 5579, 8473, 793"
"spectral",2,"presynaptic modulation of chemical synaptic transmission (GO:0099171)",3026,17,100,3,1.86143938986604,0.598167175411098,3.12471160432099,5.34,0.9078,0.0170009166796636,0.536743226600808,0.998081322573439,1,"2917, 116443, 2914"
"spectral",2,"calcium ion binding involved in regulation of presynaptic cytosolic calcium levels (GO:0099534)",3026,1,100,1,Inf,NA,Inf,30.26,0.3026,0.0330469266358228,0.811485642946315,1,1,"793"
"spectral",2,"calcium ion binding involved in regulation of postsynaptic cytosolic calcium levels (GO:0099567)",3026,1,100,1,Inf,NA,Inf,30.26,0.3026,0.0330469266358228,0.811485642946315,1,1,"793"
"spectral",3,"integral component of postsynaptic specialization membrane (GO:0099060)",3026,17,51,6,3.58149669307534,2.544111516026,4.61888187012468,20.9411764705882,6.98039215686275,1.82364771734806e-07,4.0302614553392e-05,0.999999995673942,1,"2561, 2560, 2562, 2554, 2566, 2555"
"spectral",3,"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)",3026,20,51,6,3.33932197794407,2.33865572235095,4.33998823353718,17.8,6.98039215686275,5.49533087546472e-07,6.07234061738851e-05,0.999999983408207,1,"2561, 2560, 2562, 2554, 2566, 2555"
"spectral",3,"ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)",3026,19,51,4,2.82104110562573,1.68106712578353,3.96101508546793,12.4912280701754,4.65359477124183,0.000230321379174275,0.0169670082658382,0.999989158907097,1,"2561, 2560, 2554, 2555"
"spectral",3,"integral component of presynaptic active zone membrane (GO:0099059)",3026,29,51,4,2.3068313838755,1.21270963219477,3.40095313555622,8.18390804597701,4.65359477124183,0.001246078629357,0.0688458442719742,0.999902532610117,1,"2561, 2560, 2555, 491"
"spectral",3,"presynaptic membrane (GO:0042734)",3026,9,51,2,2.85106033768128,1.25440936153695,4.44771131382561,13.1851851851852,2.32679738562092,0.00929697487495058,0.410926289472816,0.999647089473082,1,"1499, 491"
"spectral",3,"anterograde synaptic vesicle transport (GO:0048490)",3026,1,51,1,Inf,NA,Inf,59.3333333333333,1.16339869281046,0.01685393258427,0.532102728731954,1,1,"8567"
"spectral",3,"ATPase-coupled calcium ion transmembrane transporter activity involved in regulation of postsynaptic cytosolic calcium levels (GO:1905059)",3026,1,51,1,Inf,NA,Inf,59.3333333333333,1.16339869281046,0.01685393258427,0.532102728731954,1,1,"491"
"spectral",3,"regulation of synaptic vesicle exocytosis (GO:2000300)",3026,15,51,2,2.22999751981553,0.714740230171228,3.74525480945982,7.91111111111111,2.32679738562092,0.0254234311311679,0.702322284998512,0.998220383209456,1,"5582, 5578"
"spectral",3,"G protein-coupled neurotransmitter receptor activity involved in regulation of presynaptic membrane potential (GO:0150047)",3026,2,51,1,4.08564012159195,1.29972488090138,6.87155536228253,29.6666666666667,1.16339869281046,0.0334292877704523,0.820874733029995,0.999721422601913,1,"2560"
"spectral",4,"postsynaptic endocytic zone (GO:0098843)",3026,4,69,2,3.78656131044923,1.81165945281838,5.76146316808008,21.9275362318841,1.27116152068893,0.00298538376753505,0.659769812625245,0.99995531656995,0.99995531656995,"23345, 56904"
"spectral",6,"postsynaptic modulation of chemical synaptic transmission (GO:0099170)",3026,14,19,2,3.37972669726528,1.80867848825319,4.95077490627737,22.7518796992481,16.7645429362881,0.00325034174717228,0.359162763062537,0.999926818844012,0.999926818844012,"5530, 5534"
"spectral",6,"regulation of synaptic vesicle endocytosis (GO:1900242)",3026,14,19,2,3.37972669726528,1.80867848825319,4.95077490627737,22.7518796992481,16.7645429362881,0.00325034174717228,0.359162763062537,0.999926818844012,0.999926818844012,"5532, 5533"
"spectral",6,"extrinsic component of synaptic vesicle membrane (GO:0098850)",3026,20,19,2,2.9722562408915,1.4355441863048,4.50896829547821,15.9263157894737,16.7645429362881,0.00663574077577426,0.488832903815371,0.999776210881926,0.999926818844012,"273, 274"
"spectral",6,"synaptic vesicle endocytosis (GO:0048488)",3026,29,19,2,2.56377554999885,1.05038628097832,4.07716481901938,10.983666061706,16.7645429362881,0.0137107187649239,0.732112852030612,0.999307917210327,0.999926818844012,"273, 274"
