"alg","cl","FL","N","Fn","Cn","Mu","OR","CIl","CIu","Fe","Fc","pval","padj","palt","paltadj","overlapGenes"
"wt",2,"regulation of translation at postsynapse, modulating synaptic transmission (GO:0099578)",3026,4,54,2,4.04507351321532,2.06599029336568,6.02415673306495,28.0185185185185,2.07544581618656,0.0018332333600779,0.405144572577215,0.999978766250549,1,"1977, 9775"
"wt",2,"voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)",3026,6,54,2,3.3512527051459,1.63184255550168,5.07066285479012,18.679012345679,2.07544581618656,0.00447891960858931,0.456656098499129,0.999896498605138,1,"783, 777"
"wt",2,"postsynapse to nucleus signaling pathway (GO:0099527)",3026,7,54,2,3.12777216983524,1.46515624938193,4.79038809028855,16.010582010582,2.07544581618656,0.0061989515633366,0.456656098499129,0.999821160278279,1,"814, 26012"
"wt",2,"postsynapse (GO:0098794)",3026,107,54,6,1.26785362159997,0.396260990881285,2.13944625231865,3.14226375908619,6.22633744855967,0.0110348358194652,0.609674679025451,0.997449092032254,1,"1975, 1981, 814, 1977, 26012, 782"
"wt",2,"presynapse to nucleus signaling pathway (GO:0099526)",3026,1,54,1,Inf,NA,Inf,56.037037037037,1.03772290809328,0.0178453403833444,0.782937176624345,1,1,"1487"
"wt",2,"presynaptic active zone cytoplasmic component (GO:0098831)",3026,14,54,2,2.24994135950862,0.728064855238946,3.7718178637783,8.005291005291,2.07544581618656,0.0247989150966987,0.782937176624345,0.998298036719749,1,"1487, 1488"
"wt",2,"postsynaptic modulation of chemical synaptic transmission (GO:0099170)",3026,14,54,2,2.24994135950862,0.728064855238946,3.7718178637783,8.005291005291,2.07544581618656,0.0247989150966987,0.782937176624345,0.998298036719749,1,"23236, 814"
"wt",2,"regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)",3026,2,54,1,4.02636196191049,1.24122712648207,6.8114967973389,28.0185185185185,1.03772290809328,0.0353780186046003,0.977317763952084,0.999687337837912,1,"23236"
"wt",6,"integral component of postsynaptic membrane (GO:0099055)",3026,43,6,2,3.59262370544903,1.86746077945313,5.31778663144493,23.4573643410853,168.111111111111,0.00285405661727824,0.630746512418492,0.999948076195211,0.999990176526859,"10675, 2894"
"wt",6,"trans-synaptic signaling by trans-synaptic complex (GO:0099545)",3026,3,6,1,5.70976454633375,3.15398816801784,8.26554092464966,168.111111111111,84.0555555555555,0.00593861898614634,0.65621739796917,0.999990176526859,0.999990176526859,"3556"
"wt",6,"postsynapse to nucleus signaling pathway (GO:0099527)",3026,7,6,1,4.60982599752429,2.31821930091699,6.90143269413158,72.047619047619,84.0555555555555,0.013811035762905,0.92820238632848,0.999931478005495,0.999990176526859,"3836"
"wt",6,"regulation of postsynaptic density assembly (GO:0099151)",3026,10,6,1,4.20336503871141,1.95880710904195,6.44792296838087,50.4333333333333,84.0555555555555,0.019681193146056,0.92820238632848,0.999853555579031,0.999990176526859,"3556"
"wt",6,"regulation of presynapse assembly (GO:1905606)",3026,13,6,1,3.91468612284763,1.69402620719352,6.13534603850174,38.7948717948718,84.0555555555555,0.025522203829372,0.92820238632848,0.999746834768138,0.999990176526859,"3556"
"wt",6,"synapse adhesion between pre- and post-synapse (GO:0099560)",3026,14,6,1,3.83431091309289,1.61920250836741,6.04941931781838,36.0238095238095,84.0555555555555,0.027462750386632,0.92820238632848,0.999704901415005,0.999990176526859,"3556"
