alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,4,92,22,presynaptic ribosome(SYNGO:presyn_ribosome),2.80537652197594e-19,1.39156263749606e-21,"25873, 6165, 6194, 6158, 6159, 9349, 23521, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 9045"
fc,4,92,24,postsynaptic ribosome(SYNGO:postsyn_ribosome),2.80537652197594e-19,2.53880228233116e-21,"25873, 6165, 6194, 6158, 6159, 9349, 6160, 23521, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 6228, 9045"
fc,4,92,21,translation at presynapse (GO:0140236),3.19244699737588e-18,4.33363845797631e-20,"25873, 6165, 6158, 6159, 9349, 23521, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 9045"
fc,4,92,21,translation at postsynapse (GO:0140242),3.97784917509272e-18,7.19972701374247e-20,"25873, 6165, 6158, 6159, 9349, 23521, 6129, 6124, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 9045"
fc,4,92,29,synapse (GO:0045202),4.63129495167985e-13,1.04780428771037e-14,"1173, 25873, 6165, 6142, 6158, 6159, 9349, 6160, 6191, 6122, 23521, 6203, 5245, 1175, 6129, 6193, 6130, 6125, 6139, 6141, 6229, 6161, 6168, 6173, 6234, 6208, 6169, 6228, 9045"
fc,5,776,20,integral component of synaptic vesicle membrane (GO:0030285),3.64445558277754e-05,1.64907492433373e-07,"6804, 10228, 527, 114569, 6857, 8675, 6844, 23673, 6843, 127833, 192683, 9341, 6855, 7781, 140679, 9522, 10159, 8417, 9145, 91683"
fc,2,619,13,integral component of postsynaptic specialization membrane (GO:0099060),0.0002286495362761,1.03461328631746e-06,"2561, 22871, 2550, 57502, 57555, 54413, 2560, 3745, 2554, 2566, 2555, 3751, 26045"
fc,6,478,8,presynapse assembly (GO:0099054),0.002724123060502,1.23263486900545e-05,"23705, 5802, 5789, 8497, 8541, 6386, 8500, 8499"
fc,2,619,16,synaptic vesicle endocytosis (GO:0048488),0.0040312521302339,3.64819197306239e-05,"273, 1759, 1785, 26052, 2060, 1487, 29993, 6456, 29924, 1213, 163, 274, 6453, 6622, 9892, 6620"
fc,18,2,2,synapse adhesion between pre- and post-synapse (GO:0099560),0.0043940941591605,1.98827790007265e-05,"57689, 84628"
fc,2,619,7,modification of postsynaptic actin cytoskeleton (GO:0098885),0.0070720391153932,9.60005309781894e-05,"1072, 5217, 5216, 2017, 10810, 3706, 8936"
fc,2,619,17,"postsynaptic density, intracellular component (GO:0099092)",0.009487603224208,0.000171721325325,"6455, 1785, 4842, 1741, 9228, 6457, 2534, 2597, 613, 85358, 9229, 2185, 56899, 6792, 5662, 8831, 392862"
fc,9,45,4,anchored component of synaptic vesicle membrane (GO:0098993),0.0114342647888688,5.17387547007637e-05,"9230, 5867, 10890, 51552"
fc,2,619,8,structural constituent of postsynaptic density (GO:0098919),0.0119123330048512,0.0002695097964898,"9863, 1742, 1740, 1741, 50944, 22941, 85358, 9229"
fc,2,619,23,modulation of chemical synaptic transmission (GO:0050804),0.0155888264387728,0.0004232260571612,"1759, 1072, 9228, 58512, 5764, 5575, 2534, 5217, 613, 5216, 5601, 50944, 2915, 7337, 7143, 85358, 5335, 5599, 5595, 9229, 5332, 6792, 8831"
fc,2,619,31,presynapse (GO:0098793),0.0156617528242267,0.0004960736188669,"273, 6455, 26052, 1793, 7532, 7533, 5764, 5499, 10755, 51429, 5217, 3312, 5216, 3092, 10681, 5566, 5501, 2596, 2571, 8851, 1808, 156, 2185, 25977, 10497, 6712, 8867, 8871, 785, 51762, 93664"
fc,4,92,10,postsynaptic density (GO:0014069),0.0166930635927365,0.0004532053464091,"6142, 11331, 9349, 5245, 6129, 6124, 6125, 6208, 6169, 9045"
fc,2,619,11,transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315),0.0182280325275222,0.0006598382815392,"2561, 2903, 2904, 2905, 2906, 2902, 2560, 2554, 2566, 116443, 2555"
fc,18,2,2,modulation of chemical synaptic transmission (GO:0050804),0.0385328257034079,0.0003487133547819,"57689, 84628"
fc,2,619,7,extrinsic component of presynaptic endocytic zone membrane (GO:0098894),0.0543575393235524,0.0022136554475654,"273, 2060, 1487, 29924, 163, 9829, 9892"
fc,2,619,10,extrinsic component of synaptic vesicle membrane (GO:0098850),0.066193439860405,0.0029951782742264,"273, 6449, 1213, 274, 2597, 6853, 8448, 51606, 6854, 525"
fc,6,478,4,postsynaptic intermediate filament cytoskeleton (GO:0099160),0.0680761331949939,0.0006160736035746,"4747, 4741, 4744, 9118"
fc,4,92,2,extrinsic component of presynaptic active zone membrane (GO:0098891),0.0849076493816024,0.0026893825595982,"5245, 9162"
fc,18,2,1,anchored component of presynaptic active zone membrane (GO:0099029),0.0973621815705733,0.0013216585733562,84628
fc,2,619,5,postsynaptic specialization assembly (GO:0098698),0.102057139148542,0.0051290566717809,"22871, 1398, 1399, 57555, 54413"
fc,2,619,6,regulation of postsynaptic density assembly (GO:0099151),0.102057139148542,0.0070634958741921,"26037, 2895, 9378, 869, 2185, 26045"
fc,2,619,13,presynaptic cytosol (GO:0099523),0.102057139148542,0.0070830827497974,"6456, 1460, 3064, 5582, 6812, 5581, 5578, 120892, 65059, 56899, 5533, 5579, 6620"
fc,2,619,4,structural constituent of postsynapse (GO:0099186),0.102057139148542,0.0072732217558544,"26052, 87, 9456, 6712"
fc,2,619,9,ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507),0.102057139148542,0.0075835470959242,"2561, 2903, 2904, 2906, 2902, 3778, 2560, 2554, 2555"
fc,2,619,16,integral component of postsynaptic density membrane (GO:0099061),0.102057139148542,0.0080124900606219,"53616, 2066, 2903, 2904, 2906, 11122, 5803, 2895, 2911, 2902, 8514, 388336, 81832, 116443, 80059, 26045"
fc,2,619,3,voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1905030),0.102057139148542,0.0085268416649477,"3736, 3737, 3751"
fc,2,619,3,synaptic vesicle uncoating (GO:0016191),0.102057139148542,0.0085268416649477,"3312, 8867, 9829"
fc,2,619,17,integral component of presynaptic membrane (GO:0099056),0.102057139148542,0.0087741431847163,"3739, 2066, 3736, 2903, 2904, 2906, 6531, 2902, 2043, 2550, 9378, 22859, 3737, 8745, 3738, 9568, 6506"
fc,11,4,2,translation at presynapse (GO:0140236),0.120486807777166,0.0015721272672998,"6155, 6152"
fc,11,4,2,presynaptic ribosome(SYNGO:presyn_ribosome),0.120486807777166,0.0015721272672998,"6155, 6152"
fc,11,4,2,translation at postsynapse (GO:0140242),0.120486807777166,0.0016355675263868,"6155, 6152"
fc,2,619,8,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696),0.129592491771545,0.0123142186751242,"9863, 5058, 2932, 5590, 5906, 5604, 11069, 5064"
fc,2,619,8,presynaptic modulation of chemical synaptic transmission (GO:0099171),0.129592491771545,0.0123142186751242,"7533, 10755, 2932, 5217, 3092, 5581, 116443, 9267"
fc,11,4,2,postsynaptic ribosome(SYNGO:postsyn_ribosome),0.146501991146978,0.0026516197492665,"6155, 6152"
fc,2,619,4,presynaptic endocytic zone membrane (GO:0098835),0.18114613161493,0.0182951426986667,"1759, 1213, 23396, 1212"
