,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,lec,1,TRUE,3026,132,743,35,0.10802165802879506,-0.28763915309889976,0.5036824691564898,1.079876830213304,0.19184891196252507,0.32824167451734604,0.32824167451734604,0.7415250352662355,0.7415250352662355,"7531, 41, 9228, 2903, 23228, 23368, 5789, 25843, 22866, 2911, 58155, 6622, 6137, 5595, 775, 129285, 1152, 10645, 2185, 23019, 348980, 6687, 5119, 80212, 27132, 577, 2913, 7223, 6801, 9842, 9568, 8120, 11141, 9892, 6847"
2,lec,2,TRUE,3026,132,696,36,0.23847989159694852,-0.15428974817440508,0.6312495313683021,1.1857366771159874,0.22488109393579073,0.1390817652963528,0.1390817652963528,0.901145187529915,0.901145187529915,"29763, 57670, 1838, 392, 23513, 5792, 4905, 4140, 3163, 26505, 85358, 23113, 9093, 57502, 56924, 10381, 2823, 11311, 1500, 8448, 22905, 493856, 51075, 51308, 403, 783, 3745, 25921, 8525, 60412, 9779, 9758, 94097, 9556, 54497, 92521"
3,lec,3,TRUE,3026,132,346,13,-0.17416353943091117,-0.7579669486642355,0.4096398698024131,0.8613154668067963,0.3285943399378529,0.7609502312986356,0.7609502312986356,0.33781999274685515,0.33781999274685515,"22978, 1983, 6733, 57795, 23451, 27044, 1958, 8452, 4900, 51474, 4978, 56138, 64478"
4,lec,4,TRUE,3026,132,441,17,-0.14947880991696885,-0.6690915204829777,0.37013390064904006,0.8837009551295265,0.26450912942652494,0.7504312137248079,0.7504312137248079,0.33885170977636075,0.33885170977636075,"2923, 5142, 1783, 56144, 26058, 10120, 10529, 26051, 51678, 5096, 124044, 22891, 23196, 9912, 9344, 9651, 51441"
5,lec,5,TRUE,3026,132,251,10,-0.10278653109212625,-0.7608418438592209,0.5552687816749685,0.9133164312447181,0.4803098363518039,0.6679871345480761,0.6679871345480761,0.45859503448020916,0.45859503448020916,"1191, 3831, 3313, 488, 192669, 2107, 9628, 9529, 8943, 23046"
6,lec,6,TRUE,3026,132,122,4,-0.3076542056386961,-1.3197571124000884,0.7044487011226961,0.7516145057128664,0.8132222520827734,0.7894009835694874,0.7894009835694874,0.37672232971427483,0.37672232971427483,"5685, 4137, 3336, 29789"
9,lec,9,TRUE,3026,132,45,2,0.0198377033234725,-1.4088112252615421,1.448486631908487,1.018855218855219,2.9886419753086417,0.591746735911774,0.591746735911774,0.6871375183481518,0.6871375183481518,"1996, 7322"
10,lec,10,TRUE,3026,132,30,1,-0.28216952403878565,-2.2833529311650005,1.719013883087429,0.7641414141414142,3.3622222222222224,0.7393717944427893,0.7393717944427893,0.6208682383692713,0.6208682383692713,381
11,lec,11,TRUE,3026,132,69,3,-0.003529830703524559,-1.1739475573046805,1.1668878958976314,0.9967061923583662,1.9067422810333963,0.5866092196875045,0.5866092196875045,0.6450964668568623,0.6450964668568623,"3329, 23438, 4695"
24,lec,24,TRUE,3026,132,2,1,3.0948519817749838,0.3174695655855131,5.872234397964455,11.462121212121213,756.5,0.08535480382142657,0.08535480382142657,0.9981109175028541,0.9981109175028541,257194
58,lec,58,TRUE,3026,132,2,1,3.0948519817749838,0.3174695655855131,5.872234397964455,11.462121212121213,756.5,0.08535480382142657,0.08535480382142657,0.9981109175028541,0.9981109175028541,7812
68,lec,68,TRUE,3026,132,2,1,3.0948519817749838,0.3174695655855131,5.872234397964455,11.462121212121213,756.5,0.08535480382142657,0.08535480382142657,0.9981109175028541,0.9981109175028541,9162
69,lec,69,TRUE,3026,132,1,1,Infinity,NaN,Infinity,22.924242424242426,3026.0,0.043621943159286136,0.043621943159286136,1.0,1.0,2053
72,lec,72,TRUE,3026,132,161,7,-0.003642991278501092,-0.7820261220958866,0.7747401395388844,0.9967061923583663,0.817175263300027,0.5612092134568878,0.5612092134568878,0.595334938255506,0.595334938255506,"25791, 26523, 55157, 10100, 55735, 63826, 64219"
