,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,sgG2,1,TRUE,3026,132,105,5,0.09531017980432493,-0.8203097005014528,1.0109300601101028,1.0916305916305917,1.3723356009070293,0.48732007584223214,0.48732007584223214,0.6922826720112065,0.6922826720112065,"4140, 23019, 80212, 9344, 51441"
2,sgG2,2,TRUE,3026,132,14,1,0.5257460544218402,-1.5157647363997935,2.567256845243474,1.6374458874458873,15.43877551020408,0.46516857307959825,0.46516857307959825,0.8778958062848247,0.8778958062848247,51678
3,sgG2,3,TRUE,3026,132,19,2,0.9569027495996948,-0.518787773384158,2.4325932725835475,2.4130781499202554,16.764542936288088,0.19988108801949409,0.19988108801949409,0.9528582696416629,0.9528582696416629,"22978, 57795"
4,sgG2,4,TRUE,3026,132,26,2,0.609626208510084,-0.843562001076961,2.062814418097129,1.7634032634032633,8.95266272189349,0.31465573190113805,0.31465573190113805,0.8983277861339276,0.8983277861339276,"3831, 381"
5,sgG2,5,TRUE,3026,132,8,1,1.14686570740647,-0.9557649890065989,3.2494964038195393,2.865530303030303,47.28125,0.30039449177469113,0.30039449177469113,0.9555055486430182,0.9555055486430182,7812
10,sgG2,10,TRUE,3026,132,89,2,-0.7004238121883384,-2.113178451049406,0.7123308266727291,0.5151515151515151,0.7640449438202247,0.9077914069146265,0.9077914069146265,0.2450477109416097,0.2450477109416097,"1983, 4900"
11,sgG2,11,TRUE,3026,132,166,9,0.24341212565617285,-0.4522525458208432,0.9390767971331889,1.242880613362541,0.9883147046015387,0.2973639982599833,0.2973639982599833,0.8151193313313579,0.8151193313313579,"1838, 23368, 5685, 26505, 10645, 10529, 26051, 6687, 27132"
12,sgG2,12,TRUE,3026,132,180,14,0.6677089357564033,0.09194308749707525,1.2434747840157314,1.782996632996633,1.3075308641975307,0.02311304239297365,0.02311304239297365,0.9895373598586619,0.9895373598586619,"29763, 9228, 2903, 2911, 85358, 348980, 124044, 8525, 9568, 60412, 56138, 8120, 9758, 54497"
13,sgG2,13,TRUE,3026,132,172,9,0.2037131426307446,-0.4913060852721354,0.8987323705336245,1.1995243128964057,0.9205651703623581,0.3345900735361703,0.3345900735361703,0.7852553624367113,0.7852553624367113,"58155, 6137, 6733, 23451, 27044, 1958, 51474, 29789, 64478"
14,sgG2,14,TRUE,3026,132,25,2,0.6525341942962771,-0.8030464206289322,2.1081148092214863,1.8339393939393938,9.6832,0.29827238435997994,0.29827238435997994,0.9072299185491864,0.9072299185491864,"9093, 3313"
15,sgG2,15,TRUE,3026,132,126,6,0.09603142036930798,-0.7431072739462888,0.9351701146849049,1.0916305916305917,1.1436130007558578,0.4740343998188472,0.4740343998188472,0.6903254864435964,0.6903254864435964,"192669, 2107, 9628, 9529, 8943, 23046"
