,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
2,spectral,2,TRUE,3026,132,100,5,0.1483914238904217,-0.7683305643969448,1.065113412177788,1.1462121212121212,1.513,0.4441434445736172,0.4441434445736172,0.7307044225939189,0.7307044225939189,"4137, 6137, 10120, 1152, 2913"
3,spectral,3,TRUE,3026,132,51,3,0.3212686520483443,-0.8584331475360822,1.5009704516327709,1.3484848484848486,3.4901960784313726,0.38563982592349344,0.38563982592349344,0.8193790948225805,0.8193790948225805,"23513, 5595, 54497"
4,spectral,4,TRUE,3026,132,69,2,-0.4321085315930129,-1.849517075034235,0.9853000118482091,0.6644707949055775,1.2711615206889308,0.8123027954214206,0.8123027954214206,0.41339078031249554,0.41339078031249554,"23228, 1783"
7,spectral,7,TRUE,3026,132,84,8,0.8722093282470934,0.12181526515745844,1.6226033913367284,2.1832611832611835,3.4308390022675734,0.028322276392879476,0.028322276392879476,0.9900655184108047,0.9900655184108047,"57670, 392, 5792, 5789, 9093, 56924, 9912, 11141"
9,spectral,9,TRUE,3026,132,17,1,0.3170648420063803,-1.7108306204581,2.344960304470861,1.3484848484848486,10.470588235294118,0.5324698290576577,0.5324698290576577,0.8320672465485326,0.8320672465485326,26058
10,spectral,10,TRUE,3026,132,109,7,0.4271370623510042,-0.3593560884965609,1.2136302131985692,1.472199054767862,1.7828465617372276,0.195677496638657,0.195677496638657,0.8995845373111455,0.8995845373111455,"29763, 23113, 26523, 348980, 124044, 9568, 56138"
11,spectral,11,TRUE,3026,132,91,8,0.781614939184733,0.03406453044775304,1.529165347921713,2.0153180153180155,2.9233184398019567,0.04286137096779761,0.04286137096779761,0.9836477372114448,0.9836477372114448,"9228, 2903, 85358, 8525, 60412, 8120, 9758, 9892"
12,spectral,12,TRUE,3026,132,85,3,-0.22626811002726008,-1.3918272478983675,0.9392910278438473,0.8090909090909091,1.2564705882352942,0.7263601195231271,0.7263601195231271,0.48720122838232,0.48720122838232,"7531, 41, 2911"
15,spectral,15,TRUE,3026,132,67,2,-0.40109596848970697,-1.8191263783747065,1.0169344413952928,0.6843057440072365,1.3481844508799286,0.7990190146099494,0.7990190146099494,0.43368866423680213,0.43368866423680213,"6622, 4978"
16,spectral,16,TRUE,3026,132,168,9,0.23002273459965186,-0.46542142419811927,0.9254668933974229,1.2280844155844155,0.964923469387755,0.30965888148265264,0.30965888148265264,0.8053868227447439,0.8053868227447439,"3163, 2823, 8448, 493856, 51075, 51308, 577, 94097, 9556"
18,spectral,18,TRUE,3026,132,224,7,-0.3698488982670949,-1.143587268150263,0.40388947161607336,0.7163825757575757,0.4221540178571428,0.8702524762411258,0.8702524762411258,0.22538455607066027,0.22538455607066027,"57502, 10381, 11311, 1500, 25921, 7812, 92521"
19,spectral,19,TRUE,3026,132,16,1,0.3819507663088143,-1.6498873693978635,2.4137889020154923,1.4327651515151516,11.8203125,0.5110264716690585,0.5110264716690585,0.8476786661687149,0.8476786661687149,403
