MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	RAT.ENTREZ.ID	RAT.GENE.NAME	psd	pres	syn
MGI:2448427	69386	H4c8	8365	H4C8	679983	Hist1h4a	1	0	1
MGI:2448436	319159	H4c11	8363	H4C11	102551184	LOC102551184	1	0	0
MGI:2448388	319183	H2bc11	8970	H2BC11	306969	Hist1h2bl	1	0	0
MGI:2448297 	319169	H2ac15	8330	H2AC15	NA	NA	1	0	1
MGI:1915274	68024	H2bc4	8347	H2BC4	306945	Hist1h2bq	1	0	1
MGI:2448441	100041230	H4c17	554313	H4C15	502913	Hist2h4a	0	0	1
MGI:99547	110786	Iglc2	3538	IGLC2	NA	NA	0	0	1
MGI:1919963	72713	Angptl1	9068	ANGPTL1	679942	Angptl1	0	0	1
MGI:1917747	70497	Arhgap17	55114	ARHGAP17	63994	Arhgap17	0	0	1
MGI:107191	12167	Bmpr1b	658	BMPR1B	310914	Bmpr1b	0	0	1
MGI:99495	14312	Brd2	6046	BRD2	294276	Brd2	0	0	1
MGI:103250	12314	Calm2	805	CALM2	50663	Calm2	0	0	1
MGI:2443893	207607	Ccdc40	55036	CCDC40	287867	Ccdc40	0	0	1
MGI:2385261	232791	Cnot3	4849	CNOT3	308311	Cnot3	0	0	1
MGI:88450	12821	Col17a1	1308	COL17A1	294027	Col17a1	0	0	1
MGI:1917854	70604	Dnajb14	79982	DNAJB14	499716	Dnajb14	0	0	1
MGI:1923173	99480	Dnttip2	30836	DNTTIP2	100910753	Dnttip2	0	0	1
MGI:2151233	116905	Dph1	1801	DPH1	287523	Dph1	0	0	1
MGI:5903914	110599566	Eef1akmt4	110599564	EEF1AKMT4	102551435	Eef1akmt4	0	0	1
MGI:2448475	207278	Fchsd2	9873	FCHSD2	308864	Fchsd2	0	0	1
MGI:102779	14156	Fen1	2237	FEN1	84490	Fen1	0	0	1
MGI:1341724	14593	Ggps1	9453	GGPS1	291211	Ggps1	0	0	1
MGI:2448421	319155	H4c3	8364	H4C3	100912489	H4c3	0	0	1
MGI:2448425	319157	H4c6	8361	H4C6	NA	NA	0	0	1
MGI:1098226	381293	Kif14	9928	KIF14	360849	Kif14	0	0	1
MGI:96913	17152	Mak	4117	MAK	25677	Mak	0	0	1
MGI:2684896	215090	Maneal	149175	MANEAL	366466	Maneal	0	0	1
MGI:1914065	66815	Mcub	55013	MCUB	295462	Mcub	0	0	1
MGI:1913850	56615	Mgst1	4257	MGST1	171341	Mgst1	0	0	1
MGI:1336159	17330	Minpp1	9562	MINPP1	29688	Minpp1	0	0	1
MGI:1923231	270096	Mon1b	22879	MON1B	307868	Mon1b	0	0	1
MGI:1924013	76763	Mospd2	158747	MOSPD2	363463	Mospd2	0	0	1
MGI:1916086	68836	Mrpl52	122704	MRPL52	361037	Mrpl52	0	0	1
MGI:97268	17897	Myl3	4634	MYL3	24585	Myl3	0	0	1
MGI:2444584	320713	Mysm1	114803	MYSM1	298247	Mysm1	0	0	1
MGI:1925939	78689	Naa35	60560	NAA35	64472	Naa35	0	0	1
MGI:107252	28114	Nsun2	54888	NSUN2	361191	Nsun2	0	0	1
MGI:106183	18260	Ocln	100506658	OCLN	83497	Ocln	0	0	1
MGI:1917405	70155	Ogfrl1	79627	OGFRL1	316290	Ogfrl1	0	0	1
MGI:1919837	72587	Pan3	255967	PAN3	360760	Pan3	0	0	1
MGI:1351327	27226	Pla2g7	7941	PLA2G7	301265	Pla2g7	0	0	1
MGI:1922078	193670	Rnf185	91445	RNF185	360967	Rnf185	0	0	1
MGI:2387661	214968	Sema6d	80031	SEMA6D	311384	Sema6d	0	0	1
MGI:2144695	97761	Sgsm2	9905	SGSM2	303304	Sgsm2	0	0	1
MGI:2139810	215085	Slc35f1	222553	SLC35F1	502421	Slc35f1	0	0	1
MGI:2385051	224762	Trim31	11074	TRIM31	294208	Trim31	0	0	1
MGI:1921660	74410	Ttll11	158135	TTLL11	689746	Ttll11	0	0	1
MGI:1860490	54122	Uevld	55293	UEVLD	691172	Uevld	0	0	1
MGI:98935	22359	Vldlr	7436	VLDLR	25696	Vldlr	0	0	1
