"EntrezID_Human"	"concatenated_values"
1742	111
815	111
9118	111
6711	111
816	111
1740	111
2904	111
4905	111
2902	111
10458	111
8927	111
6854	111
291	111
4741	111
1741	111
9456	111
2752	111
2891	111
8831	111
5413	111
4747	111
50944	111
1267	111
11113	111
5339	111
6853	111
2890	111
3312	111
2782	111
9229	111
5582	111
4130	111
2746	111
226	111
87	111
1213	111
548596	111
2903	101
160	111
4644	111
6857	111
817	111
2775	111
1501	111
85358	111
1739	111
2597	111
80725	111
6812	111
5354	111
2892	111
1759	111
22895	111
118	111
5499	111
11346	111
8997	111
830	111
57554	111
22941	111
1499	111
4155	111
832	111
1917	111
10989	111
4133	111
523	111
478	111
4340	111
1808	111
26999	111
84687	111
989	111
7534	111
22999	111
5813	111
1778	111
287	111
4628	111
5518	111
9922	111
23096	111
4131	111
29767	111
119	111
7419	111
7417	111
2697	111
11331	111
79751	111
1072	111
81855	111
526	111
498	111
7846	111
7416	111
81	111
818	111
23136	111
56899	111
163	111
4627	111
7533	111
5501	111
7529	111
161	111
23114	111
4744	111
1627	111
23499	111
8936	111
1496	111
7143	111
3326	111
3983	111
10971	111
5879	111
9211	111
1400	111
5577	111
292	111
27445	111
4191	111
1173	111
399687	111
5214	111
5245	111
2670	111
6616	111
230	111
506	111
4637	111
2550	111
3309	111
477	111
6506	111
9114	111
10383	111
5250	111
481	111
88	111
476	111
10093	111
9201	111
4135	111
1272	111
57524	111
8867	111
1000	111
22866	111
7531	111
6507	111
5478	111
7532	111
10787	111
9228	111
5579	111
5530	111
5594	111
2893	111
6188	111
7385	111
8802	111
38	111
8508	111
2781	111
63827	111
4719	111
8604	111
5213	111
7001	111
6136	111
22839	111
1654	111
3796	111
6709	111
10109	111
11076	111
1639	111
1915	111
10243	111
11069	111
116986	111
1938	111
5802	111
23312	111
288	111
23122	111
8506	111
3313	111
10006	111
28964	111
50488	111
10294	111
2036	111
23025	111
23788	111
22859	111
7167	111
4137	111
23157	111
6202	111
6900	111
23176	111
535	111
529	111
391	111
10097	111
3098	111
2011	111
1152	111
1404	111
5052	111
7170	111
259217	111
140735	111
7070	111
2554	111
8803	111
112755	111
6804	111
8655	111
23085	111
162	111
3301	111
29114	111
221692	111
5864	111
57596	101
4684	111
3329	111
8470	111
57555	111
5093	101
9568	111
57468	111
23236	111
79012	111
7082	111
781	111
2932	111
55752	111
8473	111
5138	111
63908	111
8541	111
4735	111
55964	111
26059	111
10094	111
4355	111
1463	111
23345	101
9378	111
23237	101
23335	111
26052	111
6252	111
58512	111
53616	111
2783	111
2806	111
3728	111
6175	111
6130	111
6844	111
257194	111
509	111
4722	111
286	111
1431	111
84448	111
2596	111
1462	111
2771	111
5479	111
7345	111
8825	111
29993	111
1653	111
528	111
54332	111
1537	111
5160	111
4704	111
4697	111
10096	111
80863	111
79784	111
3897	111
5223	111
6124	111
3419	111
5211	111
7277	111
6710	111
51606	111
7086	111
84303	111
1937	111
488	111
1737	111
5500	111
10369	111
11034	111
1540	111
3845	111
10121	111
23154	111
9829	111
10570	111
8671	111
10890	111
60	111
8514	111
10580	101
729956	101
2934	111
10409	111
5814	111
1785	111
23603	111
7317	111
6456	111
5578	111
2913	111
58513	111
5581	111
192111	111
1500	111
5297	111
9218	111
6128	111
4736	111
4646	111
3927	111
9900	111
10439	111
2664	111
2023	111
50	111
1175	111
6135	111
8613	111
55915	111
3945	111
6132	111
5094	111
2820	111
50863	111
3030	111
10681	111
10313	111
22948	111
8774	111
78997	111
10211	111
120	111
2631	111
57142	111
908	111
10314	111
5064	111
7384	111
273	111
9143	111
4720	111
491	111
10381	111
23362	111
8402	111
2776	111
8078	111
5162	111
6624	111
7284	111
482	111
54927	111
7447	111
6950	111
5803	111
2026	111
156	111
1738	111
1666	111
1607	101
2823	111
10982	111
7168	111
577	101
1457	111
7431	111
23191	111
274	111
7461	111
80728	101
150726	101
54413	111
26232	101
2017	111
10575	111
9892	111
9793	111
3800	111
22848	111
9181	111
26986	111
4976	111
8573	111
10694	111
1487	111
55607	101
8502	111
27020	111
777	101
801	111
3799	111
3737	111
84251	111
10049	101
10165	101
9045	111
22924	111
1650	111
94081	111
94097	111
6208	111
6189	111
6133	111
4134	111
116988	111
6156	111
10529	111
6129	111
93185	111
10808	111
286205	111
10382	111
22979	111
549	111
25824	111
5414	111
10476	111
10552	111
9217	111
2821	111
51382	111
4967	111
4723	111
10540	111
10574	111
3306	111
5315	111
9369	111
1780	111
8775	111
10801	111
539	111
