"EntrezID_Human"	"NoGenes"
12	10
19	6
50	39
60	46
71	21
124	1
125	1
128	11
150	1
156	28
157	2
159	10
176	14
177	1
203	26
207	3
213	21
216	16
217	21
221	1
226	54
230	46
262	1
272	4
287	46
288	36
301	9
302	13
308	29
310	22
317	2
321	12
324	21
335	3
347	6
348	31
355	1
394	10
396	25
410	2
421	16
427	15
472	2
488	40
489	16
493	30
498	47
523	48
526	55
567	2
575	18
607	1
641	2
712	3
713	5
760	22
767	12
775	12
779	4
780	2
781	37
783	12
801	29
815	61
816	49
836	2
873	28
875	3
885	5
947	6
989	53
998	35
1012	29
1020	33
1072	44
1113	6
1114	10
1128	6
1152	45
1155	12
1173	51
1182	6
1185	16
1191	27
1212	27
1267	55
1268	8
1284	1
1312	8
1387	3
1400	45
1410	20
1428	28
1432	2
1454	17
1457	27
1463	37
1499	47
1501	46
1565	1
1576	1
1610	5
1612	7
1620	14
1630	5
1636	8
1641	15
1644	6
1674	7
1687	3
1728	5
1738	40
1739	41
1741	49
1742	55
1756	20
1759	55
1767	7
1786	4
1803	1
1808	47
1819	7
1946	2
1947	6
1948	4
1956	7
1958	3
1974	31
1993	8
2023	30
2026	39
2033	2
2036	40
2040	3
2047	4
2053	8
2065	1
2066	6
2107	8
2170	13
2171	13
2173	11
2193	29
2242	3
2257	10
2262	2
2263	2
2272	3
2332	13
2346	4
2475	17
2512	7
2534	30
2550	39
2554	34
2555	11
2556	15
2557	7
2558	5
2559	3
2560	15
2561	24
2562	21
2563	1
2566	27
2571	25
2572	21
2596	40
2597	47
2647	2
2664	33
2670	40
2674	2
2675	5
2730	10
2739	12
2746	51
2752	57
2774	16
2778	31
2782	56
2783	47
2784	9
2817	20
2823	40
2869	2
2870	8
2875	2
2876	14
2885	19
2887	1
2890	43
2891	39
2892	33
2893	28
2894	7
2896	5
2897	2
2898	20
2899	14
2900	3
2902	45
2903	32
2904	45
2905	6
2906	16
2911	27
2912	29
2913	34
2915	31
2917	20
2918	4
2932	35
2934	33
2935	8
2938	3
2944	16
2950	22
2953	5
2956	1
2977	18
3008	18
3028	26
3029	21
3054	4
3066	5
3094	16
3098	44
3105	2
3107	1
3159	1
3181	32
3183	13
3190	33
3192	22
3269	3
3303	13
3304	20
3305	18
3309	46
3312	57
3313	39
3320	37
3329	35
3337	18
3383	2
3558	1
3568	2
3674	1
3697	2
3699	4
3700	4
3703	14
3720	1
3732	3
3745	11
3746	13
3757	6
3760	6
3765	2
3785	19
3796	37
3800	37
3831	28
3836	9
3839	12
3843	26
3897	35
3927	32
3981	2
4035	27
4045	39
4082	23
4099	27
4128	30
4129	29
4130	48
4133	43
4135	46
4137	34
4155	47
4163	2
4190	31
4204	16
4208	3
4297	3
4318	1
4340	39
4482	4
4513	34
4522	29
4535	11
4540	22
4552	1
4642	22
4643	2
4645	10
4650	2
4684	42
4706	17
4711	22
4713	25
4715	30
4719	42
4722	39
4723	37
4726	31
4729	37
4734	16
4735	38
4741	48
4747	48
4750	2
4775	1
4811	1
4841	18
4842	18
4846	3
4852	4
4884	34
4898	5
4900	12
4915	22
4916	11
4925	4
4929	1
4974	32
4976	39
4978	25
5010	16
5019	34
5027	1
5037	27
5048	31
5052	37
5058	33
5096	17
5100	6
5108	8
5110	22
5116	7
5141	9
5142	15
5144	16
5159	1
5179	4
5184	6
5188	3
5192	2
5213	47
5223	35
5226	16
5230	32
5243	1
5245	42
5250	41
5265	3
5286	3
5288	1
5289	16
5297	35
5305	23
5306	14
5321	2
5327	1
5334	10
5337	2
5339	49
5354	49
5362	10
5414	32
5478	46
5530	45
5532	29
5533	6
5534	16
5538	15
5563	8
5565	11
5578	38
5582	51
5587	1
5588	3
5590	3
5595	22
5609	18
5621	26
5625	19
5649	3
5730	8
5764	11
5786	19
5792	18
5793	5
5799	29
5803	31
5813	40
5816	8
5834	35
5860	30
5902	11
5912	28
5973	4
5999	1
6001	2
6017	3
6048	2
6050	19
6091	5
6092	17
6125	26
6137	23
6197	5
6204	23
6207	28
6285	16
6311	15
6326	28
6334	11
6391	16
6432	2
6451	9
6456	41
6457	13
6469	1
6472	16
6498	1
6505	4
6506	43
6507	42
6509	22
6511	15
6513	25
6530	2
6531	11
6532	2
6536	6
6558	30
6571	3
6586	1
6595	1
6616	51
6622	30
6641	7
6647	24
6648	28
6709	42
6720	3
6733	15
6801	27
6804	46
6812	57
6844	45
6853	54
6854	57
6861	21
6942	1
6992	2
7001	42
7018	17
7052	1
7054	5
7057	3
7082	30
7086	41
7167	40
7168	37
7169	2
7170	34
7171	15
7187	17
7203	35
7247	6
7257	6
7280	36
7295	18
7334	28
7345	37
7353	5
7384	42
7422	1
7431	25
7447	43
7450	2
7504	1
7529	45
7531	46
7532	43
7533	45
7534	50
7781	21
7846	41
7916	12
7917	27
8087	11
8224	33
8260	2
8291	2
8340	1
8379	2
8398	4
8443	6
8452	18
8499	27
8502	32
8537	30
8604	38
8662	15
8678	4
8682	23
8777	14
8787	3
8831	45
8841	1
8851	2
8854	1
8880	5
8895	10
8911	3
8927	52
8997	40
9016	2
9114	50
9118	58
9145	31
9152	1
9162	10
9172	1
9217	34
9223	15
9228	33
9229	40
9348	1
9368	25
9369	33
9373	16
9378	36
9379	15
9444	14
9455	23
9456	46
9463	13
9472	3
9481	12
9529	15
9530	1
9537	10
9538	2
9568	37
9588	30
9615	30
9620	3
9628	13
9638	5
9644	5
9651	10
9685	10
9699	16
9722	2
9732	17
9743	22
9745	2
9759	3
9764	23
9779	5
9783	5
9805	25
9826	12
9829	39
9839	1
9863	19
9867	1
9881	3
