"EntrezID_Human"	"go_name"
22848	"presynaptic endocytosis (GO:0140238)"
22848	"presynapse (GO:0098793)"
81926	"anchored component of postsynaptic recycling endosome membrane (GO:0099033)"
81926	"regulation of postsynapse organization (GO:0099175)"
81926	"anchored component of postsynaptic density membrane (GO:0099031)"
51104	"metabolism"
51104	"anchored component of postsynaptic density membrane (GO:0099031)"
51104	"anchored component of postsynaptic recycling endosome membrane (GO:0099033)"
51104	"regulation of postsynapse organization (GO:0099175)"
58489	"regulation of postsynapse organization (GO:0099175)"
57406	"regulation of retrograde trans-synaptic signaling by endocanabinoid (GO:0099178)"
57406	"integral component of postsynaptic membrane (GO:0099055)"
10006	"postsynaptic density (GO:0014069)"
10006	"postsynapse to nucleus signaling pathway (GO:0099527)"
10006	"postsynaptic density (GO:0014069)"
10006	"synaptic vesicle clustering (GO:0097091)"
10152	"synaptic vesicle clustering (GO:0097091)"
51225	"synaptic vesicle clustering (GO:0097091)"
10006	"presynaptic actin cytoskeleton organization (GO:0099140)"
10152	"presynaptic actin cytoskeleton organization (GO:0099140)"
51225	"presynaptic actin cytoskeleton organization (GO:0099140)"
10152	"postsynaptic actin cytoskeleton organization (GO:0098974)"
10152	"postsynaptic actin cytoskeleton (GO:0098871)"
10152	"postsynapse organization (GO:0099173)"
25	"postsynaptic density (GO:0014069)"
25	"regulation of postsynaptic specialization assembly (GO:0099150)"
27	"synapse maturation (GO:0060074)"
27	"postsynapse (GO:0098794)"
22885	"synapse (GO:0045202)"
29	"modulation of chemical synaptic transmission (GO:0050804)"
29	"postsynaptic density, intracellular component (GO:0099092)"
176	"perisynaptic extracellular matrix (GO:0098966)"
43	"synaptic cleft (GO:0043083)"
43	"neurotransmitter catabolic process (GO:0042135)"
60	"structural constituent of postsynaptic actin cytoskeleton (GO:0098973)"
60	"postsynaptic actin cytoskeleton (GO:0098871)"
60	"regulation of synaptic vesicle endocytosis (GO:1900242)"
345651	"synapse (GO:0045202)"
70	"synapse (GO:0045202)"
71	"presynaptic actin cytoskeleton (GO:0099143)"
71	"structural constituent of postsynaptic actin cytoskeleton (GO:0098973)"
71	"regulation of synaptic vesicle endocytosis (GO:1900242)"
71	"postsynaptic actin cytoskeleton (GO:0098871)"
87	"structural constituent of postsynapse (GO:0099186)"
88	"postsynaptic actin cytoskeleton (GO:0098871)"
88	"postsynaptic density, intracellular component (GO:0099092)"
88	"postsynaptic density membrane (GO:0098839)"
10097	"postsynapse (GO:0098794)"
10096	"postsynapse organization (GO:0099173)"
10096	"postsynapse (GO:0098794)"
10096	"postsynaptic actin cytoskeleton organization (GO:0098974)"
102	"regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)"
102	"postsynapse (GO:0098794)"
102	"postsynapse organization (GO:0099173)"
102	"regulation of postsynapse organization (GO:0099175)"
102	"protein catabolic process at postsynapse (GO:0140249)"
53616	"integral component of postsynaptic density membrane (GO:0099061)"
53616	"neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0099645)"
8745	"integral component of presynaptic membrane (GO:0099056)"
107	"integral component of postsynaptic density membrane (GO:0099061)"
107	"modulation of chemical synaptic transmission (GO:0050804)"
107	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
114	"modulation of chemical synaptic transmission (GO:0050804)"
114	"integral component of presynaptic membrane (GO:0099056)"
118	"presynapse (GO:0098793)"
119	"presynapse (GO:0098793)"
120	"presynapse (GO:0098793)"
118	"postsynapse (GO:0098794)"
120	"postsynapse (GO:0098794)"
119	"postsynapse (GO:0098794)"
119	"synapse assembly (GO:0007416)"
84435	"postsynaptic density (GO:0014069)"
575	"postsynaptic actin cytoskeleton organization (GO:0098974)"
575	"integral component of postsynaptic membrane (GO:0099055)"
577	"regulation of synapse disassembly (GO:1905806)"
577	"regulation of synapse maturation (GO:0090128)"
577	"integral component of postsynaptic density membrane (GO:0099061)"
22859	"integral component of presynaptic membrane (GO:0099056)"
23266	"synapse organization (GO:0050808)"
23266	"integral component of postsynaptic membrane (GO:0099055)"
23284	"synapse assembly (GO:0007416)"
23284	"maintenance of postsynaptic specialization structure (GO:0098880)"
23284	"integral component of postsynaptic membrane (GO:0099055)"
23284	"synapse organization (GO:0050808)"
134	"regulation of presynaptic cytosolic calcium levels (GO:0099509)"
134	"integral component of presynaptic membrane (GO:0099056)"
134	"integral component of postsynaptic membrane (GO:0099055)"
135	"integral component of presynaptic membrane (GO:0099056)"
135	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
135	"integral component of postsynaptic membrane (GO:0099055)"
136	"synapse (GO:0045202)"
136	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
140	"synapse (GO:0045202)"
140	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
148	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
148	"integral component of postsynaptic membrane (GO:0099055)"
148	"integral component of presynaptic membrane (GO:0099056)"
150	"integral component of presynaptic active zone membrane (GO:0099059)"
150	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
150	"integral component of postsynaptic membrane (GO:0099055)"
150	"integral component of postsynaptic density membrane (GO:0099061)"
152	"integral component of postsynaptic membrane (GO:0099055)"
152	"integral component of postsynaptic density membrane (GO:0099061)"
153	"neuronal dense core vesicle (GO:0098992)"
153	"G protein-coupled neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099579)"
154	"presynaptic modulation of chemical synaptic transmission (GO:0099171)"
154	"neuronal dense core vesicle (GO:0098992)"
154	"integral component of postsynaptic membrane (GO:0099055)"
116986	"postsynapse (GO:0098794)"
116988	"postsynaptic density (GO:0014069)"
116988	"regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)"
375790	"synapse (GO:0045202)"
375790	"extracellular matrix of synaptic cleft (GO:0098965)"
375790	"regulation of synapse organization (GO:0050807)"
8165	"postsynaptic specialization, intracellular component (GO:0099091)"
9590	"modulation of chemical synaptic transmission (GO:0050804)"
9495	"postsynaptic density, intracellular component (GO:0099092)"
9495	"regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149)"
9465	"modulation of chemical synaptic transmission (GO:0050804)"
10142	"regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)"
10142	"extrinsic component of postsynaptic density membrane (GO:0099147)"
10327	"synapse (GO:0045202)"
207	"regulation of postsynapse organization (GO:0099175)"
230	"postsynaptic cytosol (GO:0099524)"
238	"trans-synaptic signaling by neuropeptide (GO:0099540)"
238	"postsynapse (GO:0098794)"
273	"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)"
273	"synaptic vesicle endocytosis (GO:0048488)"
273	"presynapse (GO:0098793)"
273	"presynaptic endocytic zone (GO:0098833)"
273	"extrinsic component of synaptic vesicle membrane (GO:0098850)"
56899	"presynaptic cytosol (GO:0099523)"
56899	"postsynaptic density, intracellular component (GO:0099092)"
56899	"postsynaptic density (GO:0014069)"
56899	"postsynapse to nucleus signaling pathway (GO:0099527)"
56899	"postsynaptic process involved in chemical synaptic transmission (GO:0099565)"
55107	"integral component of presynaptic membrane (GO:0099056)"
57101	"integral component of presynaptic membrane (GO:0099056)"
196527	"regulation of postsynaptic membrane potential (GO:0060078)"
196527	"integral component of synaptic membrane (GO:0099699)"
301	"synaptic membrane (GO:0097060)"
308	"synaptic vesicle membrane (GO:0030672)"
164	"synaptic vesicle endocytosis (GO:0048488)"
164	"presynapse (GO:0098793)"
164	"synaptic vesicle budding from endosome (GO:0016182)"
8905	"synaptic vesicle budding from endosome (GO:0016182)"
163	"postsynaptic neurotransmitter receptor endocytosis (GO:0098884)"
163	"synapse (GO:0045202)"
163	"synaptic vesicle endocytosis (GO:0048488)"
163	"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)"
1173	"synaptic vesicle endocytosis (GO:0048488)"
1173	"extrinsic component of presynaptic endocytic zone membrane (GO:0098894)"
1173	"postsynaptic neurotransmitter receptor endocytosis (GO:0098884)"
1173	"postsynaptic neurotransmitter receptor endocytosis (GO:0098884)"
