"EntrezID_Human"	"Trubetskoy_Priortised_coding"
1630	TRUE
84153	TRUE
473	TRUE
56140	TRUE
152330	TRUE
56146	TRUE
1316	TRUE
90485	TRUE
9776	TRUE
133418	TRUE
9228	TRUE
2923	TRUE
10336	TRUE
5096	TRUE
2823	TRUE
488	TRUE
2016	TRUE
29902	TRUE
6444	TRUE
1636	TRUE
10827	TRUE
5595	TRUE
6671	TRUE
23113	TRUE
4124	TRUE
22905	TRUE
9671	TRUE
64897	TRUE
253982	TRUE
7296	TRUE
124540	TRUE
284058	TRUE
85443	TRUE
57282	TRUE
91752	TRUE
5789	TRUE
22877	TRUE
54815	TRUE
79918	TRUE
2903	TRUE
55157	TRUE
79968	TRUE
81610	TRUE
257194	TRUE
4665	TRUE
8379	TRUE
64919	TRUE
1182	TRUE
55552	TRUE
9420	TRUE
346007	TRUE
150159	TRUE
283899	TRUE
5685	TRUE
64219	TRUE
9093	TRUE
84059	TRUE
9651	TRUE
30010	TRUE
83857	TRUE
5045	TRUE
27257	TRUE
54602	TRUE
81888	TRUE
29960	TRUE
57502	TRUE
7223	TRUE
2911	TRUE
4137	TRUE
9568	TRUE
10529	TRUE
83596	TRUE
56924	TRUE
83698	TRUE
23451	TRUE
11141	TRUE
94030	TRUE
493856	TRUE
83943	TRUE
57670	TRUE
57476	TRUE
1806	TRUE
64478	TRUE
8204	TRUE
775	TRUE
5142	TRUE
203062	TRUE
55068	TRUE
399909	TRUE
1394	TRUE
80145	TRUE
665	TRUE
10000	TRUE
64116	TRUE
25843	TRUE
22864	TRUE
23259	TRUE
199745	TRUE
4978	TRUE
64409	TRUE
9892	TRUE
3661	TRUE
148327	TRUE
10120	TRUE
