"EntrezID_Human"	"Trubetskoy_broad_db_cross"
1630	TRUE
4192	TRUE
22978	TRUE
26051	TRUE
9881	TRUE
63967	TRUE
133418	TRUE
80143	TRUE
57459	TRUE
2923	TRUE
55735	TRUE
8448	TRUE
488	TRUE
22866	TRUE
1636	TRUE
5595	TRUE
23113	TRUE
6801	TRUE
4124	TRUE
55471	TRUE
22905	TRUE
1152	TRUE
10769	TRUE
5796	TRUE
26505	TRUE
57282	TRUE
9577	TRUE
100505876	TRUE
9553	TRUE
23046	TRUE
54815	TRUE
9640	TRUE
57407	TRUE
9912	TRUE
57412	TRUE
766	TRUE
51678	TRUE
41	TRUE
81610	TRUE
3163	TRUE
4665	TRUE
64919	TRUE
79718	TRUE
9745	TRUE
10645	TRUE
9858	TRUE
9677	TRUE
3329	TRUE
4296	TRUE
2260	TRUE
81888	TRUE
57502	TRUE
6314	TRUE
11311	TRUE
10529	TRUE
5970	TRUE
1783	TRUE
4208	TRUE
23368	TRUE
23451	TRUE
381	TRUE
94030	TRUE
84978	TRUE
94097	TRUE
23438	TRUE
57476	TRUE
4140	TRUE
348980	TRUE
8204	TRUE
5142	TRUE
6847	TRUE
7812	TRUE
404037	TRUE
6536	TRUE
9839	TRUE
124045	TRUE
23334	TRUE
25791	TRUE
9472	TRUE
54471	TRUE
129285	TRUE
7840	TRUE
6622	TRUE
64409	TRUE
192669	TRUE
1800	TRUE
54805	TRUE
64080	TRUE
1958	TRUE
8883	TRUE
80219	TRUE
152330	TRUE
8525	TRUE
23457	TRUE
64786	TRUE
26354	TRUE
122402	TRUE
23228	TRUE
6444	TRUE
1788	TRUE
1946	TRUE
9909	TRUE
56134	TRUE
1687	TRUE
10690	TRUE
9628	TRUE
23478	TRUE
55765	TRUE
80335	TRUE
9758	TRUE
92521	TRUE
55157	TRUE
10381	TRUE
3831	TRUE
257194	TRUE
2272	TRUE
51390	TRUE
9420	TRUE
1500	TRUE
9093	TRUE
1996	TRUE
56138	TRUE
6487	TRUE
474170	TRUE
6137	TRUE
51474	TRUE
2911	TRUE
196385	TRUE
200186	TRUE
56924	TRUE
83943	TRUE
9529	TRUE
51780	TRUE
119032	TRUE
2107	TRUE
3313	TRUE
2175	TRUE
60412	TRUE
284403	TRUE
665	TRUE
161497	TRUE
23293	TRUE
56145	TRUE
10000	TRUE
29965	TRUE
403	TRUE
130132	TRUE
140803	TRUE
10120	TRUE
124044	TRUE
6733	TRUE
9776	TRUE
23513	TRUE
9228	TRUE
84334	TRUE
63826	TRUE
3745	TRUE
10827	TRUE
22827	TRUE
85358	TRUE
1191	TRUE
27132	TRUE
779	TRUE
7296	TRUE
22997	TRUE
124540	TRUE
2185	TRUE
5789	TRUE
1813	TRUE
9842	TRUE
4905	TRUE
2903	TRUE
57538	TRUE
8120	TRUE
6494	TRUE
9556	TRUE
8379	TRUE
9779	TRUE
3336	TRUE
7531	TRUE
64219	TRUE
84059	TRUE
30010	TRUE
51075	TRUE
221079	TRUE
27257	TRUE
54602	TRUE
8452	TRUE
64506	TRUE
23019	TRUE
6602	TRUE
4137	TRUE
9568	TRUE
11141	TRUE
493856	TRUE
9884	TRUE
64478	TRUE
399909	TRUE
27253	TRUE
4750	TRUE
23505	TRUE
4695	TRUE
2053	TRUE
25843	TRUE
79684	TRUE
80212	TRUE
51308	TRUE
6687	TRUE
79038	TRUE
25921	TRUE
29763	TRUE
57795	TRUE
91056	TRUE
10274	TRUE
6017	TRUE
9162	TRUE
55215	TRUE
5096	TRUE
2823	TRUE
26058	TRUE
1983	TRUE
7323	TRUE
4900	TRUE
64897	TRUE
5119	TRUE
253982	TRUE
5792	TRUE
65009	TRUE
8943	TRUE
29789	TRUE
64101	TRUE
23040	TRUE
462	TRUE
2913	TRUE
60528	TRUE
1182	TRUE
5685	TRUE
23196	TRUE
9651	TRUE
83857	TRUE
374887	TRUE
4157	TRUE
7223	TRUE
254531	TRUE
56144	TRUE
50651	TRUE
1838	TRUE
4126	TRUE
54497	TRUE
27044	TRUE
10100	TRUE
57670	TRUE
58155	TRUE
644096	TRUE
775	TRUE
26523	TRUE
8911	TRUE
340371	TRUE
392	TRUE
4668	TRUE
22980	TRUE
22891	TRUE
9344	TRUE
577	TRUE
7322	TRUE
51441	TRUE
127703	TRUE
783	TRUE
22864	TRUE
23259	TRUE
4978	TRUE
9892	TRUE
4236	TRUE
