"EntrezID_Human"	"Trubetskoy_prioritised_db_cross"
1630	TRUE
152330	TRUE
9776	TRUE
133418	TRUE
9228	TRUE
2923	TRUE
5096	TRUE
2823	TRUE
488	TRUE
6444	TRUE
1636	TRUE
10827	TRUE
5595	TRUE
23113	TRUE
4124	TRUE
22905	TRUE
64897	TRUE
253982	TRUE
7296	TRUE
124540	TRUE
57282	TRUE
5789	TRUE
54815	TRUE
2903	TRUE
55157	TRUE
81610	TRUE
257194	TRUE
4665	TRUE
8379	TRUE
64919	TRUE
1182	TRUE
9420	TRUE
5685	TRUE
64219	TRUE
9093	TRUE
84059	TRUE
9651	TRUE
30010	TRUE
83857	TRUE
27257	TRUE
54602	TRUE
81888	TRUE
57502	TRUE
7223	TRUE
2911	TRUE
4137	TRUE
9568	TRUE
10529	TRUE
56924	TRUE
23451	TRUE
11141	TRUE
94030	TRUE
493856	TRUE
83943	TRUE
57670	TRUE
57476	TRUE
64478	TRUE
8204	TRUE
775	TRUE
5142	TRUE
399909	TRUE
665	TRUE
10000	TRUE
25843	TRUE
22864	TRUE
23259	TRUE
4978	TRUE
64409	TRUE
9892	TRUE
10120	TRUE
