,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,fc,1,TRUE,4843,191,1100,39,-0.14110001910453018,-0.49952263145432707,0.2173225932452667,0.8989861970490243,0.15609669421487604,0.804130802716637,0.804130802716637,0.24950932025395067,0.24950932025395067,"1813, 392, 23513, 4905, 3163, 4140, 1783, 2053, 6536, 3329, 55157, 23293, 4695, 1182, 11311, 10690, 488, 10100, 8448, 55735, 65009, 10827, 493856, 51075, 51308, 63826, 577, 27044, 3745, 25921, 381, 23478, 23438, 9568, 9779, 9556, 94097, 57476, 92521"
2,fc,2,TRUE,4843,191,858,35,0.042894805040101416,-0.33134673785846286,0.41713634793866566,1.0343365186297122,0.2302543998348194,0.441638775811954,0.441638775811954,0.6324686963837176,0.6324686963837176,"57670, 1191, 5142, 3336, 403, 25843, 56144, 25791, 1996, 22866, 58155, 23040, 22891, 6733, 1983, 23046, 9640, 5119, 8883, 23505, 64786, 57538, 4900, 51474, 6801, 51780, 9858, 9842, 29789, 79684, 8943, 9344, 9651, 64478, 9881"
3,fc,3,TRUE,4843,191,237,10,0.0741636016888472,-0.5763560487460777,0.724683252123772,1.069874301367442,0.862219373675871,0.46012112181792575,0.46012112181792575,0.6680104900599361,0.6680104900599361,"23228, 57502, 23196, 64101, 22905, 51678, 8525, 9758, 8120, 54497"
4,fc,4,TRUE,4843,191,1340,57,0.11062634667455527,-0.20591695088069867,0.42716964422980924,1.0785770102367742,0.15373746936957008,0.2709790119056226,0.2709790119056226,0.7800618998891697,0.7800618998891697,"7531, 29763, 9228, 23113, 4750, 2903, 5792, 5789, 26354, 10769, 4192, 2107, 9093, 26058, 4137, 2911, 6622, 8204, 85358, 6137, 462, 5970, 64219, 5595, 7322, 7323, 56924, 4208, 1630, 10381, 22980, 129285, 23451, 10645, 2185, 8452, 348980, 4157, 192669, 122402, 1500, 6687, 29965, 9472, 1958, 9912, 63967, 399909, 55215, 152330, 7812, 56138, 9529, 11141, 9628, 9162, 9745"
5,fc,5,TRUE,4843,191,965,38,-0.0019831964182449426,-0.36444513429228326,0.36047874145579334,0.9984754360741123,0.19762570807269997,0.534310699041433,0.534310699041433,0.5392914292042873,0.5392914292042873,"2923, 41, 1838, 23368, 3831, 5685, 284403, 26505, 127703, 22978, 8379, 26523, 10120, 1152, 7840, 4236, 23019, 10529, 340371, 23334, 26051, 22864, 57795, 27132, 80212, 5096, 124044, 6444, 1636, 60412, 6847, 57459, 779, 9892, 6494, 79718, 51441, 64506"
6,fc,6,TRUE,4843,191,63,3,0.19989670161546222,-0.968790864810674,1.3685842680415985,1.2074295686861132,3.6606198034769464,0.45550293266570785,0.45550293266570785,0.7639155942607805,0.7639155942607805,"3313, 2823, 7223"
8,fc,8,TRUE,4843,191,36,3,0.8035962748022856,-0.3872904504032484,1.9944830000078195,2.1130017452006977,11.210648148148147,0.16781646461674463,0.16781646461674463,0.9483718805755439,0.9483718805755439,"775, 783, 9839"
9,fc,9,TRUE,4843,191,35,3,0.8345844071142186,-0.3578286467551359,2.026997460983573,2.1733732236350036,11.860408163265305,0.1581341025173873,0.1581341025173873,0.952705890277161,0.952705890277161,"140803, 257194, 4978"
10,fc,10,TRUE,4843,191,37,1,-0.39325920242866075,-2.3855850528310087,1.599066647973687,0.6852978633083345,3.5376186997808623,0.7756278106964868,0.7756278106964868,0.5678813448078305,0.5678813448078305,2913
13,fc,13,TRUE,4843,191,9,1,1.1168657289774602,-0.9670839261927437,3.2008153841476643,2.8173356602675974,59.79012345679012,0.3040237353979721,0.3040237353979721,0.9535953858016155,0.9535953858016155,94030
30,fc,30,TRUE,4843,191,4,1,2.098771060861989,-0.16908665269598178,4.36662877441996,6.3390052356020945,302.6875,0.14870742358016842,0.14870742358016842,0.9911909477652288,0.9911909477652288,54805
