,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
2,infomap,2,TRUE,4843,191,159,6,-0.04742384840153296,-0.8762751302632406,0.7814274334601747,0.9568309789588066,1.1494007357303904,0.6038884857906361,0.6038884857906361,0.5614298908066265,0.5614298908066265,"6137, 462, 2185, 124044, 9472, 56138"
3,infomap,3,TRUE,4843,191,94,6,0.5200215406534899,-0.31993580071452776,1.3599788820215077,1.618469421855854,3.288592123132639,0.1652784642686899,0.1652784642686899,0.9236252222745326,0.9236252222745326,"22980, 4157, 192669, 122402, 9529, 9628"
5,infomap,5,TRUE,4843,191,120,9,0.704590220045041,0.009315363011805688,1.3998650770782763,1.9017015706806284,3.026875,0.0462662209990365,0.0462662209990365,0.9807089365513759,0.9807089365513759,"7531, 4140, 4137, 2911, 8204, 5970, 5595, 4208, 63826"
7,infomap,7,TRUE,4843,191,11,2,1.6972915761840053,0.15820166118537493,3.2363814911826356,4.6101856258924325,80.0495867768595,0.06734111709595021,0.06734111709595021,0.9921182997191117,0.9921182997191117,"2923, 129285"
9,infomap,9,TRUE,4843,191,13,1,0.7105389232718146,-1.3346457167390176,2.755723563282647,1.9504631494160292,28.656804733727814,0.40770182669485844,0.40770182669485844,0.9092542863044234,0.9092542863044234,2107
11,infomap,11,TRUE,4843,191,9,1,1.1168657289774602,-0.9670839261927437,3.2008153841476643,2.8173356602675974,59.79012345679012,0.3040237353979721,0.3040237353979721,0.9535953858016155,0.9535953858016155,9839
12,infomap,12,TRUE,4843,191,48,2,0.057873849391838476,-1.3653172874402377,1.4810649862239147,1.056500872600349,4.203993055555555,0.5706324049930322,0.5706324049930322,0.7064269706763621,0.7064269706763621,"4192, 29965"
14,infomap,14,TRUE,4843,191,11,3,2.2260601269761064,0.8911464242214622,3.5609738297307505,6.915278438838647,120.07438016528924,0.007881700280888278,0.007881700280888278,0.9993778796790902,0.9993778796790902,"23293, 7223, 9162"
15,infomap,15,TRUE,4843,191,15,1,0.5559571160397322,-1.4780161471630109,2.5899303792424755,1.6904013961605586,21.524444444444445,0.4536245541188002,0.4536245541188002,0.8838842109630536,0.8838842109630536,29763
18,infomap,18,TRUE,4843,191,38,1,-0.4208748378677581,-2.412476803730947,1.5707271279954307,0.6672637090107468,3.3538781163434903,0.7845448078161228,0.7845448078161228,0.5543010827300485,0.5543010827300485,58155
19,infomap,19,TRUE,4843,191,83,9,1.1181702975677663,0.41056532726545336,1.8257752678700792,2.7494480539960895,6.3270431122078685,0.005030199699779407,0.005030199699779407,0.9985776336297815,0.9985776336297815,"9228, 2903, 23513, 85358, 3745, 8525, 9758, 8120, 54497"
20,infomap,20,TRUE,4843,191,243,8,-0.1964141137092175,-0.9164205819827324,0.5235923545642974,0.8347661215607696,0.656133042049823,0.7518969054336672,0.7518969054336672,0.37278148728675103,0.37278148728675103,"4905, 26505, 6536, 10381, 1500, 25921, 23478, 92521"
25,infomap,25,TRUE,4843,191,11,1,0.8932914216798505,-1.1674867133191196,2.954069556678821,2.3050928129462163,40.02479338842975,0.3579411931720896,0.3579411931720896,0.9326588829040499,0.9326588829040499,10769
26,infomap,26,TRUE,4843,191,155,6,-0.020043541494157286,-0.8493008854771756,0.809213802488861,0.981523391319034,1.2094901144641,0.5786330495577119,0.5786330495577119,0.5876359817873509,0.5876359817873509,"3163, 10100, 493856, 51075, 51308, 94097"
28,infomap,28,TRUE,4843,191,225,5,-0.6133300792043428,-1.5118301452178566,0.28516998680917094,0.5634671320535195,0.478320987654321,0.9480675794020614,0.9480675794020614,0.11287085175657668,0.11287085175657668,"3329, 55157, 4695, 55735, 23438"
30,infomap,30,TRUE,4843,191,6,1,1.5875151444903919,-0.5644527063964411,3.739482995377225,4.226003490401396,134.52777777777777,0.21459049654383744,0.21459049654383744,0.9790999039211427,0.9790999039211427,5142
31,infomap,31,TRUE,4843,191,263,10,-0.040168905650580566,-0.6893543864644511,0.6090165751632899,0.9641072601676189,0.7001691509202099,0.5955863914326056,0.5955863914326056,0.5344785351916085,0.5344785351916085,"1838, 23368, 127703, 8379, 4236, 10529, 340371, 26051, 6687, 64506"
33,infomap,33,TRUE,4843,191,82,7,0.8422853185636594,0.05378108821798033,1.6307895489093385,2.164538373132422,5.0417906008328375,0.04182813291826472,0.04182813291826472,0.9851831159336022,0.9851831159336022,"23228, 1191, 23040, 23046, 9640, 57459, 9881"
40,infomap,40,TRUE,4843,191,12,1,0.7977657942823192,-1.254521481818252,2.85005307038289,2.113001745200698,33.63194444444444,0.3833205872333749,0.3833205872333749,0.9212321415020492,0.9212321415020492,4978
42,infomap,42,TRUE,4843,191,100,5,0.25423413838424086,-0.6569489765440322,1.165417253312514,1.2678010471204189,2.4215000000000004,0.35973594814840437,0.35973594814840437,0.7989612454619175,0.7989612454619175,"6733, 23451, 27044, 9858, 64478"
44,infomap,44,TRUE,4843,191,219,12,0.3643371986298811,-0.23651011302432268,0.9651845102840849,1.3893710105429247,1.2117345343091261,0.15403256976451354,0.15403256976451354,0.9098403553837147,0.9098403553837147,"284403, 1783, 26523, 1152, 7840, 23019, 11311, 5096, 1636, 60412, 6494, 51441"
45,infomap,45,TRUE,4843,191,47,3,0.5135298942956265,-0.6650752759590993,1.6921350645503521,1.618469421855854,6.577184246265278,0.2826803921588623,0.2826803921588623,0.8873752323276662,0.8873752323276662,"56924, 65009, 10827"
46,infomap,46,TRUE,4843,191,18,1,0.36115406178325327,-1.660880616979855,2.383188740546361,1.4086678301337987,14.94753086419753,0.5159507430757291,0.5159507430757291,0.8430916183710121,0.8430916183710121,64786
49,infomap,49,TRUE,4843,191,46,4,0.8534992619726299,-0.18247530385739352,1.8894738278026533,2.204871386296381,9.155009451795841,0.10613099680888635,0.10613099680888635,0.9665087325714911,0.9665087325714911,"1958, 63967, 55215, 152330"
54,infomap,54,TRUE,4843,191,10,2,1.8152899666382492,0.25896315525141334,3.3716167780250847,5.071204188481675,96.86,0.05653031403866619,0.05653031403866619,0.9940981851627422,0.9940981851627422,"41, 10645"
55,infomap,55,TRUE,4843,191,15,2,1.32870491279051,-0.1671098243143152,2.8245196498953353,3.3808027923211172,43.04888888888889,0.11611578903694637,0.11611578903694637,0.9806478793309918,0.9806478793309918,"1813, 9568"
58,infomap,58,TRUE,4843,191,13,2,1.496190031943108,-0.01747771303985446,3.0098577769260704,3.9009262988320583,57.31360946745563,0.09074571369557657,0.09074571369557657,0.9871103450889915,0.9871103450889915,"22978, 57795"
62,infomap,62,TRUE,4843,191,7,1,1.4049783719418134,-0.7170283377204589,3.526985081604086,3.6222887060583395,98.83673469387755,0.2456041858471506,0.2456041858471506,0.9714916392760431,0.9714916392760431,54805
64,infomap,64,TRUE,4843,191,19,1,0.3037798749356706,-1.715148101147625,2.3227078510189663,1.3345274180214937,13.415512465373961,0.535112071173664,0.535112071173664,0.8289531626870991,0.8289531626870991,2053
