,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
7,sgG1,7,TRUE,4843,191,129,6,0.1774757323335265,-0.6550582399240402,1.0100097045910932,1.1793498112748082,1.7461691004146385,0.39979330127290913,0.39979330127290913,0.7540071609363268,0.7540071609363268,"4750, 5789, 25843, 6801, 79684, 11141"
9,sgG1,9,TRUE,4843,191,4,1,2.098771060861989,-0.16908665269598178,4.36662877441996,6.3390052356020945,302.6875,0.14870742358016842,0.14870742358016842,0.9911909477652288,0.9911909477652288,64101
10,sgG1,10,TRUE,4843,191,431,22,0.30045442759476554,-0.15522924001498994,0.756138095204521,1.2942748508885946,0.5735649571223238,0.12334772407662913,0.12334772407662913,0.9190671439349365,0.9190671439349365,"23228, 57670, 26354, 5142, 403, 22866, 23040, 4208, 2823, 129285, 23046, 10690, 23505, 64786, 9472, 7223, 381, 9779, 9892, 9344, 9651, 9881"
13,sgG1,13,TRUE,4843,191,740,32,0.11433832260830136,-0.2737480485786154,0.5024246937952181,1.0964765812933353,0.283009495982469,0.31138836398499314,0.31138836398499314,0.7555519923578956,0.7555519923578956,"1838, 23368, 284403, 1783, 127703, 22978, 9093, 8379, 26058, 26523, 10120, 1152, 7840, 4236, 23019, 10529, 340371, 23334, 26051, 22864, 57795, 27132, 80212, 5096, 1636, 60412, 57459, 779, 6494, 79718, 51441, 64506"
16,sgG1,16,TRUE,4843,191,4,1,2.098771060861989,-0.16908665269598178,4.36662877441996,6.3390052356020945,302.6875,0.14870742358016842,0.14870742358016842,0.9911909477652288,0.9911909477652288,488
18,sgG1,18,TRUE,4843,191,459,19,0.05586264869454661,-0.42804573858012884,0.539771035969222,1.0495956381389087,0.4367598407070405,0.44773607974770124,0.44773607974770124,0.647878640452885,0.647878640452885,"2923, 1191, 5792, 3831, 4192, 26505, 1996, 2107, 3313, 257194, 4157, 192669, 122402, 54805, 6847, 4978, 8943, 9529, 9628"
22,sgG1,22,TRUE,4843,191,5,1,1.8108738652513703,-0.38526944823992326,4.007017178742664,5.071204188481675,193.72,0.18230876313300737,0.18230876313300737,0.9856979346311876,0.9856979346311876,140803
23,sgG1,23,TRUE,4843,191,931,29,-0.29540390634407726,-0.6972321687587156,0.10642435607056111,0.789822349441292,0.1620365937092232,0.9415004773050384,0.9415004773050384,0.08549748735114669,0.08549748735114669,"3336, 56144, 58155, 22891, 8204, 6137, 5970, 6733, 23451, 6687, 9640, 783, 27044, 57538, 1958, 63967, 399909, 51474, 55215, 152330, 51780, 9858, 9842, 9839, 29789, 64478, 9745, 57476, 94030"
24,sgG1,24,TRUE,4843,191,14,1,0.6302806751297209,-1.4088747258102057,2.6694360760696476,1.8111443530291698,24.709183673469386,0.43112396978000955,0.43112396978000955,0.8967860334121122,0.8967860334121122,51678
27,sgG1,27,TRUE,4843,191,30,1,-0.17552077815873476,-2.1743001277725584,1.823258571455089,0.8452006980802793,5.381111111111111,0.7020462562486282,0.7020462562486282,0.6672539712433382,0.6672539712433382,5119
28,sgG1,28,TRUE,4843,191,4,1,2.098771060861989,-0.16908665269598178,4.36662877441996,6.3390052356020945,302.6875,0.14870742358016842,0.14870742358016842,0.9911909477652288,0.9911909477652288,577
30,sgG1,30,TRUE,4843,191,130,1,-1.689905707044315,-3.6628345299134235,0.2830231158247931,0.1950463149416029,0.28656804733727814,0.9950245164717488,0.9950245164717488,0.03228949104681751,0.03228949104681751,6444
32,sgG1,32,TRUE,4843,191,18,1,0.36115406178325327,-1.660880616979855,2.383188740546361,1.4086678301337987,14.94753086419753,0.5159507430757291,0.5159507430757291,0.8430916183710121,0.8430916183710121,5685
34,sgG1,34,TRUE,4843,191,861,43,0.3087894289322901,-0.03905336087766009,0.6566322187422403,1.2663285720366553,0.2809160943774694,0.052498498879784826,0.052498498879784826,0.9643219082169309,0.9643219082169309,"7531, 29763, 41, 9228, 23113, 2903, 23513, 25791, 10769, 4137, 2911, 6622, 85358, 462, 64219, 5595, 7322, 7323, 775, 56924, 1983, 1630, 22980, 10645, 2185, 8452, 348980, 8448, 29965, 22905, 8883, 124044, 2913, 3745, 9912, 4900, 8525, 9758, 9568, 7812, 56138, 8120, 54497"
35,sgG1,35,TRUE,4843,191,965,31,-0.25972188069613394,-0.6509748505545874,0.13153108916231954,0.8145457504815127,0.16122097237509733,0.9215467674304192,0.9215467674304192,0.11097181462586758,0.11097181462586758,"1813, 392, 4905, 3163, 4140, 2053, 6536, 57502, 3329, 55157, 23293, 10381, 4695, 1182, 11311, 10100, 1500, 55735, 65009, 10827, 493856, 51075, 51308, 63826, 25921, 23478, 23438, 9556, 94097, 9162, 92521"
39,sgG1,39,TRUE,4843,191,6,1,1.5875151444903919,-0.5644527063964411,3.739482995377225,4.226003490401396,134.52777777777777,0.21459049654383744,0.21459049654383744,0.9790999039211427,0.9790999039211427,23196
