,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,spectral,1,TRUE,4843,191,78,3,-0.026518747044507854,-1.1897160803848106,1.1366785862957949,0.9752315747080145,2.3880670611439845,0.6002673297475225,0.6002673297475225,0.6297859888574416,0.6297859888574416,"2823, 10690, 5119"
3,spectral,3,TRUE,4843,191,1,1,Infinity,NaN,Infinity,25.356020942408378,4843.0,0.03943836465001016,0.03943836465001016,1.0,1.0,11141
4,spectral,4,TRUE,4843,191,252,12,0.20896530097864707,-0.38976015258286156,0.8076907545401557,1.2074295686861132,0.9151549508692366,0.2903489601330933,0.2903489601330933,0.806632562434265,0.806632562434265,"7531, 41, 5142, 4192, 4137, 2911, 5595, 1630, 1500, 63826, 6847, 7812"
5,spectral,5,TRUE,4843,191,100,2,-0.7098060665465841,-2.1173462940433563,0.6977341609501883,0.5071204188481676,0.9686,0.9109511304816786,0.9109511304816786,0.23755395274243166,0.23755395274243166,"10381, 6444"
8,spectral,8,TRUE,4843,191,64,3,0.1831496059140712,-0.9850888939889295,1.3513881058170718,1.1885634816753927,3.547119140625,0.4658695889073543,0.4658695889073543,0.755285744247772,0.755285744247772,"1983, 27044, 9892"
9,spectral,9,TRUE,4843,191,85,5,0.42937062896171885,-0.4859621020220689,1.3447033599455067,1.4915306436710811,3.3515570934256056,0.2433871140618213,0.2433871140618213,0.8824776415297071,0.8824776415297071,"6622, 775, 10645, 2185, 4900"
10,spectral,10,TRUE,4843,191,293,10,-0.15906940696358185,-0.8070185975440836,0.48887978361691986,0.8653932062255418,0.5641300422835444,0.7293485228547174,0.7293485228547174,0.3865333790334039,0.3865333790334039,"29763, 403, 462, 4208, 348980, 124044, 9472, 9912, 9568, 56138"
12,spectral,12,TRUE,4843,191,156,10,0.5336465610120732,-0.1240381585246314,1.191331280548778,1.625385957846691,1.9900558842866534,0.08711929396399379,0.08711929396399379,0.9570083569317933,0.9570083569317933,"9228, 2903, 23513, 10769, 85358, 51678, 8525, 9758, 8120, 54497"
13,spectral,13,TRUE,4843,191,11,3,2.2260601269761064,0.8911464242214622,3.5609738297307505,6.915278438838647,120.07438016528924,0.007881700280888278,0.007881700280888278,0.9993778796790902,0.9993778796790902,"23113, 23293, 9162"
15,spectral,15,TRUE,4843,191,47,3,0.5135298942956265,-0.6650752759590993,1.6921350645503521,1.618469421855854,6.577184246265278,0.2826803921588623,0.2826803921588623,0.8873752323276662,0.8873752323276662,"5792, 5789, 2913"
16,spectral,16,TRUE,4843,191,43,1,-0.5487105544531602,-2.5372072059230852,1.439786097016765,0.5896749056374041,2.6192536506219577,0.8241102561526371,0.8241102561526371,0.489248196389313,0.489248196389313,56924
