,alg,cl,FL,N,Fn,Cn,Mu,OR,CIl,CIu,Fe,Fc,pval,padj,palt,paltadj,overlapGenes
1,wt,1,TRUE,4843,191,1737,74,0.12820684149742384,-0.16901864452614151,0.4254323275209892,1.0802219630041565,0.11878088366942655,0.22017036005187493,0.22017036005187493,0.8222333004075059,0.8222333004075059,"7531, 29763, 41, 9228, 57670, 1191, 4750, 392, 2903, 5792, 5789, 3831, 26354, 5142, 3336, 4140, 25843, 56144, 25791, 10769, 4192, 1996, 22978, 26058, 4137, 22866, 2911, 6622, 23040, 8204, 85358, 6137, 5970, 64219, 5595, 7322, 7323, 775, 56924, 4208, 55157, 3313, 10381, 10120, 22980, 129285, 23046, 10645, 1182, 11311, 192669, 1500, 22864, 9640, 8448, 29965, 22905, 51678, 80212, 23505, 64786, 783, 2913, 57538, 9472, 3745, 6847, 8525, 4978, 9842, 9568, 9779, 9892, 9529"
2,wt,2,TRUE,4843,191,208,10,0.2173788788509976,-0.4350388057707619,0.8697965634727571,1.219039468385018,1.1194064349112427,0.3043975621301338,0.3043975621301338,0.8033006036775098,0.8033006036775098,"284403, 1783, 26523, 1152, 7840, 23019, 5096, 124044, 60412, 51441"
4,wt,4,TRUE,4843,191,135,3,-0.6043643239219334,-1.758019522711407,0.5492908748675402,0.5634671320535195,0.797201646090535,0.9078285207498176,0.9078285207498176,0.21273687174842612,0.21273687174842612,"23113, 3329, 55735"
6,wt,6,TRUE,4843,191,129,5,-0.018554707001118827,-0.9245363947278319,0.8874269807255942,0.9827915093956735,1.4551409170121987,0.5810009738394099,0.5810009738394099,0.6002066987270909,0.6002066987270909,"10100, 493856, 51075, 51308, 94097"
7,wt,7,TRUE,4843,191,38,3,0.7443226868557358,-0.443767979437786,1.9324133531492576,2.00179112703224,10.06163434903047,0.1876739377920935,0.1876739377920935,0.9390751749338717,0.9390751749338717,"4157, 122402, 9628"
8,wt,8,TRUE,4843,191,20,1,0.24949683408972176,-1.7666474075279675,2.265641075707411,1.2678010471204189,12.1075,0.5535187035131808,0.5535187035131808,0.8146139432771602,0.8146139432771602,1813
9,wt,9,TRUE,4843,191,28,2,0.6327514702702054,-0.8128315293331086,2.0783344698735196,1.8111443530291698,12.354591836734693,0.303335650062614,0.303335650062614,0.9038076580536506,0.9038076580536506,"8452, 8883"
10,wt,10,TRUE,4843,191,245,9,-0.07762432680925474,-0.759606753555035,0.6043580999365255,0.9314456672721445,0.7261474385672637,0.6371037715878243,0.6371037715878243,0.4969718567703167,0.4969718567703167,"1838, 23368, 5685, 127703, 8379, 4236, 10529, 26051, 57459"
11,wt,11,TRUE,4843,191,14,1,0.6302806751297209,-1.4088747258102057,2.6694360760696476,1.8111443530291698,24.709183673469386,0.43112396978000955,0.43112396978000955,0.8967860334121122,0.8967860334121122,58155
13,wt,13,TRUE,4843,191,44,3,0.5847982913405582,-0.5965137229088703,1.7661103055899865,1.7288196097096618,7.504648760330578,0.2502725899351905,0.2502725899351905,0.9063199887480615,0.9063199887480615,"65009, 10827, 9344"
