alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,4,1340,118,GO:0006468,3.00817992656709e-23,3.7762740730192e-27,"673, 7534, 1487, 8491, 2475, 207, 5170, 3984, 5894, 1147, 1859, 5584, 5058, 57787, 1457, 4750, 4214, 5063, 65125, 4217, 3643, 2048, 1612, 10188, 10494, 9943, 3716, 5594, 2534, 5747, 4067, 2932, 5601, 613, 157285, 10769, 5127, 6195, 1454, 1453, 5566, 5582, 5062, 3055, 1020, 8536, 6714, 2043, 472, 5590, 5218, 5580, 65266, 5588, 27, 5591, 2242, 1445, 5599, 27347, 22853, 2931, 5595, 5562, 5581, 5610, 2870, 56924, 5604, 5602, 4145, 120892, 156, 1025, 1452, 5567, 5578, 2268, 10295, 5579, 5532, 3611, 814, 6872, 79705, 10645, 2185, 2047, 51701, 2011, 6794, 7525, 3609, 7535, 4139, 65268, 2042, 102, 2044, 57551, 9318, 8408, 6011, 9064, 545, 54861, 657, 90, 84630, 8986, 7786, 9535, 84451, 91, 5583, 9891, 84446, 9024"
fc,5,965,42,GO:0045109,7.85131865060792e-21,9.856036468249961e-25,"1674, 3855, 7431, 4747, 3848, 1832, 3857, 3854, 3866, 3880, 54474, 2670, 3853, 140807, 125115, 3881, 3860, 3852, 3851, 3849, 374454, 112802, 338785, 319101, 192666, 196374, 3885, 342574, 3868, 51350, 3886, 121391, 3892, 3888, 9119, 8689, 3861, 3882, 3872, 3887, 3889, 83481"
fc,4,1340,67,GO:0018105,1.36002079202095e-15,3.41456387652763e-19,"2475, 207, 5170, 6198, 5310, 1432, 1147, 1859, 5584, 23031, 1459, 1457, 65125, 5594, 2932, 5601, 10769, 6197, 6195, 1454, 1453, 5566, 6300, 5582, 5062, 208, 1020, 8658, 8536, 472, 5590, 5580, 5588, 5591, 253260, 5599, 27347, 22853, 5587, 5581, 282974, 4294, 120892, 156, 1452, 5567, 5578, 57118, 51719, 5579, 814, 6872, 147746, 140469, 2011, 4139, 8408, 63967, 545, 5603, 84630, 8986, 7786, 5613, 79012, 5583, 84446"
fc,1,1100,36,GO:0032543,7.594530586186281e-15,9.53368137859186e-19,"65080, 64965, 4701, 10240, 64963, 64978, 124995, 23107, 28973, 26024, 55037, 60488, 23395, 54948, 55699, 28957, 56945, 51649, 65993, 11222, 219927, 26589, 10884, 51073, 29088, 51081, 51116, 54148, 51069, 65008, 9801, 7818, 64432, 64969, 54534, 740"
fc,4,1340,127,GO:0045944,8.958760989475131e-15,3.3738743369853598e-18,"10014, 1387, 207, 3146, 1956, 5310, 1432, 672, 5894, 1147, 405, 5295, 2547, 142, 7454, 5757, 1660, 10987, 1499, 4297, 22938, 6774, 408, 9759, 1856, 3096, 3190, 4904, 4831, 6421, 3728, 546, 27043, 8878, 23558, 6197, 6195, 4869, 10521, 27316, 10456, 8440, 2033, 1386, 3066, 9031, 2902, 7337, 7158, 8658, 8536, 8204, 472, 2648, 5530, 171023, 5591, 5970, 6597, 2931, 5595, 5213, 5587, 23609, 6772, 8976, 4208, 51742, 51222, 8202, 3054, 54623, 4691, 2969, 1025, 2263, 6776, 10891, 51284, 55636, 5532, 5534, 3280, 6872, 152485, 23451, 56254, 3159, 54897, 200424, 4157, 4204, 7525, 9810, 22933, 29843, 6907, 4040, 8841, 4776, 58508, 3015, 7153, 8467, 8085, 10514, 57496, 58499, 3148, 1958, 57680, 10499, 4261, 8861, 4775, 7994, 5526, 657, 90, 8473, 6599, 4774, 9968, 9969, 6935, 8986, 6917"
fc,4,1340,98,GO:0045893,6.67491933010996e-13,3.35170440879235e-16,"1785, 1487, 1387, 207, 1956, 7533, 672, 1147, 1859, 2066, 2547, 7332, 4217, 3643, 1499, 4297, 6774, 9759, 88, 4831, 10155, 6601, 4192, 51412, 23558, 6195, 4869, 641, 10743, 2033, 3066, 23090, 7158, 5605, 10664, 2648, 80854, 5970, 6597, 7335, 9826, 5562, 9049, 6772, 5604, 4208, 27005, 3054, 5494, 5609, 10891, 5579, 6737, 5532, 3611, 5606, 814, 1108, 56254, 10645, 3159, 54897, 1277, 3608, 3609, 6877, 6907, 4040, 952, 64324, 10943, 26098, 3148, 1958, 57680, 6604, 7706, 51377, 4261, 675, 7994, 90, 80142, 8473, 5981, 57634, 23269, 6599, 8148, 6874, 8295, 9968, 9969, 7786, 9757, 7546, 59269, 9658"
fc,4,1340,72,GO:0016567,4.12587880071428e-12,2.5896803921129003e-15,"4734, 207, 672, 7332, 23113, 1642, 7334, 7316, 867, 11059, 23327, 408, 2534, 10399, 10273, 7336, 7314, 7317, 7874, 23072, 8454, 7322, 7323, 196403, 23295, 23609, 6500, 8924, 10055, 25793, 6737, 130507, 7311, 83737, 55832, 26270, 26091, 317719, 8452, 57617, 7260, 4210, 26232, 9810, 83892, 8453, 9817, 51592, 26094, 55975, 80196, 9781, 8451, 8239, 8216, 9354, 51667, 55236, 7347, 9870, 79594, 8450, 9978, 6233, 9968, 55585, 9820, 8078, 8647, 53840, 79176, 79791"
fc,4,1340,95,GO:0000122,5.0128456512822795e-11,3.7756808822110997e-14,"7534, 1487, 2274, 10014, 3303, 1387, 3146, 708, 142, 2810, 1499, 274, 22938, 6774, 9759, 3096, 10657, 6421, 8878, 10155, 10919, 9093, 2033, 1386, 3066, 2023, 6622, 8204, 10664, 2648, 23013, 5970, 56957, 6597, 5138, 1655, 3337, 7321, 7323, 6493, 6772, 11335, 9349, 4208, 51742, 51222, 1786, 3054, 54623, 2263, 5494, 5716, 7295, 3280, 22980, 1108, 6872, 9611, 8452, 4204, 30818, 22933, 112939, 23466, 6907, 8841, 6301, 4776, 51592, 3009, 3006, 3008, 3007, 64324, 7175, 22849, 9318, 3148, 1958, 57680, 10499, 6134, 8239, 4261, 79813, 8861, 4775, 84678, 8473, 5981, 57507, 6935, 9612, 84524, 9745"
fc,5,965,25,GO:0031424,9.79858597449958e-11,2.46010192681385e-14,"3855, 5493, 3848, 3854, 3853, 140807, 3852, 3851, 3849, 374454, 112802, 338785, 23254, 319101, 196374, 3868, 51350, 121391, 3892, 3888, 9119, 3872, 3887, 3889, 7053"
fc,4,1340,53,GO:0046777,1.1445946467284e-10,1.00579494440105e-13,"2475, 207, 5170, 1956, 1859, 2066, 5058, 4915, 3643, 1612, 2324, 10494, 9943, 5747, 4067, 2932, 5062, 3055, 3791, 2321, 6714, 2043, 472, 2242, 27347, 22853, 5587, 3815, 5610, 4215, 1436, 4294, 120892, 2263, 2268, 814, 6872, 10645, 2185, 2047, 5156, 2011, 6794, 65268, 57551, 8408, 6011, 545, 7786, 84451, 91, 5613, 3645"
