,alg,cluster,Ontology1,FL1,Ontology2,FL2,OverlappedGenes,NoOverlappedGenes
0,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0048488,{'6622'},1
1,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0050808,{'6622'},1
2,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0014059,{'6622'},1
3,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0007268,{'6622'},1
4,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0008344,{'6622'},1
5,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0006638,{'6622'},1
6,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0010517,{'6622'},1
7,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0032769,{'6622'},1
8,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0035543,{'6622'},1
9,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0050812,{'6622'},1
10,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0051585,{'6622'},1
11,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0051622,{'6622'},1
12,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:1902957,{'6622'},1
13,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:1903284,{'6622'},1
14,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:1904715,{'6622'},1
15,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0051402,{'6622'},1
16,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0022898,{'6622'},1
17,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0051621,{'6622'},1
18,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0070495,{'6622'},1
19,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0014048,{'6622'},1
20,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0032026,{'6622'},1
21,infomap,222,Trubetskoy2022broadcoding,True,GOBPID,GO:0032410,{'6622'},1
