,alg,cluster,Ontology1,FL1,Ontology2,FL2,OverlappedGenes,NoOverlappedGenes
0,infomap,222,Trubetskoy2022broadcoding,True,GOMFID,GO:1903136,{'6622'},1
1,infomap,19,Trubetskoy2022broadcoding,True,GOMFID,GO:0005251,{' 3745'},1
2,infomap,19,Trubetskoy2022broadcoding,True,GOMFID,GO:0015271,{' 3745'},1
3,infomap,19,Trubetskoy2022broadcoding,True,GOMFID,GO:0035255,{' 85358'},1
4,infomap,19,Trubetskoy2022broadcoding,True,GOMFID,GO:0097110,{' 85358'},1
5,infomap,19,Trubetskoy2022broadcoding,True,GOMFID,GO:0030160,{' 85358'},1
6,infomap,14,Trubetskoy2022broadcoding,True,GOMFID,GO:0070679,{' 7223'},1
7,infomap,176,Trubetskoy2022broadcoding,True,GOMFID,GO:0070016,{' 6801'},1
8,infomap,176,Trubetskoy2022broadcoding,True,GOMFID,GO:0051721,{' 6801'},1
9,infomap,126,Trubetskoy2022broadcoding,True,GOMFID,GO:0086007,{'783'},1
10,infomap,126,Trubetskoy2022broadcoding,True,GOMFID,GO:0086056,{'783'},1
11,infomap,126,Trubetskoy2022broadcoding,True,GOMFID,GO:0099626,{'783'},1
12,infomap,33,Trubetskoy2022broadcoding,True,GOMFID,GO:0008017,{' 23046'},1
13,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0106310,"{' 5595', ' 4140'}",2
14,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0004674,"{' 5595', ' 4140'}",2
15,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0004708,{' 5595'},1
16,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0004707,{' 5595'},1
17,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0005524,"{' 5595', ' 4140', ' 63826'}",3
18,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0140297,"{' 4208', ' 5595', ' 5970'}",3
19,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0042826,"{' 4208', '7531', ' 8204', ' 5970'}",4
20,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0019899,"{'7531', ' 4137', ' 5970'}",3
21,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0001223,{' 5970'},1
22,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0000287,{' 63826'},1
23,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0019901,"{' 4137', ' 5970'}",2
24,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0016922,{' 8204'},1
25,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0000978,"{' 4208', ' 8204', ' 5970'}",3
26,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0050321,{' 4140'},1
27,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0003713,{' 8204'},1
28,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0003700,"{' 4208', ' 5970'}",2
29,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0000981,"{' 4208', ' 5970'}",2
30,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0048156,{' 4140'},1
31,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0061629,{' 4208'},1
32,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0042802,"{' 5595', ' 4137', ' 5970', ' 63826'}",4
33,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0019902,{' 5595'},1
34,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0019903,{'7531'},1
35,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0001228,"{' 5970', ' 4208'}",2
36,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0000976,"{' 4208', ' 5970'}",2
37,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:1990837,{' 4208'},1
38,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0003714,{' 8204'},1
39,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0031625,{' 5970'},1
40,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0005515,"{' 5595', ' 8204', ' 2911', ' 5970', ' 4137', ' 4140', ' 4208', ' 63826'}",8
41,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0000977,"{' 5970', ' 4208'}",2
42,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0031490,{' 5970'},1
43,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0042277,{' 5970'},1
44,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0051721,{' 4137'},1
45,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0051059,{' 5970'},1
46,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0003682,{' 5970'},1
47,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0003680,{' 4208'},1
48,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0051219,{'7531'},1
49,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0051879,{' 4137'},1
50,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0023026,{'7531'},1
51,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0030165,{' 63826'},1
52,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0019904,{'7531'},1
53,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0046982,"{'7531', ' 4208'}",2
54,infomap,5,Trubetskoy2022broadcoding,True,GOMFID,GO:0042803,"{' 5970', ' 63826'}",2
55,louvain,8,Trubetskoy2022broadcoding,True,GOMFID,GO:0005262,"{' 7223', ' 783'}",2
56,louvain,8,Trubetskoy2022broadcoding,True,GOMFID,GO:0070679,{' 7223'},1
57,sgG1,30,Trubetskoy2022broadcoding,False,GOMFID,GO:0008201,"{' 8829', ' 8828', ' 3075', ' 4043', ' 7057', ' 2335', ' 334', ' 348'}",8
58,sgG1,30,Trubetskoy2022broadcoding,False,GOMFID,GO:0017154,"{' 5364', ' 8829', ' 8828', ' 5361'}",4
59,sgG1,30,Trubetskoy2022broadcoding,False,GOMFID,GO:0001540,"{' 4035', ' 6653', ' 321', ' 4043', ' 335', ' 348'}",6
60,sgG1,30,Trubetskoy2022broadcoding,False,GOMFID,GO:0043395,"{' 3075', ' 348'}",2
61,sgG1,30,Trubetskoy2022broadcoding,False,GOMFID,GO:0004867,"{' 12', ' 2', ' 334'}",3
