alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
fc,1,1100,575,111,3.97107045317716e-10,6.618450755295259e-11,"6548, 6616, 3265, 351, 5898, 5333, 322, 8773, 3028, 10484, 10935, 10550, 6342, 7905, 954, 6804, 2108, 55187, 5362, 4645, 10989, 4684, 3897, 334, 10228, 5868, 375, 2036, 1891, 2010, 2194, 4478, 10469, 1947, 392, 10564, 5097, 23705, 5861, 6558, 23513, 23647, 9844, 682, 27131, 506, 961, 527, 5164, 5924, 63916, 5576, 11316, 6176, 4905, 1743, 509, 2819, 3163, 4140, 11165, 3921, 217, 78987, 4700, 1345, 1783, 4043, 10397, 5481, 309, 55207, 3703, 25874, 23521, 3735, 4191, 4893, 112476, 10476, 57017, 10059, 10490, 10211, 57498, 6194, 5223, 9230, 5867, 10313, 389, 4698, 1525, 26276, 57142, 23204, 7163, 7165, 6536, 59338, 55333, 114569, 3099, 51286, 4942, 5160, 476, 58533, 9131, 5163, 6857, 3845, 26519, 5364, 1968, 26056, 57148, 26275, 10427, 1737, 10938, 5870, 8675, 9475, 6845, 6812, 50488, 1654, 6786, 57524, 515, 2224, 51079, 6143, 219771, 10314, 23256, 11230, 1267, 4976, 382, 55177, 5019, 5910, 23236, 2125, 3895, 4513, 9126, 10452, 7385, 5354, 3329, 4000, 535, 2746, 3295, 3419, 53826, 5589, 10102, 22908, 54732, 51715, 146223, 37, 2778, 5447, 7018, 10240, 10970, 8050, 83700, 5818, 6844, 1465, 205, 3032, 23646, 3301, 10423, 118, 3155, 10857, 4726, 5297, 4695, 522, 116987, 3692, 6642, 51100, 2744, 112755, 23011, 2562, 8659, 10768, 10455, 120, 115, 1182, 9601, 821, 5245, 11311, 10294, 488, 23770, 55466, 4129, 23673, 116841, 214, 57488, 10100, 4916, 6643, 3482, 10652, 6252, 5577, 1678, 8674, 23786, 3954, 127829, 1327, 6843, 539, 2912, 284069, 63908, 56895, 54927, 25813, 498, 5860, 528, 8448, 30845, 2686, 22841, 56947, 55735, 51560, 10651, 145567, 65009, 2572, 54769, 57826, 255057, 493856, 513, 219738, 51075, 57709, 4259, 55327, 65055, 157378, 51552, 444, 10424, 51024, 51308, 59353, 10159, 57863, 4074, 27236, 388662, 1727, 127833, 9283, 192683, 11112, 1350, 23788, 4722, 5780, 4729, 132204, 55326, 56894, 144402, 9341, 9218, 63826, 9217, 2824, 133121, 57460, 54332, 378, 7920, 54940, 1186, 6855, 10814, 1738, 10493, 80221, 7781, 5007, 114876, 2817, 57553, 3098, 9448, 55847, 51067, 54205, 7037, 389941, 4756, 10815, 738, 51209, 9367, 10965, 54106, 1266, 1209, 140679, 114786, 6507, 80331, 23197, 6861, 5718, 6529, 6305, 114882, 6130, 3030, 219, 7284, 112, 51635, 23284, 23408, 7873, 8803, 55681, 4967, 4723, 51704, 114294, 253559, 9554, 401024, 56954, 51097, 6389, 6576, 253959, 2319, 27044, 134957, 55930, 2182, 4430, 2181, 6566, 10128, 10079, 374291, 7846, 1268, 6520, 10497, 10752, 21, 399687, 6207, 6712, 1528, 2109, 7879, 2674, 2035, 64225, 5306, 3074, 9342, 1537, 6742, 377, 975, 8502, 10067, 326624, 391, 8914, 54539, 5872, 1456, 223, 483, 6390, 9143, 9522, 224, 38, 65108, 25921, 10632, 9732, 11343, 10409, 119, 10160, 1650, 490, 4697, 84448, 23603, 5361, 255252, 11261, 27020, 219287, 199731, 4728, 4725, 4720, 8604, 7388, 1340, 4719, 7384, 4702, 514, 4704, 83858, 89941, 84908, 29920, 28976, 56993, 29078, 26517, 537, 64423, 51, 84263, 83752, 3916, 8766, 3029, 6185, 23065, 23344, 81542, 8417, 8775, 9321, 9296, 65082, 6154, 381, 23478, 133686, 26520, 1632, 10449, 117145, 4724, 50, 50808, 51081, 9804, 80777, 54996, 94081, 7386, 9377, 7416, 84303, 55848, 143425, 26090, 4763, 285172, 22979, 8802, 10396, 8723, 9868, 9590, 9551, 9568, 7841, 6515, 9789, 9482, 9694, 6505, 63894, 8834, 9495, 55690, 987, 9054, 51762, 8938, 8760, 57406, 54704, 617, 81533, 92140, 9515, 6228, 9465, 9524, 91137, 64083, 80333, 8671, 8480, 80856, 80222, 9854, 5832, 94097, 950, 9145, 81539, 91663, 51727, 55530, 9685, 57348, 23671, 7466, 27032, 6509, 8776, 55754, 84293, 9962, 4648, 9652, 493, 4705, 6533, 341883, 9066, 8140, 7087, 8774, 9927, 54509, 51337, 8209, 57446, 6575, 5099, 57465, 8613, 79143, 57512, 9875, 55714, 92259, 55967, 1347, 91683, 9527, 56255, 81855, 56907"
fc,4,1340,134,100,2.9463537534625e-05,4.91058958910417e-06,"2887, 10014, 3667, 4291, 1147, 405, 1859, 57556, 4172, 7454, 26036, 55596, 26168, 22938, 5797, 10076, 29760, 1856, 5321, 5600, 157285, 4192, 11083, 51729, 10743, 10919, 6300, 1386, 177, 22794, 2743, 8658, 10664, 29127, 11248, 2533, 8360, 8314, 259, 171024, 4215, 3020, 10466, 152503, 11221, 4208, 6744, 51222, 8202, 27005, 54623, 4794, 8926, 6776, 6167, 11197, 338699, 126374, 5606, 3280, 57418, 1293, 9611, 3159, 266553, 23221, 4157, 10044, 10818, 4839, 27343, 200844, 112939, 8175, 3012, 29843, 26063, 23234, 6877, 23466, 9817, 6907, 8841, 4776, 51592, 22915, 26094, 8331, 23211, 23381, 79811, 55975, 23523, 26098, 9472, 9467, 1958, 56946, 6604, 9781, 79813, 8861, 4775, 5603, 57646, 9870, 57507, 23389, 51070, 53981, 6874, 54881, 7515, 6935, 55585, 7732, 889, 129138, 83478, 56138, 9324, 8288, 7546, 2038, 53840, 5341, 5583, 55515, 780776, 51313, 83657, 79092, 9658, 80315"
fc,9,35,26,111,0.0014046635306057,0.0002341105884342,"1804, 4099, 4340, 5621, 1410, 8546, 150209, 3418, 257194, 4045, 50863, 523, 5837, 2631, 11332, 5834, 51382, 5836, 79784, 10953, 526, 471, 8745, 4978, 9209, 402665"
fc,5,965,515,101,0.003555534861133,0.0005925891435221,"1756, 23163, 1674, 6427, 1613, 40, 41, 3855, 22995, 11117, 5493, 4175, 10539, 9146, 8887, 114928, 55660, 29978, 221935, 55252, 23002, 11100, 23368, 10142, 55048, 9584, 6311, 56893, 7917, 5720, 23028, 54622, 55186, 22913, 284403, 57489, 4026, 9231, 2286, 10615, 3857, 114088, 22981, 55638, 1855, 254863, 11170, 1857, 10817, 26003, 2992, 11007, 26505, 386618, 4591, 60491, 10483, 5300, 22954, 26128, 54474, 81628, 10320, 66036, 11020, 55198, 51421, 541468, 56243, 5152, 57596, 6990, 22978, 339965, 3875, 23636, 95, 9513, 8379, 51160, 6249, 23345, 3507, 10432, 5100, 23112, 23152, 54535, 51361, 51199, 1062, 10021, 8736, 55576, 55212, 26046, 4659, 27034, 84445, 5571, 51422, 121441, 3691, 26523, 5204, 3185, 4512, 11064, 283234, 3913, 54477, 140710, 64926, 55835, 10579, 375790, 375056, 55149, 23479, 3801, 1610, 4008, 5108, 64754, 7247, 10146, 27161, 636, 712, 1374, 5565, 7965, 2157, 23243, 25777, 57568, 6723, 57019, 5537, 1302, 11258, 282991, 3628, 22870, 5630, 29110, 154796, 11198, 1665, 9984, 6386, 54585, 117177, 25901, 57606, 27342, 29927, 23019, 5563, 9459, 115948, 2281, 23216, 140807, 10297, 5317, 4163, 54828, 23371, 151056, 51185, 132320, 1158, 2983, 4957, 1728, 23201, 125115, 143884, 3881, 340371, 159989, 3281, 128178, 10005, 114824, 4253, 8664, 79720, 79959, 9470, 1278, 6050, 3851, 358, 200081, 402, 1013, 2039, 10290, 57096, 112802, 29094, 51248, 84312, 23334, 57674, 23254, 23127, 133746, 64744, 2800, 57326, 51015, 23503, 55698, 116835, 26051, 5318, 79843, 54834, 51256, 553115, 9100, 55521, 22864, 6240, 54438, 85376, 8481, 192666, 421, 8030, 115817, 89, 23294, 54785, 11178, 3885, 342574, 55346, 55719, 3299, 3886, 388336, 121391, 3892, 27239, 3888, 123591, 84376, 9119, 150962, 64599, 29119, 84823, 8087, 151963, 145773, 147906, 29941, 55128, 7411, 51668, 54676, 8689, 2239, 84516, 23544, 401647, 3861, 197322, 3882, 154043, 122961, 220164, 23151, 51741, 6726, 79711, 60484, 51101, 23138, 26515, 10471, 284992, 9260, 345557, 55040, 1819, 9610, 9255, 23304, 54994, 144165, 7171, 84215, 54915, 25925, 10536, 9605, 91156, 4308, 55075, 57530, 221424, 7169, 8665, 54768, 60682, 5917, 5224, 124044, 342667, 4892, 83547, 23268, 8565, 51542, 81550, 10411, 199223, 10111, 257160, 10613, 55133, 387680, 10330, 55700, 170690, 203238, 10973, 55130, 23353, 55862, 138311, 6144, 1629, 221061, 55749, 23271, 23316, 286046, 22994, 6444, 143471, 145508, 28981, 51555, 142678, 10527, 56164, 10343, 7011, 57337, 24149, 374654, 65078, 23049, 353274, 85444, 2897, 90249, 81624, 7257, 11276, 23431, 4836, 27327, 60592, 23145, 23024, 9690, 84962, 54875, 5116, 1636, 2876, 55291, 91526, 283373, 283638, 9256, 5036, 23500, 55857, 9786, 79848, 57221, 23255, 64793, 54939, 57650, 343099, 7798, 23102, 23597, 4677, 54839, 9053, 91978, 9731, 57584, 286077, 9567, 89796, 6731, 9414, 55705, 285636, 25900, 7156, 152007, 4660, 6847, 79884, 51204, 57459, 6727, 23060, 64343, 57410, 140465, 54976, 57619, 347688, 57608, 63976, 713, 779, 9762, 9632, 8991, 84141, 8562, 90850, 874, 79187, 9825, 3887, 8913, 9775, 9859, 85459, 8601, 53353, 9931, 81567, 84134, 9657, 389840, 80028, 9411, 25821, 80207, 83548, 9783, 2009, 57679, 9755, 57644, 160418, 4619, 85397, 3889, 9703, 63027, 80017, 9108, 388695, 9701, 5459, 3933, 7125, 90957, 83451, 9847, 8785, 84502, 78999, 92737, 64795, 5313, 6876, 85461, 9737, 84948, 5334, 339829, 57683, 54928, 800, 80164, 60312, 6764, 24, 85417, 80724, 80728, 63892, 85464, 80155, 23053, 58527, 23370, 8653, 83481, 4710, 23412, 51441, 90362, 7053, 375449, 84125, 57706"
fc,4,1340,684,101,0.0632204475621825,0.0210734825207275,"2060, 673, 369, 2317, 1793, 2274, 8844, 3688, 9863, 30011, 1387, 2318, 51517, 207, 5170, 6198, 1956, 5310, 27101, 29959, 64283, 1432, 10043, 672, 3984, 29763, 3276, 2066, 9531, 5295, 5584, 2547, 7332, 3500, 5365, 9439, 10580, 57610, 23031, 10212, 6210, 1642, 23517, 23248, 142, 4750, 11127, 10617, 26994, 4214, 4216, 10598, 65125, 5757, 80347, 3643, 5335, 23390, 10987, 1612, 4297, 23607, 867, 2903, 133957, 23327, 1729, 2324, 10494, 9943, 2905, 324, 5793, 5787, 5795, 26354, 6774, 408, 6261, 9759, 5290, 2335, 5336, 3716, 9821, 3635, 9158, 56252, 3096, 394, 6655, 9644, 3704, 5747, 9696, 51429, 6117, 51593, 6613, 2950, 2975, 10273, 546, 613, 2059, 116985, 22927, 10398, 27043, 5424, 4841, 3092, 8878, 10155, 7314, 1123, 23039, 2901, 10769, 1967, 4673, 6601, 51412, 10209, 55229, 5662, 29062, 23558, 28966, 6197, 4869, 641, 572, 6002, 11052, 10428, 5932, 443, 10456, 1153, 140576, 8440, 8027, 26058, 2033, 55914, 160622, 3066, 11177, 9031, 7337, 1155, 2023, 7874, 23072, 27429, 7112, 23090, 3055, 7158, 121504, 5527, 5728, 9479, 5525, 2321, 7074, 208, 55704, 8536, 4647, 8204, 1969, 472, 317, 5501, 5590, 2648, 5218, 115703, 10049, 80854, 8350, 5921, 65266, 5588, 27, 357, 11176, 23013, 171023, 4606, 8454, 5591, 2242, 1445, 79837, 5970, 56957, 9625, 9040, 6597, 8359, 8368, 8370, 3636, 64219, 350, 22853, 1645, 23542, 23376, 7321, 7322, 5587, 6493, 57169, 6218, 196403, 23295, 3093, 23609, 4643, 55740, 9826, 58497, 10749, 5562, 9049, 10395, 55803, 26230, 5610, 51720, 10154, 7054, 1436, 6772, 2870, 23384, 11335, 8888, 56924, 8976, 282974, 4294, 8349, 50649, 57514, 51742, 5903, 3069, 3097, 23108, 3054, 4145, 7450, 4691, 120892, 2969, 1025, 1452, 1644, 1845, 2263, 2935, 3101, 5494, 5716, 6638, 10055, 11344, 25793, 29968, 57118, 84172, 10891, 2268, 10295, 10541, 11334, 23131, 51284, 6232, 51719, 1630, 6737, 130507, 55636, 9958, 8237, 3014, 9647, 7145, 11253, 22820, 3611, 6885, 440193, 23224, 23258, 22980, 51617, 23137, 54914, 5153, 151742, 1108, 10250, 8291, 178, 26973, 6872, 4621, 27031, 129446, 2027, 83737, 644150, 84629, 7094, 152485, 1181, 23451, 57805, 56254, 23047, 2560, 3964, 9788, 79705, 55421, 80206, 10645, 147746, 2185, 26750, 283455, 140469, 26270, 26091, 317719, 27072, 26578, 83605, 51701, 5156, 5294, 25830, 8452, 10075, 23116, 23328, 54187, 2235, 4538, 6794, 27248, 54897, 57402, 22921, 65059, 200424, 10869, 80755, 3300, 5431, 7260, 192669, 122402, 26958, 55226, 4204, 54014, 4210, 9666, 3149, 29761, 54726, 57381, 11163, 58473, 27125, 26232, 6687, 9810, 84959, 3839, 29855, 28958, 55614, 83604, 340527, 5887, 55342, 83892, 126133, 23244, 3608, 5524, 8453, 64854, 3018, 3145, 163259, 3609, 83473, 3416, 6418, 7222, 4040, 5338, 7535, 9780, 55269, 952, 56288, 57580, 55357, 84656, 5754, 3009, 6147, 58508, 6209, 56666, 10322, 3024, 3005, 3015, 3321, 8345, 6741, 8085, 157680, 114880, 6904, 4629, 317772, 8342, 166785, 7175, 4437, 114827, 27127, 146177, 79776, 8338, 1662, 22990, 23303, 6840, 1828, 129684, 54821, 57496, 79915, 115701, 22865, 10178, 55619, 286410, 5905, 100653515, 51673, 58499, 1769, 5980, 255626, 50809, 65268, 221322, 85235, 3908, 2042, 6936, 256957, 152100, 10943, 22849, 4121, 3148, 5430, 90678, 5880, 57680, 80196, 2177, 8408, 3832, 10499, 85456, 7706, 6634, 6011, 9064, 51377, 63967, 8451, 4261, 128312, 22992, 64397, 8216, 545, 7994, 55193, 6416, 8893, 399909, 823, 176, 55215, 9354, 51667, 3268, 9101, 50813, 84678, 55236, 7347, 55140, 9097, 7520, 152330, 81027, 54861, 261726, 657, 90, 80142, 161725, 8450, 9978, 123879, 5981, 57634, 9784, 23269, 8897, 9110, 285513, 57224, 9683, 1812, 644, 7750, 166336, 115286, 2530, 55844, 6599, 8148, 55920, 440915, 79789, 24137, 4774, 8295, 81611, 92609, 9968, 9969, 57187, 9612, 83990, 56926, 84630, 372, 116443, 8787, 7991, 83715, 8986, 8754, 8871, 9820, 7486, 752, 63971, 9585, 63897, 7812, 7786, 9535, 8667, 8647, 8968, 9757, 29934, 3000, 90134, 8570, 5504, 8455, 3700, 9185, 89970, 94274, 84952, 3909, 721, 84451, 55088, 9203, 8425, 9529, 5445, 53343, 9397, 84284, 91, 6169, 5613, 56948, 6451, 83442, 2184, 6611, 84433, 84524, 23367, 487, 4626, 11141, 57338, 79176, 94134, 80216, 84254, 3645, 386617, 57626, 8539, 8577, 7111, 7464, 51059, 91833, 25880, 83447, 55631, 1762, 284434, 124997, 23507, 84940, 8520, 9700, 6738, 84250, 55345, 654790, 79747, 84643, 9401, 94160, 387597, 84364, 79633, 9745, 84896, 57578, 90381, 8632, 7368, 282973, 89853, 9891, 80208, 6917, 6623, 833, 3324, 9196, 7399, 9946, 59269, 79585, 9824, 54788, 57464, 27255, 145581"
fc,5,965,84,100,0.0895069142061413,0.0298356380687138,"4783, 1600, 4998, 4999, 10482, 9001, 23199, 127703, 55885, 26146, 401145, 5966, 152185, 7159, 3141, 25959, 25839, 54793, 5027, 8317, 388135, 7840, 10933, 4236, 167691, 64783, 1846, 4438, 23186, 10460, 64147, 23288, 9500, 53615, 221, 9278, 114327, 79571, 84260, 140460, 55337, 11196, 29944, 196374, 152206, 642938, 29982, 728116, 23598, 400673, 375567, 9079, 374618, 55833, 23548, 2741, 55105, 60370, 8940, 93986, 49855, 23195, 65244, 84665, 23423, 131405, 55728, 79598, 9851, 84726, 4856, 285590, 9787, 8933, 4820, 84991, 85865, 79718, 84866, 115811, 901, 55320, 84461, 64506"
fc,10,37,23,111,0.10928464228598,0.0182141070476634,"2891, 2892, 2045, 3039, 80725, 25758, 2917, 2893, 80852, 1509, 10135, 116986, 6128, 2257, 3045, 3046, 3043, 6132, 2913, 2805, 80820, 6323, 7263"
infomap,104,136,93,101,1.12991147963455e-05,1.88318579939092e-06,"142, 11127, 4297, 546, 10428, 3066, 9031, 121504, 2648, 80854, 8350, 8359, 8368, 8370, 11335, 8349, 7450, 23131, 3014, 4650, 1108, 129446, 84629, 23047, 4204, 27125, 23244, 23304, 4308, 163259, 10765, 3009, 58508, 10788, 3024, 3005, 3015, 3321, 8345, 55862, 114880, 6904, 23215, 317772, 8342, 166785, 55870, 4437, 114827, 146177, 8338, 22990, 6840, 1828, 129684, 57496, 79915, 115701, 22865, 7011, 100653515, 51673, 5980, 255626, 50809, 221322, 85235, 3908, 2042, 256957, 152100, 10943, 7994, 55193, 399909, 29028, 23269, 81611, 8968, 8520, 654790, 79747, 84643, 387597, 84364, 79633, 9745, 84896, 57578, 90381, 8632, 7368, 9824"
infomap,209,12,12,111,0.0002902157082003,4.83692847000645e-05,"1731, 23157, 5413, 23176, 10801, 346288, 55752, 989, 151011, 55964, 4735, 5414"
infomap,105,5,4,100,0.0007593158131746,0.0001265526355291,"4998, 4172, 4999, 8317"
