alg,cl,Cn,Mu,FL,padj,overlapGenes
fc,11,24,10,DOID:10763,7.28682442954838e-06,"2243, 335, 3240, 7052, 3304, 2244, 3075, 308, 7057, 718"
fc,4,1340,44,DOID:12858,1.45286214972051e-05,"2475, 207, 3064, 1956, 1432, 4217, 23390, 2903, 2904, 324, 2932, 2597, 3092, 3308, 54472, 6531, 4137, 5566, 1386, 7337, 177, 1020, 472, 317, 5580, 5599, 5595, 7323, 5602, 5578, 10891, 3014, 6794, 3300, 4128, 22933, 4133, 3710, 51667, 9101, 7345, 7515, 116443, 57338"
fc,4,1340,182,DOID:10652,6.92227182561369e-05,"1785, 7534, 10014, 8470, 3688, 2475, 207, 6198, 3667, 3146, 1956, 3320, 7249, 7532, 1432, 672, 5894, 1859, 2066, 2280, 824, 5058, 2934, 3500, 57787, 7919, 142, 4214, 161, 43, 4915, 3556, 1612, 1499, 22800, 274, 6453, 23607, 2903, 2904, 5290, 9588, 5321, 9821, 3635, 5594, 6655, 2534, 5879, 5747, 2932, 1363, 2597, 10399, 2950, 3312, 4831, 6421, 10273, 1508, 6189, 8878, 6853, 7314, 1123, 3308, 23435, 641, 26060, 54472, 1453, 8440, 6531, 4137, 5566, 1386, 8678, 3066, 2911, 2915, 10048, 2902, 2023, 23072, 27429, 177, 6622, 5728, 3791, 9479, 1020, 1938, 8536, 6714, 8204, 5605, 5037, 4155, 5530, 5052, 1795, 2550, 2571, 5599, 2931, 5595, 1000, 9456, 57030, 5581, 5610, 5901, 6772, 5604, 5602, 4208, 1786, 3054, 3339, 5730, 10728, 120892, 156, 230, 10891, 7295, 5534, 11033, 51617, 814, 8522, 9229, 147746, 2185, 3159, 55054, 23328, 8567, 6794, 4128, 8650, 4210, 30818, 22933, 4133, 5524, 3018, 3416, 6418, 2890, 4040, 5338, 3006, 4139, 22990, 1828, 102, 90678, 1958, 2177, 545, 2629, 823, 7345, 2566, 80142, 5981, 57507, 644, 53981, 79789, 7515, 84630, 8867, 8754, 29934, 5445, 48, 8936, 57578, 9891, 9520"
fc,4,1340,85,DOID:12849,6.92227182561369e-05,"7534, 2475, 207, 3146, 5310, 7249, 23248, 4915, 10458, 1499, 2903, 2904, 2906, 324, 5786, 26354, 9759, 6262, 9644, 5879, 5747, 6853, 22941, 26058, 6531, 2697, 2915, 7337, 2023, 5527, 5728, 3791, 2321, 6714, 317, 85358, 2550, 2571, 27347, 3697, 9456, 5562, 8924, 4208, 128, 2969, 5579, 129285, 814, 2560, 4128, 26958, 4204, 56899, 1500, 55074, 163259, 83473, 9780, 952, 51592, 2918, 8831, 4139, 10514, 129684, 1769, 6854, 57680, 6134, 2554, 152330, 2566, 166336, 9968, 7812, 18, 3700, 93664, 721, 11141, 79176, 793, 9824, 145581"
fc,4,1340,86,DOID:0060041,6.92227182561369e-05,"7534, 2475, 207, 3146, 5310, 7249, 1859, 23248, 4915, 10458, 1499, 2903, 2904, 2906, 324, 5786, 26354, 9759, 6262, 9644, 5879, 5747, 6853, 22941, 26058, 6531, 2697, 2915, 7337, 2023, 5527, 5728, 3791, 2321, 6714, 317, 85358, 2550, 2571, 27347, 3697, 9456, 5562, 8924, 4208, 128, 2969, 5579, 129285, 814, 2560, 4128, 26958, 4204, 56899, 1500, 55074, 163259, 83473, 9780, 952, 51592, 2918, 8831, 4139, 10514, 129684, 1769, 6854, 57680, 6134, 2554, 152330, 2566, 166336, 9968, 7812, 18, 3700, 93664, 721, 11141, 79176, 793, 9824, 145581"
fc,11,24,7,DOID:14330,0.0002967337664405,"335, 3240, 7052, 2244, 3075, 2266, 718"
fc,11,24,10,DOID:10652,0.0002967337664405,"335, 3240, 7052, 2244, 2745, 5110, 3075, 2266, 718, 540"
fc,4,1340,86,DOID:14330,0.0003948464855701,"7534, 6456, 4734, 207, 7249, 7533, 2066, 9531, 2280, 7332, 23113, 1460, 142, 26994, 43, 4915, 4217, 2903, 2904, 324, 5791, 2932, 5708, 2950, 3312, 1508, 8878, 3308, 23435, 10743, 5704, 2580, 26058, 6531, 4137, 1386, 2915, 2023, 27429, 177, 6622, 5728, 8204, 5580, 2571, 27347, 9456, 5562, 6500, 7054, 4294, 4208, 4691, 120892, 1620, 25793, 10891, 10295, 10381, 23317, 22980, 9532, 79705, 27072, 4157, 29761, 22933, 3416, 952, 6209, 22915, 2629, 8893, 823, 55236, 7345, 285513, 7515, 8867, 5445, 9829, 57626, 6620, 51059, 793, 59269"
fc,4,1340,229,DOID:5419,0.0009675138778728,"1759, 7534, 7531, 2887, 2885, 6456, 3303, 9863, 4734, 1387, 2475, 207, 1956, 3320, 2561, 7529, 7532, 7533, 1432, 1072, 2066, 1741, 9228, 55824, 2512, 2783, 5058, 2934, 50618, 1173, 57556, 10580, 6457, 1457, 23248, 58512, 4750, 7334, 4915, 1612, 1499, 4297, 2903, 2904, 9943, 2905, 2906, 324, 5792, 5786, 5793, 5803, 26354, 9759, 9588, 5321, 998, 394, 9644, 226, 2534, 3190, 2932, 2597, 10399, 1114, 2950, 3312, 10273, 4841, 6853, 396, 23136, 55229, 6197, 641, 1454, 2107, 50944, 26058, 6531, 4137, 202333, 2033, 8678, 3066, 2911, 2915, 10048, 2902, 1155, 2023, 5582, 177, 6622, 1020, 203068, 10664, 5037, 472, 317, 5590, 4155, 85358, 5530, 2596, 5052, 5588, 114784, 6137, 2550, 2571, 2242, 64219, 5595, 5213, 3697, 3337, 5587, 9456, 4643, 57030, 55740, 9826, 7054, 4082, 2870, 310, 56924, 9743, 4208, 57514, 11346, 1786, 3054, 5730, 7450, 120892, 128, 156, 230, 1620, 2263, 2935, 427, 5578, 5609, 29968, 10891, 7295, 1630, 5532, 5534, 301, 10381, 129285, 8291, 23451, 2560, 9229, 10645, 2047, 3159, 26578, 3305, 25830, 8452, 10075, 348980, 2774, 4128, 4204, 56899, 55074, 3839, 4133, 64854, 5533, 29843, 23234, 2890, 8841, 56288, 51592, 2918, 781, 3008, 8831, 6125, 8340, 1767, 22990, 129684, 55619, 51673, 50809, 9472, 1958, 5144, 6854, 4775, 176, 2554, 5289, 7345, 152330, 2566, 54861, 84687, 8682, 51070, 873, 1212, 9968, 56926, 5230, 116443, 8787, 9900, 3700, 84952, 9529, 6451, 9829, 9628, 9162, 9745, 51761, 145581"
fc,4,1340,102,DOID:1826,0.0031648657071345,"1759, 369, 9863, 2475, 3667, 1956, 7249, 53616, 2561, 7532, 7533, 1859, 2934, 7316, 4915, 3643, 1612, 22800, 9693, 10188, 2903, 2904, 23327, 5789, 1856, 5321, 57655, 998, 3704, 5879, 2932, 10399, 5515, 2950, 3092, 6853, 826, 5955, 7317, 4137, 160622, 3066, 2911, 2915, 2902, 7074, 55704, 8536, 5590, 610, 23114, 2550, 2571, 3778, 9826, 310, 8976, 4208, 4509, 427, 178, 23348, 1181, 2185, 83605, 348980, 4538, 4204, 25977, 54726, 30818, 4133, 5524, 5923, 9817, 2890, 56666, 8831, 1958, 6854, 5880, 2629, 8893, 823, 55215, 2554, 2566, 261726, 51400, 166336, 55585, 9211, 889, 63971, 9900, 18, 2914, 6900, 9829, 83660, 79633, 7881"
