alg,cl,Cn,Mu,FL,padj,pval,overlapGenes
infomap,222,8,3,True,0.0058402862451755,0.0029201431225877,"6622, 1983, 4900"
infomap,19,83,9,True,0.0100603993995588,0.0050301996997794,"9228, 2903, 23513, 85358, 3745, 8525, 9758, 8120, 54497"
infomap,14,11,3,True,0.0157634005617766,0.0078817002808882,"23293, 7223, 9162"
infomap,188,11,3,True,0.0157634005617766,0.0078817002808882,"9093, 3313, 2823"
infomap,176,14,3,True,0.0318723926834178,0.0159361963417089,"25843, 6801, 79684"
infomap,126,6,2,True,0.0418001921577146,0.0209000960788573,"783, 29789"
infomap,93,7,2,True,0.0570167214479137,0.0285083607239568,"22905, 9344"
infomap,167,7,2,True,0.0570167214479137,0.0285083607239568,"403, 79718"
infomap,33,82,7,True,0.0836562658365294,0.0418281329182647,"23228, 1191, 23040, 23046, 9640, 57459, 9881"
infomap,5,120,9,True,0.092532441998073,0.0462662209990365,"7531, 4140, 4137, 2911, 8204, 5970, 5595, 4208, 63826"
louvain,8,44,6,True,0.0140673265781569,0.0070336632890784,"23293, 2823, 10690, 783, 7223, 9839"
sgG1,30,130,129,False,0.064578982093635,0.0322894910468175,"5663, 22895, 351, 322, 5362, 57556, 4035, 348, 3897, 334, 10376, 2335, 3096, 8546, 22983, 7276, 10724, 4043, 642, 335, 6767, 55229, 1995, 8829, 5178, 9479, 5364, 7001, 2639, 11140, 5864, 2, 3956, 3337, 6009, 3240, 7052, 4846, 51295, 54536, 2193, 84171, 25839, 22874, 4513, 12, 7372, 54413, 10319, 2548, 6235, 10247, 1428, 2745, 23012, 55361, 9361, 214, 1277, 4916, 5110, 53822, 23181, 5332, 9911, 23170, 284119, 402117, 286205, 114134, 25796, 10056, 6272, 114876, 8828, 6907, 5654, 3075, 2987, 30968, 321, 10322, 4882, 149465, 118427, 10079, 2674, 7038, 308, 5337, 483, 8473, 8682, 51070, 8897, 9110, 23385, 6888, 5361, 7057, 7416, 10396, 80700, 80303, 7301, 83595, 762, 718, 2806, 6653, 389840, 354, 57679, 64743, 84299, 81532, 5874, 6323, 6748, 9856, 57528, 55754, 5136, 540, 7087, 8774, 90580, 93185, 79870"
sgG2,5,13,3,True,0.0257793098220168,0.0128896549110084,"23293, 7223, 9162"
sgG5,116,33,5,True,0.0174792849516386,0.0087396424758193,"8204, 5970, 4208, 1958, 51780"
sgG5,112,26,4,True,0.0354847124731416,0.0177423562365708,"26523, 257194, 577, 4978"
spectral,13,11,3,True,0.0157634005617766,0.0078817002808882,"23113, 23293, 9162"
spectral,3,1,1,True,0.0788767293000203,0.0394383646500102,11141
spectral,76,34,4,True,0.0863424668670524,0.0431712334335262,"25843, 23505, 6801, 79684"
wt,141,3,2,True,0.0090436881612762,0.0045218440806381,"1983, 4900"
wt,52,5,2,True,0.0286041307376249,0.0143020653688125,"403, 79718"
wt,15,33,4,True,0.078520104834644,0.039260052417322,"23228, 23513, 9758, 54497"
wt,225,1,1,True,0.0788767293000203,0.0394383646500102,462
wt,257,1,1,True,0.0788767293000203,0.0394383646500102,257194
wt,278,1,1,True,0.0788767293000203,0.0394383646500102,348980
wt,291,1,1,True,0.0788767293000203,0.0394383646500102,340371
wt,295,1,1,True,0.0788767293000203,0.0394383646500102,23334
wt,310,1,1,True,0.0788767293000203,0.0394383646500102,57795
wt,313,1,1,True,0.0788767293000203,0.0394383646500102,27132
wt,347,1,1,True,0.0788767293000203,0.0394383646500102,577
wt,470,1,1,True,0.0788767293000203,0.0394383646500102,399909
wt,480,1,1,True,0.0788767293000203,0.0394383646500102,152330
wt,509,1,1,True,0.0788767293000203,0.0394383646500102,54805
wt,574,1,1,True,0.0788767293000203,0.0394383646500102,79684
wt,582,1,1,True,0.0788767293000203,0.0394383646500102,56138
wt,601,1,1,True,0.0788767293000203,0.0394383646500102,8120
wt,613,1,1,True,0.0788767293000203,0.0394383646500102,6494
wt,730,1,1,True,0.0788767293000203,0.0394383646500102,9651
wt,735,1,1,True,0.0788767293000203,0.0394383646500102,64478
wt,761,1,1,True,0.0788767293000203,0.0394383646500102,57476
wt,767,1,1,True,0.0788767293000203,0.0394383646500102,9881
wt,797,1,1,True,0.0788767293000203,0.0394383646500102,94030
wt,817,1,1,True,0.0788767293000203,0.0394383646500102,64506
